ID1,ID2,Weight
0,1,8
0,2,6
0,4,3
0,5,2
0,6,7
0,7,13
0,9,7
0,10,22
0,11,2
0,12,6
0,13,10
0,14,1
0,15,4
0,16,6
0,17,3
0,18,4
0,19,4
0,20,2
0,21,1
0,23,7
1,2,5
1,4,2
1,6,4
1,7,4
1,9,8
1,10,14
1,12,13
1,13,5
1,14,2
1,15,2
1,16,7
1,17,5
1,18,1
1,19,3
1,20,4
1,22,2
1,23,5
1,24,2
2,4,6
2,6,1
2,7,5
2,8,1
2,9,5
2,10,8
2,12,10
2,13,1
2,14,1
2,15,1
2,16,5
2,17,6
2,18,1
2,19,2
2,20,4
2,21,3
2,22,1
2,23,4
2,25,3
3,4,8
3,5,1
3,11,2
3,12,3
3,19,1
3,20,1
4,6,1
4,7,4
4,10,4
4,11,1
4,12,3
4,13,2
4,14,2
4,15,1
4,16,3
4,17,2
4,18,4
4,19,1
4,20,1
4,21,1
4,22,1
4,23,2
5,8,8
5,9,13
5,11,4
5,12,7
5,18,8
5,19,10
5,20,3
5,21,2
6,7,5
6,9,4
6,10,12
6,12,6
6,13,1
6,14,4
6,15,1
6,16,2
6,17,5
6,18,1
6,20,1
6,21,1
6,23,5
6,24,2
7,8,7
7,9,14
7,10,7
7,11,7
7,12,8
7,13,1
7,15,6
7,16,7
7,17,2
7,18,1
7,20,6
7,22,1
7,23,7
7,24,2
7,25,1
8,9,3
8,11,1
8,12,3
8,15,1
8,17,1
8,18,3
8,19,4
8,20,2
8,21,2
8,23,1
9,11,4
9,12,11
9,13,1
9,15,6
9,16,6
9,17,1
9,18,2
9,19,4
9,20,6
9,21,3
9,23,3
9,24,2
10,12,18
10,13,5
10,15,8
10,16,8
10,17,10
10,19,2
10,20,6
10,21,2
10,22,2
10,23,5
10,24,1
10,25,1
11,12,1
11,15,1
11,17,5
11,18,5
11,19,3
11,20,1
11,23,1
12,13,6
12,14,3
12,15,4
12,16,5
12,17,6
12,18,8
12,19,8
12,20,5
12,21,6
12,23,7
12,24,3
12,25,1
13,14,3
13,15,2
13,16,3
13,17,3
13,18,3
13,19,2
13,20,5
13,21,1
13,23,6
13,24,1
13,25,1
14,16,1
14,17,4
14,18,1
14,19,2
14,23,7
15,16,9
15,17,3
15,18,6
15,19,2
15,20,4
15,23,4
16,17,2
16,18,1
16,19,1
16,20,1
16,21,2
16,23,1
16,24,1
17,18,3
17,19,1
17,20,4
17,21,2
17,22,5
17,23,13
17,24,1
17,25,1
18,19,8
18,20,4
18,23,2
18,24,1
19,20,8
19,21,4
19,22,1
19,23,2
19,24,1
20,21,5
20,22,1
20,23,4
21,23,10
21,24,2
22,24,1
22,25,9
