ID1,ID2,Weight
0,1,8
0,2,2
0,3,2
0,6,4
0,7,4
0,9,4
0,10,4
0,11,2
0,14,4
0,15,2
1,2,4
1,3,10
1,5,4
1,7,2
1,8,6
1,10,2
1,11,8
1,12,8
1,14,2
1,15,6
1,16,4
2,4,6
2,5,14
2,8,6
2,9,2
2,11,4
2,12,6
2,13,4
2,15,2
2,16,2
3,4,4
3,5,2
3,6,4
3,7,6
3,10,4
3,13,6
3,14,6
4,5,4
4,8,6
4,9,2
4,10,2
4,12,2
5,8,2
5,11,18
5,12,2
5,13,4
5,14,6
5,15,6
5,16,6
6,8,2
6,9,2
6,10,6
6,11,8
6,12,2
6,13,20
6,15,2
6,16,12
7,8,14
7,10,2
7,11,8
7,12,2
7,14,14
7,15,12
8,9,2
8,14,6
8,15,4
9,10,6
9,11,6
9,12,4
9,15,2
9,16,4
10,12,2
10,13,26
10,14,16
10,16,2
11,12,8
11,13,8
11,15,14
11,16,24
12,14,2
12,15,8
12,16,4
13,14,2
13,15,14
13,16,2
