ID1,ID2,Weight
0,1,4
0,2,13
0,3,19
0,4,21
0,5,2
0,6,4
0,7,25
0,8,13
0,9,10
0,10,4
0,11,26
0,12,3
0,13,2
0,14,1
0,15,1
0,16,16
0,18,17
0,19,8
0,20,7
0,21,3
0,22,2
0,26,26
0,27,9
1,2,73
1,3,47
1,4,21
1,5,3
1,6,7
1,9,5
1,12,4
1,13,7
1,15,12
1,16,2
1,17,8
1,21,16
1,23,24
1,24,4
2,3,13
2,4,5
2,5,2
2,6,9
2,7,7
2,9,14
2,10,1
2,11,7
2,12,3
2,13,2
2,14,4
2,15,9
2,16,4
2,17,4
2,18,2
2,19,1
2,20,1
2,22,2
2,23,5
2,24,8
2,26,5
2,27,1
3,4,17
3,6,3
3,7,1
3,8,1
3,9,6
3,11,2
3,13,2
3,16,1
3,21,1
3,24,1
4,5,8
4,7,1
4,10,1
4,14,1
4,17,2
4,20,1
4,21,7
4,26,12
5,8,2
5,9,3
5,12,5
5,13,1
5,15,1
5,16,14
5,17,1
5,18,4
5,19,4
5,20,4
5,21,4
5,23,36
5,24,1
5,25,1
5,26,3
6,7,44
6,8,53
6,9,14
6,11,3
6,12,2
6,13,8
6,14,1
6,15,4
6,16,1
6,17,5
6,18,1
6,19,1
6,23,23
6,24,5
6,26,2
7,8,1
7,9,8
7,15,1
7,22,1
7,25,1
8,11,3
8,14,1
8,18,1
8,23,4
8,26,16
8,27,1
9,10,53
9,11,47
9,15,5
9,17,9
9,19,1
9,20,1
9,21,8
9,23,8
9,25,2
9,26,6
10,11,3
10,13,1
10,17,2
10,18,1
10,20,2
10,22,1
10,23,1
10,25,2
10,27,1
11,14,2
11,17,3
11,19,1
11,22,1
11,26,1
12,15,16
12,16,3
12,17,1
12,18,2
12,21,7
12,23,1
13,14,92
13,15,3
13,16,3
13,17,2
13,18,5
13,19,1
13,20,1
13,21,2
13,22,9
13,23,7
13,24,6
13,25,2
13,26,3
13,27,6
14,16,1
14,20,2
14,22,2
14,23,4
14,24,3
14,26,1
14,27,5
15,16,7
15,17,7
15,18,12
15,19,14
15,20,1
15,21,34
15,22,60
15,24,1
15,26,1
16,17,39
16,18,16
16,19,15
16,20,78
16,21,23
16,22,8
16,23,3
16,24,2
16,25,1
17,18,8
17,19,6
17,20,7
17,21,23
17,22,3
17,23,14
17,24,8
17,25,8
17,26,3
17,27,7
18,19,6
18,21,15
18,22,1
18,23,11
18,24,8
18,26,4
19,20,4
19,21,17
19,23,2
19,25,1
20,21,2
20,22,1
20,23,1
20,26,1
21,24,1
21,25,4
21,26,7
22,23,2
22,24,5
22,25,1
22,26,5
22,27,2
23,24,27
23,25,16
23,26,31
23,27,71
24,25,56
24,26,3
25,26,1
25,27,3
26,27,20
