ID1,ID2,Weight
0,3,17
0,7,52
0,8,29
0,10,1
0,11,5
0,14,1
1,7,4
1,13,1
1,15,3
2,3,20
2,4,13
2,6,2
2,8,2
2,9,1
2,10,14
2,11,4
2,12,3
2,14,6
2,15,2
3,6,19
3,8,1
3,10,7
3,12,4
3,13,1
4,6,3
4,7,1
4,9,2
4,15,12
5,7,3
5,8,2
5,9,1
5,11,8
5,12,1
5,13,7
6,12,3
6,15,1
7,8,49
7,9,7
7,10,6
7,11,10
7,12,9
7,13,15
7,15,1
8,9,11
8,10,5
8,11,16
8,12,26
8,13,44
8,14,11
8,15,1
9,10,2
9,11,8
9,13,1
9,14,4
9,15,14
10,11,9
10,12,9
10,13,15
10,14,37
10,15,1
11,12,5
11,13,23
11,14,4
12,13,27
12,14,6
12,15,6
13,14,5
13,15,3
14,15,1
