ID1,ID2,Weight
0,7,1
0,8,1
0,10,1
0,21,1
0,27,1
1,4,5
1,5,2
1,6,1
1,7,1
1,8,4
1,9,1
1,10,2
1,11,1
1,12,4
1,13,2
1,14,3
1,16,4
1,17,1
1,18,1
1,22,7
1,24,1
1,26,4
2,3,8
2,4,7
2,5,4
2,6,1
2,7,1
2,8,12
2,10,1
2,12,2
2,13,2
2,14,2
2,15,12
2,18,2
2,19,4
2,20,2
2,22,6
2,23,1
2,25,1
2,26,4
2,27,3
3,5,7
3,7,4
3,8,2
3,9,1
3,11,1
3,13,3
3,15,2
3,16,1
3,17,1
3,20,2
3,22,2
3,23,3
3,24,1
3,25,1
3,26,3
3,27,2
4,5,1
4,7,5
4,8,11
4,10,3
4,12,5
4,14,4
4,15,7
4,16,1
4,17,1
4,18,1
4,19,5
4,22,8
4,23,6
4,26,3
4,27,1
5,7,3
5,8,7
5,9,2
5,10,3
5,11,1
5,12,2
5,13,4
5,14,1
5,15,3
5,16,2
5,17,2
5,18,3
5,20,3
5,22,4
5,23,9
5,24,2
5,26,1
5,27,4
6,16,1
6,25,1
7,8,1
7,10,2
7,11,3
7,12,2
7,14,1
7,15,2
7,16,4
7,19,3
7,23,5
7,25,2
7,26,4
8,9,1
8,10,3
8,12,5
8,13,7
8,14,5
8,15,8
8,16,2
8,18,3
8,19,2
8,20,3
8,21,1
8,22,5
8,23,4
8,24,6
8,26,1
8,27,5
9,10,1
9,12,2
9,13,3
9,15,2
9,16,1
9,17,2
9,18,1
9,20,1
9,21,1
9,23,2
9,26,1
10,11,1
10,13,2
10,14,2
10,15,1
10,16,1
10,18,3
10,19,3
10,20,2
10,21,1
10,22,2
10,23,2
10,24,1
10,25,1
10,26,1
10,27,1
11,16,5
11,21,1
11,23,1
11,24,2
11,26,1
12,13,5
12,14,2
12,15,2
12,17,2
12,18,1
12,19,3
12,20,2
12,22,3
12,23,1
12,24,2
12,25,1
12,27,3
13,14,2
13,15,1
13,17,8
13,19,3
13,20,5
13,22,4
13,23,3
13,24,3
13,26,1
13,27,1
14,15,6
14,16,2
14,17,1
14,18,2
14,19,1
14,22,3
14,23,3
14,24,2
14,25,1
14,26,2
14,27,1
15,17,1
15,18,10
15,19,1
15,20,1
15,22,1
15,23,2
15,24,3
15,25,2
15,26,4
15,27,2
16,17,1
16,18,2
16,21,1
16,22,2
16,23,1
16,24,2
16,26,1
16,27,1
17,20,1
17,24,1
17,25,2
17,26,1
17,27,1
18,19,4
18,20,4
18,22,4
18,23,4
18,24,2
18,25,3
18,26,4
18,27,6
19,20,8
19,22,5
19,23,3
19,24,3
19,26,4
19,27,11
20,22,1
20,24,8
20,26,2
20,27,2
21,26,1
22,23,2
22,24,1
22,25,1
22,27,5
23,24,6
23,25,1
23,26,1
23,27,2
24,26,3
26,27,10
