ID1,ID2,Weight
0,1,6
0,2,10
0,3,7
0,4,16
0,5,4
0,6,3
0,7,15
0,8,5
0,9,5
0,10,3
0,11,4
0,12,2
0,13,10
0,14,18
0,15,4
1,2,4
1,3,5
1,4,11
1,5,1
1,6,6
1,7,6
1,8,8
1,9,12
1,10,4
1,11,52
1,12,4
1,13,8
1,14,7
1,15,7
1,16,5
2,3,8
2,4,10
2,5,6
2,6,6
2,7,20
2,8,5
2,9,6
2,10,1
2,11,4
2,12,4
2,13,15
2,14,8
2,15,4
3,4,7
3,5,5
3,6,3
3,7,11
3,8,10
3,9,7
3,10,1
3,11,6
3,12,2
3,13,6
3,14,5
3,15,3
3,16,1
4,5,7
4,6,18
4,7,17
4,8,23
4,9,16
4,10,7
4,11,10
4,13,21
4,14,5
4,15,9
4,16,2
5,6,2
5,7,2
5,8,40
5,11,2
5,13,4
5,16,1
6,7,12
6,8,3
6,9,4
6,10,11
6,11,6
6,12,1
6,13,14
6,14,2
6,15,2
6,16,4
7,8,12
7,9,5
7,10,5
7,11,1
7,12,1
7,13,14
7,14,14
7,15,9
7,16,4
8,9,4
8,10,3
8,11,10
8,12,1
8,13,7
8,14,5
8,15,4
9,10,5
9,11,9
9,12,1
9,13,6
9,14,3
9,15,6
9,16,2
10,11,9
10,12,2
10,13,3
10,14,5
10,15,14
11,12,2
11,13,6
11,14,6
11,15,9
11,16,2
12,14,2
12,15,2
13,14,21
13,15,6
13,16,2
14,15,3
