ID1,ID2,Weight
0,1,1
0,2,1
0,3,6
0,7,2
0,8,1
0,9,2
0,13,6
0,14,1
0,17,1
0,19,4
0,22,2
0,25,6
0,27,2
1,2,2
1,3,1
1,4,1
1,8,1
1,11,1
1,12,1
1,14,2
1,17,3
1,18,1
1,22,1
1,24,2
1,25,1
1,27,3
2,3,13
2,4,1
2,7,6
2,8,2
2,9,4
2,10,1
2,11,2
2,12,1
2,13,3
2,14,6
2,15,6
2,16,1
2,17,5
2,18,3
2,19,1
2,21,6
2,23,5
2,24,2
2,27,1
3,4,3
3,5,1
3,7,2
3,9,2
3,12,4
3,15,7
3,17,1
3,18,6
3,20,3
3,21,1
3,23,1
3,24,1
3,25,1
3,27,2
4,5,4
4,7,3
4,8,2
4,9,2
4,10,2
4,14,3
4,15,2
4,17,7
4,18,2
4,20,1
4,21,3
4,22,2
4,23,1
4,25,7
4,26,7
4,27,2
5,6,2
5,7,7
5,8,1
5,9,5
5,10,9
5,11,3
5,12,1
5,13,1
5,15,1
5,16,1
5,17,2
5,18,1
5,20,2
5,21,1
5,22,3
5,25,3
5,26,4
7,8,2
7,9,2
7,10,9
7,11,2
7,12,3
7,13,4
7,16,1
7,17,4
7,18,1
7,19,1
7,20,1
7,21,1
7,22,1
7,25,5
7,26,4
7,27,5
8,9,1
8,11,2
8,12,2
8,15,3
8,17,2
8,21,1
8,23,1
8,24,1
8,27,1
9,10,2
9,11,1
9,12,2
9,14,2
9,16,1
9,17,3
9,21,1
9,22,4
9,23,1
9,24,1
9,26,1
9,27,2
10,11,1
10,12,1
10,14,2
10,15,2
10,17,3
10,18,3
10,20,2
10,21,1
10,22,2
10,23,1
10,25,1
10,26,4
12,14,1
12,15,6
12,17,1
12,18,1
12,19,1
12,20,2
12,21,4
12,24,3
12,25,1
12,27,2
13,14,1
13,16,1
13,17,1
13,18,5
13,19,1
13,21,2
13,22,3
13,23,1
13,24,1
13,25,1
13,26,1
14,15,1
14,16,1
14,17,1
14,21,1
14,22,1
14,23,1
14,25,1
15,20,4
15,26,1
16,18,1
16,23,1
17,18,5
17,20,5
17,21,4
17,22,3
17,23,1
17,24,1
17,25,10
17,26,6
17,27,1
18,20,2
18,21,1
18,23,2
18,25,1
18,26,1
20,21,2
20,26,1
21,22,1
21,23,2
21,24,5
21,25,2
21,26,1
21,27,1
22,23,1
22,25,4
22,26,1
22,27,1
23,24,1
24,25,2
24,27,4
25,26,8
25,27,3
26,27,1
