ID1,ID2,Weight
0,1,1
0,2,1
0,4,6
0,5,2
0,7,1
0,8,2
0,9,1
0,10,3
0,11,2
0,12,5
0,13,2
0,14,2
0,15,1
0,16,2
0,17,3
0,18,1
0,19,1
0,21,1
0,27,2
0,28,1
0,29,1
0,33,1
0,34,5
0,35,2
0,36,3
0,37,2
0,38,3
0,40,2
0,41,1
0,42,1
0,50,3
0,53,1
0,56,1
0,57,1
1,3,1
1,4,8
1,5,1
1,6,2
1,7,1
1,8,4
1,9,2
1,10,3
1,12,3
1,13,2
1,14,4
1,15,4
1,16,1
1,17,2
1,19,1
1,20,1
1,21,2
1,24,1
1,25,2
1,26,1
1,27,2
1,28,1
1,29,1
1,33,4
1,34,1
1,39,1
1,42,1
1,43,1
1,48,2
1,49,1
1,52,1
1,54,1
1,56,1
2,3,1
2,4,5
2,5,3
2,6,4
2,7,5
2,8,1
2,9,1
2,12,5
2,13,6
2,15,5
2,17,2
2,18,1
2,19,1
2,20,1
2,25,1
2,28,3
2,29,1
2,33,2
2,35,1
2,37,1
2,38,1
2,40,2
2,41,1
2,45,1
2,46,1
2,52,1
2,53,3
2,54,1
2,56,2
2,57,1
3,4,1
3,5,2
3,6,8
3,8,1
3,9,9
3,10,1
3,11,6
3,12,1
3,14,3
3,15,4
3,16,2
3,17,6
3,19,1
3,22,1
3,25,1
3,26,3
3,27,1
3,28,8
3,29,1
3,30,1
3,32,3
3,35,1
3,36,1
3,37,1
3,43,1
3,47,1
3,48,2
3,49,2
3,50,1
3,52,1
3,53,5
3,54,3
3,55,3
3,58,1
4,5,4
4,6,4
4,7,3
4,8,1
4,9,6
4,10,7
4,11,1
4,12,3
4,13,3
4,14,3
4,15,5
4,17,2
4,18,2
4,19,2
4,22,2
4,23,2
4,24,4
4,25,1
4,26,2
4,28,1
4,30,4
4,33,3
4,35,3
4,36,1
4,37,2
4,38,1
4,40,1
4,42,2
4,46,2
4,49,3
4,52,1
4,55,1
4,57,3
4,58,2
4,59,1
4,61,1
5,6,4
5,8,1
5,9,1
5,10,1
5,11,2
5,13,2
5,14,2
5,15,2
5,16,5
5,17,2
5,19,4
5,20,1
5,21,2
5,22,3
5,23,5
5,24,6
5,25,2
5,26,1
5,27,1
5,28,2
5,29,2
5,30,4
5,31,2
5,33,4
5,34,1
5,35,1
5,36,2
5,37,3
5,38,1
5,39,2
5,40,1
5,41,1
5,42,3
5,43,2
5,44,1
5,46,1
5,47,1
5,48,4
5,49,1
5,51,2
5,53,2
5,54,1
5,55,3
5,56,1
5,57,4
5,58,3
5,61,1
6,5,1
6,7,2
6,8,1
6,9,3
6,10,3
6,11,1
6,12,1
6,13,4
6,14,1
6,15,1
6,16,5
6,17,3
6,18,2
6,19,4
6,20,3
6,21,1
6,22,1
6,23,5
6,24,1
6,25,1
6,26,1
6,29,1
6,30,1
6,31,1
6,33,1
6,34,1
6,35,4
6,36,3
6,37,2
6,38,1
6,39,1
6,40,4
6,41,3
6,43,1
6,44,3
6,46,1
6,49,5
6,52,2
6,53,6
6,54,2
6,55,2
6,56,1
6,57,4
6,58,1
6,59,1
6,60,1
6,61,1
7,8,3
7,9,2
7,10,1
7,11,3
7,12,3
7,13,1
7,14,3
7,15,1
7,16,3
7,17,3
7,20,1
7,21,1
7,23,2
7,24,2
7,25,2
7,26,1
7,28,1
7,29,1
7,34,1
7,35,2
7,36,1
7,40,1
7,45,2
7,46,1
7,51,2
7,53,2
7,55,2
7,56,2
7,57,2
7,60,1
8,9,4
8,10,5
8,14,3
8,15,1
8,16,1
8,17,2
8,19,1
8,22,3
8,25,2
8,28,1
8,29,1
8,30,1
8,33,1
8,34,1
8,36,4
8,37,1
8,44,1
8,46,2
8,53,2
8,54,1
8,58,1
8,61,1
9,5,2
9,10,3
9,11,1
9,12,4
9,13,1
9,14,2
9,15,3
9,16,3
9,17,4
9,19,4
9,20,1
9,21,1
9,22,1
9,23,2
9,25,1
9,26,1
9,28,4
9,29,1
9,30,2
9,31,3
9,33,4
9,34,1
9,35,2
9,36,2
9,37,3
9,38,1
9,39,1
9,40,2
9,42,1
9,43,3
9,46,2
9,53,3
9,54,1
9,55,1
9,56,1
9,57,1
9,58,1
10,11,2
10,12,2
10,13,2
10,14,1
10,15,3
10,16,3
10,17,2
10,20,2
10,21,2
10,22,1
10,25,1
10,26,1
10,29,1
10,31,1
10,32,1
10,34,3
10,37,1
10,40,1
10,43,1
10,49,1
10,52,1
10,53,1
10,55,1
10,56,4
10,59,1
11,12,3
11,13,1
11,14,1
11,16,1
11,17,3
11,21,2
11,22,2
11,23,2
11,24,1
11,25,2
11,26,1
11,27,1
11,28,4
11,29,6
11,30,2
11,31,1
11,32,1
11,33,1
11,35,1
11,36,2
11,37,1
11,38,1
11,40,2
11,42,2
11,44,2
11,45,3
11,48,1
11,50,1
11,53,1
11,54,1
11,55,1
11,59,1
12,5,4
12,6,1
12,13,3
12,14,2
12,15,3
12,16,5
12,17,3
12,19,1
12,21,2
12,22,1
12,25,2
12,26,1
12,28,1
12,29,1
12,30,1
12,31,1
12,33,1
12,34,3
12,35,1
12,36,3
12,38,1
12,39,1
12,40,2
12,42,1
12,44,1
12,47,3
12,48,2
12,49,2
12,50,3
12,52,1
12,53,2
12,54,1
12,55,1
12,56,2
12,57,3
12,59,1
12,61,1
13,6,1
13,9,1
13,15,3
13,16,2
13,17,2
13,18,3
13,19,2
13,21,1
13,22,2
13,24,2
13,26,1
13,27,1
13,28,2
13,29,1
13,30,1
13,31,2
13,32,1
13,33,1
13,35,2
13,36,2
13,39,1
13,42,1
13,43,1
13,49,1
13,53,3
13,54,1
13,56,1
13,61,1
14,10,1
14,15,2
14,16,1
14,17,2
14,18,2
14,19,5
14,23,1
14,25,3
14,28,1
14,31,1
14,34,2
14,35,4
14,36,4
14,37,2
14,40,2
14,41,1
14,44,3
14,49,1
14,50,2
14,52,1
14,53,1
14,54,1
14,57,2
14,59,1
15,16,4
15,17,3
15,18,3
15,20,2
15,21,1
15,22,2
15,23,1
15,24,1
15,25,2
15,26,2
15,27,1
15,28,4
15,30,1
15,31,1
15,32,1
15,33,2
15,34,2
15,35,1
15,36,1
15,39,1
15,40,2
15,45,2
15,47,2
15,48,2
15,49,1
15,50,1
15,52,1
15,53,4
15,54,1
15,55,2
15,57,3
15,59,1
15,61,2
16,17,3
16,19,1
16,23,6
16,24,2
16,25,3
16,26,1
16,28,1
16,29,1
16,30,1
16,31,2
16,32,2
16,33,2
16,34,2
16,35,1
16,36,2
16,37,1
16,39,1
16,42,2
16,43,2
16,44,2
16,47,3
16,48,4
16,49,1
16,53,2
16,54,1
16,55,1
16,56,1
16,58,1
16,59,1
16,61,1
17,14,1
17,16,2
17,18,3
17,19,2
17,20,1
17,21,1
17,22,2
17,23,2
17,24,1
17,25,2
17,26,2
17,27,3
17,28,9
17,29,2
17,30,3
17,31,4
17,32,2
17,33,5
17,34,2
17,35,3
17,36,4
17,37,2
17,38,3
17,39,1
17,40,2
17,41,2
17,42,1
17,43,1
17,46,4
17,48,1
17,49,1
17,50,1
17,51,1
17,52,2
17,53,5
17,54,3
17,55,2
17,56,4
17,58,3
17,60,1
18,13,1
18,20,2
18,21,1
18,22,2
18,23,1
18,24,4
18,25,1
18,28,1
18,30,1
18,32,1
18,33,4
18,34,5
18,35,3
18,36,1
18,37,3
18,38,2
18,39,2
18,40,2
18,41,2
18,42,4
18,44,3
18,45,2
18,46,1
18,50,1
18,53,2
18,59,1
19,8,1
19,20,2
19,21,2
19,22,1
19,23,3
19,24,2
19,27,1
19,28,1
19,29,1
19,30,1
19,33,1
19,34,1
19,35,1
19,37,5
19,38,2
19,39,4
19,40,3
19,41,2
19,42,2
19,47,1
19,48,1
19,50,1
19,53,1
19,54,2
19,56,1
19,61,1
20,19,1
20,23,2
20,24,2
20,28,1
20,29,1
20,31,1
20,33,1
20,35,1
20,36,1
20,37,3
20,39,1
20,40,5
20,41,2
20,42,2
20,44,1
20,46,1
20,50,1
20,53,1
20,56,1
20,57,1
20,59,2
20,60,1
21,22,1
21,23,1
21,25,1
21,26,2
21,27,2
21,28,5
21,29,3
21,30,2
21,31,6
21,32,3
21,34,1
21,36,1
21,37,2
21,42,1
21,43,2
21,44,3
21,45,1
21,47,5
21,50,1
21,52,2
21,54,1
21,55,5
21,56,1
21,57,3
21,58,1
21,59,2
21,60,3
21,61,1
22,24,1
22,25,5
22,26,1
22,28,3
22,29,3
22,30,3
22,31,2
22,32,4
22,33,1
22,34,2
22,35,2
22,37,1
22,38,3
22,41,1
22,43,2
22,44,3
22,45,2
22,46,1
22,47,4
22,48,1
22,49,1
22,51,1
22,52,1
22,54,1
22,55,2
22,56,1
22,57,4
22,60,1
22,61,2
23,20,1
23,24,4
23,26,1
23,28,1
23,29,1
23,34,1
23,36,1
23,37,5
23,38,2
23,39,3
23,40,3
23,41,2
23,42,4
23,46,1
23,47,2
23,48,1
23,49,1
23,50,1
23,53,3
23,54,3
23,56,1
23,57,1
23,58,1
24,19,1
24,21,1
24,26,2
24,29,1
24,30,2
24,37,4
24,38,4
24,39,2
24,40,8
24,41,1
24,42,5
24,44,1
24,45,1
24,47,2
24,49,3
24,51,2
24,52,2
24,55,2
24,58,4
24,59,2
25,26,1
25,27,1
25,28,6
25,29,3
25,30,3
25,31,4
25,32,2
25,34,5
25,35,4
25,36,1
25,37,2
25,38,1
25,43,2
25,44,1
25,45,2
25,46,2
25,47,2
25,48,2
25,49,1
25,52,1
25,54,2
25,55,3
25,56,3
25,60,2
25,61,3
26,29,5
26,30,5
26,34,2
26,35,1
26,36,4
26,37,3
26,38,1
26,41,1
26,44,1
26,45,3
26,47,1
26,49,2
26,50,1
26,55,2
26,56,2
26,57,2
27,28,4
27,30,2
27,31,3
27,32,4
27,35,1
27,38,1
27,43,5
27,44,3
27,45,1
27,49,1
27,52,1
27,54,1
27,55,1
27,56,1
27,57,2
27,59,1
27,61,1
28,27,1
28,29,2
28,30,5
28,31,7
28,32,6
28,34,3
28,35,4
28,36,4
28,37,4
28,38,4
28,40,1
28,43,1
28,44,1
28,45,1
28,46,1
28,48,1
28,49,4
28,50,1
28,52,3
28,53,4
28,54,1
28,55,4
28,56,4
28,59,1
29,30,2
29,31,6
29,34,2
29,36,2
29,37,3
29,40,2
29,42,2
29,44,3
29,45,1
29,46,1
29,47,2
29,48,1
29,51,1
29,52,1
29,53,1
29,54,2
29,55,1
29,56,1
29,57,2
29,61,1
30,27,2
30,31,2
30,32,3
30,34,6
30,35,2
30,36,4
30,37,2
30,39,1
30,40,1
30,41,1
30,42,1
30,43,2
30,44,3
30,46,3
30,47,4
30,48,1
30,49,2
30,51,1
30,52,3
30,55,2
30,56,3
30,57,2
30,59,2
30,61,1
31,32,1
31,33,3
31,34,2
31,35,1
31,36,3
31,37,1
31,40,2
31,41,1
31,42,1
31,43,3
31,44,3
31,45,3
31,46,4
31,47,4
31,48,2
31,50,2
31,51,1
31,52,3
31,55,4
31,56,5
31,57,3
31,58,2
31,59,3
31,60,5
32,28,2
32,34,1
32,35,2
32,36,5
32,40,1
32,43,6
32,44,5
32,45,4
32,46,2
32,47,4
32,48,1
32,50,1
32,52,1
32,54,1
32,55,3
32,56,1
32,57,4
32,58,1
32,59,1
32,61,1
33,23,1
33,34,1
33,36,1
33,40,1
33,42,2
33,44,1
33,46,1
33,50,4
33,51,1
33,53,2
33,57,1
34,29,1
34,35,3
34,36,3
34,37,1
34,38,1
34,40,3
34,41,3
34,48,1
34,49,1
34,50,1
34,52,1
34,53,2
34,55,2
34,58,1
34,59,1
35,23,2
35,24,1
35,33,1
35,37,4
35,38,2
35,39,2
35,40,2
35,41,2
35,42,3
35,43,1
35,47,2
35,48,1
35,49,1
35,50,4
35,51,1
35,52,2
35,53,1
35,54,2
35,56,1
35,57,2
35,59,1
35,61,2
36,20,1
36,37,6
36,38,1
36,40,6
36,41,9
36,42,3
36,44,1
36,47,2
36,48,2
36,49,2
36,50,2
36,51,1
36,52,6
36,53,1
36,54,4
36,57,1
36,58,2
36,60,1
36,61,1
37,38,6
37,40,2
37,41,1
37,42,2
37,43,4
37,45,1
37,46,1
37,47,3
37,48,1
37,49,5
37,50,3
37,51,1
37,52,2
37,54,1
37,55,1
37,58,1
37,61,1
38,40,2
38,41,2
38,42,4
38,45,1
38,48,1
38,49,7
38,50,2
38,52,2
38,53,6
38,54,3
38,57,1
38,58,2
38,59,4
38,60,2
39,40,3
39,42,4
39,47,2
39,50,2
39,56,1
39,57,2
39,58,1
39,59,1
40,41,1
40,42,5
40,47,1
40,48,1
40,49,1
40,51,1
40,52,2
40,53,1
40,54,1
40,56,1
40,57,2
40,61,2
41,42,3
41,45,1
41,46,1
41,47,1
41,48,2
41,51,1
41,52,1
41,57,1
41,58,2
41,61,1
42,34,1
42,37,1
42,44,1
42,45,2
42,46,1
42,47,3
42,49,4
42,50,2
42,52,1
42,53,1
42,54,1
42,57,6
42,58,2
43,44,3
43,45,1
43,46,1
43,47,3
43,48,1
43,55,2
43,56,1
43,57,3
43,58,1
43,59,1
44,46,4
44,47,4
44,48,1
44,50,1
44,55,3
44,56,1
44,57,6
44,58,1
44,59,2
44,60,5
45,46,4
45,47,8
45,48,1
45,55,5
45,56,1
45,57,7
45,58,1
45,59,1
45,60,3
46,47,2
46,48,1
46,50,1
46,52,2
46,53,2
46,54,2
46,55,1
46,56,1
46,57,3
46,59,1
46,60,1
47,48,2
47,49,4
47,51,1
47,52,1
47,53,2
47,55,2
47,56,3
47,57,3
47,58,3
47,59,3
47,60,1
48,49,1
48,52,1
48,54,1
48,57,1
48,58,3
49,50,2
49,52,2
49,54,1
49,56,1
49,57,1
49,59,3
50,51,1
50,52,2
50,54,1
50,57,1
50,61,1
51,59,3
52,50,1
52,56,1
52,57,2
52,58,3
52,59,3
52,60,2
53,54,1
53,55,2
53,56,1
53,57,1
53,58,1
53,59,1
54,56,1
54,57,2
54,59,1
54,61,1
55,56,1
55,57,2
55,58,3
55,59,2
55,60,3
55,61,4
56,57,4
56,58,3
56,59,1
56,60,3
56,61,2
57,58,3
57,59,2
57,60,1
57,61,2
58,59,1
58,60,2
59,60,1
59,61,1
