,ID1,ID2,Weight
0,T18M,Tao7,4.0
1,Mot15,Mot20,6.0
2,Op7,She8,3.0
3,Op8,Tao12,18.0
4,T6M,Tao25,11.0
5,RF3,RF4,2.0
6,Op7,V22M,2.0
7,Tao10,Tao4,4.0
8,Mot21,Mot5,17.0
9,Op19,Tao8,2.0
10,T20M,Tao12,9.0
11,Tao15,Tao25,13.0
12,Mot15,Mot5,18.0
13,Tao10,Tao7,11.0
14,P1,V21M,3.0
15,Mot3,Tao11,1.0
16,Op6,Op8,8.0
17,Mot17,Mot3,2.0
18,R11F,RF7,12.0
19,Tao10,Tao11,3.0
20,Op19,Op8,3.0
21,V19M,V21M,3.0
22,Tao25,Tao8,2.0
23,T20M,Tao7,4.0
24,Op24,V21M,3.0
25,Op8,Op9,8.0
26,Op5,Op8,12.0
27,Mot12,Mot24,2.0
28,Mot17,Mot8,16.0
29,Mot16,Mot17,16.0
30,M6F,Mot20,3.0
31,Mot20,Tao11,2.0
32,Mot22,RF4,1.0
33,T6M,Tao6,4.0
34,T6M,Tao11,3.0
35,Op31,Op7,4.0
36,Op41,Op8,10.0
37,Mot12,Mot19,2.0
38,PT7,R21F,1.0
39,M6F,Mot14,3.0
40,Op20,V21M,4.0
41,Op20,She8,10.0
42,Op19,Op24,3.0
43,Op24,V11M,2.0
44,T20M,Tao10,13.0
45,Tao13,Tao6,2.0
46,Op20,Op24,2.0
47,Mot2,Mot3,1.0
48,Op7,She13,3.0
49,Mot15,Mot19,4.0
50,Op8,Tao10,15.0
51,Mot12,Mot3,3.0
52,Op24,Op6,6.0
53,Op6,She1,11.0
54,Op33,She13,4.0
55,T6F,Tao19,2.0
56,Mot21,Mot3,1.0
57,M12M,Mot12,4.0
58,Tao10,Tao6,7.0
59,Mot15,Mot3,3.0
60,Op31,Op9,10.0
61,T12F,Tao6,1.0
62,M6F,Mot1,3.0
63,R11F,RF2,5.0
64,Op7,Op8,4.0
65,Op33,V21M,7.0
66,Tao11,Tao13,1.0
67,Op36,Op41,1.0
68,Op10,Op19,7.0
69,V12M,V21M,4.0
70,Op22,Op6,1.0
71,Mot15,Mot17,12.0
72,PT1,She8,6.0
73,Mot16,Mot3,3.0
74,RF7,Tao17,2.0
75,Op33,V22M,5.0
76,Mot22,R6F,2.0
77,P1,Tao10,4.0
78,Mot14,Mot21,13.0
79,Op19,Op7,5.0
80,She8,V22M,5.0
81,Op20,V22M,3.0
82,T12F,Tao15,1.0
83,Op23,Op5,5.0
84,Op10,Op41,15.0
85,Mot22,Tao17,2.0
86,M12M,Mot17,7.0
87,Mot12,Mot8,7.0
88,Mot12,Mot15,11.0
89,T20M,Tao25,8.0
90,Mot17,Mot19,5.0
91,Op6,V21M,4.0
92,Tet2,Tet6,1.0
93,Mot15,Mot24,2.0
94,Tao12,Tao4,5.0
95,Mot2,Mot5,3.0
96,P1,Tao15,3.0
97,Tao8,V19M,6.0
98,Mot12,Mot17,7.0
99,T6M,Tao13,2.0
100,Mot12,Mot5,11.0
101,Op41,Op9,5.0
102,Tao13,Tao15,2.0
103,Mot1,Mot17,5.0
104,M12M,Mot15,6.0
105,Op10,Op22,3.0
106,Mot5,Mot8,27.0
107,Mot21,Mot8,17.0
108,P1,T20M,1.0
109,Mot16,Mot24,2.0
110,P1,T6F,2.0
111,Op24,V12M,2.0
112,P1,Tao7,5.0
113,Mot14,Mot15,14.0
114,M12M,Mot1,5.0
115,Op19,Op23,3.0
116,T18M,Tao6,4.0
117,Mot22,PT7,3.0
118,Mot17,Mot2,3.0
119,Op31,Op33,11.0
120,Tao15,Tao7,9.0
121,Op8,Tao25,20.0
122,Op8,Tao13,2.0
123,Op24,Op41,5.0
124,Op8,V21M,7.0
125,Mot18,Mot5,10.0
126,Mot16,Mot5,29.0
127,Op7,Tao8,4.0
128,Op36,V12M,1.0
129,R11F,RF4,2.0
130,T18M,Tao25,12.0
131,Tao4,Tao8,2.0
132,Op22,Op7,2.0
