ID1,ID2,Weight
0,1,4
0,2,5
0,4,3
0,5,19
0,6,9
0,7,12
0,8,7
0,9,30
0,10,5
0,11,43
0,13,6
0,14,3
0,15,2
0,16,9
0,17,8
0,18,4
1,2,1
1,3,10
1,6,1
1,7,1
1,8,9
1,9,9
1,10,45
1,17,5
2,5,26
2,6,2
2,7,3
2,8,6
2,9,22
2,11,5
2,14,2
2,16,5
2,17,5
2,18,1
3,4,1
3,7,5
3,8,2
3,9,1
3,10,7
3,11,2
3,17,2
3,18,5
4,5,5
4,6,1
4,8,8
4,9,17
4,10,2
4,11,40
4,16,1
4,17,1
5,6,8
5,7,1
5,8,5
5,9,3
5,10,1
5,13,3
5,14,3
5,15,4
5,16,2
5,17,3
5,18,4
6,11,1
6,14,1
6,15,2
6,16,3
6,17,21
7,8,1
7,9,4
7,10,12
7,11,2
7,12,1
7,13,23
7,15,3
7,16,1
7,17,1
8,9,18
8,10,10
8,11,2
8,13,6
8,14,6
8,15,1
8,16,1
9,10,2
9,11,11
9,12,3
9,13,5
9,14,4
9,15,1
9,16,3
9,17,10
10,11,2
10,12,2
10,13,5
10,14,7
10,15,5
10,18,2
11,14,8
11,16,4
11,17,4
12,13,1
12,14,35
12,16,1
12,18,4
13,14,5
13,15,3
13,17,1
14,16,4
14,17,8
15,16,3
15,17,5
16,17,6
16,18,1
17,18,3
