ID1	ID2	start_time	end_time
10	12	331	332
0	10	345	346
1	12	492	493
5	19	504	505
6	10	535	536
21	23	549	550
1	10	553	554
0	13	614	615
10	15	636	637
10	12	637	638
3	4	643	644
2	12	669	670
5	8	679	680
18	19	681	682
17	23	696	697
5	18	703	704
12	18	715	716
5	9	763	764
5	12	763	764
15	16	770	771
10	17	789	790
22	25	819	820
1	9	829	830
7	11	830	831
9	15	834	835
0	12	840	841
0	10	845	846
2	4	859	860
13	23	864	865
9	16	875	876
7	8	876	877
1	12	891	892
12	17	898	899
7	12	900	901
19	20	913	914
2	10	914	915
7	15	931	932
10	16	934	935
0	16	975	976
1	16	976	977
9	20	981	982
1	10	1003	1004
10	23	1006	1007
0	23	1011	1012
12	20	1015	1016
10	12	1036	1037
6	12	1042	1043
0	2	1058	1059
5	19	1086	1087
0	10	1098	1099
1	2	1187	1188
14	23	1192	1193
12	19	1226	1227
9	12	1247	1248
0	6	1248	1249
5	11	1250	1251
13	20	1257	1258
0	9	1258	1259
11	17	1265	1266
1	12	1276	1277
15	20	1288	1289
18	20	1291	1292
9	11	1292	1293
5	9	1300	1301
4	18	1301	1302
6	14	1310	1311
1	23	1323	1324
12	21	1330	1331
3	4	1347	1348
2	12	1348	1349
19	21	1359	1360
10	12	1363	1364
21	23	1370	1371
2	20	1371	1372
5	18	1373	1374
20	23	1377	1378
12	13	1383	1384
15	18	1394	1395
0	13	1406	1407
6	23	1416	1417
12	15	1419	1420
10	15	1447	1448
15	16	1489	1490
1	9	1497	1498
12	18	1498	1499
4	10	1498	1499
6	10	1510	1511
2	16	1524	1525
20	21	1525	1526
8	19	1549	1550
7	12	1550	1551
1	10	1555	1556
2	7	1559	1560
1	7	1611	1612
9	19	1614	1615
5	12	1628	1629
10	20	1644	1645
10	12	1656	1657
7	11	1674	1675
0	10	1675	1676
7	8	1687	1688
17	20	1694	1695
2	4	1726	1727
1	17	1741	1742
9	15	1748	1749
7	9	1749	1750
7	20	1759	1760
9	12	1759	1760
5	9	1763	1764
12	23	1764	1765
5	19	1765	1766
2	9	1769	1770
0	7	1794	1795
22	25	1801	1802
0	15	1805	1806
13	23	1828	1829
0	23	1834	1835
1	16	1846	1847
4	7	1854	1855
12	16	1859	1860
6	17	1862	1863
0	17	1870	1871
17	23	1874	1875
6	12	1876	1877
7	15	1897	1898
2	17	1898	1899
13	16	1903	1904
2	12	1904	1905
15	17	1910	1911
8	18	1919	1920
0	19	1923	1924
21	23	1923	1924
0	16	1938	1939
6	10	1940	1941
4	16	1949	1950
12	24	1959	1960
12	17	1963	1964
14	23	1980	1981
10	12	1983	1984
17	18	1984	1985
0	10	1985	1986
10	23	2033	2034
2	25	2045	2046
3	4	2045	2046
8	9	2064	2065
11	18	2065	2066
1	12	2096	2097
9	23	2101	2102
14	17	2109	2110
1	6	2119	2120
7	23	2143	2144
12	19	2154	2155
7	9	2157	2158
15	23	2169	2170
10	16	2188	2189
0	10	2215	2216
5	9	2225	2226
0	2	2249	2250
0	6	2251	2252
5	8	2259	2260
10	12	2305	2306
17	23	2314	2315
9	20	2324	2325
0	7	2348	2349
1	2	2351	2352
1	13	2354	2355
12	13	2360	2361
4	12	2407	2408
12	21	2450	2451
0	10	2452	2453
6	10	2469	2470
1	12	2485	2486
4	23	2526	2527
6	23	2533	2534
7	9	2535	2536
7	10	2558	2559
7	12	2558	2559
11	17	2581	2582
5	21	2583	2584
19	20	2608	2609
10	20	2609	2610
12	18	2620	2621
5	11	2623	2624
2	4	2626	2627
7	11	2627	2628
