ID1	ID2	start_time	end_time
7	24	34	35
9	16	123	124
1	2	184	185
5	19	262	263
20	22	311	312
12	18	467	468
22	25	545	546
12	21	570	571
12	20	642	643
10	17	648	649
7	8	772	773
11	18	813	814
5	8	819	820
1	17	979	980
5	21	1011	1012
13	25	1025	1026
1	22	1088	1089
0	18	1108	1109
2	7	1225	1226
6	9	1237	1238
20	23	1245	1246
13	19	1262	1263
9	15	1273	1274
7	23	1285	1286
3	4	1410	1411
14	23	1427	1428
2	12	1605	1606
10	12	1765	1766
7	22	1808	1809
5	20	1881	1882
9	12	1899	1900
9	20	1962	1963
1	19	1997	1998
6	10	2005	2006
19	20	2085	2086
1	24	2147	2148
0	16	2149	2150
0	19	2215	2216
17	22	2376	2377
4	10	2615	2616
5	19	2769	2770
7	10	2805	2806
1	10	2809	2810
13	16	2862	2863
12	14	3007	3008
4	23	3046	3047
12	19	3074	3075
5	9	3156	3157
12	21	3177	3178
12	17	3183	3184
2	21	3275	3276
0	10	3477	3478
3	4	3632	3633
10	16	3634	3635
0	23	3650	3651
2	20	3843	3844
17	20	3988	3989
1	9	4015	4016
7	20	4016	4017
1	10	4025	4026
6	10	4045	4046
18	19	4094	4095
1	12	4094	4095
0	5	4178	4179
10	20	4188	4189
17	23	4232	4233
6	7	4282	4283
20	23	4334	4335
7	10	4354	4355
9	19	4390	4391
8	19	4471	4472
9	16	4528	4529
15	23	4529	4530
5	9	4549	4550
4	18	4569	4570
11	17	4580	4581
11	17	4645	4646
7	20	4740	4741
11	12	4847	4848
9	12	4858	4859
2	17	4929	4930
1	9	4932	4933
8	17	4996	4997
14	23	5033	5034
17	25	5125	5126
9	12	5427	5428
2	17	5535	5536
10	12	5663	5664
6	7	5858	5859
2	7	5908	5909
12	21	5946	5947
3	4	6006	6007
11	23	6066	6067
1	12	6138	6139
8	15	6252	6253
12	15	6254	6255
13	15	6373	6374
0	4	6393	6394
1	6	6579	6580
14	17	6603	6604
18	19	6698	6699
0	7	6703	6704
14	23	6758	6759
21	23	6819	6820
1	12	6822	6823
15	18	6837	6838
0	4	6870	6871
10	17	6871	6872
11	18	6944	6945
0	12	6998	6999
2	15	7099	7100
15	17	7141	7142
12	23	7208	7209
9	15	7215	7216
6	16	7260	7261
2	12	7326	7327
9	19	7353	7354
0	9	7492	7493
7	12	7493	7494
10	13	7531	7532
1	6	7547	7548
4	7	7592	7593
9	15	7735	7736
10	16	7772	7773
10	23	7874	7875
2	16	8057	8058
4	10	8089	8090
3	4	8143	8144
0	1	8280	8281
1	12	8464	8465
16	19	8480	8481
6	20	8509	8510
10	19	8655	8656
12	15	8657	8658
0	9	8744	8745
0	10	8831	8832
12	18	8952	8953
17	18	8993	8994
15	23	9006	9007
0	10	9007	9008
9	18	9044	9045
7	16	9111	9112
10	15	9123	9124
6	10	9221	9222
10	12	9298	9299
10	24	9315	9316
2	19	9328	9329
10	12	9436	9437
9	17	9543	9544
7	16	9559	9560
13	14	9579	9580
2	10	9744	9745
16	18	9764	9765
6	12	9852	9853
22	25	9904	9905
9	11	10119	10120
12	15	10259	10260
1	10	10284	10285
6	12	10343	10344
20	21	10445	10446
18	19	10589	10590
9	20	10604	10605
17	20	10615	10616
1	4	10667	10668
12	16	10708	10709
9	15	10869	10870
7	20	10894	10895
10	12	10915	10916
0	7	10946	10947
2	18	10969	10970
22	25	11013	11014
5	18	11026	11027
16	24	11126	11127
2	9	11144	11145
19	22	11219	11220
9	21	11261	11262
6	7	11324	11325
0	7	11436	11437
12	18	11485	11486
0	23	11513	11514
13	23	11617	11618
8	19	11885	11886
17	23	11997	11998
1	17	12038	12039
8	9	12115	12116
1	23	12136	12137
10	16	12199	12200
0	10	12222	12223
20	21	12319	12320
10	17	12336	12337
0	9	12348	12349
0	13	12352	12353
22	25	12419	12420
2	10	12517	12518
10	12	12618	12619
7	12	12644	12645
11	17	12756	12757
5	19	12814	12815
1	10	12887	12888
2	12	12954	12955
17	22	13156	13157
6	24	13179	13180
12	23	13240	13241
0	12	13309	13310
1	13	13322	13323
10	12	13355	13356
1	7	13359	13360
11	20	13424	13425
2	9	13552	13553
0	1	13563	13564
12	24	13570	13571
2	6	13574	13575
9	19	13584	13585
0	23	13621	13622
5	8	13689	13690
0	2	13752	13753
2	10	13769	13770
13	17	13775	13776
5	12	13789	13790
12	24	13843	13844
17	21	14082	14083
7	9	14193	14194
10	20	14204	14205
9	21	14212	14213
0	23	14223	14224
6	10	14237	14238
14	17	14242	14243
17	23	14275	14276
10	15	14289	14290
6	17	14289	14290
2	17	14298	14299
5	8	14736	14737
11	18	14829	14830
10	12	15250	15251
8	18	15393	15394
12	25	15423	15424
21	24	15425	15426
7	23	15472	15473
6	12	15487	15488
1	15	15665	15666
0	7	15763	15764
11	19	15776	15777
13	17	15797	15798
13	23	15824	15825
0	2	15836	15837
7	18	15919	15920
12	19	15992	15993
1	12	16103	16104
4	10	16116	16117
22	25	16163	16164
0	23	16195	16196
0	6	16231	16232
5	21	16239	16240
7	11	16458	16459
4	17	16464	16465
7	9	16606	16607
0	17	16635	16636
12	17	16638	16639
5	9	16653	16654
2	25	16696	16697
17	18	16714	16715
11	18	16739	16740
10	15	16744	16745
13	19	16748	16749
3	12	17209	17210
22	25	17314	17315
2	17	17336	17337
7	17	17348	17349
8	19	17407	17408
1	2	17451	17452
1	20	17463	17464
1	14	17488	17489
2	10	17568	17569
11	17	17614	17615
0	7	17618	17619
7	15	17642	17643
14	23	17675	17676
0	10	17807	17808
7	15	17813	17814
12	19	17844	17845
7	24	17848	17849
10	12	17908	17909
6	21	17990	17991
10	17	18026	18027
5	18	18031	18032
8	18	18042	18043
13	14	18094	18095
10	12	18186	18187
0	13	18249	18250
12	21	18362	18363
5	9	18373	18374
1	2	18645	18646
8	18	18660	18661
16	17	18732	18733
0	4	18823	18824
18	20	19198	19199
5	9	19202	19203
6	10	19218	19219
7	12	19293	19294
2	21	19315	19316
0	9	19338	19339
7	9	19452	19453
8	21	19540	19541
0	5	19566	19567
7	11	19692	19693
12	16	19760	19761
7	9	19762	19763
15	18	19815	19816
0	18	19834	19835
6	10	19888	19889
9	23	19912	19913
15	17	20020	20021
9	16	20024	20025
0	13	20061	20062
4	12	20079	20080
6	9	20214	20215
21	23	20221	20222
15	16	20279	20280
6	17	20381	20382
10	21	20396	20397
7	9	20413	20414
4	7	20463	20464
6	14	20489	20490
2	4	20700	20701
6	14	20734	20735
4	17	20740	20741
10	25	20745	20746
17	24	20826	20827
1	9	21038	21039
1	12	21060	21061
1	12	21100	21101
18	23	21200	21201
0	16	21325	21326
7	16	21410	21411
2	7	21430	21431
0	18	21498	21499
2	14	21518	21519
1	7	21587	21588
0	10	21593	21594
9	20	21653	21654
12	20	21681	21682
0	1	21732	21733
19	20	21755	21756
6	23	21762	21763
17	20	21895	21896
10	23	21949	21950
12	17	22037	22038
0	13	22077	22078
13	20	22085	22086
1	10	22114	22115
4	13	22287	22288
15	23	22533	22534
5	9	22585	22586
13	23	22590	22591
7	15	22656	22657
7	9	22710	22711
12	19	22915	22916
7	8	22956	22957
1	10	23018	23019
5	9	23122	23123
16	21	23151	23152
15	16	23188	23189
12	19	23232	23233
15	18	23274	23275
1	4	23366	23367
5	18	23409	23410
10	13	23468	23469
2	12	23497	23498
0	6	23586	23587
15	20	23637	23638
10	12	23692	23693
7	8	23765	23766
10	21	23840	23841
7	11	23878	23879
7	15	23962	23963
13	18	23968	23969
5	8	24066	24067
11	19	24187	24188
0	12	24196	24197
4	18	24223	24224
17	23	24279	24280
0	2	24404	24405
0	7	24625	24626
12	19	24671	24672
7	13	24673	24674
12	24	24725	24726
12	21	24759	24760
9	11	24807	24808
15	18	24885	24886
7	9	25037	25038
1	10	25254	25255
9	23	25296	25297
1	13	25341	25342
5	11	25361	25362
13	15	25398	25399
21	23	25563	25564
0	7	25598	25599
9	20	25618	25619
4	22	25664	25665
6	17	25709	25710
2	12	25776	25777
4	14	25841	25842
7	16	25945	25946
9	12	26093	26094
2	20	26119	26120
2	22	26271	26272
4	11	26325	26326
3	5	26366	26367
5	12	26410	26411
10	12	26413	26414
0	1	26579	26580
2	9	26796	26797
10	16	26985	26986
0	7	27024	27025
0	23	27076	27077
9	21	27088	27089
7	12	27218	27219
13	18	27258	27259
19	21	27268	27269
1	12	27341	27342
4	15	27353	27354
1	10	27364	27365
12	13	27412	27413
0	6	27466	27467
3	19	27467	27468
21	24	27471	27472
6	12	27611	27612
10	15	27633	27634
0	9	27770	27771
1	17	27788	27789
15	16	27876	27877
15	23	27883	27884
0	10	28030	28031
2	16	28175	28176
7	10	28418	28419
12	14	28420	28421
0	2	28498	28499
10	15	28503	28504
19	21	28645	28646
2	10	28816	28817
13	16	28844	28845
11	19	28912	28913
13	18	28924	28925
17	23	28980	28981
5	18	29004	29005
2	17	29019	29020
10	15	29098	29099
18	20	29185	29186
10	20	29202	29203
2	16	29291	29292
0	10	29394	29395
0	1	29453	29454
10	12	29659	29660
1	9	29683	29684
0	10	29914	29915
10	16	29925	29926
2	12	29936	29937
10	22	29956	29957
1	6	29975	29976
19	20	30092	30093
0	13	30107	30108
0	19	30177	30178
12	16	30341	30342
1	16	30425	30426
10	17	30833	30834
6	10	30893	30894
2	9	31027	31028
13	20	31105	31106
7	23	31156	31157
7	11	31167	31168
0	9	31294	31295
5	8	31311	31312
4	7	31361	31362
0	6	31387	31388
17	23	31467	31468
9	13	31473	31474
10	13	31477	31478
15	16	31490	31491
1	13	31807	31808
2	4	31892	31893
21	23	31930	31931
5	12	31992	31993
0	16	31993	31994
12	18	32004	32005
9	11	32043	32044
13	23	32146	32147
6	23	32341	32342
4	16	32467	32468
13	17	32499	32500
3	12	32521	32522
14	19	32594	32595
10	20	32694	32695
6	10	32704	32705
1	10	32981	32982
19	23	33014	33015
1	16	33188	33189
4	12	33212	33213
13	20	33247	33248
9	15	66911	66912
15	17	66917	66918
6	14	67058	67059
5	19	67187	67188
6	9	67249	67250
18	20	67283	67284
5	9	67309	67310
21	23	67378	67379
4	18	67422	67423
0	18	67655	67656
12	18	67887	67888
1	23	67903	67904
9	12	67946	67947
7	16	68126	68127
7	10	68254	68255
9	16	68272	68273
5	19	68312	68313
10	23	68371	68372
7	10	68469	68470
17	23	68509	68510
10	17	68667	68668
1	17	68771	68772
5	19	68813	68814
18	19	68818	68819
17	23	68837	68838
21	23	69024	69025
0	6	69294	69295
17	22	69328	69329
6	12	69483	69484
2	4	69511	69512
0	7	69546	69547
12	15	69657	69658
10	20	69733	69734
7	9	69780	69781
1	13	69930	69931
9	12	69944	69945
4	21	69954	69955
7	8	69970	69971
0	15	70018	70019
1	10	70150	70151
19	21	70253	70254
20	21	70358	70359
0	10	70369	70370
0	23	70413	70414
0	17	70472	70473
17	20	70691	70692
9	20	70710	70711
10	23	70988	70989
7	12	71095	71096
7	9	71190	71191
18	23	71459	71460
7	8	71464	71465
0	20	71620	71621
5	9	71726	71727
5	18	71887	71888
0	2	71916	71917
12	16	71936	71937
0	10	71950	71951
1	10	71954	71955
4	19	71980	71981
7	9	71985	71986
7	8	71998	71999
4	13	72087	72088
1	17	72144	72145
0	10	72247	72248
15	16	72498	72499
4	14	72624	72625
21	23	72821	72822
0	10	72877	72878
9	15	72941	72942
2	12	72959	72960
1	7	73052	73053
2	25	73129	73130
2	16	73161	73162
5	18	73211	73212
20	21	73258	73259
1	10	73305	73306
7	23	73396	73397
1	19	73439	73440
1	9	73491	73492
15	19	73597	73598
8	19	73699	73700
16	17	73723	73724
5	12	73744	73745
13	23	73855	73856
0	13	74009	74010
10	20	74060	74061
5	11	74072	74073
10	17	74128	74129
16	23	74136	74137
0	6	74166	74167
6	12	74219	74220
12	13	74334	74335
6	7	74568	74569
12	18	74654	74655
10	16	74669	74670
21	23	74728	74729
22	25	75011	75012
