ID1	ID2	start_time	end_time
11	18	160	161
9	12	195	196
15	18	196	197
10	12	493	494
3	4	659	660
9	23	790	791
7	24	816	817
12	24	924	925
2	12	1085	1086
0	23	1119	1120
13	17	1498	1499
7	10	1546	1547
1	19	1582	1583
2	19	1607	1608
10	20	1697	1698
9	12	1824	1825
8	19	2017	2018
16	20	2056	2057
17	23	2105	2106
12	19	2120	2121
6	10	2186	2187
3	12	2189	2190
9	15	2283	2284
1	9	2415	2416
2	17	2596	2597
9	19	2704	2705
2	12	2791	2792
7	9	2822	2823
17	23	2827	2828
18	19	3342	3343
5	8	3369	3370
10	12	3380	3381
2	12	3540	3541
3	11	3640	3641
6	9	3935	3936
8	19	4067	4068
5	11	4087	4088
7	20	4142	4143
5	18	4428	4429
1	14	4991	4992
2	20	5019	5020
2	12	5095	5096
0	12	5237	5238
11	17	5268	5269
11	12	5504	5505
5	9	5616	5617
2	21	5649	5650
7	11	5717	5718
6	14	5824	5825
0	1	5851	5852
12	21	5864	5865
1	4	5925	5926
7	8	6012	6013
10	17	6105	6106
15	18	6121	6122
6	17	6198	6199
21	23	6232	6233
0	12	6291	6292
0	18	6613	6614
2	4	6695	6696
11	17	6702	6703
11	17	6763	6764
0	18	7044	7045
11	19	7245	7246
5	21	7403	7404
17	20	7518	7519
1	20	7581	7582
10	13	7584	7585
1	7	7681	7682
5	12	7782	7783
5	12	7864	7865
9	19	7885	7886
8	21	7999	8000
6	7	8076	8077
0	7	8201	8202
1	12	8256	8257
10	17	8399	8400
10	15	8706	8707
17	18	8835	8836
19	21	8905	8906
1	13	8932	8933
11	18	9091	9092
10	12	9245	9246
15	16	9364	9365
6	12	9375	9376
9	15	9391	9392
1	10	9471	9472
6	10	9494	9495
5	9	9559	9560
8	17	9600	9601
7	9	9824	9825
6	10	9863	9864
21	23	9911	9912
12	19	10135	10136
1	7	10304	10305
1	12	10369	10370
0	9	10407	10408
9	18	10433	10434
6	23	10461	10462
7	9	10634	10635
2	10	10873	10874
2	16	10957	10958
2	7	11065	11066
6	17	11130	11131
3	4	11157	11158
13	18	11198	11199
18	20	11229	11230
0	23	11336	11337
10	12	11357	11358
2	12	11537	11538
6	12	11701	11702
4	19	11833	11834
5	19	12110	12111
9	12	12157	12158
7	10	12234	12235
17	23	12416	12417
0	10	12621	12622
0	10	12639	12640
16	17	12863	12864
5	9	12923	12924
7	10	13085	13086
18	19	13110	13111
2	21	13122	13123
4	17	13142	13143
10	13	13142	13143
5	19	13234	13235
8	12	13246	13247
9	20	13365	13366
18	24	13425	13426
4	11	13447	13448
7	23	13481	13482
10	20	13564	13565
2	16	13586	13587
1	13	13646	13647
6	13	13704	13705
16	17	13895	13896
9	15	14035	14036
0	9	14209	14210
4	10	14416	14417
10	15	14565	14566
12	23	14680	14681
1	16	14830	14831
2	10	15035	15036
4	10	15244	15245
13	14	15400	15401
18	23	15584	15585
2	25	15762	15763
6	10	15899	15900
12	21	15978	15979
0	7	16213	16214
2	16	16283	16284
4	14	16326	16327
6	9	16403	16404
19	20	16420	16421
20	22	16434	16435
9	16	16558	16559
2	12	16887	16888
10	20	16925	16926
7	11	17003	17004
0	9	17050	17051
5	19	17415	17416
0	1	17424	17425
12	19	17447	17448
7	12	17824	17825
14	19	17839	17840
1	16	17952	17953
10	17	18132	18133
12	18	18166	18167
1	12	18336	18337
6	17	18399	18400
16	23	18493	18494
7	18	18546	18547
1	2	18713	18714
0	23	18735	18736
0	16	18769	18770
5	12	18781	18782
4	16	18800	18801
1	12	19019	19020
2	25	19027	19028
