ID1	ID2	start_time	end_time
10	13	207	208
10	13	415	416
6	16	424	425
10	14	436	437
7	8	452	453
11	16	453	454
11	15	460	461
6	13	546	547
7	14	609	610
5	11	625	626
11	16	704	705
1	11	709	710
10	13	760	761
0	1	798	799
11	12	828	829
3	14	846	847
6	16	862	863
11	13	892	893
2	4	900	901
9	11	921	922
6	13	932	933
11	15	961	962
10	13	969	970
9	10	1000	1001
11	16	1011	1012
5	15	1094	1095
10	14	1156	1157
6	13	1210	1211
5	14	1213	1214
11	16	1250	1251
0	9	1275	1276
3	13	1289	1290
6	10	1293	1294
3	6	1312	1313
5	13	1314	1315
5	11	1316	1317
9	12	1327	1328
13	15	1328	1329
11	15	1359	1360
2	5	1360	1361
0	7	1393	1394
1	11	1403	1404
10	13	1404	1405
4	8	1416	1417
9	16	1430	1431
0	1	1446	1447
7	14	1477	1478
2	8	1477	1478
1	3	1500	1501
11	16	1501	1502
2	11	1525	1526
7	8	1526	1527
3	7	1546	1547
7	15	1554	1555
6	13	1559	1560
11	13	1577	1578
10	13	1602	1603
1	8	1616	1617
7	11	1640	1641
10	14	1650	1651
13	15	1710	1711
12	15	1721	1722
1	16	1723	1724
1	12	1723	1724
6	16	1742	1743
1	15	1748	1749
12	16	1779	1780
11	16	1797	1798
2	13	1814	1815
2	4	1827	1828
1	2	1911	1912
7	8	1942	1943
11	15	1962	1963
11	16	2052	2053
1	11	2054	2055
2	5	2066	2067
11	12	2081	2082
7	14	2097	2098
10	13	2101	2102
9	10	2118	2119
9	11	2142	2143
6	11	2143	2144
6	16	2219	2220
0	10	2242	2243
11	13	2295	2296
5	15	2324	2325
11	15	2340	2341
10	13	2363	2364
3	13	2370	2371
12	15	2395	2396
1	12	2402	2403
7	8	2411	2412
6	10	2443	2444
1	3	2449	2450
3	14	2464	2465
7	11	2466	2467
0	1	2502	2503
7	14	2503	2504
2	8	2513	2514
10	16	2522	2523
2	15	2528	2529
9	15	2538	2539
6	12	2554	2555
4	10	2556	2557
6	13	2576	2577
13	15	2589	2590
5	13	2615	2616
4	5	2626	2627
0	9	2641	2642
11	16	2649	2650
7	10	2652	2653
8	9	2678	2679
1	11	2690	2691
4	8	2695	2696
5	16	2710	2711
13	14	2719	2720
1	5	2736	2737
0	6	2741	2742
2	5	2746	2747
0	7	2780	2781
10	13	2783	2784
3	7	2783	2784
6	11	2800	2801
9	16	2819	2820
1	7	2843	2844
11	12	2843	2844
6	13	2849	2850
11	16	2858	2859
7	8	2959	2960
1	8	2983	2984
10	13	3057	3058
1	16	3077	3078
3	5	3097	3098
11	16	3099	3100
6	13	3112	3113
10	14	3122	3123
1	3	3161	3162
7	15	3166	3167
0	11	3173	3174
9	12	3233	3234
3	6	3234	3235
10	13	3256	3257
11	15	3275	3276
1	15	3316	3317
3	14	3319	3320
2	5	3320	3321
3	13	3353	3354
7	8	3354	3355
0	2	3370	3371
9	11	3389	3390
6	13	3413	3414
10	14	3441	3442
2	8	3441	3442
11	16	3509	3510
3	10	3537	3538
6	10	3616	3617
11	15	3635	3636
10	13	3636	3637
