ID1	ID2	start_time	end_time
3	14	124	125
6	16	310	311
1	5	310	311
3	6	352	353
0	2	395	396
1	14	484	485
4	5	510	511
6	11	702	703
12	16	737	738
7	15	1267	1268
1	8	1321	1322
9	12	1347	1348
6	11	1401	1402
3	13	1609	1610
7	14	1832	1833
12	14	1987	1988
11	15	2163	2164
1	15	2227	2228
7	8	2398	2399
2	11	2432	2433
10	13	2480	2481
9	11	2666	2667
11	15	3082	3083
7	11	3242	3243
4	5	3333	3334
11	15	3341	3342
10	13	3536	3537
5	14	3616	3617
11	16	3651	3652
2	15	3744	3745
3	7	4036	4037
2	5	4254	4255
5	11	4299	4300
4	9	4362	4363
1	8	4473	4474
1	8	5187	5188
6	13	5246	5247
6	13	5274	5275
7	14	5295	5296
3	10	5349	5350
5	11	5353	5354
5	14	5423	5424
6	11	5448	5449
0	6	5529	5530
11	16	5645	5646
11	16	5803	5804
6	13	5950	5951
0	15	6088	6089
6	16	6136	6137
4	10	6150	6151
0	7	6543	6544
10	12	6606	6607
6	13	6656	6657
12	16	6724	6725
1	12	6928	6929
11	16	7029	7030
10	16	7054	7055
3	7	7071	7072
11	16	7218	7219
11	16	7232	7233
2	13	7329	7330
12	15	7427	7428
5	11	7454	7455
5	14	7470	7471
7	14	7498	7499
6	16	7507	7508
3	7	7763	7764
0	10	7792	7793
10	13	7877	7878
7	8	7950	7951
7	15	8010	8011
13	15	8055	8056
7	8	8206	8207
7	15	8381	8382
2	8	8445	8446
7	8	8612	8613
10	13	8770	8771
10	12	9061	9062
6	10	9128	9129
10	13	10644	10645
13	16	11333	11334
7	14	11468	11469
5	15	11506	11507
9	10	11558	11559
0	1	11744	11745
12	16	11892	11893
11	15	12395	12396
13	15	12508	12509
12	15	12512	12513
11	15	12519	12520
11	12	12543	12544
6	10	12571	12572
1	12	12681	12682
10	14	12919	12920
0	3	13144	13145
0	10	13206	13207
9	10	13503	13504
5	16	13993	13994
0	10	14399	14400
11	16	14428	14429
6	10	14584	14585
13	15	14621	14622
3	13	14680	14681
1	8	14798	14799
1	11	14933	14934
7	8	14961	14962
8	14	15510	15511
0	14	15579	15580
2	12	15629	15630
3	14	15774	15775
1	12	15801	15802
5	12	16031	16032
2	5	16103	16104
10	14	16217	16218
7	15	16288	16289
10	14	16678	16679
5	11	16941	16942
1	3	17067	17068
1	12	17397	17398
1	7	17464	17465
5	15	17633	17634
4	8	18223	18224
13	15	18267	18268
3	10	18349	18350
3	13	18393	18394
13	15	18523	18524
7	10	18746	18747
3	7	18857	18858
0	6	18995	18996
1	3	19099	19100
5	11	19235	19236
1	3	19268	19269
5	15	19288	19289
11	13	19415	19416
1	11	19426	19427
6	16	19459	19460
5	16	19812	19813
5	11	19814	19815
2	13	19839	19840
0	9	19920	19921
7	11	20152	20153
10	13	20233	20234
7	14	20404	20405
10	14	20426	20427
13	14	20534	20535
2	8	20590	20591
7	8	20748	20749
1	8	21425	21426
11	13	21454	21455
10	13	21517	21518
13	14	21615	21616
6	11	21876	21877
0	1	22134	22135
1	11	22210	22211
7	10	22394	22395
0	6	22499	22500
2	5	22598	22599
12	15	22716	22717
7	8	22757	22758
5	16	22819	22820
7	15	23459	23460
0	9	23611	23612
11	15	23901	23902
11	15	24002	24003
11	12	24127	24128
3	6	24213	24214
3	5	24404	24405
9	11	24416	24417
13	15	24605	24606
6	12	24629	24630
4	8	24753	24754
2	5	24996	24997
0	1	25091	25092
10	14	25148	25149
10	13	25226	25227
7	14	25411	25412
13	15	25886	25887
10	13	25941	25942
6	10	26092	26093
10	14	26329	26330
0	7	26573	26574
5	16	26817	26818
0	1	26966	26967
1	11	27151	27152
7	11	27175	27176
9	11	27745	27746
4	8	27749	27750
11	16	27780	27781
1	10	27861	27862
1	3	27897	27898
4	12	27955	27956
6	16	28006	28007
5	11	28017	28018
3	7	28209	28210
11	16	28230	28231
9	16	28302	28303
8	14	28431	28432
5	13	28495	28496
5	8	28555	28556
1	3	28711	28712
3	6	28765	28766
6	13	28769	28770
5	15	28942	28943
6	13	29011	29012
11	16	29161	29162
0	11	29250	29251
6	16	29454	29455
1	15	29518	29519
11	15	29605	29606
0	7	29710	29711
10	13	30024	30025
1	2	30145	30146
0	2	30280	30281
11	12	30302	30303
7	14	30428	30429
11	15	31145	31146
4	10	31164	31165
0	10	31199	31200
7	14	31558	31559
0	1	31730	31731
1	7	31825	31826
1	16	31847	31848
6	9	31866	31867
11	16	31900	31901
9	10	31904	31905
7	8	32027	32028
10	13	32124	32125
11	13	32215	32216
7	8	32236	32237
7	12	32256	32257
2	12	32266	32267
9	11	32344	32345
8	14	32352	32353
10	14	32451	32452
10	14	32479	32480
10	13	32499	32500
10	14	32693	32694
1	12	32841	32842
11	16	33019	33020
10	14	33147	33148
2	8	33168	33169
8	14	66847	66848
2	5	66942	66943
2	12	66968	66969
1	5	67165	67166
2	5	67220	67221
6	11	67257	67258
2	9	67302	67303
1	2	67341	67342
6	13	67535	67536
2	4	67663	67664
7	8	67678	67679
11	15	67898	67899
11	13	68131	68132
10	14	68165	68166
8	15	68347	68348
10	14	68442	68443
7	14	68821	68822
1	8	69202	69203
3	14	69205	69206
7	8	69210	69211
7	15	69543	69544
0	6	69544	69545
0	11	69545	69546
12	15	69632	69633
11	12	69885	69886
2	8	70109	70110
11	13	70145	70146
8	15	70163	70164
2	13	70326	70327
6	15	70332	70333
1	15	70738	70739
5	15	70759	70760
1	3	70924	70925
11	13	70928	70929
6	13	70945	70946
5	11	71012	71013
6	9	71033	71034
11	16	71085	71086
4	8	71554	71555
10	13	71564	71565
7	14	71735	71736
6	11	71847	71848
6	13	71999	72000
10	16	72180	72181
9	16	72351	72352
9	12	72420	72421
0	9	72422	72423
2	5	72608	72609
2	12	72610	72611
11	13	72815	72816
11	15	72984	72985
11	16	73031	73032
11	16	73068	73069
1	5	73617	73618
6	13	73624	73625
6	13	73706	73707
13	15	73858	73859
1	5	73872	73873
4	8	73908	73909
2	8	73913	73914
13	16	73967	73968
13	15	74129	74130
1	3	74257	74258
12	14	74314	74315
1	11	74333	74334
3	4	74459	74460
9	11	74489	74490
2	8	74523	74524
6	13	74603	74604
6	8	74732	74733
6	13	74911	74912
2	11	74993	74994
7	11	75133	75134
2	11	75158	75159
6	13	75170	75171
8	9	75245	75246
