ID1	ID2	start_time	end_time
6	13	122	123
9	10	254	255
5	12	398	399
8	14	435	436
7	12	465	466
5	14	498	499
10	13	616	617
6	13	908	909
6	8	1016	1017
10	14	1023	1024
0	1	1030	1031
11	16	1030	1031
0	6	1144	1145
1	3	1554	1555
9	12	1803	1804
2	15	1856	1857
3	14	1963	1964
1	12	1967	1968
1	12	2125	2126
2	8	2249	2250
1	2	2488	2489
10	13	2505	2506
8	14	2675	2676
10	13	3060	3061
7	8	3404	3405
11	12	4075	4076
7	11	4111	4112
2	13	4116	4117
5	8	4136	4137
8	15	4361	4362
11	16	5305	5306
8	14	5533	5534
0	6	5724	5725
11	16	6117	6118
10	13	6346	6347
3	4	7307	7308
1	15	7497	7498
7	11	7512	7513
3	10	7583	7584
3	7	7783	7784
11	15	7927	7928
5	15	7986	7987
5	16	7992	7993
7	14	8298	8299
13	15	8333	8334
1	15	8466	8467
0	3	8628	8629
2	4	8705	8706
2	8	8840	8841
6	15	8962	8963
7	14	8993	8994
7	14	9140	9141
10	14	9150	9151
4	5	9322	9323
3	10	9822	9823
11	15	9831	9832
2	8	10224	10225
10	13	10530	10531
11	15	10590	10591
1	3	10592	10593
7	14	10908	10909
11	13	11018	11019
11	13	11056	11057
7	15	11357	11358
1	7	11420	11421
1	3	11965	11966
7	15	12529	12530
6	13	12716	12717
7	8	12991	12992
1	3	13322	13323
2	8	13710	13711
10	12	13737	13738
3	10	13822	13823
5	11	14284	14285
5	16	14530	14531
5	11	14654	14655
0	2	14745	14746
9	11	14761	14762
5	15	14766	14767
0	9	14940	14941
6	13	14949	14950
3	5	15069	15070
13	15	15159	15160
6	16	15260	15261
7	15	15415	15416
11	16	15630	15631
1	15	16510	16511
5	11	16550	16551
6	11	16705	16706
6	11	16710	16711
6	13	16794	16795
1	11	16796	16797
7	14	17392	17393
7	14	17751	17752
1	3	17773	17774
11	13	17996	17997
9	15	18091	18092
2	8	18626	18627
3	13	18837	18838
0	1	19159	19160
2	9	19252	19253
5	14	19526	19527
6	13	19650	19651
1	16	19661	19662
11	16	19745	19746
1	10	19821	19822
5	13	19892	19893
11	12	20445	20446
10	13	20731	20732
12	16	20777	20778
6	11	20789	20790
7	15	20812	20813
6	11	20874	20875
2	16	20892	20893
2	5	21377	21378
2	15	21455	21456
4	12	21511	21512
0	10	21555	21556
1	12	21615	21616
11	16	21907	21908
7	12	22155	22156
1	12	22199	22200
11	16	22223	22224
0	7	22336	22337
7	14	22445	22446
7	15	22795	22796
13	15	23040	23041
0	14	23095	23096
2	5	23248	23249
11	16	23402	23403
8	9	23707	23708
6	16	24259	24260
6	13	24307	24308
5	15	24421	24422
3	7	24487	24488
11	13	24617	24618
0	10	24641	24642
13	15	24973	24974
10	13	25091	25092
7	10	25173	25174
0	7	25203	25204
0	6	25443	25444
13	16	25469	25470
5	16	25672	25673
11	15	25837	25838
7	15	25900	25901
2	11	26071	26072
10	13	26080	26081
13	15	26145	26146
12	14	26311	26312
7	15	26441	26442
6	12	26644	26645
6	16	27386	27387
7	14	27409	27410
1	11	27425	27426
0	14	27426	27427
3	5	27587	27588
4	8	27784	27785
4	9	27972	27973
6	13	28201	28202
10	12	28340	28341
10	14	28530	28531
3	4	28675	28676
11	15	28724	28725
0	1	28828	28829
0	6	29194	29195
0	7	29521	29522
10	14	29661	29662
9	16	29812	29813
11	15	30153	30154
6	13	30171	30172
6	11	30252	30253
10	13	30508	30509
10	16	30952	30953
3	4	31055	31056
5	13	31119	31120
11	16	31613	31614
7	15	31636	31637
13	15	31859	31860
1	14	31997	31998
7	8	32201	32202
12	15	32583	32584
13	15	32713	32714
7	14	32932	32933
3	14	33213	33214
1	12	33971	33972
1	5	34173	34174
4	8	34284	34285
1	15	34324	34325
6	11	34376	34377
6	13	34499	34500
5	11	34782	34783
10	13	34810	34811
6	13	34988	34989
6	15	35041	35042
0	9	35153	35154
1	3	35606	35607
12	15	35807	35808
2	5	36013	36014
10	13	36533	36534
2	12	36943	36944
9	11	37017	37018
3	7	37209	37210
7	8	37604	37605
5	11	38304	38305
11	16	38305	38306
6	9	38373	38374
3	7	38614	38615
0	7	38883	38884
10	16	38984	38985
10	13	39074	39075
6	16	39306	39307
2	11	39369	39370
11	13	39517	39518
2	12	39693	39694
7	14	39805	39806
1	5	39860	39861
11	16	39934	39935
12	14	40172	40173
2	13	40175	40176
6	10	40207	40208
2	5	40506	40507
7	14	40652	40653
2	16	40791	40792
4	5	41062	41063
7	8	41570	41571
1	2	41628	41629
5	11	41664	41665
11	15	41735	41736
1	3	41776	41777
7	8	41908	41909
5	8	42019	42020
7	8	42042	42043
3	13	42081	42082
0	1	42388	42389
10	14	42412	42413
11	12	42660	42661
5	16	43355	43356
3	13	43432	43433
2	13	43456	43457
6	13	43682	43683
10	13	43943	43944
10	13	44054	44055
9	10	44807	44808
5	11	44848	44849
10	13	45240	45241
0	15	45336	45337
0	11	45434	45435
1	11	45576	45577
4	5	45588	45589
6	13	45601	45602
7	10	45869	45870
1	3	46045	46046
6	16	46215	46216
10	13	46584	46585
11	16	46711	46712
10	13	46851	46852
10	13	47176	47177
2	5	47481	47482
3	4	47510	47511
13	15	47836	47837
13	15	47946	47947
9	16	48331	48332
10	14	48388	48389
5	14	48632	48633
6	13	48694	48695
6	16	48712	48713
11	16	48718	48719
1	2	48989	48990
13	15	49043	49044
6	8	49444	49445
10	14	49476	49477
2	4	49530	49531
1	16	49861	49862
11	13	50122	50123
11	12	50285	50286
3	6	50314	50315
10	14	50363	50364
10	14	50434	50435
4	10	50616	50617
2	12	50913	50914
6	16	50963	50964
1	11	51063	51064
1	11	51419	51420
6	13	51592	51593
13	16	52521	52522
0	3	52649	52650
1	16	52758	52759
11	15	52824	52825
5	16	53154	53155
11	16	54020	54021
6	13	54097	54098
13	15	54173	54174
3	6	54406	54407
6	10	54566	54567
8	14	54643	54644
11	16	54797	54798
10	13	54839	54840
2	4	55003	55004
1	3	55171	55172
5	11	55569	55570
2	9	55685	55686
6	16	55958	55959
7	8	56224	56225
7	15	56946	56947
12	16	57306	57307
1	11	57405	57406
5	16	57747	57748
5	11	57838	57839
13	15	57858	57859
7	8	58285	58286
9	12	58586	58587
6	13	58819	58820
6	13	58911	58912
6	10	59008	59009
1	12	59079	59080
4	12	59517	59518
11	12	59594	59595
5	11	59762	59763
11	16	60171	60172
4	8	60239	60240
5	13	60330	60331
9	16	60333	60334
5	11	61380	61381
1	15	61426	61427
5	11	61872	61873
10	13	61957	61958
4	5	62060	62061
5	11	62085	62086
1	8	62443	62444
6	13	62668	62669
8	15	63299	63300
12	16	63411	63412
5	14	63833	63834
5	11	63960	63961
2	12	64420	64421
3	6	64536	64537
1	8	65111	65112
10	14	65334	65335
11	16	65346	65347
0	9	65861	65862
11	13	65998	65999
6	16	66007	66008
0	14	66063	66064
7	14	66485	66486
10	14	66853	66854
11	15	67055	67056
11	15	67115	67116
11	15	67340	67341
2	5	67657	67658
6	10	67951	67952
2	11	68066	68067
1	16	68720	68721
2	13	68785	68786
5	15	68827	68828
9	11	68853	68854
2	5	68857	68858
7	8	68896	68897
1	2	69080	69081
3	13	69474	69475
1	5	69770	69771
1	14	69933	69934
5	14	70075	70076
3	14	70241	70242
2	5	70282	70283
1	12	70290	70291
11	15	71343	71344
10	14	71449	71450
11	12	71818	71819
10	14	72140	72141
7	11	72184	72185
0	9	72674	72675
10	13	72828	72829
13	14	73253	73254
10	13	73310	73311
9	15	73419	73420
6	12	73495	73496
1	8	73679	73680
2	8	74081	74082
11	16	74260	74261
6	16	74461	74462
4	8	74788	74789
5	12	74815	74816
1	12	74899	74900
5	11	75027	75028
2	5	75150	75151
1	8	75288	75289
3	13	75969	75970
3	7	75996	75997
0	1	76117	76118
4	10	76374	76375
3	6	76804	76805
3	7	78566	78567
6	10	78780	78781
8	15	78897	78898
10	13	79283	79284
4	8	79325	79326
5	13	79375	79376
12	15	79590	79591
9	12	79706	79707
9	12	80120	80121
11	15	80141	80142
11	16	80251	80252
2	5	80610	80611
0	1	80915	80916
7	8	80973	80974
11	16	81075	81076
7	11	81203	81204
7	11	81635	81636
7	15	81831	81832
9	11	82208	82209
5	15	82301	82302
0	11	82489	82490
7	8	82792	82793
8	15	83102	83103
7	14	83219	83220
1	8	83414	83415
5	11	83424	83425
10	13	83822	83823
7	11	83884	83885
1	5	84055	84056
13	14	84512	84513
8	9	84716	84717
2	5	85291	85292
