ID1	ID2	start_time	end_time
3	6	0	1
0	3	101	102
1	3	163	164
4	5	294	295
0	3	390	391
4	10	406	407
0	4	447	448
0	2	483	484
0	3	511	512
2	10	518	519
0	4	676	677
3	6	829	830
4	9	831	832
1	4	841	842
10	10	845	846
1	3	915	916
0	3	1037	1038
0	15	1129	1130
0	4	1163	1164
1	12	1220	1221
0	1	1245	1246
0	2	1272	1273
4	6	1337	1338
0	0	1344	1345
0	4	1345	1346
3	4	1376	1377
4	7	1451	1452
14	16	1525	1526
2	8	1589	1590
0	3	1669	1670
3	6	1682	1683
8	9	1727	1728
2	3	1773	1774
3	4	1831	1832
5	12	1850	1851
0	3	1908	1909
0	3	1922	1923
3	10	1954	1955
0	4	2146	2147
1	3	2225	2226
1	6	2273	2274
0	4	2280	2281
8	9	2312	2313
2	3	2393	2394
3	15	2394	2395
1	9	2412	2413
0	1	2426	2427
3	4	2469	2470
1	3	2486	2487
0	1	2512	2513
2	16	2522	2523
6	10	2596	2597
6	14	2766	2767
1	10	2808	2809
1	4	2819	2820
4	8	2852	2853
2	8	2891	2892
1	16	2898	2899
9	10	2921	2922
0	4	2924	2925
0	4	2925	2926
0	3	2985	2986
0	3	3015	3016
11	11	3059	3060
0	1	3080	3081
3	4	3101	3102
0	3	3120	3121
5	5	3149	3150
2	5	3223	3224
0	3	3231	3232
3	4	3269	3270
2	13	3452	3453
4	6	3644	3645
3	4	3645	3646
10	10	3814	3815
0	4	3848	3849
0	4	3874	3875
0	3	3928	3929
0	3	4142	4143
0	6	4375	4376
0	4	4426	4427
1	8	4531	4532
3	4	4556	4557
1	2	4568	4569
0	4	4653	4654
0	4	4686	4687
1	3	4722	4723
1	2	4911	4912
1	16	4957	4958
0	4	5032	5033
3	4	5039	5040
4	5	5098	5099
3	4	5107	5108
2	4	5180	5181
3	4	5224	5225
2	3	5236	5237
0	1	5279	5280
0	6	5441	5442
8	11	5603	5604
0	1	5729	5730
6	6	5803	5804
2	4	5883	5884
0	4	5913	5914
0	4	5922	5923
2	3	6041	6042
1	15	6045	6046
0	1	6182	6183
3	4	6298	6299
0	6	6498	6499
0	4	6579	6580
10	16	6600	6601
1	3	6601	6602
0	10	6680	6681
3	4	6874	6875
4	10	6959	6960
11	11	6997	6998
1	6	7037	7038
0	5	7179	7180
9	10	7202	7203
4	15	7205	7206
1	6	7236	7237
9	10	7242	7243
1	2	7397	7398
0	4	7398	7399
0	1	7417	7418
3	4	7601	7602
8	11	7700	7701
0	4	7873	7874
0	4	8006	8007
10	10	8024	8025
5	7	8160	8161
2	16	8184	8185
2	8	8390	8391
0	4	8414	8415
10	10	8473	8474
13	13	8531	8532
5	5	8554	8555
2	10	8559	8560
0	4	8739	8740
3	4	8745	8746
3	12	8749	8750
3	4	8827	8828
0	12	8877	8878
3	5	8880	8881
0	4	8881	8882
6	10	8958	8959
0	3	9023	9024
8	10	9049	9050
2	4	9063	9064
2	4	9071	9072
4	6	9072	9073
0	4	9108	9109
10	14	9126	9127
1	8	9230	9231
4	6	9271	9272
0	15	9345	9346
2	2	9386	9387
1	5	9442	9443
0	3	9530	9531
8	10	9532	9533
0	12	9564	9565
1	15	9581	9582
0	3	9623	9624
12	12	9737	9738
11	11	9764	9765
4	9	9794	9795
2	4	9803	9804
3	12	9867	9868
2	7	9871	9872
2	2	9923	9924
3	4	9960	9961
0	4	10048	10049
6	10	10095	10096
0	10	10316	10317
3	4	10503	10504
0	4	10516	10517
5	5	10539	10540
3	3	10569	10570
0	4	10592	10593
1	3	10673	10674
3	6	10717	10718
3	9	10721	10722
5	14	10790	10791
3	15	10793	10794
3	10	10807	10808
0	5	11109	11110
2	10	11138	11139
1	2	11207	11208
0	1	11248	11249
1	16	11350	11351
2	8	11421	11422
2	8	11430	11431
2	4	11442	11443
3	6	11445	11446
1	4	11453	11454
4	9	11471	11472
5	9	11530	11531
2	9	11597	11598
1	1	11615	11616
0	1	11670	11671
1	8	11742	11743
0	3	11790	11791
0	16	11791	11792
1	3	11850	11851
10	16	11940	11941
0	4	11949	11950
5	6	11951	11952
0	6	11963	11964
3	4	12051	12052
2	13	12109	12110
0	4	12317	12318
3	16	12420	12421
0	5	12519	12520
13	13	12579	12580
5	16	12640	12641
0	6	12643	12644
0	1	12686	12687
3	4	12696	12697
3	5	12711	12712
3	6	12739	12740
2	9	12753	12754
4	14	12754	12755
3	6	13013	13014
10	10	13018	13019
4	6	13082	13083
0	3	13091	13092
3	6	13162	13163
0	5	13168	13169
0	2	13212	13213
0	5	13244	13245
14	16	13310	13311
1	9	13324	13325
4	5	13470	13471
6	10	13479	13480
1	1	13505	13506
5	5	13519	13520
5	6	13525	13526
10	10	13618	13619
0	3	13642	13643
0	4	13719	13720
3	4	13741	13742
1	8	13862	13863
2	10	13875	13876
