ID1	ID2	start_time	end_time
8	9	51	52
1	1	152	153
1	3	210	211
6	14	276	277
1	4	429	430
8	10	726	727
10	10	735	736
1	12	801	802
1	4	905	906
2	3	955	956
2	5	968	969
0	4	1018	1019
6	10	1023	1024
1	3	1070	1071
3	6	1277	1278
6	12	1368	1369
0	3	1525	1526
3	6	1578	1579
4	6	1648	1649
3	4	1804	1805
4	16	1917	1918
3	16	2043	2044
9	10	2115	2116
0	4	2117	2118
1	3	2145	2146
6	16	2174	2175
0	3	2251	2252
1	6	2268	2269
0	3	2308	2309
3	4	2332	2333
1	2	2419	2420
3	16	2469	2470
5	14	2598	2599
0	4	2675	2676
0	4	2706	2707
2	16	2731	2732
2	3	2795	2796
4	14	2817	2818
8	8	2899	2900
11	11	3224	3225
1	3	3238	3239
0	3	3253	3254
4	6	3295	3296
1	4	3296	3297
0	4	3326	3327
0	4	3336	3337
9	10	3349	3350
0	2	3408	3409
10	10	3556	3557
4	9	3690	3691
8	10	3699	3700
1	4	3707	3708
12	12	3744	3745
1	6	3766	3767
0	1	3802	3803
0	3	3936	3937
1	4	4016	4017
2	2	4322	4323
1	14	4353	4354
1	4	4382	4383
2	2	4523	4524
8	9	4634	4635
0	1	4750	4751
14	16	4778	4779
1	16	4838	4839
0	1	4915	4916
5	6	5062	5063
4	9	5285	5286
1	2	5370	5371
10	10	5432	5433
1	4	5458	5459
2	13	5473	5474
0	1	5509	5510
0	3	5545	5546
1	5	5637	5638
4	6	5772	5773
0	15	5975	5976
0	4	6020	6021
3	4	6066	6067
1	8	6156	6157
4	7	6238	6239
1	10	6250	6251
0	10	6255	6256
1	4	6529	6530
0	4	6640	6641
3	15	6662	6663
1	4	6735	6736
0	4	6813	6814
4	15	6852	6853
2	10	6904	6905
7	8	6992	6993
0	4	7124	7125
2	8	7185	7186
6	7	7188	7189
1	4	7214	7215
10	10	7323	7324
0	3	7442	7443
3	4	7498	7499
1	4	7577	7578
0	10	7592	7593
3	4	7602	7603
13	13	7725	7726
1	2	7743	7744
2	8	7851	7852
10	16	7881	7882
1	3	7893	7894
1	10	7946	7947
0	4	7990	7991
0	6	8083	8084
2	10	8107	8108
0	12	8139	8140
0	2	8232	8233
3	4	8318	8319
2	8	8366	8367
2	3	8439	8440
4	5	8530	8531
8	10	8599	8600
5	16	8743	8744
4	12	8936	8937
5	5	9044	9045
5	5	9143	9144
1	10	9325	9326
13	13	9391	9392
5	12	9449	9450
0	3	9457	9458
1	4	9740	9741
0	3	10140	10141
0	4	10150	10151
3	8	10174	10175
4	5	10289	10290
10	12	10315	10316
3	4	10351	10352
0	3	10369	10370
0	1	10499	10500
1	9	10586	10587
9	10	10605	10606
0	3	10671	10672
3	6	10715	10716
0	4	10764	10765
8	9	10790	10791
0	3	10804	10805
0	6	10829	10830
1	4	10830	10831
1	8	10935	10936
3	6	10939	10940
1	16	11095	11096
0	1	11199	11200
9	10	11364	11365
1	16	11405	11406
4	16	11505	11506
0	4	11523	11524
3	6	11572	11573
0	1	11722	11723
10	16	11755	11756
2	4	11981	11982
13	13	12174	12175
1	14	12215	12216
10	16	12215	12216
3	4	12218	12219
0	1	12252	12253
1	1	12255	12256
3	4	12327	12328
3	5	12332	12333
1	8	12722	12723
4	8	12789	12790
5	5	12824	12825
0	1	12916	12917
1	6	12916	12917
1	3	13048	13049
1	10	13112	13113
0	12	13216	13217
2	8	13219	13220
3	6	13282	13283
0	4	13317	13318
4	16	13434	13435
0	5	13506	13507
3	6	13594	13595
10	14	13859	13860
1	3	13865	13866
3	4	13931	13932
1	10	13936	13937
2	2	13978	13979
0	1	14057	14058
4	10	14319	14320
2	5	14398	14399
2	8	14407	14408
1	4	14463	14464
0	4	14464	14465
10	10	14899	14900
2	6	15608	15609
1	3	15631	15632
10	10	15679	15680
4	6	15810	15811
0	3	15840	15841
0	3	15861	15862
0	4	15865	15866
0	2	15891	15892
9	9	16131	16132
0	3	16151	16152
0	4	16152	16153
4	6	16186	16187
1	2	16444	16445
4	8	16511	16512
5	9	16566	16567
13	13	16620	16621
0	16	16770	16771
0	6	16921	16922
1	4	16932	16933
11	11	17025	17026
0	3	17032	17033
0	2	17089	17090
0	3	17130	17131
4	10	17287	17288
5	10	17296	17297
0	2	17355	17356
0	6	17370	17371
2	3	17541	17542
0	4	17679	17680
8	9	18155	18156
1	2	18208	18209
0	4	18224	18225
8	10	18285	18286
0	3	18324	18325
3	4	18521	18522
0	2	18638	18639
3	12	18734	18735
0	4	18812	18813
0	5	18996	18997
3	4	19238	19239
10	10	19253	19254
5	7	19277	19278
0	10	19377	19378
3	10	19478	19479
0	4	19507	19508
3	4	19553	19554
0	8	19604	19605
6	15	19673	19674
6	10	19760	19761
0	8	19894	19895
6	15	19986	19987
13	13	20045	20046
1	4	20172	20173
2	9	20186	20187
10	16	20318	20319
3	4	20353	20354
2	6	20419	20420
9	12	20703	20704
1	4	20764	20765
1	6	20804	20805
1	4	20818	20819
3	4	20823	20824
3	4	20909	20910
0	9	20950	20951
0	4	21013	21014
4	10	21192	21193
2	10	21242	21243
1	7	21277	21278
1	12	21301	21302
1	3	21307	21308
4	8	21403	21404
2	8	21424	21425
2	4	21431	21432
6	15	21532	21533
10	10	21619	21620
1	10	21800	21801
1	9	21824	21825
5	9	22126	22127
1	3	22264	22265
3	9	22325	22326
1	16	22360	22361
4	5	22385	22386
0	1	22516	22517
2	6	22549	22550
11	11	22554	22555
0	3	22620	22621
3	5	22726	22727
3	6	22736	22737
0	1	22743	22744
1	8	22866	22867
0	4	22882	22883
5	10	22981	22982
8	10	22994	22995
0	3	23113	23114
0	10	23194	23195
5	5	23220	23221
3	5	23247	23248
0	4	23302	23303
0	6	23404	23405
3	6	23446	23447
3	6	23462	23463
3	4	23582	23583
3	4	23674	23675
2	9	23682	23683
10	10	23726	23727
0	1	23730	23731
2	4	23917	23918
0	5	23973	23974
3	15	24188	24189
3	4	24225	24226
0	4	24228	24229
2	16	24246	24247
3	6	24335	24336
0	3	24348	24349
4	15	24485	24486
1	4	24567	24568
0	5	24577	24578
3	4	24585	24586
2	3	24613	24614
5	5	24859	24860
0	4	24873	24874
5	16	24892	24893
2	6	25021	25022
0	3	25053	25054
0	4	25128	25129
5	15	25159	25160
4	6	25170	25171
0	4	25326	25327
2	10	25383	25384
3	4	25458	25459
0	5	25518	25519
8	8	25559	25560
0	2	25695	25696
3	4	25716	25717
5	6	25765	25766
10	10	25821	25822
3	6	25930	25931
0	4	26071	26072
0	4	26089	26090
2	4	26137	26138
1	3	26238	26239
1	12	26276	26277
11	11	26311	26312
3	4	26528	26529
0	5	26550	26551
1	4	26568	26569
4	9	26606	26607
1	16	26801	26802
0	3	26969	26970
13	13	27010	27011
1	6	27119	27120
2	2	27228	27229
2	4	27390	27391
6	15	27427	27428
3	4	27468	27469
4	6	27581	27582
0	3	27621	27622
13	13	27630	27631
0	4	27634	27635
0	4	27711	27712
3	6	27832	27833
0	3	27843	27844
3	4	28024	28025
0	4	28045	28046
6	7	28177	28178
0	1	28259	28260
3	4	28306	28307
3	4	28349	28350
2	10	28367	28368
1	2	28469	28470
2	8	28509	28510
6	15	28834	28835
2	10	28927	28928
3	4	28963	28964
0	2	28976	28977
0	1	29053	29054
3	16	29157	29158
0	16	29169	29170
0	6	29203	29204
0	4	29398	29399
0	6	29424	29425
8	16	29909	29910
9	10	29915	29916
2	4	29999	30000
2	4	30008	30009
0	1	30407	30408
2	13	30503	30504
5	6	30693	30694
1	10	30718	30719
3	4	30781	30782
1	2	30878	30879
0	3	31157	31158
2	8	31194	31195
4	6	31202	31203
5	6	31247	31248
3	4	31356	31357
3	4	31471	31472
8	8	31654	31655
7	10	31718	31719
3	12	31820	31821
0	6	31869	31870
0	3	31875	31876
2	5	31885	31886
14	16	32006	32007
1	4	32028	32029
7	10	32130	32131
3	6	32137	32138
0	6	32252	32253
0	3	32253	32254
2	5	32316	32317
3	9	32379	32380
1	10	32423	32424
4	6	32427	32428
5	14	32432	32433
6	10	32452	32453
3	4	32466	32467
2	8	32522	32523
9	10	32636	32637
0	4	32814	32815
0	5	33082	33083
4	10	33173	33174
4	14	33272	33273
0	4	33350	33351
0	1	33461	33462
4	6	33482	33483
1	3	33506	33507
8	9	33805	33806
0	3	33995	33996
3	6	34120	34121
1	2	34362	34363
13	13	34666	34667
4	5	34695	34696
3	4	34759	34760
0	6	34811	34812
0	2	34827	34828
8	10	34885	34886
5	12	34893	34894
2	5	34958	34959
0	1	35043	35044
0	4	35043	35044
0	4	35063	35064
2	16	35136	35137
0	6	35202	35203
0	3	35205	35206
1	8	35216	35217
0	4	35394	35395
0	2	35402	35403
4	5	35445	35446
3	14	35520	35521
10	10	35592	35593
2	10	35688	35689
3	7	35693	35694
0	3	35871	35872
8	10	35871	35872
4	6	35996	35997
3	10	36060	36061
1	10	36122	36123
5	16	36163	36164
3	4	36492	36493
1	8	36560	36561
0	6	36650	36651
6	10	36670	36671
1	3	36755	36756
4	6	36866	36867
0	4	36873	36874
0	6	36960	36961
3	7	36986	36987
1	4	36991	36992
2	9	37144	37145
