ID1	ID2	start_time	end_time
13	14	63	64
16	20	64	65
1	2	71	72
15	22	84	85
23	27	96	97
9	10	98	99
6	7	117	118
1	3	122	123
16	20	133	134
6	8	138	139
5	23	140	141
16	17	162	163
23	26	162	163
24	25	167	168
13	14	171	172
15	21	181	182
15	22	192	193
23	27	194	195
1	2	205	206
16	21	220	221
16	20	223	224
9	11	240	241
6	7	243	244
9	10	245	246
0	26	262	263
1	4	266	267
17	21	269	270
6	8	274	275
13	14	278	279
5	23	279	280
23	27	281	282
0	7	312	313
26	27	315	316
8	26	328	329
24	25	330	331
15	22	340	341
23	24	348	349
15	21	349	350
13	14	354	355
6	7	359	360
2	9	362	363
23	26	371	372
9	10	379	380
6	23	381	382
23	25	382	383
6	8	384	385
5	16	385	386
0	8	396	397
3	4	402	403
9	11	406	407
2	3	408	409
13	14	413	414
0	18	415	416
16	20	422	423
0	4	423	424
15	22	424	425
16	21	440	441
16	19	443	444
19	21	456	457
1	2	458	459
17	23	462	463
12	15	462	463
18	21	463	464
15	18	486	487
13	14	489	490
24	25	505	506
16	17	511	512
15	22	536	537
0	7	537	538
6	8	542	543
1	4	550	551
9	10	553	554
5	23	562	563
0	9	567	568
9	11	583	584
15	21	584	585
16	20	587	588
16	18	594	595
13	22	595	596
6	23	602	603
24	25	602	603
26	27	604	605
1	2	612	613
9	17	616	617
0	3	618	619
23	26	626	627
6	13	637	638
6	8	638	639
1	23	644	645
17	24	645	646
1	21	649	650
16	22	651	652
16	20	674	675
16	17	675	676
2	15	676	677
9	10	685	686
1	2	687	688
6	9	692	693
15	22	702	703
0	4	707	708
6	7	708	709
24	25	710	711
13	14	717	718
2	11	721	722
5	23	724	725
18	23	740	741
0	18	740	741
16	20	743	744
12	21	747	748
9	21	753	754
1	13	755	756
23	25	768	769
15	17	771	772
0	7	780	781
1	2	781	782
9	11	784	785
8	26	790	791
19	21	792	793
13	23	799	800
2	3	801	802
12	15	805	806
16	19	808	809
16	20	810	811
23	26	811	812
6	8	813	814
23	24	813	814
18	21	815	816
17	27	826	827
3	4	828	829
6	23	836	837
6	7	838	839
1	6	846	847
0	16	846	847
15	21	850	851
0	26	851	852
0	2	865	866
1	2	868	869
16	20	877	878
23	27	879	880
15	22	879	880
4	26	879	880
5	16	880	881
18	19	882	883
2	9	884	885
16	17	887	888
0	8	890	891
9	11	905	906
6	8	922	923
5	23	925	926
0	27	925	926
24	25	931	932
1	2	943	944
3	9	945	946
16	18	951	952
23	27	964	965
4	5	984	985
6	7	990	991
15	22	992	993
9	10	996	997
13	18	1006	1007
1	21	1009	1010
9	23	1012	1013
16	20	1016	1017
0	11	1018	1019
16	21	1018	1019
1	2	1022	1023
16	17	1022	1023
9	26	1028	1029
2	4	1029	1030
0	3	1029	1030
26	27	1030	1031
24	25	1030	1031
6	8	1032	1033
6	24	1035	1036
23	24	1036	1037
23	27	1038	1039
23	26	1047	1048
1	23	1059	1060
9	15	1065	1066
15	21	1080	1081
0	4	1081	1082
13	24	1083	1084
0	9	1089	1090
0	18	1091	1092
1	15	1099	1100
19	21	1103	1104
23	27	1115	1116
14	27	1117	1118
5	23	1121	1122
17	21	1126	1127
6	7	1134	1135
1	2	1135	1136
24	25	1138	1139
3	4	1144	1145
7	9	1162	1163
0	26	1163	1164
9	10	1174	1175
16	20	1186	1187
9	11	1188	1189
2	6	1191	1192
1	3	1194	1195
17	18	1196	1197
23	25	1209	1210
23	27	1212	1213
0	7	1214	1215
18	23	1216	1217
0	11	1217	1218
23	26	1217	1218
16	19	1224	1225
2	3	1234	1235
15	21	1241	1242
0	2	1250	1251
16	20	1255	1256
23	24	1263	1264
0	19	1264	1265
6	23	1267	1268
22	26	1273	1274
1	4	1284	1285
24	25	1285	1286
21	25	1287	1288
6	7	1291	1292
6	9	1296	1297
15	22	1296	1297
17	23	1301	1302
8	26	1301	1302
9	11	1301	1302
14	23	1308	1309
9	10	1309	1310
5	16	1312	1313
5	18	1314	1315
5	12	1314	1315
16	20	1326	1327
16	21	1329	1330
1	23	1332	1333
2	23	1337	1338
1	2	1344	1345
16	17	1353	1354
1	3	1355	1356
2	14	1375	1376
18	24	1381	1382
9	17	1387	1388
23	26	1388	1389
0	18	1394	1395
16	20	1398	1399
1	21	1401	1402
6	15	1405	1406
2	9	1408	1409
15	21	1409	1410
9	11	1410	1411
1	2	1412	1413
15	22	1418	1419
1	17	1420	1421
2	16	1430	1431
9	10	1447	1448
23	27	1452	1453
0	7	1453	1454
2	24	1458	1459
6	7	1459	1460
4	26	1462	1463
16	20	1463	1464
2	7	1464	1465
1	3	1466	1467
23	24	1472	1473
17	21	1480	1481
1	13	1481	1482
0	4	1483	1484
19	21	1487	1488
15	18	1489	1490
9	21	1497	1498
16	17	1504	1505
0	11	1505	1506
0	26	1508	1509
1	2	1510	1511
2	15	1511	1512
23	27	1523	1524
16	20	1529	1530
9	11	1543	1544
3	4	1547	1548
9	10	1548	1549
16	21	1552	1553
6	23	1557	1558
0	27	1575	1576
1	2	1581	1582
1	23	1608	1609
1	4	1608	1609
17	19	1608	1609
0	8	1618	1619
0	20	1624	1625
1	6	1625	1626
23	25	1639	1640
13	14	1647	1648
24	25	1649	1650
19	20	1653	1654
1	2	1653	1654
15	21	1657	1658
17	23	1659	1660
0	7	1662	1663
1	3	1663	1664
16	17	1667	1668
0	9	1669	1670
9	11	1674	1675
6	8	1677	1678
0	21	1678	1679
2	11	1686	1687
17	27	1686	1687
6	7	1691	1692
9	10	1706	1707
23	27	1711	1712
15	16	1712	1713
6	9	1717	1718
0	11	1718	1719
13	14	1722	1723
0	4	1723	1724
13	23	1730	1731
5	21	1730	1731
