ID1	ID2	start_time	end_time
0	26	47	48
0	27	72	73
2	3	94	95
0	26	106	107
16	20	146	147
4	5	182	183
16	17	186	187
2	11	260	261
6	8	268	269
6	26	374	375
9	17	397	398
0	26	418	419
24	25	483	484
1	2	538	539
1	2	545	546
16	17	548	549
24	25	648	649
13	14	655	656
1	23	678	679
15	19	729	730
13	24	731	732
23	26	748	749
1	4	864	865
23	27	897	898
0	3	953	954
15	21	981	982
6	7	982	983
9	11	987	988
0	27	1008	1009
1	2	1039	1040
0	3	1053	1054
23	27	1110	1111
17	18	1154	1155
23	24	1178	1179
9	11	1190	1191
1	3	1217	1218
9	23	1224	1225
0	2	1236	1237
17	21	1269	1270
6	23	1287	1288
9	11	1288	1289
8	18	1358	1359
23	27	1373	1374
6	9	1516	1517
9	17	1521	1522
1	2	1538	1539
23	27	1556	1557
16	19	1578	1579
15	21	1595	1596
9	11	1617	1618
19	21	1618	1619
13	14	1643	1644
13	22	1700	1701
5	23	1706	1707
0	26	1762	1763
1	21	1762	1763
0	26	1775	1776
5	21	1789	1790
13	27	1793	1794
0	27	1807	1808
1	2	1838	1839
1	4	1910	1911
2	22	1930	1931
16	19	1988	1989
16	22	2007	2008
15	21	2029	2030
2	9	2135	2136
6	7	2228	2229
0	11	2262	2263
10	11	2310	2311
21	25	2310	2311
9	10	2330	2331
18	23	2342	2343
2	4	2416	2417
5	18	2448	2449
0	27	2482	2483
18	21	2483	2484
14	16	2611	2612
17	23	2668	2669
2	6	2773	2774
13	14	2774	2775
13	14	2801	2802
23	27	2839	2840
13	18	2877	2878
18	26	2888	2889
1	2	2931	2932
13	22	2936	2937
6	8	3024	3025
5	16	3046	3047
16	20	3107	3108
0	4	3116	3117
16	19	3152	3153
0	3	3177	3178
0	11	3187	3188
6	17	3213	3214
1	3	3250	3251
1	23	3299	3300
23	27	3401	3402
2	16	3422	3423
0	18	3437	3438
1	2	3449	3450
5	26	3543	3544
13	22	3568	3569
24	25	3581	3582
17	21	3639	3640
16	21	3667	3668
1	21	3676	3677
7	9	3756	3757
1	2	3761	3762
23	27	3906	3907
6	17	4018	4019
0	26	4047	4048
6	24	4085	4086
16	20	4097	4098
0	8	4114	4115
23	27	4167	4168
0	16	4188	4189
16	20	4243	4244
9	11	4246	4247
16	19	4279	4280
6	17	4279	4280
16	20	4290	4291
0	8	4304	4305
9	10	4349	4350
0	12	4371	4372
6	7	4375	4376
1	21	4399	4400
0	2	4420	4421
1	3	4458	4459
13	16	4482	4483
15	22	4487	4488
23	25	4497	4498
15	22	4537	4538
16	17	4581	4582
4	26	4611	4612
0	4	4663	4664
2	9	4667	4668
3	9	4724	4725
1	16	4729	4730
24	25	4801	4802
0	9	4824	4825
14	24	4943	4944
1	2	4946	4947
0	4	4976	4977
24	25	5008	5009
6	17	5060	5061
5	23	5189	5190
9	26	5274	5275
2	6	5307	5308
6	7	5322	5323
15	18	5346	5347
0	1	5372	5373
23	27	5380	5381
3	4	5391	5392
2	23	5401	5402
5	17	5428	5429
24	25	5441	5442
9	11	5447	5448
15	16	5450	5451
6	26	5640	5641
16	17	5677	5678
13	14	5854	5855
0	3	5977	5978
19	20	6007	6008
26	27	6015	6016
6	7	6020	6021
0	1	6024	6025
4	5	6105	6106
15	18	6130	6131
3	4	6163	6164
23	26	6164	6165
1	2	6169	6170
6	23	6173	6174
0	11	6183	6184
1	23	6187	6188
10	27	6201	6202
15	22	6248	6249
16	20	6250	6251
2	23	6281	6282
18	24	6301	6302
16	20	6309	6310
0	4	6322	6323
2	3	6329	6330
15	22	6343	6344
16	17	6353	6354
19	21	6358	6359
26	27	6383	6384
24	25	6412	6413
13	14	6460	6461
16	22	6628	6629
6	7	6668	6669
16	20	6727	6728
0	26	6732	6733
0	4	6754	6755
13	14	6823	6824
16	21	6847	6848
19	21	6851	6852
9	11	6863	6864
13	27	6891	6892
6	8	6948	6949
6	15	6972	6973
15	16	6981	6982
16	17	6988	6989
16	17	7004	7005
7	9	7020	7021
23	25	7066	7067
15	21	7079	7080
15	22	7116	7117
1	3	7156	7157
6	8	7223	7224
12	17	7244	7245
23	24	7280	7281
16	20	7285	7286
0	4	7325	7326
16	19	7361	7362
23	27	7370	7371
6	8	7380	7381
4	5	7420	7421
0	27	7427	7428
21	25	7473	7474
2	16	7513	7514
8	14	7516	7517
5	20	7520	7521
22	25	7523	7524
13	14	7534	7535
10	17	7552	7553
6	8	7619	7620
2	14	7680	7681
4	5	7700	7701
1	4	7707	7708
13	14	7802	7803
2	3	7854	7855
24	25	7856	7857
25	26	7947	7948
15	21	7997	7998
1	3	7997	7998
6	8	8051	8052
5	19	8070	8071
6	8	8099	8100
18	23	8140	8141
5	16	8141	8142
