ID1	ID2	start_time	end_time
0	7	46	47
16	20	69	70
14	27	105	106
0	26	145	146
17	21	152	153
15	21	201	202
9	11	210	211
6	7	213	214
24	26	281	282
7	9	440	441
1	3	459	460
16	20	477	478
6	11	566	567
23	26	665	666
0	7	776	777
10	20	785	786
6	23	793	794
16	25	883	884
11	14	904	905
16	20	920	921
1	23	1049	1050
17	24	1066	1067
8	26	1108	1109
17	23	1169	1170
2	12	1232	1233
9	11	1233	1234
10	25	1256	1257
16	21	1494	1495
0	11	1533	1534
9	15	1593	1594
17	21	1606	1607
23	24	1621	1622
9	23	1632	1633
17	23	1643	1644
4	21	1678	1679
6	23	1763	1764
19	21	1855	1856
23	27	1881	1882
13	18	1944	1945
15	22	2008	2009
24	25	2088	2089
16	20	2104	2105
13	16	2114	2115
16	18	2117	2118
0	9	2125	2126
16	20	2322	2323
0	8	2327	2328
13	22	2354	2355
22	27	2392	2393
13	14	2401	2402
23	27	2406	2407
13	14	2506	2507
13	14	2522	2523
23	27	2533	2534
16	20	2547	2548
16	20	2652	2653
6	8	2683	2684
15	21	2688	2689
14	16	2695	2696
23	27	2715	2716
16	17	2833	2834
13	14	2835	2836
15	22	2870	2871
16	20	2922	2923
15	21	2960	2961
4	5	3149	3150
23	24	3164	3165
24	25	3190	3191
1	17	3193	3194
17	24	3294	3295
13	14	3302	3303
15	22	3482	3483
24	25	3488	3489
17	23	3514	3515
9	10	3528	3529
0	9	3582	3583
24	25	3592	3593
4	26	3772	3773
21	25	3858	3859
23	27	3889	3890
1	2	3933	3934
23	27	3938	3939
15	22	4015	4016
6	23	4041	4042
0	4	4112	4113
6	7	4283	4284
16	17	4345	4346
6	8	4429	4430
12	15	4467	4468
16	19	4486	4487
9	11	4511	4512
1	2	4530	4531
23	25	4548	4549
15	21	4619	4620
13	14	4649	4650
16	20	4678	4679
1	4	4726	4727
13	27	4740	4741
15	16	4821	4822
13	23	4934	4935
0	19	4953	4954
5	23	5017	5018
1	21	5059	5060
13	14	5200	5201
9	10	5251	5252
16	17	5327	5328
16	18	5532	5533
13	18	5537	5538
9	10	5554	5555
15	17	5562	5563
2	22	5573	5574
15	22	5674	5675
6	8	5818	5819
5	26	5822	5823
6	7	5846	5847
26	27	5869	5870
6	13	5931	5932
2	24	6020	6021
16	21	6024	6025
6	7	6036	6037
16	20	6170	6171
13	14	6176	6177
9	10	6240	6241
2	12	6249	6250
0	18	6297	6298
2	3	6308	6309
15	21	6366	6367
3	4	6407	6408
18	23	6421	6422
0	16	6467	6468
16	17	6498	6499
6	8	6721	6722
0	7	6785	6786
0	18	6812	6813
0	3	6815	6816
23	26	6821	6822
1	2	6942	6943
24	25	6972	6973
16	21	7013	7014
16	20	7114	7115
1	2	7163	7164
26	27	7248	7249
9	11	7279	7280
1	3	7294	7295
18	24	7363	7364
9	10	7446	7447
0	3	7486	7487
13	14	7493	7494
5	8	7494	7495
2	13	7593	7594
12	21	7650	7651
12	15	7779	7780
5	16	7780	7781
5	23	7861	7862
9	23	7869	7870
3	4	7872	7873
15	21	7888	7889
6	7	7986	7987
2	26	8093	8094
4	20	8109	8110
24	25	8164	8165
19	21	8170	8171
9	11	8171	8172
0	3	8253	8254
24	25	8263	8264
15	22	8427	8428
6	8	8438	8439
15	21	8491	8492
16	21	8545	8546
9	11	8603	8604
9	10	8623	8624
2	6	8624	8625
8	26	8669	8670
23	26	8923	8924
5	23	8947	8948
6	13	8973	8974
23	27	9032	9033
19	20	9040	9041
6	8	9123	9124
0	3	9131	9132
6	23	9206	9207
16	20	9299	9300
1	3	9349	9350
24	25	9353	9354
0	4	9415	9416
5	9	9523	9524
13	14	9717	9718
0	18	9753	9754
9	10	9854	9855
11	22	9894	9895
15	22	9959	9960
0	11	9965	9966
0	11	9979	9980
16	20	10028	10029
9	20	10036	10037
5	23	10201	10202
13	14	10222	10223
16	18	10234	10235
0	18	10356	10357
18	23	10366	10367
13	14	10391	10392
2	24	10434	10435
23	26	10441	10442
3	4	10517	10518
9	10	10569	10570
16	20	10612	10613
15	18	10726	10727
4	21	10758	10759
20	22	10773	10774
9	11	10858	10859
6	7	10880	10881
1	6	10883	10884
0	11	10885	10886
0	21	10918	10919
23	27	11175	11176
17	23	11222	11223
1	4	11224	11225
15	22	11239	11240
1	3	11271	11272
2	6	11307	11308
6	7	11312	11313
23	27	11380	11381
0	7	11382	11383
6	9	11447	11448
0	16	11502	11503
5	23	11527	11528
9	21	11544	11545
6	9	11559	11560
22	24	11560	11561
1	12	11778	11779
4	10	11786	11787
13	14	11844	11845
0	11	11894	11895
9	19	11999	12000
1	2	12020	12021
1	2	12020	12021
9	17	12022	12023
1	4	12120	12121
0	27	12161	12162
6	13	12231	12232
1	2	12250	12251
4	17	12268	12269
9	23	12477	12478
1	17	12481	12482
23	26	12536	12537
15	22	12539	12540
24	25	12592	12593
5	26	12627	12628
5	16	12685	12686
2	11	12706	12707
17	21	12713	12714
1	23	12766	12767
2	9	12786	12787
16	18	12823	12824
9	26	12857	12858
6	8	12858	12859
17	20	12863	12864
0	16	12875	12876
23	25	12950	12951
15	19	13156	13157
23	25	13222	13223
6	8	13223	13224
16	20	13271	13272
1	2	13301	13302
0	10	13357	13358
15	18	13437	13438
23	27	13439	13440
18	24	13503	13504
0	11	13671	13672
16	17	13680	13681
9	26	13700	13701
15	22	13727	13728
16	20	13814	13815
16	20	13834	13835
16	21	13902	13903
2	24	13976	13977
17	21	14029	14030
4	26	14112	14113
16	19	14122	14123
8	23	14142	14143
15	19	14162	14163
1	4	14174	14175
15	21	14192	14193
2	6	14197	14198
10	20	14307	14308
16	20	14351	14352
12	21	14365	14366
15	21	14397	14398
15	22	14433	14434
9	10	14438	14439
16	20	14449	14450
9	10	14591	14592
9	10	14739	14740
24	25	14799	14800
11	19	14824	14825
5	25	14827	14828
24	25	14840	14841
23	27	14856	14857
13	23	14952	14953
13	18	15042	15043
0	20	15050	15051
5	23	15125	15126
15	22	15182	15183
9	21	15194	15195
13	14	15229	15230
13	14	15262	15263
17	18	15271	15272
9	11	15371	15372
22	26	15412	15413
16	20	15651	15652
15	22	15728	15729
2	14	15735	15736
0	7	15770	15771
0	7	15808	15809
15	22	15819	15820
15	22	15834	15835
13	14	15847	15848
15	26	15852	15853
16	20	15865	15866
16	18	15911	15912
23	26	15921	15922
14	23	15930	15931
2	4	15938	15939
0	7	15961	15962
15	22	15972	15973
16	17	15982	15983
17	19	16039	16040
15	21	16079	16080
4	26	16122	16123
1	4	16151	16152
6	7	16152	16153
