ID1	ID2	start_time	end_time
7	8	104	105
8	13	128	129
10	14	159	160
0	8	202	203
7	8	213	214
0	7	228	229
8	13	254	255
2	3	290	291
0	3	325	326
12	13	331	332
8	12	336	337
10	14	360	361
2	10	365	366
8	11	386	387
0	7	390	391
7	8	391	392
0	8	415	416
2	4	426	427
8	9	470	471
8	13	475	476
10	14	509	510
12	13	517	518
8	12	560	561
7	8	577	578
9	15	580	581
0	8	591	592
4	15	599	600
10	12	671	672
8	13	703	704
12	13	706	707
3	6	718	719
0	3	731	732
8	11	748	749
2	10	795	796
8	12	799	800
7	9	807	808
8	13	823	824
7	8	833	834
10	14	852	853
3	10	856	857
0	7	860	861
0	8	874	875
2	4	877	878
11	13	950	951
7	8	957	958
12	13	958	959
0	7	989	990
10	14	1017	1018
11	12	1035	1036
0	11	1056	1057
7	8	1061	1062
8	14	1066	1067
8	13	1067	1068
0	8	1071	1072
8	9	1096	1097
8	12	1099	1100
2	3	1101	1102
10	11	1107	1108
0	7	1111	1112
4	15	1142	1143
7	10	1143	1144
10	14	1159	1160
7	8	1184	1185
11	13	1198	1199
3	6	1211	1212
0	7	1221	1222
8	13	1254	1255
13	14	1283	1284
7	8	1288	1289
8	12	1322	1323
0	7	1354	1355
10	12	1377	1378
8	13	1401	1402
7	8	1403	1404
5	13	1407	1408
2	4	1430	1431
11	13	1440	1441
2	3	1452	1453
2	11	1452	1453
0	7	1454	1455
5	11	1483	1484
7	8	1509	1510
8	13	1524	1525
8	14	1525	1526
8	12	1526	1527
12	13	1566	1567
8	9	1576	1577
0	8	1583	1584
7	13	1616	1617
10	14	1619	1620
7	8	1639	1640
9	15	1643	1644
3	12	1650	1651
8	13	1701	1702
0	7	1709	1710
11	13	1719	1720
2	3	1719	1720
7	12	1738	1739
3	6	1740	1741
4	15	1745	1746
7	8	1745	1746
0	8	1781	1782
8	12	1783	1784
0	7	1814	1815
8	13	1828	1829
10	14	1840	1841
7	8	1852	1853
12	13	1867	1868
