ID1	ID2	start_time	end_time
11	13	219	220
8	13	442	443
8	13	648	649
2	3	796	797
8	11	802	803
12	13	946	947
7	13	1099	1100
11	12	1183	1184
7	12	1307	1308
0	7	1634	1635
0	7	1667	1668
10	14	1852	1853
10	13	1900	1901
6	12	2079	2080
0	11	2139	2140
0	7	2197	2198
14	15	2351	2352
10	14	2446	2447
8	10	2521	2522
11	13	2698	2699
12	15	2947	2948
7	8	3055	3056
7	8	3082	3083
8	14	3146	3147
10	12	3487	3488
0	7	3552	3553
9	15	3766	3767
4	15	3794	3795
8	9	3882	3883
8	15	3911	3912
8	13	4084	4085
0	7	4195	4196
0	7	4376	4377
2	10	4435	4436
0	8	4554	4555
8	14	4616	4617
7	8	4793	4794
0	7	4993	4994
11	13	5088	5089
3	6	5174	5175
2	14	5359	5360
7	12	5584	5585
0	3	5835	5836
10	14	5874	5875
8	9	5956	5957
9	15	5975	5976
0	7	6298	6299
2	3	6374	6375
4	15	6590	6591
3	10	6592	6593
0	7	6604	6605
9	15	6875	6876
4	15	7276	7277
6	15	7282	7283
12	15	7429	7430
2	10	7447	7448
9	14	7496	7497
10	14	7632	7633
11	13	7901	7902
8	14	8077	8078
8	12	8196	8197
7	9	8400	8401
8	13	8433	8434
9	15	8646	8647
8	12	8750	8751
7	10	9113	9114
10	13	9145	9146
0	7	9251	9252
3	12	9355	9356
11	13	9455	9456
1	7	9626	9627
9	15	9674	9675
10	13	9755	9756
2	3	9849	9850
4	15	10077	10078
3	6	10139	10140
5	13	10195	10196
8	11	10230	10231
2	3	10435	10436
10	14	10549	10550
7	8	10704	10705
8	12	10826	10827
9	14	10860	10861
8	13	10901	10902
0	8	11118	11119
0	8	11181	11182
2	12	11301	11302
3	8	11506	11507
2	3	11587	11588
0	7	11649	11650
12	13	11729	11730
0	7	11752	11753
10	11	11841	11842
7	8	11866	11867
10	13	11868	11869
2	3	11900	11901
7	8	11998	11999
11	13	12106	12107
7	8	12373	12374
7	8	12690	12691
2	3	12717	12718
0	3	12734	12735
13	14	12920	12921
7	10	13043	13044
5	9	13372	13373
9	14	13382	13383
0	10	13411	13412
0	7	13486	13487
0	8	13583	13584
8	13	13747	13748
4	6	13756	13757
2	10	13831	13832
10	14	13845	13846
0	7	13863	13864
11	13	13872	13873
12	13	13898	13899
7	8	14073	14074
8	13	14237	14238
10	14	14271	14272
0	7	14322	14323
0	7	14364	14365
9	10	14394	14395
8	13	14480	14481
9	15	14562	14563
7	12	14606	14607
10	13	14643	14644
7	8	14667	14668
7	8	14683	14684
11	13	14751	14752
0	7	14771	14772
2	14	14777	14778
2	10	14781	14782
10	14	14839	14840
0	7	14945	14946
11	12	15309	15310
7	13	15469	15470
7	11	15634	15635
3	13	15774	15775
0	7	15777	15778
7	8	15961	15962
11	14	16294	16295
5	7	16347	16348
7	8	16398	16399
2	3	16490	16491
12	15	16534	16535
7	8	16578	16579
7	8	16595	16596
7	8	16600	16601
9	11	16614	16615
8	12	16680	16681
11	13	16737	16738
1	7	16748	16749
12	14	16892	16893
10	14	16948	16949
7	11	16982	16983
2	14	17038	17039
0	7	17041	17042
9	15	17085	17086
0	3	17171	17172
0	7	17223	17224
13	15	17362	17363
8	9	17477	17478
2	14	17596	17597
8	11	17661	17662
3	6	17816	17817
7	8	17920	17921
0	8	17997	17998
7	13	18230	18231
8	13	18246	18247
0	7	18403	18404
3	6	18537	18538
12	13	18663	18664
11	12	18773	18774
8	10	18946	18947
12	13	19267	19268
5	11	19287	19288
0	8	19308	19309
0	3	19325	19326
0	7	19365	19366
2	14	19560	19561
8	14	19734	19735
12	13	19919	19920
8	13	20131	20132
7	8	20315	20316
3	6	20420	20421
0	8	20729	20730
13	14	20787	20788
0	8	20815	20816
8	12	20893	20894
2	6	21110	21111
0	3	21415	21416
10	14	21458	21459
7	10	21463	21464
7	8	21527	21528
7	8	21651	21652
9	11	21718	21719
8	13	21881	21882
7	8	22111	22112
8	14	22131	22132
0	7	22216	22217
7	13	22282	22283
5	8	22307	22308
2	3	22409	22410
10	14	22584	22585
10	14	22624	22625
7	8	22636	22637
9	15	22728	22729
10	14	22732	22733
7	8	22782	22783
0	14	22867	22868
11	12	22903	22904
10	14	23041	23042
0	8	23088	23089
8	13	23162	23163
12	15	23162	23163
12	13	23201	23202
2	3	23370	23371
7	8	23404	23405
0	11	23462	23463
13	14	23489	23490
8	11	23552	23553
0	8	23587	23588
2	10	23590	23591
7	10	23693	23694
11	14	23730	23731
7	8	24043	24044
3	10	24201	24202
12	13	24206	24207
8	13	24460	24461
12	13	24514	24515
8	13	24672	24673
9	11	24831	24832
0	8	24836	24837
8	13	24916	24917
1	15	24935	24936
7	8	25102	25103
11	13	25272	25273
7	8	25276	25277
8	9	25325	25326
0	7	25504	25505
9	15	25506	25507
7	13	25518	25519
7	13	25577	25578
8	13	25607	25608
8	13	25666	25667
10	11	25715	25716
2	10	25716	25717
10	11	25784	25785
0	7	25813	25814
0	8	26066	26067
8	13	26173	26174
3	6	26405	26406
8	13	26687	26688
2	15	26699	26700
2	11	26872	26873
3	10	26904	26905
8	12	26977	26978
8	10	26992	26993
4	15	27167	27168
11	13	27285	27286
12	13	27304	27305
2	14	27328	27329
2	8	27747	27748
3	10	27815	27816
7	8	27832	27833
12	13	28026	28027
8	9	28075	28076
10	14	28483	28484
7	8	28547	28548
3	12	28740	28741
2	10	28820	28821
1	7	28904	28905
9	11	28922	28923
12	14	28930	28931
0	7	28968	28969
4	15	29079	29080
3	6	29101	29102
7	11	29189	29190
4	9	29380	29381
12	15	29381	29382
5	13	29482	29483
3	6	29696	29697
4	6	29961	29962
8	13	30022	30023
10	14	30062	30063
3	10	30264	30265
8	13	30382	30383
8	13	30398	30399
7	9	30410	30411
7	9	30440	30441
8	11	30475	30476
10	14	30500	30501
2	3	30574	30575
8	12	30819	30820
12	14	31221	31222
9	11	31263	31264
9	11	31321	31322
5	11	31881	31882
10	14	31966	31967
11	12	32096	32097
11	14	32175	32176
12	14	32201	32202
10	12	32227	32228
7	13	32411	32412
8	9	32550	32551
0	7	32636	32637
9	13	32696	32697
5	11	32756	32757
8	12	32839	32840
10	13	32921	32922
8	13	33001	33002
12	13	33156	33157
10	13	33299	33300
7	8	66801	66802
0	8	66994	66995
12	13	67051	67052
8	11	67134	67135
0	11	67312	67313
12	13	67380	67381
2	4	67473	67474
8	11	67958	67959
0	7	68179	68180
0	3	68199	68200
10	11	68245	68246
12	13	68277	68278
7	8	68299	68300
7	8	68330	68331
2	3	68402	68403
10	14	68404	68405
2	10	68637	68638
4	6	68703	68704
8	13	68767	68768
0	7	68772	68773
12	13	68785	68786
7	10	69210	69211
8	12	69449	69450
10	14	69466	69467
10	14	69476	69477
10	11	69504	69505
8	14	69596	69597
12	14	69730	69731
7	11	69745	69746
0	8	69839	69840
10	14	69895	69896
3	6	70051	70052
8	13	70074	70075
8	11	70156	70157
9	15	70571	70572
0	8	70655	70656
10	12	70666	70667
8	13	70891	70892
8	11	70915	70916
7	11	70935	70936
10	14	71024	71025
10	14	71042	71043
10	12	71060	71061
9	15	71180	71181
0	7	71184	71185
8	12	71297	71298
2	3	71322	71323
11	13	71410	71411
0	7	71440	71441
0	3	71468	71469
8	12	71542	71543
8	11	71582	71583
8	13	71599	71600
10	13	71955	71956
10	14	72005	72006
0	7	72013	72014
7	12	72083	72084
6	12	72088	72089
0	3	72211	72212
11	14	72254	72255
7	13	72296	72297
8	12	72304	72305
10	14	72413	72414
2	4	72454	72455
9	15	72774	72775
2	4	73168	73169
8	13	73197	73198
10	11	73267	73268
4	15	73519	73520
0	7	73787	73788
5	7	73790	73791
8	13	73801	73802
0	8	73836	73837
11	13	73923	73924
0	3	73941	73942
0	7	74032	74033
0	8	74324	74325
3	6	74397	74398
8	9	74527	74528
0	7	74572	74573
7	10	74697	74698
2	4	74890	74891
12	13	74966	74967
9	15	74997	74998
8	11	75061	75062
2	4	75078	75079
10	12	75088	75089
3	6	75201	75202
8	12	75341	75342
3	12	75363	75364
11	13	76056	76057
4	15	76127	76128
8	11	77056	77057
12	13	77206	77207
7	8	77210	77211
8	12	77304	77305
5	11	77358	77359
8	10	77410	77411
10	12	77656	77657
7	13	77662	77663
12	14	77782	77783
2	6	77818	77819
5	13	77857	77858
9	11	77877	77878
1	15	77914	77915
0	7	77928	77929
10	14	77990	77991
0	7	78027	78028
0	8	78286	78287
0	8	78300	78301
10	13	78374	78375
