ID1	ID2	start_time	end_time
8	13	67	68
10	11	357	358
3	12	584	585
10	14	704	705
10	14	1020	1021
12	13	1612	1613
0	8	1751	1752
0	8	1966	1967
7	11	2077	2078
0	8	2105	2106
8	9	2340	2341
3	6	2466	2467
2	10	2485	2486
0	3	2647	2648
0	11	2749	2750
8	9	2977	2978
3	6	2982	2983
8	13	2984	2985
0	7	3038	3039
8	13	3161	3162
10	14	3169	3170
7	10	3588	3589
2	3	3649	3650
13	14	3785	3786
2	4	3791	3792
3	10	3866	3867
10	14	4069	4070
11	13	4203	4204
7	8	4303	4304
10	14	4465	4466
0	7	4474	4475
12	13	4973	4974
10	14	5035	5036
13	14	5109	5110
3	6	5193	5194
3	12	5360	5361
9	11	5497	5498
3	12	5700	5701
7	13	5781	5782
11	12	5832	5833
0	8	5883	5884
12	15	5995	5996
0	3	6045	6046
12	13	6301	6302
8	15	6638	6639
12	13	6806	6807
7	8	7098	7099
0	7	7236	7237
12	13	7256	7257
11	12	7452	7453
2	3	7517	7518
10	14	7621	7622
0	7	7693	7694
10	14	7729	7730
4	6	7743	7744
10	13	7772	7773
4	15	7902	7903
8	11	8923	8924
4	15	9151	9152
0	8	9232	9233
2	3	9346	9347
2	11	9371	9372
5	11	9470	9471
7	8	9604	9605
8	13	9894	9895
9	13	9900	9901
9	11	9959	9960
8	13	9962	9963
5	13	10358	10359
8	12	10496	10497
12	13	10589	10590
5	13	10904	10905
10	14	11041	11042
8	12	11170	11171
12	13	11202	11203
0	8	11374	11375
8	13	11575	11576
7	13	12279	12280
0	8	12280	12281
9	14	12422	12423
10	12	12800	12801
12	15	12818	12819
8	12	12915	12916
7	8	12999	13000
2	4	13034	13035
7	13	13043	13044
0	7	13197	13198
0	7	13249	13250
2	3	13303	13304
5	7	13474	13475
7	10	13616	13617
0	7	13623	13624
0	3	13634	13635
7	13	14172	14173
2	10	14509	14510
2	3	14572	14573
0	7	14585	14586
7	11	14604	14605
8	13	14681	14682
2	4	14723	14724
10	14	14815	14816
0	8	14860	14861
8	9	14894	14895
0	3	15607	15608
8	13	15708	15709
7	11	16149	16150
10	14	16424	16425
2	6	16560	16561
9	14	16997	16998
8	9	17017	17018
0	8	17329	17330
0	7	17539	17540
0	7	17567	17568
0	7	17810	17811
10	14	17939	17940
2	15	17949	17950
8	13	18366	18367
4	15	18454	18455
0	7	18494	18495
10	11	18719	18720
1	7	19006	19007
7	8	19049	19050
8	11	19169	19170
8	14	19417	19418
0	7	19576	19577
9	11	19971	19972
8	11	20136	20137
7	11	20436	20437
12	13	20479	20480
8	11	20873	20874
2	3	20919	20920
10	12	21109	21110
0	3	21258	21259
13	15	21767	21768
7	13	21878	21879
11	13	22024	22025
10	12	22499	22500
7	13	23042	23043
8	9	23151	23152
7	12	23280	23281
8	13	23375	23376
0	7	23397	23398
