ID1	ID2	start_time	end_time
16	17	10	11
9	10	65	66
16	18	79	80
17	24	89	90
13	14	118	119
15	22	200	201
9	11	203	204
1	2	233	234
23	27	272	273
6	15	290	291
4	21	324	325
16	17	367	368
16	18	415	416
6	18	507	508
0	3	511	512
15	22	528	529
10	25	544	545
15	22	622	623
6	15	658	659
18	21	670	671
24	25	787	788
9	11	789	790
19	20	825	826
16	20	842	843
5	23	856	857
2	9	861	862
1	4	962	963
13	23	967	968
16	17	1008	1009
16	21	1059	1060
11	19	1080	1081
1	13	1156	1157
10	11	1170	1171
23	26	1222	1223
0	4	1251	1252
16	20	1306	1307
9	17	1385	1386
19	21	1398	1399
12	15	1445	1446
13	14	1445	1446
6	7	1456	1457
4	21	1462	1463
23	27	1502	1503
0	10	1510	1511
10	11	1559	1560
5	18	1563	1564
1	17	1582	1583
1	4	1582	1583
13	14	1595	1596
23	27	1622	1623
6	7	1682	1683
13	20	1738	1739
13	14	1755	1756
23	27	1882	1883
13	14	1927	1928
5	16	1942	1943
26	27	1965	1966
5	15	1989	1990
6	14	2032	2033
9	11	2076	2077
0	12	2080	2081
23	27	2082	2083
9	10	2088	2089
0	26	2128	2129
2	15	2135	2136
15	17	2138	2139
6	23	2182	2183
1	2	2185	2186
6	7	2200	2201
8	23	2228	2229
13	14	2231	2232
2	24	2258	2259
19	20	2259	2260
6	7	2324	2325
1	3	2329	2330
19	23	2384	2385
2	15	2468	2469
23	25	2495	2496
3	4	2519	2520
13	14	2584	2585
9	23	2655	2656
3	11	2656	2657
26	27	2742	2743
5	23	2743	2744
0	7	2759	2760
6	8	2773	2774
16	20	2795	2796
9	17	2829	2830
7	9	2835	2836
6	8	2878	2879
26	27	2886	2887
15	22	2888	2889
13	14	2930	2931
15	19	2978	2979
11	14	3024	3025
6	17	3027	3028
9	23	3043	3044
24	25	3051	3052
24	25	3067	3068
2	4	3072	3073
15	18	3075	3076
24	25	3090	3091
16	18	3112	3113
15	21	3130	3131
16	20	3168	3169
0	7	3199	3200
5	16	3217	3218
16	22	3257	3258
19	20	3276	3277
1	3	3320	3321
6	7	3320	3321
2	3	3321	3322
13	25	3355	3356
6	7	3360	3361
16	22	3393	3394
0	4	3424	3425
0	2	3442	3443
0	27	3444	3445
6	8	3471	3472
16	18	3479	3480
0	9	3496	3497
23	24	3618	3619
23	27	3620	3621
0	10	3655	3656
15	21	3696	3697
15	22	3714	3715
6	7	3733	3734
26	27	3745	3746
23	27	3759	3760
23	26	3805	3806
1	2	3819	3820
0	11	3866	3867
9	10	3885	3886
2	26	3912	3913
6	8	3960	3961
15	22	4007	4008
13	14	4041	4042
1	4	4065	4066
23	26	4115	4116
16	20	4145	4146
6	7	4228	4229
23	26	4251	4252
13	14	4272	4273
23	27	4422	4423
20	22	4463	4464
13	17	4473	4474
1	3	4475	4476
1	2	4525	4526
15	22	4537	4538
9	21	4542	4543
24	25	4565	4566
22	24	4705	4706
9	23	4716	4717
1	2	4773	4774
15	22	4862	4863
9	11	4890	4891
24	25	4917	4918
9	26	4931	4932
23	26	4985	4986
18	24	5084	5085
15	21	5084	5085
4	21	5085	5086
0	7	5131	5132
15	21	5149	5150
16	17	5168	5169
0	11	5197	5198
8	26	5244	5245
16	21	5253	5254
6	7	5290	5291
13	21	5376	5377
24	25	5437	5438
15	19	5449	5450
2	9	5494	5495
24	25	5498	5499
1	15	5524	5525
9	25	5539	5540
1	23	5637	5638
17	23	5637	5638
5	19	5672	5673
23	27	5706	5707
22	24	5744	5745
17	25	5753	5754
2	10	5833	5834
15	17	5862	5863
4	26	5925	5926
6	7	5978	5979
23	27	6035	6036
6	23	6081	6082
15	18	6089	6090
23	24	6122	6123
13	14	6134	6135
6	8	6152	6153
23	27	6171	6172
0	7	6252	6253
18	24	6258	6259
23	24	6260	6261
0	3	6267	6268
12	15	6273	6274
25	27	6287	6288
6	9	6290	6291
9	17	6357	6358
14	26	6371	6372
23	24	6401	6402
17	27	6603	6604
0	16	6605	6606
1	3	6619	6620
9	11	6634	6635
23	27	6669	6670
16	17	6676	6677
0	18	6692	6693
15	18	6715	6716
0	18	6758	6759
0	27	6778	6779
13	15	6781	6782
6	23	6802	6803
0	27	6852	6853
13	14	6867	6868
16	20	6934	6935
2	3	7015	7016
13	14	7029	7030
22	26	7062	7063
9	10	7108	7109
23	26	7117	7118
0	18	7120	7121
0	18	7189	7190
26	27	7190	7191
0	16	7238	7239
17	21	7321	7322
17	27	7379	7380
18	21	7431	7432
1	2	7437	7438
0	8	7444	7445
17	19	7449	7450
9	10	7479	7480
23	26	7537	7538
9	10	7556	7557
24	25	7574	7575
11	17	7630	7631
12	15	7697	7698
1	3	7700	7701
1	23	7701	7702
13	14	7764	7765
16	20	7790	7791
14	27	7799	7800
2	24	7808	7809
16	17	7828	7829
16	21	7844	7845
1	4	7864	7865
0	3	7907	7908
22	27	7942	7943
12	17	7962	7963
0	18	7980	7981
0	20	7993	7994
15	16	7998	7999
5	16	8000	8001
13	14	8028	8029
5	20	8050	8051
1	2	8109	8110
10	13	8112	8113
15	22	8165	8166
1	4	8199	8200
13	25	8224	8225
1	2	8245	8246
15	22	8470	8471
8	27	8514	8515
17	18	8635	8636
2	13	8639	8640
6	9	8694	8695
5	23	8799	8800
13	14	8828	8829
18	19	8845	8846
0	16	8874	8875
23	27	8898	8899
23	27	8926	8927
17	23	8937	8938
1	23	9006	9007
5	23	9098	9099
8	26	9099	9100
0	4	9118	9119
9	11	9129	9130
5	21	9130	9131
9	10	9131	9132
18	19	9137	9138
13	14	9143	9144
23	27	9151	9152
6	24	9160	9161
1	2	9262	9263
1	3	9266	9267
16	19	9279	9280
1	2	9400	9401
2	17	9410	9411
0	6	9437	9438
8	26	9466	9467
17	27	9475	9476
1	23	9480	9481
6	7	9545	9546
2	7	9573	9574
13	22	9608	9609
16	21	9782	9783
23	25	9804	9805
17	23	9836	9837
13	23	9841	9842
6	8	9845	9846
5	16	9855	9856
1	2	9856	9857
16	18	9870	9871
21	25	9877	9878
13	14	9968	9969
17	18	9970	9971
4	5	9984	9985
13	14	10018	10019
5	23	10023	10024
15	21	10062	10063
1	2	10100	10101
17	21	10264	10265
13	14	10321	10322
2	23	10373	10374
8	26	10400	10401
23	27	10422	10423
0	18	10480	10481
6	8	10487	10488
