ID1	ID2	start_time	end_time
11	17	102	103
9	26	109	110
6	23	113	114
21	25	184	185
5	9	191	192
14	27	198	199
16	19	232	233
6	24	274	275
16	19	342	343
2	4	344	345
9	17	345	346
3	4	411	412
8	26	429	430
0	1	531	532
15	22	645	646
2	15	761	762
5	23	776	777
2	12	816	817
16	21	836	837
1	2	925	926
16	21	985	986
6	8	1031	1032
9	21	1072	1073
0	3	1080	1081
5	16	1121	1122
2	15	1193	1194
15	22	1234	1235
2	9	1240	1241
5	18	1245	1246
16	20	1258	1259
13	14	1284	1285
15	21	1401	1402
19	21	1484	1485
9	10	1537	1538
13	14	1613	1614
1	15	1664	1665
0	18	1664	1665
13	15	1714	1715
24	25	1778	1779
2	9	1821	1822
7	9	1832	1833
2	23	1882	1883
1	3	1927	1928
1	3	1953	1954
9	23	2079	2080
0	26	2121	2122
6	9	2240	2241
17	23	2294	2295
1	13	2324	2325
18	19	2356	2357
1	23	2431	2432
15	22	2500	2501
16	20	2524	2525
16	20	2559	2560
2	23	2614	2615
6	7	2651	2652
4	17	2652	2653
2	16	2689	2690
2	23	2759	2760
2	7	2768	2769
1	2	2799	2800
2	15	2810	2811
1	3	2834	2835
2	9	2837	2838
3	4	2854	2855
19	21	2856	2857
5	23	2885	2886
5	16	2918	2919
13	25	2921	2922
1	3	2943	2944
15	22	2964	2965
10	11	2988	2989
23	25	2996	2997
5	23	3004	3005
9	10	3105	3106
23	24	3215	3216
9	10	3243	3244
17	22	3313	3314
2	17	3322	3323
6	23	3334	3335
23	27	3416	3417
16	18	3467	3468
2	9	3504	3505
15	22	3525	3526
23	27	3546	3547
9	17	3610	3611
3	4	3642	3643
4	17	3699	3700
26	27	3765	3766
10	18	3796	3797
0	26	3839	3840
17	20	3863	3864
24	25	3897	3898
9	10	3901	3902
20	21	3903	3904
23	27	3910	3911
12	21	3939	3940
13	14	4006	4007
1	4	4025	4026
16	23	4049	4050
1	4	4055	4056
1	6	4291	4292
14	24	4411	4412
0	18	4427	4428
9	11	4431	4432
0	11	4561	4562
9	19	4575	4576
16	17	4582	4583
13	24	4638	4639
6	7	4664	4665
17	24	4703	4704
16	22	4867	4868
14	27	5015	5016
0	8	5032	5033
0	7	5133	5134
23	26	5146	5147
22	26	5354	5355
0	26	5462	5463
1	2	5469	5470
16	17	5539	5540
3	7	5567	5568
15	18	5587	5588
6	7	5636	5637
2	3	5653	5654
4	26	5655	5656
15	16	5752	5753
24	25	5762	5763
16	20	5830	5831
0	7	5851	5852
24	25	5888	5889
15	18	5946	5947
6	23	6039	6040
16	18	6082	6083
13	14	6131	6132
8	23	6144	6145
23	24	6218	6219
16	20	6263	6264
16	18	6292	6293
14	23	6326	6327
6	8	6347	6348
16	20	6353	6354
0	14	6462	6463
15	19	6534	6535
2	3	6574	6575
9	10	6642	6643
7	9	6682	6683
12	18	6782	6783
4	21	6789	6790
0	16	6801	6802
6	23	6844	6845
13	14	6855	6856
17	20	6875	6876
6	7	6984	6985
6	8	6991	6992
19	23	7134	7135
6	9	7173	7174
0	3	7195	7196
13	23	7207	7208
0	3	7311	7312
0	2	7326	7327
16	17	7364	7365
13	14	7381	7382
1	6	7436	7437
9	21	7474	7475
15	17	7545	7546
18	23	7580	7581
1	3	7688	7689
6	7	7722	7723
6	13	7732	7733
9	11	7869	7870
0	26	7882	7883
23	27	7913	7914
9	11	7940	7941
15	19	7974	7975
4	26	8013	8014
13	22	8035	8036
23	26	8053	8054
9	10	8070	8071
16	20	8080	8081
1	2	8097	8098
23	27	8113	8114
1	12	8133	8134
0	26	8230	8231
23	26	8233	8234
23	27	8272	8273
23	27	8291	8292
2	3	8293	8294
13	14	8311	8312
18	23	8364	8365
9	10	8373	8374
10	25	8379	8380
13	24	8394	8395
23	27	8420	8421
23	24	8446	8447
0	26	8473	8474
5	12	8528	8529
4	5	8717	8718
13	14	8758	8759
1	21	8762	8763
13	23	9054	9055
9	11	9055	9056
16	20	9076	9077
