ID1	ID2	start_time	end_time
13	17	665	666
2	3	680	681
2	15	686	687
5	23	720	721
19	20	800	801
2	4	848	849
20	24	853	854
4	23	878	879
1	22	925	926
4	22	943	944
2	22	950	951
8	12	1022	1023
4	19	1032	1033
15	18	1056	1057
3	5	1091	1092
23	24	1102	1103
2	8	1114	1115
1	4	1116	1117
22	27	1117	1118
2	15	1160	1161
12	13	1245	1246
4	15	1255	1256
4	12	1257	1258
5	22	1260	1261
8	23	1264	1265
3	7	1290	1291
5	13	1294	1295
18	20	1337	1338
1	16	1346	1347
11	16	1349	1350
18	19	1358	1359
2	3	1388	1389
19	26	1401	1402
5	8	1434	1435
2	26	1434	1435
13	22	1461	1462
7	23	1486	1487
20	24	1502	1503
4	8	1507	1508
18	26	1509	1510
8	15	1521	1522
7	16	1561	1562
18	23	1584	1585
2	15	1586	1587
19	20	1621	1622
19	27	1633	1634
2	4	1634	1635
5	23	1634	1635
15	26	1638	1639
9	13	1668	1669
5	27	1688	1689
3	23	1706	1707
3	13	1709	1710
14	22	1717	1718
8	24	1721	1722
7	19	1772	1773
13	17	1776	1777
4	10	1780	1781
4	23	1781	1782
15	24	1786	1787
10	19	1791	1792
13	20	1799	1800
8	10	1810	1811
5	18	1811	1812
12	19	1836	1837
4	26	1837	1838
4	7	1838	1839
1	26	1856	1857
19	22	1858	1859
5	20	1898	1899
2	19	1914	1915
8	14	1918	1919
4	14	1952	1953
4	22	1972	1973
13	19	1987	1988
2	27	1990	1991
14	23	2009	2010
18	25	2019	2020
1	22	2053	2054
19	24	2083	2084
13	24	2106	2107
5	7	2172	2173
7	11	2177	2178
5	8	2177	2178
5	10	2189	2190
4	15	2222	2223
19	27	2232	2233
20	24	2242	2243
2	15	2259	2260
4	8	2266	2267
8	12	2298	2299
19	20	2347	2348
3	26	2385	2386
13	17	2419	2420
2	4	2439	2440
13	23	2459	2460
18	27	2469	2470
8	18	2482	2483
3	20	2558	2559
2	13	2568	2569
1	4	2611	2612
22	27	2612	2613
