ID1	ID2	start_time	end_time
2	13	43	44
10	11	78	79
13	24	295	296
8	20	404	405
8	15	414	415
7	19	592	593
4	15	600	601
19	20	608	609
1	4	645	646
3	7	727	728
2	20	760	761
5	10	852	853
12	14	868	869
18	20	991	992
13	19	1059	1060
15	26	1092	1093
4	8	1493	1494
2	8	1510	1511
2	19	1653	1654
13	17	1789	1790
10	16	1826	1827
15	24	1926	1927
18	23	2038	2039
11	16	2174	2175
14	26	2194	2195
11	16	2458	2459
2	5	2600	2601
2	3	2758	2759
2	15	2802	2803
19	22	2908	2909
6	16	3021	3022
4	23	3052	3053
12	17	3152	3153
5	24	3198	3199
10	27	3372	3373
1	13	3625	3626
4	23	3705	3706
4	22	3800	3801
12	22	4077	4078
1	7	4170	4171
19	22	4208	4209
7	11	4232	4233
5	27	4392	4393
8	12	4411	4412
10	13	4559	4560
19	22	4666	4667
5	7	4735	4736
9	16	4802	4803
1	14	5037	5038
1	12	5195	5196
2	20	5196	5197
13	19	5243	5244
8	13	5304	5305
19	20	5347	5348
7	26	5681	5682
4	18	6003	6004
4	22	6061	6062
10	13	6064	6065
12	13	6328	6329
1	26	6504	6505
3	27	6548	6549
8	22	6640	6641
9	23	6646	6647
1	10	6754	6755
6	25	6956	6957
13	24	7035	7036
2	8	7201	7202
21	26	7277	7278
8	14	7316	7317
20	24	7336	7337
4	8	7383	7384
9	26	7527	7528
22	27	7708	7709
15	22	7748	7749
7	23	7780	7781
19	20	8004	8005
9	10	8104	8105
10	14	8267	8268
13	22	8440	8441
8	15	8648	8649
5	27	9040	9041
1	8	9041	9042
4	23	9091	9092
19	27	9107	9108
2	15	9230	9231
2	3	9250	9251
20	26	9291	9292
5	23	9587	9588
19	24	9905	9906
8	15	9955	9956
10	25	9974	9975
7	23	10000	10001
19	20	10009	10010
18	22	10126	10127
8	19	10135	10136
7	19	10165	10166
13	17	10261	10262
18	19	10316	10317
2	8	10376	10377
5	13	10397	10398
10	22	10450	10451
2	14	10564	10565
13	15	10602	10603
20	22	10704	10705
2	22	10802	10803
2	26	10971	10972
13	14	11007	11008
9	13	11026	11027
2	22	11034	11035
8	13	11081	11082
12	20	11226	11227
22	27	11274	11275
3	13	11324	11325
9	15	11331	11332
5	8	11384	11385
12	13	11396	11397
8	23	11414	11415
1	22	11432	11433
22	24	11735	11736
5	10	11965	11966
15	18	12094	12095
5	15	12183	12184
1	9	12296	12297
17	20	12311	12312
19	22	12326	12327
2	15	12383	12384
13	17	12501	12502
2	19	12743	12744
8	19	12813	12814
17	25	13082	13083
1	22	13162	13163
14	25	13248	13249
5	20	13257	13258
8	10	13303	13304
4	10	13399	13400
2	4	13434	13435
5	9	13562	13563
3	23	13583	13584
2	3	13593	13594
8	23	13646	13647
7	19	13841	13842
14	24	13844	13845
8	18	13962	13963
2	8	13968	13969
5	9	14015	14016
1	5	14029	14030
16	18	14041	14042
13	23	14344	14345
12	18	14409	14410
18	27	14801	14802
10	22	14812	14813
4	23	14836	14837
2	27	15015	15016
26	27	15107	15108
12	22	15117	15118
9	18	15254	15255
8	23	15267	15268
2	15	15294	15295
8	15	15366	15367
14	15	15516	15517
15	18	15754	15755
10	19	15782	15783
1	18	15812	15813
1	5	15819	15820
4	15	15919	15920
8	22	15969	15970
4	8	15993	15994
7	25	16064	16065
8	14	16127	16128
2	12	16153	16154
7	8	16442	16443
7	26	16509	16510
14	23	16647	16648
2	13	16975	16976
4	22	17057	17058
13	22	17168	17169
5	18	17337	17338
11	16	17341	17342
7	14	17503	17504
2	8	17558	17559
16	27	17596	17597
7	26	17615	17616
3	15	17619	17620
1	12	17625	17626
14	24	17630	17631
9	17	17677	17678
18	22	17881	17882
3	7	18030	18031
18	20	18140	18141
19	27	18303	18304
19	20	18428	18429
1	8	18455	18456
9	13	18839	18840
4	8	18849	18850
8	21	18935	18936
13	17	18948	18949
4	10	19180	19181
0	10	19180	19181
2	14	19181	19182
4	12	19243	19244
4	7	19554	19555
3	22	19650	19651
12	13	19680	19681
2	19	19684	19685
15	18	19885	19886
12	13	20021	20022
20	24	20113	20114
14	15	20209	20210
4	15	20235	20236
2	8	20776	20777
17	27	20854	20855
3	8	20932	20933
13	24	20985	20986
3	13	21015	21016
2	26	21067	21068
7	15	21081	21082
4	7	21125	21126
10	20	21207	21208
2	22	21223	21224
16	24	21464	21465
3	26	21529	21530
2	3	21533	21534
4	7	21594	21595
19	27	21622	21623
8	13	21776	21777
18	20	21887	21888
5	8	21921	21922
3	7	21969	21970
1	16	22088	22089
10	19	22130	22131
2	15	22171	22172
10	26	22235	22236
16	24	22285	22286
4	7	22416	22417
5	18	22511	22512
8	27	22527	22528
5	24	22766	22767
23	24	23014	23015
4	8	23045	23046
11	16	23188	23189
2	4	23719	23720
5	26	23729	23730
5	20	23829	23830
8	24	24146	24147
18	25	24168	24169
18	26	24203	24204
4	14	24278	24279
1	4	24315	24316
13	22	24371	24372
19	27	24436	24437
5	27	24654	24655
19	27	25149	25150
10	18	25177	25178
2	18	25225	25226
20	27	25512	25513
4	26	25517	25518
14	23	25603	25604
2	4	25623	25624
8	20	25628	25629
15	26	25746	25747
2	25	26015	26016
5	22	26088	26089
15	24	26225	26226
5	17	26230	26231
2	22	26392	26393
10	21	26444	26445
18	20	26484	26485
15	18	26543	26544
18	23	26560	26561
20	24	26584	26585
0	21	26612	26613
1	4	26729	26730
15	26	26836	26837
4	10	27015	27016
2	7	27078	27079
1	14	27264	27265
1	17	27374	27375
11	21	27504	27505
5	27	27690	27691
7	12	27809	27810
4	12	27837	27838
12	27	27927	27928
4	14	28023	28024
2	3	28099	28100
11	24	28165	28166
4	8	28219	28220
20	24	28322	28323
3	23	28365	28366
12	15	28417	28418
5	7	28558	28559
5	8	28665	28666
7	16	28865	28866
10	14	28910	28911
15	27	28966	28967
1	12	28988	28989
5	8	29212	29213
3	5	29261	29262
3	20	29283	29284
14	17	29303	29304
0	7	29438	29439
5	15	29511	29512
16	17	29526	29527
15	17	29622	29623
20	24	29826	29827
8	22	29877	29878
12	27	29962	29963
7	16	30033	30034
4	14	30272	30273
11	16	30460	30461
19	27	30524	30525
26	27	30652	30653
14	16	30662	30663
13	27	30719	30720
23	24	30794	30795
5	16	30843	30844
22	27	30861	30862
1	22	31063	31064
4	7	31143	31144
23	25	31456	31457
4	15	31456	31457
0	8	31580	31581
2	3	31609	31610
2	8	31856	31857
2	15	31879	31880
3	24	31896	31897
5	13	32128	32129
8	22	32330	32331
2	15	32467	32468
4	19	32593	32594
3	23	32865	32866
19	26	32953	32954
5	23	33009	33010
14	23	33021	33022
3	15	33091	33092
4	15	33304	33305
23	27	33307	33308
18	23	66670	66671
1	22	66702	66703
2	27	66786	66787
14	22	67276	67277
5	10	67401	67402
1	22	67458	67459
14	15	67459	67460
19	22	67521	67522
15	18	67746	67747
1	22	68019	68020
7	16	68177	68178
5	22	68185	68186
13	20	68195	68196
1	8	68237	68238
5	23	68441	68442
22	27	68473	68474
4	16	68479	68480
5	16	68604	68605
1	26	68640	68641
0	27	68642	68643
12	19	68665	68666
3	5	68711	68712
4	26	68922	68923
2	8	69147	69148
5	8	69319	69320
13	20	69322	69323
8	20	69633	69634
3	26	69801	69802
2	26	69866	69867
14	18	70026	70027
23	24	70048	70049
12	20	70172	70173
15	23	70259	70260
8	12	70307	70308
9	21	70341	70342
4	15	70492	70493
22	25	70621	70622
4	5	70686	70687
2	8	70716	70717
5	13	70776	70777
13	22	70790	70791
2	26	70868	70869
19	20	70880	70881
8	16	71044	71045
5	22	71130	71131
18	24	71425	71426
13	17	71532	71533
15	18	71662	71663
12	24	71665	71666
9	13	71783	71784
15	19	71971	71972
3	26	71997	71998
8	13	72054	72055
7	10	72144	72145
5	23	72226	72227
17	24	72251	72252
12	24	72326	72327
23	24	72510	72511
17	25	72567	72568
5	12	72602	72603
5	14	72718	72719
14	15	72752	72753
19	24	72834	72835
12	13	73004	73005
18	26	73270	73271
18	27	73469	73470
8	15	73494	73495
2	10	73577	73578
1	8	73592	73593
16	22	73828	73829
13	17	73884	73885
8	22	73906	73907
8	9	74075	74076
4	19	74112	74113
13	20	74130	74131
18	19	74277	74278
14	16	74298	74299
4	14	74320	74321
2	22	74331	74332
22	23	74446	74447
14	15	74455	74456
5	18	74603	74604
16	18	74605	74606
7	26	74795	74796
7	11	75108	75109
4	27	75110	75111
5	8	75133	75134
18	26	75171	75172
1	12	75213	75214
8	15	75337	75338
3	5	75388	75389
5	7	75446	75447
2	18	75487	75488
3	16	75607	75608
13	20	75666	75667
24	26	75719	75720
4	22	75720	75721
4	22	75736	75737
4	8	75773	75774
20	24	75817	75818
3	25	75827	75828
10	15	75830	75831
3	27	75868	75869
3	5	75887	75888
7	16	75943	75944
12	19	75975	75976
4	23	76097	76098
26	27	76186	76187
7	11	76213	76214
3	11	76305	76306
19	20	76355	76356
1	22	76399	76400
5	22	76712	76713
4	23	76908	76909
8	15	77006	77007
4	8	77064	77065
8	12	77166	77167
1	10	77492	77493
2	6	77521	77522
18	27	77557	77558
18	23	77571	77572
4	12	77925	77926
19	23	78343	78344
5	23	78388	78389
8	27	78418	78419
19	26	78429	78430
1	11	78573	78574
4	17	78660	78661
4	22	78796	78797
2	23	78825	78826
12	15	78883	78884
7	12	78937	78938
8	24	79070	79071
10	19	79122	79123
2	15	79150	79151
22	27	79169	79170
9	12	79305	79306
8	12	79332	79333
15	24	79345	79346
18	25	79379	79380
5	15	79519	79520
2	12	79536	79537
26	27	79602	79603
2	5	79604	79605
15	18	79782	79783
26	27	79857	79858
8	10	80041	80042
3	20	80091	80092
12	25	80228	80229
2	8	80477	80478
18	26	80498	80499
19	20	80654	80655
14	15	80725	80726
3	5	80783	80784
2	8	80805	80806
9	23	81057	81058
8	13	81319	81320
8	16	81595	81596
12	17	81742	81743
18	27	81758	81759
5	13	81788	81789
8	14	81967	81968
1	6	82018	82019
7	23	82239	82240
1	24	82390	82391
2	15	82425	82426
5	12	82478	82479
24	26	82686	82687
3	13	82693	82694
4	8	82800	82801
8	14	82845	82846
2	4	82968	82969
19	26	83012	83013
13	19	83035	83036
18	27	83227	83228
8	27	83276	83277
15	23	83645	83646
19	27	83724	83725
10	24	83733	83734
2	15	83748	83749
18	27	83905	83906
8	24	83912	83913
13	20	84474	84475
1	16	84533	84534
19	27	84551	84552
12	22	84611	84612
5	23	84723	84724
1	14	84958	84959
12	19	84972	84973
5	23	84994	84995
5	20	85251	85252
5	8	85254	85255
26	27	85488	85489
16	22	85556	85557
2	5	85611	85612
19	27	85686	85687
18	22	85734	85735
1	16	85938	85939
8	14	85953	85954
8	13	85992	85993
1	13	86061	86062
4	12	86067	86068
7	23	86141	86142
8	12	86281	86282
2	27	86371	86372
20	24	86405	86406
19	27	86465	86466
2	15	86559	86560
23	27	86938	86939
14	22	86971	86972
4	22	87044	87045
14	22	87232	87233
18	25	87448	87449
8	24	87762	87763
3	5	87903	87904
9	17	87946	87947
9	15	88440	88441
1	16	88461	88462
19	23	88719	88720
26	27	88955	88956
4	15	89004	89005
4	12	89134	89135
2	3	89259	89260
3	8	89260	89261
15	25	89477	89478
15	18	89488	89489
4	8	89519	89520
3	7	89709	89710
12	14	89738	89739
15	26	89757	89758
4	19	89877	89878
3	9	89910	89911
1	4	89975	89976
8	10	90018	90019
1	4	90278	90279
14	19	90350	90351
8	26	90421	90422
26	27	90734	90735
8	24	90777	90778
18	22	90783	90784
23	24	90902	90903
7	23	90921	90922
10	20	91081	91082
5	17	91234	91235
11	24	91521	91522
7	25	91728	91729
7	15	91833	91834
8	27	92065	92066
2	4	92083	92084
22	23	92166	92167
15	25	92191	92192
2	3	92500	92501
18	19	92515	92516
20	26	93052	93053
4	8	93259	93260
13	23	93278	93279
5	23	93311	93312
19	26	93327	93328
2	15	93374	93375
13	23	93379	93380
16	21	93418	93419
10	18	93470	93471
8	18	93540	93541
2	4	93564	93565
13	26	93583	93584
16	26	93634	93635
19	24	93652	93653
10	23	93708	93709
9	12	93767	93768
8	18	93782	93783
2	22	93974	93975
3	5	94205	94206
2	8	94234	94235
4	19	94389	94390
15	18	94496	94497
10	18	94577	94578
26	27	94591	94592
4	22	94992	94993
12	27	95099	95100
15	20	95318	95319
14	27	95321	95322
19	23	95323	95324
5	11	95334	95335
26	27	95432	95433
2	4	95573	95574
18	24	95640	95641
15	27	95687	95688
23	26	95740	95741
10	23	95944	95945
14	26	96221	96222
1	26	96257	96258
11	23	96265	96266
8	23	96422	96423
23	24	96773	96774
13	17	96835	96836
3	17	97043	97044
17	26	97071	97072
24	26	97350	97351
1	26	97806	97807
16	23	97984	97985
2	5	98013	98014
