ID1	ID2	start_time	end_time
5	22	89	90
20	26	216	217
7	10	353	354
23	26	415	416
5	8	566	567
19	22	580	581
10	19	1311	1312
4	8	1681	1682
2	8	1988	1989
11	26	2080	2081
4	8	2186	2187
1	22	2322	2323
15	18	2338	2339
3	22	2498	2499
20	27	2617	2618
12	17	2705	2706
18	25	2922	2923
13	19	3638	3639
15	20	3673	3674
9	15	4070	4071
5	15	4733	4734
12	13	4820	4821
4	22	4847	4848
2	14	4873	4874
8	23	5060	5061
2	4	5201	5202
9	17	5309	5310
18	19	5321	5322
15	18	5438	5439
16	17	5954	5955
14	18	5988	5989
5	27	6258	6259
14	16	6537	6538
5	23	6702	6703
13	23	6976	6977
1	10	7084	7085
24	26	7153	7154
3	23	7375	7376
13	20	7743	7744
3	13	7780	7781
4	8	7816	7817
12	19	8878	8879
1	22	8952	8953
11	23	9341	9342
18	19	9449	9450
4	23	9492	9493
5	8	9682	9683
2	15	9936	9937
3	5	9994	9995
10	14	10293	10294
17	25	10318	10319
10	14	10504	10505
8	15	10525	10526
5	27	10568	10569
14	23	10570	10571
8	13	10621	10622
1	13	10634	10635
4	8	10987	10988
4	22	10989	10990
9	15	11002	11003
16	27	11068	11069
18	24	11125	11126
2	3	11226	11227
5	20	11349	11350
17	24	11366	11367
19	27	11397	11398
12	17	11544	11545
19	22	11549	11550
14	15	11578	11579
18	26	11630	11631
13	19	11650	11651
15	18	11701	11702
1	16	12003	12004
4	23	12332	12333
4	16	12678	12679
10	21	12788	12789
4	7	12983	12984
9	13	13023	13024
8	24	13366	13367
15	26	13503	13504
1	16	13513	13514
26	27	13657	13658
1	26	13970	13971
7	11	14008	14009
5	23	14568	14569
5	11	14696	14697
13	20	14799	14800
10	13	15326	15327
10	27	15515	15516
10	20	15606	15607
12	14	15687	15688
8	19	15895	15896
4	12	15985	15986
2	19	16109	16110
18	26	16256	16257
5	20	16258	16259
3	5	16277	16278
1	10	16514	16515
12	20	16712	16713
8	12	16741	16742
2	8	17141	17142
5	7	17193	17194
3	13	17701	17702
8	15	17956	17957
12	20	17997	17998
4	26	18109	18110
19	20	18173	18174
18	20	18190	18191
13	23	18237	18238
8	24	18376	18377
21	26	18450	18451
9	20	18552	18553
1	4	18710	18711
8	27	18851	18852
14	19	19027	19028
8	27	19147	19148
12	15	19342	19343
5	7	19364	19365
2	15	19428	19429
8	13	19576	19577
2	4	19705	19706
4	22	20066	20067
15	23	20066	20067
2	15	20287	20288
8	26	20526	20527
3	7	20573	20574
23	24	20653	20654
2	20	20768	20769
18	23	20927	20928
5	22	20981	20982
15	19	21028	21029
4	22	21049	21050
15	18	21359	21360
1	8	21386	21387
12	13	21466	21467
19	27	21546	21547
5	7	21729	21730
5	14	21731	21732
22	27	22067	22068
8	20	22165	22166
