ID1	ID2	start_time	end_time
5	8	203	204
4	8	251	252
2	7	281	282
0	14	295	296
4	13	319	320
4	7	327	328
0	4	331	332
1	11	347	348
4	6	358	359
6	13	401	402
4	9	415	416
5	8	439	440
1	11	467	468
7	8	484	485
2	7	539	540
3	7	566	567
1	11	573	574
4	8	576	577
6	7	579	580
3	8	592	593
9	11	595	596
5	8	599	600
1	4	620	621
4	13	635	636
2	3	636	637
0	2	636	637
4	7	652	653
0	13	660	661
7	14	675	676
1	11	690	691
2	4	704	705
1	9	710	711
8	11	719	720
7	13	729	730
1	15	731	732
1	13	745	746
5	8	762	763
10	11	788	789
4	15	790	791
6	13	798	799
1	11	800	801
4	5	809	810
7	15	816	817
13	15	848	849
4	11	865	866
2	7	882	883
9	15	895	896
4	10	908	909
5	8	910	911
4	9	912	913
9	13	921	922
4	13	926	927
1	11	941	942
0	14	942	943
0	3	954	955
4	6	955	956
0	7	969	970
0	1	984	985
3	14	1003	1004
1	7	1039	1040
6	10	1045	1046
0	8	1067	1068
3	11	1070	1071
4	8	1109	1110
3	8	1118	1119
7	13	1132	1133
6	7	1132	1133
1	6	1136	1137
1	11	1145	1146
0	13	1160	1161
13	14	1161	1162
2	14	1172	1173
6	13	1181	1182
0	2	1194	1195
3	7	1195	1196
2	8	1199	1200
4	14	1199	1200
0	9	1207	1208
2	4	1208	1209
4	13	1224	1225
1	16	1225	1226
5	8	1244	1245
0	4	1246	1247
6	9	1261	1262
2	13	1264	1265
1	12	1285	1286
4	6	1286	1287
8	15	1303	1304
11	13	1307	1308
2	3	1308	1309
11	14	1317	1318
1	14	1323	1324
1	11	1324	1325
0	11	1344	1345
7	14	1380	1381
0	14	1396	1397
13	14	1400	1401
1	2	1416	1417
0	7	1426	1427
1	11	1428	1429
5	8	1442	1443
2	6	1445	1446
7	8	1456	1457
3	5	1461	1462
4	8	1482	1483
1	9	1487	1488
7	13	1497	1498
1	13	1550	1551
6	11	1567	1568
7	15	1581	1582
2	13	1632	1633
1	11	1635	1636
5	13	1643	1644
4	15	1656	1657
2	15	1664	1665
6	10	1676	1677
2	5	1683	1684
3	4	1685	1686
13	15	1699	1700
0	10	1705	1706
5	8	1709	1710
4	11	1722	1723
2	7	1742	1743
7	14	1747	1748
4	8	1748	1749
0	6	1763	1764
8	11	1768	1769
4	13	1777	1778
2	12	1796	1797
3	7	1811	1812
11	15	1812	1813
8	9	1817	1818
4	6	1817	1818
0	14	1860	1861
7	16	1872	1873
7	13	1872	1873
10	11	1892	1893
1	7	1896	1897
9	11	1897	1898
3	15	1900	1901
1	4	1912	1913
3	8	1933	1934
3	13	1937	1938
1	9	1940	1941
0	7	1947	1948
6	16	1947	1948
7	10	1956	1957
1	10	1957	1958
1	11	1996	1997
2	14	2016	2017
2	7	2017	2018
4	10	2028	2029
5	8	2028	2029
13	14	2048	2049
0	4	2088	2089
7	8	2095	2096
1	11	2105	2106
7	14	2110	2111
1	15	2116	2117
2	4	2118	2119
1	6	2120	2121
3	11	2149	2150
8	14	2152	2153
5	8	2171	2172
0	1	2179	2180
4	6	2183	2184
4	13	2184	2185
11	14	2202	2203
1	13	2215	2216
1	11	2218	2219
1	16	2232	2233
0	14	2242	2243
9	13	2259	2260
2	13	2261	2262
7	13	2282	2283
5	8	2302	2303
1	14	2303	2304
8	11	2314	2315
1	11	2332	2333
0	7	2357	2358
