ID1	ID2	start_time	end_time
2	15	80	81
1	14	181	182
11	14	363	364
4	6	393	394
4	7	466	467
3	5	526	527
3	6	588	589
5	8	605	606
1	12	669	670
2	15	694	695
13	14	808	809
13	14	842	843
13	14	844	845
5	8	1032	1033
4	14	1036	1037
8	13	1107	1108
4	8	1120	1121
2	13	1189	1190
10	14	1234	1235
6	11	1304	1305
7	8	1423	1424
2	5	1526	1527
5	11	1623	1624
4	16	1743	1744
3	9	1758	1759
4	8	1776	1777
8	9	1813	1814
5	8	1815	1816
5	8	1910	1911
0	11	1985	1986
6	13	2070	2071
1	9	2170	2171
0	13	2194	2195
1	15	2357	2358
1	11	2458	2459
0	8	2578	2579
3	8	2616	2617
6	10	2798	2799
0	14	2895	2896
5	8	2900	2901
2	7	3039	3040
2	14	3042	3043
7	14	3103	3104
7	13	3125	3126
0	9	3174	3175
7	12	3189	3190
1	14	3191	3192
3	8	3229	3230
1	11	3248	3249
1	11	3313	3314
1	7	3372	3373
5	8	3401	3402
6	11	3461	3462
0	7	3700	3701
7	8	3763	3764
11	15	3798	3799
1	11	3825	3826
1	7	3832	3833
4	6	3854	3855
7	14	3874	3875
0	13	3900	3901
6	7	3917	3918
1	3	3943	3944
6	16	4074	4075
10	15	4192	4193
6	13	4283	4284
2	13	4308	4309
8	14	4407	4408
4	7	4526	4527
11	15	4557	4558
3	6	4617	4618
7	10	4677	4678
0	5	4936	4937
9	14	4951	4952
6	13	5066	5067
1	15	5071	5072
9	11	5186	5187
3	9	5213	5214
10	11	5267	5268
4	8	5275	5276
7	13	5315	5316
4	10	5462	5463
1	3	5696	5697
1	4	5876	5877
10	12	5931	5932
0	2	6033	6034
7	10	6303	6304
7	8	6375	6376
1	9	6401	6402
6	7	6479	6480
4	13	6690	6691
5	8	6981	6982
0	6	6983	6984
6	13	7065	7066
1	2	7092	7093
4	15	7190	7191
2	11	7426	7427
0	4	7439	7440
4	8	7488	7489
10	14	7607	7608
1	4	7652	7653
10	15	7772	7773
3	4	7784	7785
0	14	7932	7933
4	13	8069	8070
0	10	8300	8301
1	11	8358	8359
0	14	8382	8383
7	10	8416	8417
1	6	8542	8543
1	4	8590	8591
6	13	8620	8621
4	6	8695	8696
1	4	8762	8763
2	7	8853	8854
3	9	9016	9017
3	5	9029	9030
4	15	9047	9048
1	6	9088	9089
