ID1	ID2	start_time	end_time
6	13	34	35
8	9	63	64
2	15	149	150
2	6	256	257
4	8	323	324
9	11	584	585
2	13	683	684
3	6	761	762
2	9	973	974
3	7	1056	1057
0	1	1081	1082
4	13	1109	1110
7	13	1218	1219
1	3	1290	1291
1	11	1472	1473
2	11	1670	1671
5	8	1676	1677
0	9	1773	1774
0	14	1789	1790
2	6	1909	1910
1	16	1954	1955
13	14	1988	1989
9	15	1993	1994
4	11	1995	1996
2	14	2008	2009
11	14	2069	2070
0	7	2085	2086
4	7	2219	2220
4	5	2287	2288
6	10	2295	2296
7	13	2432	2433
11	13	2448	2449
4	6	2539	2540
0	2	2672	2673
7	16	2770	2771
4	8	2793	2794
3	11	2817	2818
3	8	2966	2967
0	14	3143	3144
3	8	3219	3220
10	12	3232	3233
6	8	3275	3276
5	8	3421	3422
13	14	3450	3451
2	13	3463	3464
11	12	3465	3466
1	4	3542	3543
1	15	3681	3682
5	8	3704	3705
4	13	3900	3901
4	13	3968	3969
7	8	3990	3991
2	3	4003	4004
9	13	4130	4131
1	16	4211	4212
5	13	4502	4503
2	15	4682	4683
7	13	4764	4765
4	5	4796	4797
7	15	4995	4996
0	3	5039	5040
3	11	5110	5111
1	11	5394	5395
0	4	5525	5526
3	14	5617	5618
4	9	5663	5664
0	1	5684	5685
1	11	5792	5793
3	7	5909	5910
0	8	5926	5927
3	7	5950	5951
5	8	6031	6032
1	8	6072	6073
9	11	6079	6080
1	6	6133	6134
6	13	6135	6136
2	5	6293	6294
0	7	6366	6367
3	13	6609	6610
1	14	6693	6694
1	9	6818	6819
2	13	6915	6916
1	11	7045	7046
12	15	7155	7156
13	15	7228	7229
13	14	7251	7252
4	9	7252	7253
0	4	7298	7299
0	14	7340	7341
6	7	7825	7826
4	15	7888	7889
4	6	7915	7916
4	6	7918	7919
6	10	7932	7933
1	14	8021	8022
3	14	8343	8344
9	10	8375	8376
5	8	8472	8473
4	13	8572	8573
10	15	8914	8915
2	7	9085	9086
0	14	9100	9101
2	7	9222	9223
4	6	9513	9514
1	11	9566	9567
1	9	9688	9689
8	11	9852	9853
6	7	9926	9927
3	9	10000	10001
1	16	10168	10169
7	14	10352	10353
7	13	10391	10392
5	8	10501	10502
7	14	10519	10520
7	16	11039	11040
1	16	11067	11068
13	15	11068	11069
10	15	11090	11091
11	15	11335	11336
0	13	11508	11509
4	10	12287	12288
13	15	12321	12322
0	4	12398	12399
5	8	12652	12653
10	11	12750	12751
0	12	12783	12784
6	13	12975	12976
6	10	13122	13123
13	14	13257	13258
4	8	13448	13449
0	2	13452	13453
3	8	13542	13543
1	11	13847	13848
1	9	13972	13973
3	4	14065	14066
8	15	14383	14384
2	4	14401	14402
4	14	14448	14449
13	14	14586	14587
4	8	14963	14964
5	8	15130	15131
3	7	15285	15286
6	13	15444	15445
4	11	15500	15501
0	11	15610	15611
5	8	15668	15669
4	13	15685	15686
0	3	15724	15725
1	11	15846	15847
4	8	16009	16010
6	8	16039	16040
0	6	16479	16480
7	9	16480	16481
6	10	16671	16672
1	11	16804	16805
5	8	17144	17145
1	11	17350	17351
2	7	17363	17364
2	6	17382	17383
4	13	17558	17559
4	8	17649	17650
14	15	17746	17747
1	11	17803	17804
2	12	17945	17946
5	8	18065	18066
4	14	18193	18194
5	11	18196	18197
9	15	18725	18726
0	10	18767	18768
1	4	18862	18863
1	11	19181	19182
8	11	19294	19295
6	16	19319	19320
5	16	19451	19452
2	4	19619	19620
0	1	19636	19637
4	6	19856	19857
7	13	20124	20125
9	11	20163	20164
2	7	20552	20553
1	11	20881	20882
2	13	21058	21059
0	4	21129	21130
1	9	21169	21170
3	5	21555	21556
11	15	21584	21585
4	9	21680	21681
8	14	21683	21684
1	10	22266	22267
3	16	22389	22390
6	7	22478	22479
2	4	22616	22617
1	2	22875	22876
1	4	22929	22930
0	9	22979	22980
4	6	23162	23163
4	11	23249	23250
1	11	23374	23375
4	14	23379	23380
4	7	23466	23467
4	6	23469	23470
2	4	23469	23470
3	14	23521	23522
0	2	23693	23694
6	11	23744	23745
7	16	23775	23776
2	9	23855	23856
8	9	23988	23989
1	11	23989	23990
5	8	23992	23993
1	14	24034	24035
7	14	24091	24092
4	5	24108	24109
2	15	24120	24121
4	7	24146	24147
2	4	24171	24172
4	7	24276	24277
4	5	24277	24278
5	6	24811	24812
11	15	24829	24830
0	14	24870	24871
0	14	24876	24877
3	11	24932	24933
2	7	24941	24942
6	13	25203	25204
7	13	25316	25317
7	10	25341	25342
0	8	25369	25370
1	11	25404	25405
7	12	25425	25426
6	16	25574	25575
2	13	25584	25585
4	9	25600	25601
7	8	25626	25627
9	16	25843	25844
2	13	26037	26038
11	14	26047	26048
7	11	26065	26066
4	10	26070	26071
4	15	26144	26145
0	6	26162	26163
3	4	26162	26163
10	14	26335	26336
0	7	26347	26348
1	12	26403	26404
10	15	26470	26471
8	13	26646	26647
2	5	26673	26674
11	15	26810	26811
3	4	26875	26876
2	13	27080	27081
10	12	27242	27243
5	11	27254	27255
11	15	27460	27461
8	13	27499	27500
4	7	27635	27636
0	8	28024	28025
7	10	28049	28050
2	14	28153	28154
10	15	28231	28232
1	15	28264	28265
3	6	28334	28335
4	13	28490	28491
8	11	28690	28691
13	14	28692	28693
7	8	28709	28710
5	8	28747	28748
1	7	28870	28871
7	13	28962	28963
9	16	28964	28965
3	5	29325	29326
1	11	29701	29702
2	7	29703	29704
8	10	29904	29905
13	14	29990	29991
0	8	30132	30133
2	7	30132	30133
11	14	30316	30317
1	4	30321	30322
1	11	30352	30353
7	14	30395	30396
1	9	30615	30616
0	7	30771	30772
3	11	30868	30869
0	7	30921	30922
5	8	31014	31015
2	4	31077	31078
12	15	31161	31162
6	7	31197	31198
4	8	31289	31290
11	13	31647	31648
1	8	31716	31717
3	7	31791	31792
1	11	31813	31814
0	14	31931	31932
0	10	32013	32014
6	11	32040	32041
11	14	32095	32096
13	14	32461	32462
3	4	32529	32530
1	8	32552	32553
1	6	32846	32847
0	14	33105	33106
2	3	33126	33127
1	3	33179	33180
0	2	33205	33206
11	13	33238	33239
2	12	33568	33569
7	9	33697	33698
8	13	33790	33791
3	8	33856	33857
4	6	34025	34026
3	5	34188	34189
10	11	34205	34206
9	10	34462	34463
1	11	34635	34636
6	13	34834	34835
3	11	34974	34975
2	15	35037	35038
0	13	35265	35266
1	11	35544	35545
0	4	35631	35632
4	8	35753	35754
13	14	35839	35840
7	13	35874	35875
0	8	35997	35998
10	15	36161	36162
0	14	36274	36275
5	8	36557	36558
1	11	36605	36606
4	6	36922	36923
4	8	36926	36927
0	2	36948	36949
2	11	36963	36964
8	11	37146	37147
0	4	37167	37168
4	10	37336	37337
1	7	37443	37444
4	10	37446	37447
5	8	37533	37534
2	13	37561	37562
1	15	37563	37564
10	13	37806	37807
3	10	37849	37850
5	8	37896	37897
4	9	38044	38045
0	2	38136	38137
7	14	38159	38160
1	9	38169	38170
1	12	38202	38203
5	8	38217	38218
6	11	38289	38290
0	2	38396	38397
4	6	38511	38512
10	15	38665	38666
9	14	38686	38687
4	7	38797	38798
1	16	38966	38967
4	9	39055	39056
0	3	39164	39165
8	15	39371	39372
0	7	39384	39385
1	11	39536	39537
6	16	39735	39736
4	8	39736	39737
4	7	40187	40188
10	15	40202	40203
7	8	40216	40217
7	8	40228	40229
0	14	40319	40320
0	5	40966	40967
4	8	41053	41054
1	6	41086	41087
8	11	41165	41166
2	14	41234	41235
5	8	41265	41266
9	14	41301	41302
7	15	41378	41379
10	15	41440	41441
0	14	41512	41513
10	15	41600	41601
9	15	41655	41656
2	12	41798	41799
8	10	41975	41976
2	9	42034	42035
7	10	42189	42190
6	10	42242	42243
0	7	42366	42367
4	6	42381	42382
5	8	42458	42459
8	9	42571	42572
11	15	42635	42636
1	10	42672	42673
5	6	42829	42830
4	15	42842	42843
4	13	42885	42886
2	7	42912	42913
1	4	42933	42934
7	8	43066	43067
2	8	43234	43235
1	3	43236	43237
6	13	43351	43352
2	8	43422	43423
2	9	43477	43478
3	9	43512	43513
2	14	43515	43516
2	3	43775	43776
13	14	43776	43777
8	13	44065	44066
9	13	44081	44082
1	14	44106	44107
5	8	44222	44223
6	8	44226	44227
0	4	44303	44304
10	11	44377	44378
3	4	44643	44644
10	15	44655	44656
12	14	44678	44679
6	7	44765	44766
1	11	44770	44771
3	8	44884	44885
0	7	45134	45135
2	6	45155	45156
1	8	45155	45156
0	7	45375	45376
1	7	45732	45733
4	15	45968	45969
0	7	45983	45984
5	8	46090	46091
3	12	46135	46136
2	6	46148	46149
10	14	46201	46202
10	14	46345	46346
8	11	46464	46465
13	14	46511	46512
2	3	46586	46587
10	11	46592	46593
9	13	46633	46634
3	8	46658	46659
11	15	46666	46667
0	14	46742	46743
1	5	46745	46746
3	7	46755	46756
3	8	46926	46927
4	11	46957	46958
0	9	46968	46969
3	9	47019	47020
0	4	47045	47046
1	4	47090	47091
1	11	47234	47235
1	3	47368	47369
1	4	47419	47420
2	5	47683	47684
10	13	47809	47810
9	14	47823	47824
10	15	47849	47850
0	6	48051	48052
9	11	48105	48106
0	2	48203	48204
1	13	48315	48316
6	7	48494	48495
4	9	48547	48548
0	15	48649	48650
0	4	48709	48710
4	9	48802	48803
1	11	48863	48864
5	7	48873	48874
0	3	48904	48905
0	7	49031	49032
4	7	49199	49200
2	5	49478	49479
8	15	49511	49512
1	6	49865	49866
7	10	50159	50160
10	14	50359	50360
0	7	50723	50724
11	14	50846	50847
8	14	51043	51044
13	14	51167	51168
4	8	51307	51308
1	6	51686	51687
0	11	51747	51748
13	14	51886	51887
2	14	52081	52082
9	12	52091	52092
1	11	52548	52549
13	14	52695	52696
9	13	52716	52717
11	13	53269	53270
4	13	53394	53395
1	11	53429	53430
4	8	54083	54084
4	15	54134	54135
4	11	54254	54255
2	9	54666	54667
1	15	54734	54735
4	10	54735	54736
1	9	54770	54771
3	14	54884	54885
2	3	54965	54966
9	10	55017	55018
4	9	55088	55089
4	10	55141	55142
9	11	55153	55154
0	14	55467	55468
0	3	55502	55503
7	13	55582	55583
2	4	55797	55798
4	9	55883	55884
4	7	56327	56328
1	11	56500	56501
1	11	56610	56611
9	15	56695	56696
1	14	56849	56850
2	3	56958	56959
8	10	57373	57374
4	8	57485	57486
11	12	57510	57511
1	13	58296	58297
1	11	58432	58433
9	13	58452	58453
5	13	58526	58527
4	5	58578	58579
5	8	58655	58656
7	15	58664	58665
10	11	58975	58976
10	15	59071	59072
10	15	59112	59113
3	13	59253	59254
11	16	59368	59369
4	14	59458	59459
6	10	59563	59564
11	16	59569	59570
7	14	59580	59581
1	12	59581	59582
0	13	59760	59761
4	6	59859	59860
13	15	59909	59910
0	4	60256	60257
1	15	60336	60337
7	15	60434	60435
1	3	60844	60845
0	3	61042	61043
2	8	61055	61056
7	15	61263	61264
0	14	61394	61395
8	9	61419	61420
5	8	61439	61440
4	15	61449	61450
1	13	61750	61751
9	10	61964	61965
4	13	62014	62015
11	13	62250	62251
1	11	62336	62337
1	8	62435	62436
11	15	62528	62529
2	7	62532	62533
8	13	62746	62747
10	13	62918	62919
6	9	63039	63040
1	9	63186	63187
3	8	63470	63471
5	8	63546	63547
9	15	63586	63587
1	13	63614	63615
2	11	63751	63752
3	7	64015	64016
2	4	64299	64300
5	8	64407	64408
1	11	64529	64530
8	11	64603	64604
10	11	64683	64684
4	11	64795	64796
0	13	64805	64806
13	16	64950	64951
6	15	65039	65040
5	8	65158	65159
5	8	65339	65340
7	9	65390	65391
13	15	65465	65466
4	5	65655	65656
1	4	65716	65717
2	14	65909	65910
0	14	66103	66104
3	15	66161	66162
1	2	66236	66237
2	4	66345	66346
1	7	66539	66540
2	7	66569	66570
9	15	66653	66654
5	13	66663	66664
1	13	67045	67046
2	13	67135	67136
3	9	67251	67252
4	16	67290	67291
4	8	67304	67305
4	9	67363	67364
4	7	67717	67718
4	8	67766	67767
5	13	67806	67807
6	7	67815	67816
1	2	67823	67824
3	13	67853	67854
6	7	67894	67895
1	11	67952	67953
2	7	68000	68001
1	11	68139	68140
5	8	68152	68153
0	11	68219	68220
7	8	68241	68242
6	13	68300	68301
7	8	68331	68332
11	15	68535	68536
2	14	68592	68593
2	7	68787	68788
4	7	68876	68877
0	14	69230	69231
1	11	69274	69275
2	7	69410	69411
7	15	69455	69456
1	13	69467	69468
1	11	69535	69536
3	8	69545	69546
4	8	69614	69615
4	8	69691	69692
0	5	69697	69698
4	11	69880	69881
4	13	69941	69942
2	3	70507	70508
4	9	70557	70558
4	9	70631	70632
4	8	70769	70770
13	14	70852	70853
4	13	70963	70964
6	9	71053	71054
0	4	71170	71171
3	13	71226	71227
2	7	71482	71483
4	9	71487	71488
0	9	71532	71533
4	15	71806	71807
2	13	71940	71941
7	8	71971	71972
0	4	71985	71986
1	15	72006	72007
1	9	72135	72136
5	8	72182	72183
5	8	72189	72190
1	11	72248	72249
2	10	72276	72277
1	14	72278	72279
6	9	72305	72306
0	4	72369	72370
4	7	72400	72401
2	13	72411	72412
3	4	72418	72419
2	12	72422	72423
0	13	72477	72478
1	11	72536	72537
1	11	72643	72644
2	11	72758	72759
8	11	72932	72933
4	13	72962	72963
3	5	72962	72963
4	13	73163	73164
6	10	73290	73291
0	1	73587	73588
6	10	74160	74161
3	13	74176	74177
12	14	74393	74394
6	9	74511	74512
4	6	74581	74582
4	8	74650	74651
10	15	74899	74900
3	12	75089	75090
7	13	75165	75166
4	7	75357	75358
3	14	75532	75533
11	13	75792	75793
3	7	75890	75891
2	7	76158	76159
1	9	76529	76530
4	6	76534	76535
6	13	76561	76562
13	14	76713	76714
1	11	76754	76755
5	8	76988	76989
7	14	77265	77266
0	13	77310	77311
3	6	77313	77314
2	13	77414	77415
0	11	77632	77633
7	16	77769	77770
4	11	77845	77846
9	10	77851	77852
1	11	77982	77983
4	16	78021	78022
1	10	78055	78056
0	2	78101	78102
2	7	78102	78103
0	15	78218	78219
1	4	78228	78229
4	6	78324	78325
0	1	78427	78428
5	7	78613	78614
0	13	78638	78639
4	14	78678	78679
6	10	78815	78816
7	15	78863	78864
8	15	79063	79064
4	6	79128	79129
3	7	79241	79242
1	8	79399	79400
6	13	79408	79409
9	11	79487	79488
6	10	79501	79502
8	12	79502	79503
7	8	79809	79810
1	4	80020	80021
