ID1	ID2	start_time	end_time
2	3	522	523
25	26	763	764
7	10	785	786
2	15	852	853
4	26	871	872
5	10	874	875
3	15	936	937
17	26	1010	1011
4	17	1025	1026
21	24	1038	1039
0	25	1052	1053
2	3	1060	1061
2	23	1072	1073
17	18	1151	1152
5	7	1158	1159
7	27	1231	1232
22	25	1267	1268
7	17	1337	1338
17	20	1343	1344
12	21	1369	1370
17	21	1434	1435
5	10	1442	1443
2	9	1451	1452
24	27	1459	1460
7	25	1464	1465
2	3	1533	1534
3	18	1534	1535
4	26	1602	1603
12	15	1603	1604
5	9	1675	1676
17	25	1676	1677
25	27	1682	1683
3	12	1693	1694
2	14	1735	1736
9	22	1742	1743
7	12	1750	1751
2	18	1796	1797
4	17	1848	1849
2	17	1857	1858
5	7	1883	1884
1	27	1902	1903
2	3	1955	1956
25	26	1981	1982
0	25	1983	1984
5	10	2063	2064
4	7	2089	2090
2	21	2090	2091
7	26	2127	2128
4	14	2164	2165
3	4	2169	2170
17	22	2181	2182
5	11	2253	2254
17	25	2260	2261
5	26	2264	2265
17	18	2269	2270
4	25	2289	2290
10	18	2317	2318
12	24	2359	2360
7	27	2372	2373
2	7	2377	2378
5	25	2434	2435
0	3	2534	2535
9	10	2556	2557
17	20	2574	2575
0	7	2608	2609
0	19	2635	2636
2	3	2641	2642
7	11	2650	2651
8	11	2654	2655
4	21	2658	2659
12	21	2678	2679
0	13	2687	2688
1	2	2728	2729
2	24	2733	2734
21	23	2736	2737
2	8	2754	2755
8	17	2759	2760
2	23	2759	2760
17	25	2771	2772
5	17	2778	2779
3	15	2784	2785
18	23	2805	2806
3	27	2827	2828
4	18	2833	2834
2	15	2834	2835
5	20	2837	2838
10	15	2840	2841
2	14	2855	2856
12	20	2857	2858
2	11	2883	2884
4	15	2897	2898
10	22	2907	2908
1	24	2929	2930
7	8	2957	2958
2	21	2960	2961
4	9	2991	2992
4	26	3002	3003
4	8	3071	3072
4	10	3087	3088
5	7	3091	3092
15	20	3113	3114
13	22	3129	3130
9	17	3131	3132
13	21	3136	3137
8	15	3145	3146
5	22	3172	3173
17	26	3186	3187
25	26	3189	3190
9	14	3194	3195
0	25	3205	3206
22	25	3206	3207
0	9	3207	3208
2	17	3223	3224
4	25	3285	3286
21	25	3338	3339
2	7	3342	3343
3	18	3387	3388
0	3	3401	3402
7	10	3417	3418
1	14	3450	3451
7	26	3458	3459
2	3	3489	3490
8	12	3587	3588
2	9	3628	3629
21	24	3640	3641
0	13	3699	3700
7	13	3722	3723
4	5	3733	3734
12	15	3840	3841
10	17	3882	3883
7	12	3889	3890
0	22	3889	3890
17	18	3911	3912
3	4	3938	3939
7	10	4000	4001
5	9	4007	4008
9	12	4011	4012
25	27	4020	4021
10	20	4034	4035
10	26	4098	4099
17	26	4106	4107
4	26	4131	4132
13	18	4135	4136
0	25	4194	4195
10	18	4218	4219
2	14	4227	4228
3	7	4238	4239
7	17	4240	4241
2	18	4246	4247
17	25	4260	4261
2	21	4273	4274
1	27	4316	4317
17	22	4318	4319
7	27	4360	4361
2	15	4374	4375
25	26	4438	4439
20	21	4454	4455
10	14	4497	4498
2	3	4508	4509
5	7	4516	4517
17	20	4526	4527
3	12	4535	4536
18	20	4540	4541
5	11	4603	4604
5	25	4627	4628
0	3	4721	4722
3	20	4752	4753
12	27	4765	4766
17	25	4802	4803
4	14	4863	4864
9	17	4868	4869
7	10	4874	4875
7	26	4877	4878
4	26	4886	4887
5	22	4906	4907
2	3	4917	4918
2	7	4928	4929
12	24	4945	4946
3	18	4966	4967
22	26	5020	5021
22	25	5021	5022
0	25	5042	5043
4	21	5071	5072
5	26	5080	5081
25	26	5081	5082
7	13	5089	5090
12	21	5093	5094
0	13	5097	5098
7	21	5099	5100
2	23	5139	5140
17	26	5160	5161
17	23	5162	5163
13	23	5169	5170
13	22	5191	5192
13	16	5196	5197
4	27	5211	5212
20	26	5217	5218
12	25	5238	5239
2	24	5243	5244
1	17	5247	5248
2	17	5250	5251
8	11	5287	5288
5	7	5289	5290
5	10	5304	5305
2	9	5330	5331
3	15	5364	5365
0	8	5367	5368
21	24	5377	5378
10	26	5397	5398
2	27	5400	5401
2	14	5401	5402
14	16	5415	5416
10	22	5432	5433
5	16	5435	5436
15	20	5439	5440
1	18	5443	5444
12	15	5446	5447
13	18	5447	5448
13	19	5448	5449
4	15	5454	5455
10	11	5464	5465
17	21	5472	5473
1	3	5476	5477
7	17	5490	5491
5	17	5493	5494
1	25	5518	5519
0	2	5534	5535
13	14	5546	5547
3	23	5561	5562
26	27	5568	5569
0	3	5577	5578
10	12	5598	5599
0	17	5630	5631
14	25	5646	5647
5	13	5695	5696
17	25	5732	5733
13	25	5761	5762
8	23	5763	5764
2	11	5792	5793
14	21	5796	5797
10	25	5796	5797
5	12	5808	5809
3	18	5815	5816
4	18	5820	5821
3	27	5821	5822
18	26	5822	5823
10	17	5826	5827
2	7	5832	5833
12	20	5833	5834
4	17	5850	5851
3	12	5850	5851
3	25	5857	5858
4	7	5859	5860
8	17	5865	5866
2	15	5871	5872
7	27	5891	5892
0	7	5895	5896
0	25	5898	5899
2	10	5919	5920
9	11	5926	5927
9	26	5994	5995
8	27	6004	6005
1	12	6006	6007
25	26	6034	6035
10	15	6060	6061
7	11	6069	6070
13	26	6107	6108
7	8	6132	6133
1	27	6148	6149
21	26	6166	6167
3	15	6168	6169
9	23	6170	6171
14	22	6174	6175
8	12	6178	6179
5	10	6184	6185
7	20	6187	6188
17	26	6194	6195
3	4	6232	6233
2	14	6235	6236
1	22	6237	6238
2	3	6262	6263
7	22	6282	6283
0	19	6286	6287
3	9	6316	6317
21	27	6347	6348
17	22	6351	6352
22	25	6358	6359
9	10	6383	6384
5	8	6390	6391
4	10	6420	6421
15	26	6497	6498
5	11	6507	6508
8	15	6531	6532
4	23	6548	6549
21	22	6578	6579
5	25	6583	6584
5	7	6600	6601
5	22	6619	6620
9	27	6629	6630
4	26	6639	6640
7	19	6655	6656
4	14	6663	6664
5	15	6688	6689
2	23	6694	6695
3	21	6717	6718
4	20	6719	6720
12	15	6725	6726
9	21	6729	6730
2	17	6729	6730
13	18	6738	6739
12	24	6763	6764
8	21	6775	6776
7	10	6788	6789
5	10	6798	6799
7	17	6807	6808
0	13	6854	6855
4	25	6892	6893
5	26	6897	6898
5	6	6920	6921
1	4	6926	6927
10	18	6929	6930
5	20	6958	6959
25	26	6982	6983
2	7	7002	7003
1	17	7017	7018
3	17	7056	7057
7	16	7057	7058
3	15	7085	7086
21	23	7087	7088
12	21	7088	7089
2	3	7097	7098
2	14	7120	7121
24	25	7125	7126
21	24	7149	7150
3	20	7160	7161
0	9	7176	7177
4	21	7247	7248
10	26	7251	7252
3	12	7252	7253
9	14	7260	7261
2	21	7265	7266
3	18	7317	7318
5	7	7327	7328
9	24	7356	7357
2	13	7356	7357
7	10	7359	7360
14	23	7390	7391
1	2	7392	7393
7	9	7418	7419
0	1	7436	7437
15	20	7457	7458
2	15	7506	7507
18	25	7563	7564
14	17	7573	7574
4	8	7600	7601
4	7	7601	7602
5	10	7604	7605
3	5	7641	7642
17	21	7651	7652
0	3	7663	7664
17	26	7723	7724
9	17	7789	7790
20	21	7801	7802
3	15	7836	7837
4	25	7847	7848
2	7	7853	7854
10	20	7881	7882
13	17	7909	7910
9	12	7909	7910
16	23	7921	7922
4	26	7946	7947
7	13	7953	7954
4	17	7961	7962
2	17	8030	8031
7	26	8056	8057
0	27	8074	8075
25	27	8077	8078
2	12	8102	8103
18	20	8121	8122
0	13	8136	8137
2	23	8148	8149
2	21	8171	8172
2	18	8173	8174
21	24	8195	8196
4	5	8201	8202
7	25	8212	8213
13	18	8215	8216
9	16	8326	8327
22	23	8378	8379
14	15	8489	8490
2	9	8520	8521
2	15	8539	8540
10	23	8558	8559
0	22	8595	8596
5	26	8611	8612
12	17	8621	8622
5	9	8626	8627
1	8	8635	8636
4	17	8695	8696
13	22	8698	8699
13	21	8715	8716
18	21	8718	8719
3	15	8720	8721
17	27	8753	8754
17	20	8789	8790
25	26	8798	8799
12	27	8813	8814
12	14	8833	8834
4	25	8851	8852
8	24	8870	8871
1	17	8871	8872
7	27	8884	8885
5	10	8916	8917
3	20	8925	8926
0	13	8982	8983
17	18	8983	8984
8	9	8989	8990
1	14	8991	8992
7	10	8998	8999
0	19	9071	9072
0	3	9080	9081
3	24	9085	9086
10	26	9102	9103
10	17	9105	9106
9	22	9179	9180
7	18	9179	9180
15	20	9213	9214
21	25	9301	9302
2	21	9316	9317
17	21	9348	9349
2	13	9435	9436
13	18	9462	9463
4	27	9486	9487
2	8	9513	9514
5	10	9537	9538
13	24	9559	9560
4	17	9622	9623
3	18	9694	9695
12	15	9712	9713
4	25	9760	9761
7	10	9760	9761
4	5	9766	9767
5	9	9871	9872
8	15	9963	9964
5	6	10019	10020
24	25	10226	10227
2	3	10349	10350
17	20	10463	10464
0	19	10527	10528
7	25	10542	10543
4	25	10543	10544
12	18	10581	10582
10	14	10645	10646
4	17	10700	10701
7	12	10803	10804
0	27	10829	10830
9	22	10899	10900
18	23	10901	10902
4	5	11035	11036
12	15	11154	11155
2	3	11170	11171
3	7	11268	11269
5	9	11314	11315
1	11	11509	11510
7	25	11571	11572
0	14	11723	11724
5	21	11740	11741
7	13	11820	11821
17	18	12021	12022
17	25	12172	12173
2	3	12180	12181
9	27	12334	12335
3	9	12528	12529
2	4	12683	12684
7	10	12723	12724
17	25	12786	12787
7	25	12817	12818
7	9	12898	12899
9	22	13076	13077
2	19	13308	13309
17	25	13441	13442
4	22	13577	13578
17	25	13971	13972
16	18	14231	14232
2	13	14316	14317
5	18	14360	14361
12	19	15063	15064
2	16	15740	15741
4	22	18981	18982
1	24	20337	20338
10	21	20788	20789
24	27	29009	29010
17	24	30108	30109
24	27	30365	30366
24	27	33799	33800
22	27	36044	36045
23	24	40560	40561
4	9	52044	52045
