ID1	ID2	start_time	end_time
0	3	234	235
4	17	289	290
4	25	298	299
3	27	543	544
7	12	658	659
12	25	743	744
5	8	775	776
1	27	806	807
7	10	1054	1055
17	27	1130	1131
2	3	1137	1138
12	24	1393	1394
12	21	1395	1396
5	16	1410	1411
5	7	1500	1501
7	10	1667	1668
0	7	1802	1803
9	10	2094	2095
7	10	2178	2179
17	18	2192	2193
10	14	2501	2502
0	13	2666	2667
14	25	2718	2719
1	27	2769	2770
4	26	2888	2889
13	17	2981	2982
18	23	3364	3365
17	25	3421	3422
2	9	3497	3498
5	20	3506	3507
2	23	3750	3751
7	18	3791	3792
3	20	3792	3793
5	25	3793	3794
2	3	3801	3802
13	18	3836	3837
10	12	3906	3907
12	24	3945	3946
4	17	3967	3968
0	25	4171	4172
14	16	4207	4208
3	5	4293	4294
2	3	4659	4660
4	14	4674	4675
2	21	4684	4685
12	20	4701	4702
13	22	5000	5001
5	10	5009	5010
22	25	5050	5051
4	7	5268	5269
5	15	5351	5352
9	22	5370	5371
15	20	5414	5415
21	24	5478	5479
5	11	5602	5603
0	13	5645	5646
21	24	5659	5660
13	18	5694	5695
0	9	5748	5749
3	17	5887	5888
7	26	6177	6178
3	12	6474	6475
9	16	6509	6510
0	13	6623	6624
12	15	6719	6720
7	17	6738	6739
5	17	6772	6773
7	10	6818	6819
0	3	6846	6847
1	3	6886	6887
23	24	6929	6930
4	25	7051	7052
3	15	7083	7084
12	20	7194	7195
3	18	7206	7207
3	4	7298	7299
5	22	7581	7582
1	17	7908	7909
7	25	8500	8501
10	14	8854	8855
18	23	9003	9004
12	21	9053	9054
2	27	9224	9225
2	3	9253	9254
21	24	9302	9303
4	8	9574	9575
5	9	9648	9649
5	7	9759	9760
17	26	9820	9821
5	10	9836	9837
4	5	9905	9906
4	7	10113	10114
10	17	10280	10281
14	22	10563	10564
0	25	10743	10744
13	22	10847	10848
1	25	11060	11061
2	17	11078	11079
8	17	11332	11333
2	18	11402	11403
5	6	11578	11579
4	21	11780	11781
8	11	12185	12186
2	7	12208	12209
10	23	12228	12229
0	14	12374	12375
8	24	12641	12642
17	26	12682	12683
5	9	12769	12770
13	25	12932	12933
2	14	13324	13325
0	17	13441	13442
3	18	13449	13450
17	22	13574	13575
9	26	13710	13711
8	12	13730	13731
17	26	13754	13755
5	11	13905	13906
16	18	14026	14027
7	16	14079	14080
12	14	14326	14327
17	21	14504	14505
0	25	14555	14556
2	3	14595	14596
4	14	15031	15032
10	26	15090	15091
5	7	15216	15217
21	24	15251	15252
4	5	15317	15318
7	13	15547	15548
26	27	15578	15579
2	3	15685	15686
4	26	15729	15730
4	25	15768	15769
5	26	15786	15787
8	15	15873	15874
3	15	15878	15879
0	19	16034	16035
0	22	16241	16242
12	27	16279	16280
9	14	16529	16530
3	15	16622	16623
25	26	17176	17177
3	15	17209	17210
22	25	17262	17263
2	13	17267	17268
9	27	17364	17365
21	22	17651	17652
4	7	17774	17775
4	23	17786	17787
17	18	17790	17791
4	26	17889	17890
2	18	18052	18053
10	18	18233	18234
17	20	18317	18318
1	12	18587	18588
25	27	18590	18591
4	27	18691	18692
0	13	18843	18844
9	21	19071	19072
2	7	19609	19610
9	12	19643	19644
18	25	19737	19738
10	26	20155	20156
5	17	20370	20371
9	14	20507	20508
7	10	20514	20515
24	27	20534	20535
5	10	20727	20728
4	20	20802	20803
0	19	20969	20970
4	26	21127	21128
5	9	21159	21160
21	26	21356	21357
4	27	21425	21426
12	18	21610	21611
7	27	21656	21657
17	25	21682	21683
4	25	21702	21703
21	23	21982	21983
2	21	22106	22107
18	21	22252	22253
12	15	22576	22577
7	27	22652	22653
7	27	23128	23129
8	21	23398	23399
7	8	23690	23691
4	14	23709	23710
5	9	23813	23814
12	24	23938	23939
5	26	23948	23949
24	25	24075	24076
7	10	24110	24111
2	3	24152	24153
7	19	24437	24438
3	7	24571	24572
7	10	24579	24580
4	15	24600	24601
10	26	24690	24691
7	25	26097	26098
3	15	26476	26477
4	15	26674	26675
1	17	26697	26698
12	15	26752	26753
3	18	26772	26773
1	14	26838	26839
0	2	26926	26927
14	21	27005	27006
5	7	27115	27116
8	12	27231	27232
4	9	27329	27330
2	21	27429	27430
22	26	27441	27442
13	19	27721	27722
4	26	27821	27822
0	13	27853	27854
2	15	27872	27873
9	12	28080	28081
9	23	28288	28289
7	12	28377	28378
3	9	28380	28381
2	23	28542	28543
18	26	28668	28669
2	7	28805	28806
3	18	28978	28979
2	13	29156	29157
4	17	29278	29279
13	26	29386	29387
2	3	29507	29508
24	27	29580	29581
10	22	29665	29666
4	8	29749	29750
0	3	29797	29798
10	22	29861	29862
1	2	29872	29873
2	14	29890	29891
17	22	29930	29931
20	26	29956	29957
8	23	30083	30084
15	20	30339	30340
5	10	30357	30358
2	23	30460	30461
4	21	30731	30732
22	27	30848	30849
0	3	30854	30855
2	12	31086	31087
10	17	31143	31144
25	26	31197	31198
2	15	31551	31552
3	25	31942	31943
5	10	32169	32170
1	22	32411	32412
2	3	33053	33054
8	9	33079	33080
13	18	66685	66686
9	22	66788	66789
5	20	66797	66798
5	21	66892	66893
7	11	67024	67025
2	3	67225	67226
9	17	67374	67375
25	27	67721	67722
25	26	67788	67789
0	3	67929	67930
3	15	67938	67939
2	13	68005	68006
4	25	68293	68294
3	27	68464	68465
2	23	68746	68747
2	21	68766	68767
17	25	68862	68863
2	9	68903	68904
2	9	69232	69233
7	25	69300	69301
12	27	69319	69320
2	8	69414	69415
25	26	69448	69449
12	21	69742	69743
5	26	69804	69805
4	22	69827	69828
5	25	70151	70152
0	27	70304	70305
8	17	70422	70423
1	24	70494	70495
24	27	70521	70522
17	18	70533	70534
17	18	70761	70762
7	27	70902	70903
7	10	71227	71228
2	7	71282	71283
13	14	71363	71364
13	18	71401	71402
0	8	71429	71430
2	17	71618	71619
10	20	71816	71817
4	17	71942	71943
4	17	72052	72053
7	26	72161	72162
5	10	72173	72174
7	22	72327	72328
2	24	72386	72387
2	21	72547	72548
4	25	72635	72636
1	27	72724	72725
13	18	72801	72802
8	15	72866	72867
2	17	73056	73057
1	2	73241	73242
9	24	73288	73289
25	26	73329	73330
1	14	73415	73416
7	10	73605	73606
0	19	73663	73664
9	27	73858	73859
3	20	74049	74050
3	20	74424	74425
4	5	74536	74537
17	20	74612	74613
12	17	74621	74622
9	11	74995	74996
4	26	75027	75028
10	26	75052	75053
9	22	75081	75082
10	20	75223	75224
17	25	75547	75548
10	15	75791	75792
2	21	75879	75880
18	20	76047	76048
24	25	76697	76698
17	20	76765	76766
4	18	76790	76791
1	8	76809	76810
7	26	76809	76810
0	3	76954	76955
7	25	77139	77140
8	15	77245	77246
2	17	77267	77268
7	17	77661	77662
2	14	77670	77671
17	25	77689	77690
17	23	77870	77871
7	26	77888	77889
22	25	78049	78050
3	4	78389	78390
17	25	78533	78534
3	18	78575	78576
0	19	78767	78768
2	18	79015	79016
4	26	79127	79128
10	17	79181	79182
7	17	79318	79319
2	15	79425	79426
5	22	79441	79442
24	27	79486	79487
2	3	79651	79652
4	18	79877	79878
17	25	79969	79970
17	21	80212	80213
15	20	80213	80214
3	4	80303	80304
10	18	80373	80374
0	25	80653	80654
13	23	80909	80910
4	10	80998	80999
18	20	81019	81020
5	9	81066	81067
7	8	81155	81156
0	22	81184	81185
0	7	81569	81570
20	21	81619	81620
2	19	81701	81702
9	22	81758	81759
15	26	82104	82105
14	17	82157	82158
4	25	82233	82234
21	25	82472	82473
1	11	82491	82492
1	24	82821	82822
5	10	83011	83012
2	11	83177	83178
2	11	83292	83293
14	23	83413	83414
2	24	83439	83440
17	25	83465	83466
4	10	83518	83519
4	21	83564	83565
4	17	83618	83619
20	21	83743	83744
13	21	83887	83888
2	3	83920	83921
22	23	84027	84028
2	23	84432	84433
8	27	84487	84488
2	14	84552	84553
3	7	84698	84699
2	8	84774	84775
0	27	84916	84917
2	4	84993	84994
0	9	85135	85136
7	12	85145	85146
7	13	85241	85242
2	15	85566	85567
0	1	85598	85599
21	25	85615	85616
5	7	85831	85832
2	15	86036	86037
17	26	86342	86343
7	25	86427	86428
5	25	86498	86499
3	12	86520	86521
2	9	86715	86716
25	26	86761	86762
5	6	86886	86887
5	12	87245	87246
5	13	87343	87344
10	18	87399	87400
25	27	87406	87407
21	27	87440	87441
3	18	87480	87481
7	17	87599	87600
17	18	87616	87617
13	24	87691	87692
7	11	88047	88048
22	25	88151	88152
10	15	88326	88327
13	16	88926	88927
14	15	88980	88981
17	25	89043	89044
5	22	89047	89048
4	5	89070	89071
7	13	89077	89078
3	15	89132	89133
1	18	89250	89251
