ID1	ID2	start_time	end_time
2	23	254	255
0	25	315	316
3	18	483	484
25	26	1099	1100
4	5	1180	1181
4	9	1807	1808
13	17	2037	2038
7	9	2265	2266
12	14	2390	2391
18	23	2524	2525
10	17	2773	2774
7	17	2851	2852
4	5	3125	3126
7	26	3338	3339
5	21	3377	3378
8	17	3442	3443
0	27	3598	3599
3	15	3710	3711
17	25	3840	3841
3	4	3868	3869
22	25	4240	4241
5	10	4633	4634
3	25	4731	4732
1	24	4876	4877
5	9	4876	4877
2	4	4900	4901
7	10	4961	4962
9	12	5206	5207
4	22	5325	5326
5	8	5382	5383
2	7	5875	5876
8	15	5891	5892
4	17	6124	6125
5	10	6189	6190
4	26	6239	6240
3	17	6455	6456
20	21	6499	6500
0	19	6847	6848
17	21	7188	7189
3	18	7235	7236
2	3	7318	7319
7	27	7406	7407
1	25	8333	8334
5	11	8363	8364
22	27	8483	8484
17	20	8662	8663
7	11	9292	9293
24	27	9336	9337
4	8	9346	9347
18	20	10084	10085
2	21	10174	10175
15	20	10560	10561
4	14	10589	10590
12	21	11208	11209
5	10	11494	11495
3	20	11619	11620
10	15	11675	11676
3	5	11770	11771
25	26	12018	12019
17	18	12138	12139
5	22	12219	12220
0	27	12529	12530
2	21	12880	12881
9	23	13264	13265
2	21	13787	13788
14	16	14168	14169
7	13	14314	14315
7	10	14596	14597
2	21	15225	15226
10	23	15297	15298
7	26	15473	15474
4	5	15748	15749
24	27	16132	16133
0	3	16226	16227
7	12	16294	16295
2	15	16313	16314
7	25	16494	16495
2	15	16596	16597
13	18	16597	16598
14	21	16809	16810
4	26	17001	17002
12	15	18011	18012
2	14	18269	18270
8	9	18557	18558
2	17	18705	18706
18	20	18739	18740
9	21	18801	18802
2	14	18982	18983
1	22	19115	19116
3	15	19334	19335
3	20	19495	19496
17	18	19606	19607
17	26	19797	19798
17	26	20152	20153
3	12	20189	20190
5	17	20224	20225
5	22	20296	20297
5	10	20533	20534
5	6	20613	20614
7	25	21028	21029
2	8	21342	21343
4	27	21668	21669
13	26	22014	22015
5	9	22346	22347
4	17	22351	22352
2	13	22364	22365
17	27	22623	22624
3	15	22823	22824
4	21	22948	22949
15	20	23014	23015
4	27	23208	23209
5	16	23322	23323
15	26	23558	23559
13	18	23602	23603
7	11	23761	23762
21	24	24022	24023
5	10	24383	24384
2	18	24611	24612
3	4	24926	24927
2	14	24933	24934
0	7	24984	24985
7	10	25215	25216
5	26	25575	25576
4	25	26113	26114
0	9	26138	26139
23	24	26594	26595
2	10	26960	26961
5	26	27081	27082
22	23	27088	27089
12	21	27261	27262
5	10	27261	27262
0	19	27626	27627
2	15	27829	27830
3	7	27919	27920
2	13	27986	27987
7	12	28040	28041
5	10	28456	28457
7	27	28686	28687
17	26	28955	28956
7	10	29046	29047
2	11	29096	29097
4	15	29568	29569
24	25	29875	29876
15	20	29950	29951
18	21	29966	29967
7	10	30038	30039
13	22	30471	30472
25	26	30518	30519
12	15	30856	30857
2	9	31296	31297
3	18	31687	31688
12	27	31703	31704
24	27	31893	31894
13	21	32118	32119
5	10	32281	32282
21	23	32824	32825
0	9	32844	32845
5	11	32904	32905
12	27	32907	32908
2	3	32986	32987
17	22	33470	33471
10	22	33850	33851
9	24	33961	33962
25	26	34111	34112
9	27	34112	34113
4	25	34249	34250
17	18	34966	34967
7	22	35074	35075
13	23	35153	35154
7	8	35377	35378
5	25	35454	35455
3	9	35561	35562
3	15	36139	36140
7	26	36306	36307
9	10	37071	37072
17	25	37678	37679
2	11	37834	37835
9	22	38065	38066
25	27	38114	38115
17	21	38233	38234
17	20	38322	38323
3	12	38365	38366
2	7	38415	38416
13	18	38467	38468
17	25	38856	38857
12	20	38863	38864
13	16	39005	39006
3	15	39140	39141
10	25	39486	39487
7	10	39605	39606
10	18	40010	40011
1	12	40121	40122
9	26	40173	40174
4	26	40254	40255
1	24	40295	40296
17	20	40629	40630
0	22	40754	40755
10	20	41120	41121
5	9	41173	41174
9	16	41287	41288
7	19	41309	41310
2	3	41504	41505
8	24	41515	41516
7	17	41528	41529
1	14	41806	41807
7	25	41956	41957
25	27	41967	41968
10	26	42431	42432
26	27	42445	42446
2	23	42762	42763
12	15	42922	42923
4	9	43023	43024
4	17	43063	43064
5	18	43123	43124
17	26	43192	43193
1	2	43279	43280
7	10	43455	43456
25	26	43717	43718
2	3	43744	43745
4	25	44021	44022
2	12	44053	44054
0	3	44069	44070
3	15	44081	44082
3	4	44102	44103
12	17	44632	44633
2	23	44752	44753
9	27	44973	44974
10	26	45107	45108
0	13	45173	45174
0	25	45238	45239
21	25	45682	45683
1	17	46087	46088
10	17	46196	46197
3	24	46296	46297
3	15	46618	46619
0	22	46652	46653
22	25	46706	46707
4	25	46818	46819
4	17	47053	47054
13	25	47068	47069
4	17	47156	47157
21	23	47420	47421
4	10	47507	47508
2	19	47519	47520
3	27	47911	47912
7	27	47912	47913
5	7	48107	48108
5	17	48154	48155
17	22	48470	48471
4	21	48853	48854
5	25	48936	48937
5	6	48961	48962
5	7	48987	48988
2	21	49160	49161
2	18	49163	49164
9	22	49181	49182
3	27	49223	49224
4	26	49394	49395
17	26	49549	49550
9	17	49818	49819
7	10	49863	49864
17	25	50220	50221
0	7	50792	50793
5	7	51015	51016
21	26	51063	51064
5	11	51356	51357
7	25	51402	51403
3	7	51514	51515
17	22	51815	51816
12	15	51833	51834
1	17	51939	51940
12	24	51955	51956
9	10	52046	52047
18	23	52124	52125
17	21	52598	52599
22	25	52683	52684
24	27	52781	52782
10	21	52981	52982
13	22	53030	53031
10	26	53081	53082
5	22	53082	53083
5	9	53263	53264
1	18	53509	53510
17	24	53566	53567
2	7	53618	53619
0	8	53792	53793
10	17	53900	53901
17	25	54025	54026
1	11	54518	54519
0	13	55170	55171
24	25	55178	55179
2	3	56020	56021
10	14	56431	56432
1	27	56434	56435
4	18	56718	56719
7	13	56763	56764
25	26	56879	56880
4	26	56938	56939
1	2	56952	56953
12	20	57131	57132
2	3	57257	57258
12	18	57455	57456
5	7	57482	57483
18	26	57824	57825
21	24	58066	58067
2	15	58203	58204
2	7	58247	58248
0	3	58348	58349
4	14	58711	58712
7	12	58738	58739
5	25	58800	58801
21	25	59046	59047
2	16	59056	59057
9	22	59065	59066
4	17	59237	59238
2	9	59704	59705
3	9	60166	60167
0	14	60342	60343
21	24	60416	60417
13	22	60564	60565
0	3	61090	61091
5	7	61724	61725
13	24	62190	62191
17	23	62195	62196
4	25	62288	62289
17	25	62321	62322
8	23	62526	62527
21	22	62640	62641
13	14	62662	62663
9	12	62667	62668
2	17	62952	62953
2	23	62999	63000
7	17	63837	63838
3	21	64214	64215
10	26	64266	64267
8	12	64351	64352
4	14	65302	65303
2	17	65541	65542
15	20	65924	65925
4	25	66851	66852
0	17	66936	66937
18	25	67271	67272
4	22	67341	67342
5	12	67530	67531
0	13	67588	67589
0	25	67668	67669
12	21	67687	67688
2	15	68088	68089
4	8	68116	68117
5	10	68813	68814
2	9	69101	69102
8	27	69109	69110
4	7	69134	69135
5	15	69203	69204
13	18	69249	69250
14	23	69306	69307
4	21	69545	69546
2	15	69985	69986
12	25	70038	70039
17	25	70121	70122
8	12	70229	70230
5	13	70382	70383
10	15	70484	70485
17	25	70542	70543
2	7	70757	70758
2	9	71063	71064
10	12	71250	71251
2	3	71289	71290
7	10	71455	71456
8	15	71568	71569
7	21	71898	71899
5	26	72086	72087
1	8	72530	72531
12	24	72714	72715
4	5	72964	72965
0	25	73027	73028
14	25	73416	73417
2	14	73719	73720
3	12	74134	74135
0	19	74508	74509
9	17	74535	74536
4	26	74741	74742
14	15	74754	74755
5	7	74887	74888
1	14	74898	74899
9	17	75050	75051
17	21	75156	75157
7	13	75163	75164
3	20	75211	75212
2	18	75334	75335
12	15	75517	75518
2	23	76256	76257
4	26	76569	76570
2	3	76692	76693
4	23	76774	76775
17	25	76974	76975
0	25	76994	76995
2	3	77382	77383
1	27	77717	77718
2	17	77733	77734
12	21	78092	78093
2	3	79385	79386
20	21	79742	79743
2	3	79962	79963
25	26	80090	80091
1	17	80597	80598
8	15	80635	80636
4	7	80968	80969
17	20	81105	81106
7	26	81297	81298
5	20	81304	81305
5	9	81388	81389
8	17	81436	81437
14	17	81674	81675
12	24	81939	81940
2	13	82205	82206
13	19	82254	82255
13	18	82479	82480
3	12	82800	82801
2	21	82959	82960
9	14	82960	82961
7	27	83212	83213
4	7	83235	83236
1	4	83264	83265
22	25	83572	83573
2	3	83849	83850
9	22	84120	84121
25	26	84455	84456
7	20	84663	84664
