ID1	ID2	start_time	end_time
36	41	569	570
28	32	675	676
45	47	719	720
3	9	737	738
3	28	744	745
3	6	749	750
4	9	848	849
44	57	849	850
17	28	874	875
32	43	933	934
16	23	952	953
3	11	957	958
36	52	983	984
45	57	997	998
21	31	998	999
20	40	1004	1005
3	53	1009	1010
19	37	1026	1027
31	56	1031	1032
36	37	1041	1042
26	30	1045	1046
24	40	1046	1047
29	31	1053	1054
2	13	1058	1059
16	17	1060	1061
2	4	1061	1062
2	12	1064	1065
36	40	1073	1074
32	36	1100	1101
6	53	1101	1102
27	28	1109	1110
37	49	1124	1125
27	43	1126	1127
4	15	1145	1146
2	7	1161	1162
21	55	1174	1175
40	42	1202	1203
30	34	1202	1203
5	16	1217	1218
18	34	1225	1226
6	23	1233	1234
17	33	1251	1252
17	46	1251	1252
39	42	1252	1253
44	47	1253	1254
1	8	1255	1256
4	30	1258	1259
5	12	1266	1267
9	17	1281	1282
4	5	1281	1282
17	31	1283	1284
6	40	1305	1306
14	36	1308	1309
38	42	1320	1321
14	35	1328	1329
31	60	1331	1332
1	33	1334	1335
30	47	1336	1337
6	16	1345	1346
24	38	1349	1350
22	57	1362	1363
23	42	1365	1366
16	48	1368	1369
0	4	1369	1370
5	6	1388	1389
28	56	1428	1429
22	25	1429	1430
3	6	1430	1431
27	30	1431	1432
15	53	1433	1434
25	28	1443	1444
56	57	1443	1444
25	35	1450	1451
44	46	1459	1460
1	4	1499	1500
45	46	1501	1502
37	43	1505	1506
15	16	1513	1514
21	28	1532	1533
31	55	1539	1540
28	36	1564	1565
5	24	1569	1570
5	19	1580	1581
2	6	1590	1591
17	28	1597	1598
31	47	1598	1599
6	19	1599	1600
18	24	1610	1611
33	50	1618	1619
0	12	1618	1619
32	44	1627	1628
38	49	1631	1632
36	41	1632	1633
28	49	1636	1637
22	28	1676	1677
3	54	1676	1677
1	14	1677	1678
12	13	1679	1680
37	38	1680	1681
30	46	1681	1682
25	30	1681	1682
44	57	1689	1690
2	28	1696	1697
24	49	1701	1702
21	47	1718	1719
17	53	1725	1726
26	45	1726	1727
27	44	1729	1730
34	35	1740	1741
45	57	1740	1741
25	29	1741	1742
4	10	1747	1748
29	34	1751	1752
0	34	1752	1753
57	58	1752	1753
12	15	1760	1761
15	28	1765	1766
3	55	1766	1767
47	58	1767	1768
5	57	1770	1771
35	50	1780	1781
0	17	1782	1783
49	59	1784	1785
36	42	1796	1797
9	16	1797	1798
45	47	1799	1800
12	34	1800	1801
3	26	1800	1801
31	44	1801	1802
14	44	1803	1804
12	17	1806	1807
26	36	1808	1809
6	17	1811	1812
3	32	1818	1819
45	60	1818	1819
9	28	1824	1825
