ID1	ID2	start_time	end_time
0	27	6	7
44	55	8	9
35	48	8	9
21	47	18	19
32	47	22	23
6	30	75	76
24	59	109	110
12	21	150	151
31	48	181	182
10	13	183	184
8	10	196	197
21	61	240	241
3	28	248	249
7	28	283	284
10	16	287	288
28	34	371	372
32	47	422	423
36	47	501	502
3	4	573	574
20	53	588	589
18	41	601	602
1	17	615	616
26	30	681	682
52	58	706	707
26	49	727	728
15	28	755	756
0	8	811	812
13	24	813	814
23	47	836	837
19	37	846	847
18	50	936	937
17	38	1008	1009
32	44	1022	1023
52	59	1031	1032
12	16	1063	1064
0	12	1112	1113
22	38	1157	1158
1	8	1160	1161
2	7	1170	1171
5	24	1301	1302
55	59	1305	1306
29	44	1386	1387
5	29	1404	1405
13	56	1412	1413
52	60	1469	1470
17	33	1509	1510
3	54	1520	1521
7	8	1532	1533
15	57	1539	1540
2	12	1607	1608
4	7	1610	1611
39	40	1616	1617
29	37	1710	1711
9	40	1760	1761
15	31	1772	1773
9	35	1776	1777
7	53	1795	1796
24	44	1799	1800
36	42	1816	1817
36	60	1828	1829
18	45	1836	1837
0	18	1899	1900
41	51	1936	1937
52	57	1983	1984
0	14	2123	2124
3	50	2137	2138
24	51	2147	2148
23	33	2186	2187
45	47	2192	2193
24	37	2239	2240
1	25	2269	2270
5	22	2284	2285
10	15	2287	2288
7	11	2306	2307
27	61	2348	2349
59	61	2385	2386
30	55	2480	2481
37	40	2502	2503
11	32	2530	2531
23	41	2540	2541
12	15	2565	2566
37	50	2613	2614
25	61	2645	2646
39	42	2699	2700
16	58	2709	2710
31	50	2725	2726
14	19	2750	2751
6	12	2799	2800
25	55	2891	2892
13	31	2907	2908
14	44	2909	2910
4	15	3009	3010
0	35	3010	3011
44	60	3030	3031
3	9	3035	3036
4	8	3059	3060
8	36	3065	3066
5	28	3077	3078
42	49	3096	3097
4	6	3184	3185
9	37	3270	3271
5	36	3280	3281
30	56	3285	3286
17	19	3296	3297
0	11	3298	3299
9	58	3329	3330
30	32	3340	3341
12	48	3368	3369
13	15	3371	3372
11	31	3445	3446
12	59	3505	3506
32	43	3549	3550
37	50	3597	3598
28	36	3608	3609
17	18	3649	3650
31	55	3670	3671
24	39	3722	3723
5	30	3742	3743
35	52	3884	3885
7	60	3887	3888
22	29	3895	3896
25	45	3926	3927
22	25	3937	3938
15	45	3998	3999
26	36	4038	4039
29	31	4057	4058
35	52	4086	4087
31	45	4087	4088
26	38	4110	4111
4	13	4133	4134
15	16	4141	4142
16	17	4147	4148
21	55	4156	4157
17	40	4211	4212
25	31	4237	4238
15	17	4249	4250
25	43	4251	4252
12	22	4254	4255
22	25	4296	4297
0	34	4304	4305
7	29	4329	4330
54	61	4365	4366
17	28	4366	4367
15	28	4374	4375
30	36	4397	4398
20	23	4476	4477
7	55	4479	4480
17	23	4485	4486
24	40	4502	4503
26	30	4519	4520
0	8	4571	4572
2	7	4573	4574
19	37	4588	4589
28	31	4644	4645
12	53	4697	4698
28	31	4703	4704
1	49	4717	4718
56	59	4835	4836
1	4	4838	4839
5	30	4844	4845
40	48	4844	4845
21	60	4848	4849
6	59	4857	4858
29	61	4869	4870
47	59	4883	4884
2	53	4910	4911
