ID1	ID2	start_time	end_time
35	41	6	7
18	33	34	35
15	53	48	49
34	48	114	115
16	33	176	177
1	10	180	181
23	58	189	190
21	31	266	267
3	9	352	353
15	53	418	419
20	37	445	446
56	58	541	542
2	28	564	565
25	48	589	590
6	21	735	736
2	13	736	737
45	47	741	742
32	55	745	746
2	13	747	748
48	58	792	793
4	30	809	810
18	23	862	863
17	33	881	882
3	53	924	925
17	37	948	949
5	17	960	961
24	52	1028	1029
18	39	1206	1207
21	31	1243	1244
0	40	1278	1279
26	36	1280	1281
12	47	1401	1402
22	28	1453	1454
32	36	1469	1470
9	17	1536	1537
9	54	1563	1564
29	53	1572	1573
1	17	1610	1611
6	46	1639	1640
7	25	1712	1713
18	45	1719	1720
0	12	1823	1824
4	24	1846	1847
12	42	1906	1907
24	38	1978	1979
22	34	1993	1994
44	55	2006	2007
35	50	2036	2037
1	52	2136	2137
17	20	2295	2296
13	53	2326	2327
17	54	2447	2448
5	33	2476	2477
4	30	2542	2543
17	21	2614	2615
37	47	2624	2625
36	37	2656	2657
36	41	2685	2686
17	53	2713	2714
0	4	2746	2747
42	49	2767	2768
35	57	2834	2835
43	55	2839	2840
12	29	2877	2878
46	54	2885	2886
5	24	2894	2895
1	54	2936	2937
6	16	2972	2973
12	22	2980	2981
13	42	3021	3022
45	57	3051	3052
26	45	3054	3055
18	45	3059	3060
12	50	3112	3113
6	13	3172	3173
36	40	3183	3184
13	61	3255	3256
21	28	3272	3273
38	41	3341	3342
54	61	3407	3408
15	18	3419	3420
21	24	3464	3465
46	53	3557	3558
2	15	3596	3597
43	47	3602	3603
3	15	3732	3733
20	42	3762	3763
4	18	3834	3835
23	37	3860	3861
13	16	3864	3865
21	42	3918	3919
25	45	3968	3969
2	12	3992	3993
20	31	4102	4103
44	60	4143	4144
5	16	4206	4207
44	46	4260	4261
30	52	4270	4271
4	10	4274	4275
29	55	4304	4305
17	38	4311	4312
29	42	4352	4353
16	47	4354	4355
3	37	4424	4425
15	21	4441	4442
29	34	4458	4459
6	20	4474	4475
4	10	4475	4476
32	47	4517	4518
5	55	4533	4534
25	35	4543	4544
20	41	4561	4562
18	33	4582	4583
3	6	4632	4633
3	28	4679	4680
21	37	4689	4690
12	30	4742	4743
10	13	4750	4751
28	56	4751	4752
34	53	4756	4757
43	47	4763	4764
22	29	4778	4779
0	10	4796	4797
15	55	4800	4801
15	16	4801	4802
9	46	4833	4834
9	31	4869	4870
30	34	4902	4903
29	44	4940	4941
7	56	4965	4966
9	30	5146	5147
6	23	5171	5172
35	50	5182	5183
17	28	5233	5234
26	34	5320	5321
56	60	5397	5398
26	57	5585	5586
6	40	5601	5602
9	12	5638	5639
26	55	5727	5728
4	9	5731	5732
0	29	5839	5840
5	16	5864	5865
31	55	5922	5923
5	11	5951	5952
25	30	6004	6005
17	30	6085	6086
3	15	6123	6124
10	11	6226	6227
47	58	6227	6228
28	49	6257	6258
44	60	6264	6265
12	52	6315	6316
7	51	6323	6324
1	14	6340	6341
3	17	6397	6398
8	46	6411	6412
2	6	6414	6415
46	56	6442	6443
6	36	6448	6449
14	59	6502	6503
21	32	6517	6518
8	53	6532	6533
28	38	6538	6539
20	40	6607	6608
31	56	6623	6624
24	51	6629	6630
24	40	6639	6640
56	61	6662	6663
14	28	6758	6759
24	37	6771	6772
23	24	6772	6773
46	54	6875	6876
3	54	6903	6904
32	57	6914	6915
17	43	6946	6947
0	4	6967	6968
6	17	7017	7018
23	24	7045	7046
3	55	7172	7173
29	54	7192	7193
33	51	7245	7246
9	28	7261	7262
16	33	7271	7272
52	58	7274	7275
39	59	7337	7338
12	56	7341	7342
30	59	7359	7360
32	36	7361	7362
20	50	7373	7374
24	59	7386	7387
15	24	7425	7426
48	58	7469	7470
12	16	7519	7520
31	36	7555	7556
30	47	7557	7558
22	48	7576	7577
3	26	7708	7709
45	46	7810	7811
42	57	7828	7829
9	10	7842	7843
0	36	7880	7881
50	52	7881	7882
31	56	7882	7883
9	16	7974	7975
13	17	8014	8015
2	15	8075	8076
3	17	8123	8124
43	48	8164	8165
6	13	8195	8196
7	12	8205	8206
31	55	8239	8240
3	11	8242	8243
26	37	8248	8249
31	44	8254	8255
20	40	8315	8316
27	57	8370	8371
10	12	8383	8384
15	16	8405	8406
44	46	8420	8421
