ID1	ID2	start_time	end_time
rrr	grg	472	473
gbb	rbr	1211	1212
ryn	rbr	2249	2250
gbb	grb	2749	2750
bgn	bng	2904	2905
brn	grb	3073	3074
brr	rgn	4240	4241
brn	ggg	5974	5975
gbb	brr	6645	6646
ggg	bng	7128	7129
brr	rgn	7298	7299
bgr	grr	7350	7351
gbb	rnb	7689	7690
bng	grg	7932	7933
gbb	rng	8565	8566
nrb	rng	9566	9567
gbb	rng	10055	10056
ggg	rbr	10157	10158
ggg	rbr	10453	10454
bgn	bng	10527	10528
ryn	grb	10658	10659
ggg	gpn	10890	10891
gbb	rng	11157	11158
nbg	rrr	11819	11820
brn	nbg	12464	12465
brr	gpn	12914	12915
brn	oon	13100	13101
bgr	ggg	13154	13155
brn	bgn	13201	13202
bgn	ggg	14677	14678
ggg	grb	15266	15267
bgn	grr	15645	15646
rrr	bbb	15913	15914
oon	grg	16324	16325
rnb	grb	16623	16624
ryn	rrr	16728	16729
rbr	rnb	16865	16866
bgr	brr	17225	17226
rrr	oon	18394	18395
grb	rbr	18409	18410
ryn	gbb	19659	19660
gbb	rgn	19799	19800
ggg	grr	21666	21667
brr	gpn	22721	22722
ryn	nbg	22786	22787
gbb	rbr	22959	22960
gbb	grb	22995	22996
brn	rrr	23288	23289
ggg	gpn	23389	23390
nrb	bng	23429	23430
nbg	grr	23562	23563
ggg	brr	23612	23613
gbb	brr	24045	24046
gbb	rng	25282	25283
bgn	nrb	25478	25479
ryn	rng	25654	25655
rnb	brr	25853	25854
brr	rgn	27725	27726
rnb	rng	28177	28178
gbb	grb	28207	28208
bng	brr	28521	28522
ryn	nbg	29201	29202
grg	rng	29761	29762
gbb	rng	30820	30821
bgn	nrb	31653	31654
rnb	grb	32332	32333
nbg	rnb	33126	33127
gbb	grg	33528	33529
ryn	gbb	33758	33759
grg	rbr	33856	33857
bgn	ggg	34061	34062
nbg	bng	34275	34276
bgr	grg	34416	34417
gbb	bgn	34981	34982
nbg	grb	36361	36362
grb	bbb	36859	36860
bgn	ggg	39354	39355
oon	rgn	39739	39740
brr	grb	39902	39903
bng	nrb	40290	40291
brn	gbb	40866	40867
gbb	rbr	43377	43378
brn	nbg	43825	43826
nrb	rnb	44919	44920
nbg	oon	45623	45624
oon	rbr	46120	46121
ryn	nbg	46606	46607
nrb	rbr	47293	47294
gbb	oon	48001	48002
gbb	brr	48366	48367
oon	rbr	48590	48591
ggg	grr	49434	49435
gbb	bgr	49787	49788
bgn	nrb	50429	50430
oon	rbr	50939	50940
rbr	ggg	51232	51233
rng	rgn	52196	52197
ryn	bgr	52259	52260
brn	bng	54835	54836
brr	rbr	56191	56192
gbb	rbr	56265	56266
rrr	rbr	56869	56870
gbb	nbg	57668	57669
brr	grb	60850	60851
oon	grb	60962	60963
oon	grr	61417	61418
nbg	nrb	62083	62084
bgn	ggg	64704	64705
bgr	brr	65982	65983
brr	rnb	66372	66373
ggg	rbr	67313	67314
gbb	bbb	67369	67370
gbb	bbb	67921	67922
grb	rbr	68376	68377
grr	brr	69433	69434
rnb	grb	69744	69745
bng	brr	69964	69965
rrr	rbr	70710	70711
ryn	grg	71655	71656
oon	ggg	71720	71721
gbb	grr	72138	72139
ryn	rbr	73687	73688
bgr	brr	73713	73714
bgn	rnb	74200	74201
rbr	gpn	74593	74594
gbb	nrb	74702	74703
brn	rgn	75587	75588
brn	grg	76445	76446
ggg	bng	76449	76450
bgn	oon	77352	77353
ggg	rbr	77720	77721
nrb	rbr	78150	78151
ggg	grg	78562	78563
bgr	rng	78652	78653
bbb	rgn	80811	80812
nbg	brr	80834	80835
oon	grr	80937	80938
gbb	ggg	81625	81626
gbb	ggg	82155	82156
bng	nrb	82435	82436
bgn	oon	82641	82642
oon	grb	82933	82934
gbb	gpn	83505	83506
ggg	rbr	83658	83659
ggg	grg	83874	83875
brr	grb	84351	84352
ryn	grg	84489	84490
bng	brr	87151	87152
ggg	grr	87276	87277
gbb	ggg	87345	87346
gbb	rbr	87784	87785
gbb	nrb	88345	88346
ggg	rnb	88724	88725
bng	rnb	89062	89063
gbb	rgn	89094	89095
gbb	rbr	89121	89122
gbb	brr	89158	89159
rbr	nbg	89257	89258
brr	grb	89880	89881
ggg	bng	90074	90075
rbr	rnb	90208	90209
gbb	grg	90586	90587
grb	rbr	90966	90967
bgr	brr	91883	91884
rbr	gpn	92501	92502
brn	bgr	93409	93410
rng	rgn	93794	93795
ryn	ggg	94854	94855
bgr	rng	95962	95963
ggg	rbr	96502	96503
ggg	grr	96836	96837
rnb	rng	97082	97083
oon	rbr	98301	98302
rnb	oon	98527	98528
gbb	ggg	99551	99552
