ID1	ID2	start_time	end_time
nbb	gnn	160	161
nbr	nrr	289	290
nbr	nrr	447	448
nbb	gnn	542	543
nng	gnn	670	671
nrr	gnb	690	691
nbr	gnb	725	726
nbr	gnn	789	790
nrr	nbb	829	830
nbr	nrr	844	845
nng	nbb	877	878
gnr	gnn	913	914
nrn	bnr	945	946
nbr	nrr	986	987
nrr	ngr	1003	1004
ngg	gnn	1056	1057
gnn	bnr	1125	1126
nrr	nrg	1130	1131
nbb	gnn	1146	1147
gnr	nbb	1184	1185
nrr	ngn	1281	1282
nrr	gnb	1283	1284
nbr	nrr	1307	1308
nbb	nrr	1317	1318
nng	gnn	1403	1404
nrn	bnn	1424	1425
nbr	nrr	1553	1554
gnr	gnn	1587	1588
gnb	ngr	1587	1588
nbr	gnb	1696	1697
nbr	nnb	1733	1734
nbb	gnn	1760	1761
gnr	nbb	1768	1769
nbr	nrr	1769	1770
nbr	gnn	1774	1775
gnb	ngb	1775	1776
nng	nbb	1781	1782
gnn	rnr	1787	1788
nrn	bnr	1814	1815
nbb	gnn	1911	1912
nbr	nrr	1911	1912
nng	gnn	1911	1912
nrr	nrg	1925	1926
nrr	gnb	1947	1948
gnr	nrr	1969	1970
nrr	nbb	1970	1971
gnb	nbb	2005	2006
nrr	nnb	2081	2082
nbb	gnn	2095	2096
nbr	bnr	2109	2110
gnb	nrr	2148	2149
nbr	nrr	2214	2215
nng	bnr	2233	2234
gnn	nbb	2274	2275
gnr	gnn	2274	2275
nbb	gnn	2288	2289
nrr	bnr	2334	2335
ngg	ngr	2354	2355
nbr	nrr	2443	2444
nbr	gnb	2449	2450
nrn	bnn	2468	2469
gnb	nrn	2487	2488
nbr	ngb	2519	2520
nrr	nrn	2534	2535
nbr	ngr	2543	2544
nbr	gnn	2558	2559
ngn	bnn	2563	2564
nbr	nng	2564	2565
nng	gnn	2576	2577
nbb	gnn	2582	2583
nbr	nrr	2637	2638
nnr	nrn	2676	2677
ngb	bnn	2706	2707
nbr	nbb	2712	2713
gnn	nrn	2718	2719
ngg	nbn	2745	2746
nbb	gnn	2763	2764
gnn	nng	2778	2779
nrr	gnb	2793	2794
nbr	nrr	2830	2831
ngb	ngg	2841	2842
nng	gnr	2842	2843
gnb	ngr	2854	2855
nrr	nbb	2868	2869
nbb	gnn	2892	2893
ngg	gnn	2911	2912
nng	nbb	2912	2913
gnr	gnn	2924	2925
nbr	nnr	2936	2937
ngb	ngn	2953	2954
ngg	ngb	3040	3041
bnr	nbn	3092	3093
nbr	rnr	3095	3096
nbr	gnb	3118	3119
nng	gnn	3142	3143
nrr	ngn	3212	3213
ngr	gnn	3277	3278
nbr	nrr	3333	3334
gnn	ngr	3354	3355
nbr	nrn	3412	3413
nrr	nbr	3443	3444
nrr	bnn	3463	3464
nbr	nnb	3480	3481
nbr	nrr	3483	3484
gnr	nbb	3486	3487
nng	bnn	3493	3494
nbr	gnn	3502	3503
gnn	bnr	3527	3528
gnr	gnn	3535	3536
nrn	bnn	3537	3538
nbr	bnr	3548	3549
gnr	nrr	3557	3558
nbb	gnn	3559	3560
ngb	nrn	3559	3560
ngg	ngr	3588	3589
nrr	nrn	3589	3590
nbr	nrr	3660	3661
nng	gnn	3681	3682
nrr	ngr	3704	3705
nbb	gnn	3732	3733
nng	nbb	3760	3761
nbr	gnb	3764	3765
gnb	nnb	3774	3775
nrr	nbb	3806	3807
gnn	rnr	3875	3876
gnb	nrr	3876	3877
nbb	gnn	3884	3885
nbr	nrr	3925	3926
ngg	nbb	3950	3951
nbr	ngg	3955	3956
gnb	ngb	4009	4010
ngg	gnn	4011	4012
nrr	ngn	4065	4066
nrr	nrg	4069	4070
nbr	nrr	4075	4076
nrn	bnr	4128	4129
nrr	bnr	4154	4155
nrr	gnb	4156	4157
gnr	nbb	4178	4179
nng	bnr	4190	4191
nbr	gnb	4226	4227
nrg	nrr	4280	4281
nbr	nrr	4288	4289
nrn	gnn	4384	4385
ngn	ngg	4423	4424
ngn	bnr	4425	4426
bnn	nrg	4437	4438
nbr	nrr	4468	4469
nrr	nrn	4476	4477
gnr	gnn	4481	4482
nrr	nbb	4579	4580
nng	gnn	4592	4593
gnn	bnr	4637	4638
nbb	gnn	4665	4666
nng	nbb	4694	4695
gnb	nrn	4720	4721
nbr	gnb	4725	4726
gnb	nbb	4754	4755
nrr	ngb	4764	4765
nrr	gnb	4769	4770
nbr	nrr	4790	4791
gnr	nrr	4814	4815
nbb	gnn	4838	4839
nbr	bnr	4842	4843
nrr	ngr	4867	4868
nrr	gnr	4928	4929
nbr	nrr	4961	4962
gnn	nbb	4975	4976
nrr	ngn	4992	4993
ngb	ngn	4995	4996
nbb	gnn	4997	4998
gnb	nrr	5060	5061
nrn	nbn	5065	5066
nnb	nng	5073	5074
nbr	nng	5098	5099
nbr	nrr	5104	5105
gnr	gnn	5108	5109
gnn	ngg	5117	5118
nng	gnn	5187	5188
nnr	nrr	5225	5226
nbr	nnb	5241	5242
nbb	gnn	5249	5250
gnb	ngr	5253	5254
nrn	bnn	5295	5296
nnr	nbn	5324	5325
nbr	nrr	5343	5344
nbr	gnb	5354	5355
nrr	nrg	5356	5357
nrn	bnr	5385	5386
nbb	ngg	5387	5388
nnr	nng	5414	5415
nbb	gnn	5416	5417
ngb	ngg	5463	5464
nbb	ngb	5500	5501
nbr	nrr	5501	5502
gnn	gnr	5508	5509
nnr	nbb	5527	5528
nbb	rnr	5529	5530
gnb	nrg	5573	5574
nrr	nnb	5587	5588
nbb	gnn	5625	5626
nrr	nnr	5643	5644
nbr	nbb	5663	5664
gnr	gnn	5666	5667
nrn	ngg	5667	5668
ngg	nbn	5676	5677
ngr	nrn	5677	5678
gnr	bnn	5683	5684
nbr	ngr	5687	5688
nbr	nrr	5700	5701
bnr	nbn	5712	5713
ngg	ngb	5718	5719
nbb	gnn	5756	5757
nbr	nnr	5766	5767
gnb	rnr	5776	5777
nrr	gnb	5778	5779
nbr	gnb	5815	5816
nnr	nrn	5843	5844
nbr	nrr	5844	5845
gnn	bnr	5849	5850
ngg	gnn	5882	5883
nrr	ngn	5891	5892
nbr	gnn	5923	5924
nrr	nbb	5927	5928
nng	gnr	5950	5951
nbr	ngg	5975	5976
gnn	nrn	5989	5990
gnb	ngb	6071	6072
nbr	nrn	6152	6153
nng	gnn	6154	6155
ngb	nnr	6171	6172
nrr	rnr	6181	6182
nrr	nrn	6186	6187
nrr	bnn	6191	6192
nng	bnn	6197	6198
ngr	nnr	6214	6215
gnn	gnb	6218	6219
nbr	nrr	6221	6222
nnb	gnr	6236	6237
gnr	gnn	6254	6255
ngr	ngn	6290	6291
nrr	bnr	6292	6293
ngb	nrn	6329	6330
ngb	ngn	6372	6373
ngr	nrg	6444	6445
nrr	nrg	6448	6449
ngb	bnn	6467	6468
nbr	nrr	6467	6468
gnn	nbn	6517	6518
gnb	nrn	6518	6519
gnb	nrr	6551	6552
nbb	gnn	6558	6559
nng	nbb	6582	6583
nbr	gnn	6609	6610
nnr	gnb	6651	6652
gnb	ngn	6655	6656
rnr	bnr	6660	6661
nng	gnn	6709	6710
nrr	nbb	6711	6712
nbr	nrr	6719	6720
gnn	nng	6725	6726
nbb	gnn	6729	6730
ngn	bnn	6748	6749
nbr	gnb	6754	6755
nrr	gnr	6783	6784
nrr	ngb	6801	6802
nbr	bnr	6837	6838
nbr	nrr	6868	6869
nrr	nbn	6879	6880
nrn	bnn	6893	6894
nng	bnr	6935	6936
nrg	nrr	6935	6936
nrr	nbr	6946	6947
gnb	nbb	6954	6955
nrr	gnb	6961	6962
nrn	nrg	7008	7009
gnn	ngr	7042	7043
gnn	nbb	7046	7047
nrn	bnr	7065	7066
nbr	ngn	7151	7152
nrn	gnn	7164	7165
rnr	ngn	7166	7167
nbr	nrr	7169	7170
nbb	gnn	7209	7210
ngg	rnr	7212	7213
bnr	nng	7276	7277
gnn	rnr	7283	7284
nbr	bnn	7298	7299
nrr	nnb	7299	7300
nrr	nrn	7314	7315
nbr	nrr	7360	7361
nbb	gnn	7424	7425
nrn	ngr	7426	7427
ngr	gnn	7549	7550
nbr	nrr	7570	7571
nrr	gnn	7584	7585
nng	nbb	7600	7601
ngn	ngg	7606	7607
gnb	nnb	7625	7626
nbb	gnn	7633	7634
nbb	nrg	7728	7729
nbr	gnn	7747	7748
ngb	ngn	7807	7808
gnn	bnr	7817	7818
nbb	gnn	7913	7914
nbr	nrr	7918	7919
nrr	nrg	7936	7937
nbr	gnb	7937	7938
ngg	nnr	7969	7970
nbr	nrr	8056	8057
nrn	nbb	8062	8063
nrr	gnb	8072	8073
nbb	gnn	8171	8172
gnb	nrr	8211	8212
nrr	ngb	8230	8231
ngb	gnr	8245	8246
nbr	ngb	8278	8279
nrr	nrn	8295	8296
ngg	gnn	8308	8309
gnr	nbb	8333	8334
nrn	bnr	8376	8377
nbr	nrr	8402	8403
nbr	gnn	8412	8413
ngr	rnr	8453	8454
nbr	ngg	8552	8553
nbr	nrr	8578	8579
nrr	rnr	8675	8676
gnr	nrr	8767	8768
ngn	bnr	8844	8845
nrr	nrg	8871	8872
ngr	bnr	8895	8896
bnr	nrg	8998	8999
nnr	nbb	9205	9206
nrr	nnr	9243	9244
bnr	nnr	9342	9343
nbr	nnr	9711	9712
nbr	nrg	9738	9739
gnr	nbb	9767	9768
nnb	nng	9819	9820
nrr	ngn	9877	9878
nrr	ngr	10215	10216
rnr	gnn	10269	10270
gnb	ngr	10308	10309
gnr	nbb	10330	10331
nnb	nbb	11060	11061
nrg	nnr	11359	11360
nbb	bnr	11443	11444
gnb	ngr	11451	11452
nbb	gnn	11500	11501
gnr	nbb	11503	11504
rnr	nnb	11514	11515
gnn	nrr	11514	11515
bnr	nrg	11565	11566
nbb	gnn	11643	11644
nbb	gnn	11804	11805
ngg	rnr	11848	11849
nbb	gnn	12023	12024
nbb	gnn	12161	12162
nrr	ngr	12309	12310
nbb	gnn	12337	12338
gnr	nbb	12395	12396
gnb	ngr	12435	12436
gnn	nng	12481	12482
nbb	gnn	12534	12535
nrr	ngg	12604	12605
nbb	gnn	12664	12665
nbb	gnn	12859	12860
nbb	ngr	12869	12870
nrr	ngb	12960	12961
nbb	gnn	13045	13046
nbb	gnn	13201	13202
nbb	gnn	13415	13416
nbb	nnb	13728	13729
gnn	nng	13825	13826
gnb	nnr	14011	14012
nbb	ngn	14371	14372
bnn	nrg	14481	14482
nng	ngb	14490	14491
ngr	ngb	15011	15012
