ID1	ID2	start_time	end_time
gnn	ngb	99	100
nrn	bnr	746	747
gnb	ngr	931	932
gnr	nbb	936	937
gnb	ngb	1202	1203
nng	gnn	1335	1336
gnb	ngr	1365	1366
gnn	nrn	1365	1366
nbr	nnb	1512	1513
ngb	bnr	1600	1601
gnn	ngn	1628	1629
gnn	nrn	1695	1696
nng	nbb	1712	1713
nbb	ngn	1731	1732
bnr	nnr	1751	1752
gnn	nrr	2016	2017
nrr	gnr	2078	2079
nrr	bnr	2147	2148
nng	gnn	2149	2150
bnr	nbn	2354	2355
ngb	bnn	2356	2357
nnr	nrn	2516	2517
bnn	nrg	2520	2521
nng	nbb	2627	2628
nnr	nrn	2631	2632
nrr	ngb	2687	2688
gnb	bnn	2690	2691
nrg	ngn	2769	2770
ngr	nbb	2898	2899
gnb	nrg	2904	2905
nng	gnb	2945	2946
gnb	rnr	3106	3107
nbr	nrg	3506	3507
gnn	nnr	3655	3656
nng	ngg	3699	3700
ngg	nbb	3854	3855
ngg	nrg	3867	3868
ngr	nrn	4206	4207
nrg	nrn	4259	4260
nbr	gnn	4521	4522
nng	ngr	4898	4899
ngg	gnr	5040	5041
nrr	nrn	5217	5218
ngr	bnr	5244	5245
nng	nrr	5713	5714
nng	ngb	5763	5764
gnn	nrr	5773	5774
ngg	nbb	6155	6156
nrr	nrn	6173	6174
nnr	ngn	6239	6240
nbr	nrr	6607	6608
gnb	bnr	6748	6749
nrr	rnr	6797	6798
nnr	nrn	7053	7054
nbr	gnb	7208	7209
nbr	gnb	7321	7322
gnb	rnr	7414	7415
bnr	gnb	7440	7441
gnb	ngr	7528	7529
nng	gnn	7529	7530
ngb	nnb	7609	7610
nbr	nnr	7829	7830
ngg	nbb	8058	8059
nrg	ngn	8111	8112
nrr	nrn	8182	8183
nbr	nnr	8255	8256
gnb	nrn	8268	8269
nbr	nrg	8301	8302
gnb	ngg	8351	8352
nrr	nrg	8496	8497
nbr	nnb	8626	8627
ngb	ngn	8647	8648
gnb	ngr	8755	8756
nng	nrg	8771	8772
nbr	nbb	8933	8934
nrn	bnr	9044	9045
gnb	ngb	9109	9110
nnb	nbn	9515	9516
bnn	nnr	9524	9525
nng	gnn	9591	9592
nrr	nrg	10002	10003
nng	gnb	10179	10180
bnn	gnr	10184	10185
ngg	bnn	10191	10192
nng	ngg	10211	10212
nrr	rnr	10417	10418
nrn	bnn	11190	11191
nrn	bnr	11203	11204
gnb	ngb	11778	11779
gnn	nrg	11954	11955
nrr	rnr	12079	12080
ngg	ngr	12412	12413
nng	nbb	12511	12512
bnr	nnb	12544	12545
gnn	nrr	12744	12745
nbr	nrn	12878	12879
ngg	nbb	12952	12953
nrr	ngr	13010	13011
ngg	nrg	13505	13506
ngb	bnn	13700	13701
nnb	nrn	13765	13766
ngg	bnn	13841	13842
bnn	nbb	13913	13914
nrr	bnr	13929	13930
nrr	ngr	14126	14127
ngb	bnn	14140	14141
gnn	ngb	14420	14421
nbr	nnr	14486	14487
nbr	ngr	14557	14558
nrr	rnr	14630	14631
nrn	bnr	14646	14647
nbr	nrn	14721	14722
gnb	rnr	14766	14767
gnn	ngb	15231	15232
rnr	nnr	15398	15399
nng	ngn	15402	15403
ngr	nbb	15489	15490
gnb	rnr	15827	15828
gnn	nnr	15850	15851
nbr	nrg	15906	15907
nng	nbb	16097	16098
nbr	gnr	16444	16445
ngr	ngn	16768	16769
nrn	nbn	16775	16776
nng	nbb	16871	16872
gnb	ngb	17087	17088
bnn	nbb	17115	17116
nrg	ngn	17298	17299
nbb	ngr	17382	17383
nbr	gnb	17425	17426
nbr	nnb	17492	17493
ngr	nbb	17587	17588
ngb	nrn	17636	17637
nng	ngr	17988	17989
