ID1	ID2	start_time	end_time
Op20	V11M	466	467
She1	V6M	1364	1365
R11F	RF2	1882	1883
Op31	She1	2454	2455
PT3	PT4	3427	3428
Op20	Op31	5429	5430
V19M	V6M	5660	5661
Op20	V11M	6000	6001
PT1	PT3	7015	7016
Op5	She1	7177	7178
Op4	She8	7225	7226
Op31	V11M	7878	7879
Op20	She1	8264	8265
PT3	She1	8303	8304
R11F	RF7	8429	8430
She1	V6M	10097	10098
Op4	She1	10195	10196
Op23	V6M	11424	11425
Op4	She1	11513	11514
Op4	V11M	11787	11788
R11F	RF7	11861	11862
Op31	She8	11881	11882
She8	V11M	12107	12108
Op4	V6M	12122	12123
R11F	R6F	12393	12394
Op33	Op4	12560	12561
Op31	V11M	13481	13482
Op31	She1	13804	13805
She1	She8	13871	13872
R14M	R6F	14402	14403
R11F	RF2	14544	14545
R11F	R6F	14562	14563
She1	V11M	15494	15495
Op10	Op9	15946	15947
Op31	V11M	16041	16042
Op20	Op4	16390	16391
Op31	She1	17896	17897
Op9	She1	18931	18932
R6F	RF2	19042	19043
She1	She8	19072	19073
RF3	RF7	19317	19318
Op20	Op4	19464	19465
She5	V6M	19605	19606
R14M	R6F	19966	19967
PT7	RF2	20890	20891
Op31	She1	23235	23236
PT1	She1	23417	23418
PT2	She1	24031	24032
Op20	She8	24195	24196
Op23	She1	24633	24634
Op4	Op9	25092	25093
Op5	PT3	25366	25367
Op20	She8	25688	25689
R6F	RF3	26114	26115
PT2	PT3	26429	26430
PT7	R6F	26736	26737
Op33	V6M	27584	27585
Op4	She1	27632	27633
R11F	RF2	28489	28490
R11F	R14M	29188	29189
Op4	She5	30286	30287
PT2	She1	30599	30600
PT7	R11F	30707	30708
Op4	She1	31353	31354
PT1	PT2	31518	31519
Op4	V6M	33382	33383
Op4	She1	34253	34254
Op33	She1	34256	34257
PT3	PT4	34389	34390
She5	V6M	35775	35776
Op9	She1	36116	36117
Op9	She1	36326	36327
R11F	RF7	36474	36475
She1	She5	36613	36614
Op4	She5	37259	37260
Op5	PT1	37848	37849
R11F	RF2	38604	38605
Op4	She1	38731	38732
Op4	V11M	38950	38951
Op4	V19M	39144	39145
Op33	Op4	39662	39663
R14M	RF7	39869	39870
Op31	Op4	41454	41455
Op10	Op4	41541	41542
PT2	PT3	42021	42022
Op4	She5	42389	42390
Op31	Op9	42938	42939
R14M	RF2	43031	43032
PT3	She1	43456	43457
Op20	Op4	43864	43865
R11F	R6F	44666	44667
Op20	V11M	45712	45713
She5	V6M	45803	45804
She1	She5	46569	46570
Op31	Op9	47054	47055
R14M	R6F	47280	47281
R6F	RF2	48734	48735
R11F	R14M	49440	49441
Op33	V6M	51221	51222
Op4	V19M	51377	51378
PT2	She1	52122	52123
PT7	R14M	52442	52443
Op33	Op4	52714	52715
Op31	Op4	53554	53555
Op31	V11M	54095	54096
Op9	V11M	54112	54113
Op10	Op31	54145	54146
R11F	R6F	54723	54724
Op8	PT3	55134	55135
PT2	PT4	55736	55737
R11F	RF7	56231	56232
RF2	RF7	56247	56248
R6F	RF7	56278	56279
She1	V11M	56544	56545
R11F	RF2	56766	56767
Op31	Op4	56850	56851
Op4	She1	57470	57471
Op10	Op20	57528	57529
Op20	Op31	57590	57591
Op4	V11M	58262	58263
Op33	V19M	58496	58497
PT2	PT3	58590	58591
R14M	RF2	58828	58829
She5	V6M	59009	59010
Op23	Op33	59204	59205
PT2	PT3	59276	59277
Op4	Op9	59795	59796
Op5	PT2	59830	59831
Op4	She1	60193	60194
Op10	She8	60823	60824
She1	V11M	60977	60978
She1	V11M	61509	61510
Op20	She1	61768	61769
R6F	RF7	62709	62710
Op9	V11M	63591	63592
Op4	Op9	64251	64252
Op33	She5	64845	64846
PT1	PT2	65136	65137
Op20	Op4	65681	65682
Op20	Op31	66663	66664
She5	V19M	67171	67172
R14M	RF7	67517	67518
Op4	V11M	68615	68616
PT3	She1	68865	68866
Op4	She1	69195	69196
Op10	She1	69883	69884
She1	V6M	70578	70579
Op9	V11M	70971	70972
She1	V19M	71221	71222
Op20	V11M	72798	72799
Op20	Op9	72898	72899
Op23	She5	73192	73193
Op4	V11M	73446	73447
R14M	RF2	73446	73447
Op33	V6M	73458	73459
Op33	She1	73627	73628
Op33	V19M	73857	73858
Op4	She5	74120	74121
Op4	She8	74179	74180
R6F	RF2	74260	74261
Op31	She8	74509	74510
She1	She5	74541	74542
PT2	PT3	74611	74612
R14M	RF7	74698	74699
She1	V6M	74781	74782
PT1	She1	76150	76151
RF2	RF3	76167	76168
