ID1	ID2	start_time	end_time
Op33	She5	200	201
PT1	She5	289	290
Op20	She5	344	345
Op10	She5	371	372
Op33	V11M	372	373
Op10	Op20	387	388
She5	V11M	387	388
Op33	PT1	390	391
Op6	PT1	396	397
Mot11	Mot18	433	434
Op20	Op5	447	448
Op5	She5	447	448
Op20	PT1	457	458
Op10	Op8	468	469
Mot7	Mot8	469	470
Mot11	Mot7	491	492
Mot5	Mot8	496	497
Op8	PT1	497	498
Op6	Op8	500	501
Op20	V11M	508	509
Op20	Op6	515	516
She1	She5	520	521
Op33	She5	521	522
Op20	Op33	522	523
Op8	She5	526	527
Tao10	Tao12	534	535
Mot5	Mot7	542	543
Tao12	Tao2	550	551
Op31	V12M	558	559
Mot18	Mot19	563	564
She1	She8	589	590
Op33	Op8	601	602
Op33	Op5	602	603
Op10	Op6	604	605
Op33	Op6	614	615
PT1	She5	614	615
Op16	Op6	617	618
Op16	Op33	629	630
Mot11	Mot20	633	634
Op8	Tao14	633	634
Mot19	Mot7	633	634
Op16	She5	649	650
She9	V11M	652	653
Op8	She9	653	654
Op31	She5	657	658
Tao3	Tao5	665	666
Op20	Op8	670	671
Op10	She9	673	674
Mot17	Mot5	676	677
Op8	Tao3	683	684
Op10	She5	683	684
PT1	She9	692	693
Op10	Op5	703	704
Op33	V11M	711	712
Tao14	Tao5	711	712
Op16	V11M	723	724
Op16	Op8	724	725
Tao12	Tao3	724	725
Op33	She5	731	732
She5	V11M	745	746
Op41	PT1	753	754
Op41	V11M	754	755
Mot19	Mot5	755	756
Op33	She1	759	760
Mot13	Mot5	769	770
Op5	PT1	776	777
Op5	Op6	778	779
Op10	V11M	782	783
Op20	She5	789	790
Mot11	Mot8	802	803
Mot11	Mot5	803	804
Mot20	Mot7	805	806
Mot13	Mot19	805	806
Op6	PT1	817	818
She5	V12M	821	822
Tao14	Tao3	829	830
Op8	V11M	830	831
Op5	V22M	835	836
Op33	PT1	836	837
M12M	Mot20	840	841
V11M	V22M	844	845
M12M	Mot17	848	849
Tao12	Tao14	850	851
PT7	Tao12	852	853
Op20	PT1	855	856
Mot11	Mot13	860	861
Mot11	Mot17	869	870
She9	V22M	878	879
Mot13	Mot20	878	879
M12M	Mot18	878	879
Op27	Op33	878	879
Mot13	Mot17	882	883
Op33	Op41	885	886
Tao10	Tao5	887	888
Op6	She5	888	889
Mot11	Mot7	894	895
Op16	Op5	902	903
Op41	V22M	903	904
Op41	Op8	904	905
Tao10	Tao15	909	910
Op31	Op33	912	913
Op16	V22M	913	914
Op33	She8	917	918
Mot11	Mot18	919	920
Op41	Op6	926	927
Op8	V22M	939	940
Op31	She8	950	951
Op20	Op41	951	952
Tao2	Tao3	957	958
Mot18	Mot20	965	966
Op33	She9	972	973
Op5	V11M	976	977
PT1	V11M	983	984
Mot18	Mot8	985	986
Op10	She5	987	988
Op5	She9	987	988
Op33	V23M	1004	1005
P1	V12M	1012	1013
Mot1	Mot5	1012	1013
Op10	Op8	1023	1024
M12M	Mot8	1026	1027
Mot1	Mot17	1027	1028
Mot20	Mot5	1030	1031
Op33	V22M	1033	1034
Op16	Op41	1035	1036
Mot13	Mot8	1036	1037
Op4	V19M	1039	1040
M12M	Mot13	1043	1044
M12M	Mot5	1045	1046
Op8	PT1	1053	1054
Tao14	Tao2	1055	1056
Op6	V11M	1056	1057
Tao12	Tao2	1063	1064
Op27	She5	1067	1068
Mot20	Mot8	1072	1073
Mot19	Mot20	1079	1080
Op6	She9	1081	1082
Op8	Tao2	1089	1090
PT1	V22M	1091	1092
She1	She5	1101	1102
Op16	She9	1105	1106
T20M	Tao12	1105	1106
Op5	V23M	1106	1107
Op20	Op6	1106	1107
Op33	Op5	1107	1108
Op31	P1	1107	1108
M12M	Mot11	1114	1115
Op20	She5	1123	1124
Op5	She5	1132	1133
She1	She8	1134	1135
Op6	Op8	1135	1136
Op20	Op5	1147	1148
PT1	She5	1149	1150
Mot7	Mot8	1152	1153
Op41	She5	1153	1154
Op8	Tao12	1155	1156
Tao2	Tao5	1160	1161
Tao10	Tao12	1165	1166
Op31	She1	1170	1171
Op5	Op8	1171	1172
Op20	V22M	1182	1183
Op33	She5	1184	1185
Op20	Op8	1188	1189
Mot1	Mot20	1194	1195
Mot11	Mot20	1196	1197
Op33	PT1	1198	1199
Op10	Op6	1198	1199
Op6	V22M	1207	1208
Op16	Op33	1210	1211
Op33	Op8	1215	1216
She5	V11M	1227	1228
Mot17	Mot8	1229	1230
M12M	Mot1	1244	1245
PT7	Tao2	1247	1248
Op16	Op27	1259	1260
Tao10	Tao2	1261	1262
Mot18	Mot2	1265	1266
M12M	Mot2	1272	1273
Mot19	Mot5	1273	1274
Op8	Tao10	1280	1281
Mot19	Mot7	1281	1282
Op5	Op6	1287	1288
She9	V23M	1292	1293
M12M	Mot19	1296	1297
Op10	She8	1304	1305
Tao16	Tao5	1313	1314
Mot17	Mot5	1313	1314
M12M	Mot7	1317	1318
Op20	PT1	1318	1319
Mot18	Mot7	1318	1319
Op10	Op31	1322	1323
Op10	Op20	1328	1329
Op16	V11M	1341	1342
Tao14	Tao16	1345	1346
Op20	She9	1345	1346
Op8	Tao5	1358	1359
Mot11	Mot7	1360	1361
Mot13	Mot2	1362	1363
Tao16	Tao3	1366	1367
Op10	Op41	1366	1367
Op4	She1	1366	1367
She9	V12M	1369	1370
Op8	Tao3	1374	1375
Op10	Op27	1375	1376
She8	V12M	1377	1378
Mot19	Mot2	1383	1384
Op27	She1	1400	1401
She5	She8	1407	1408
Op5	V11M	1417	1418
Op10	Op16	1424	1425
Op10	PT1	1429	1430
Op6	V23M	1459	1460
Mot18	Mot19	1463	1464
Op5	PT1	1463	1464
Op16	She5	1470	1471
Mot11	Mot5	1475	1476
Tao16	Tao2	1479	1480
T18M	Tao10	1480	1481
Op16	V23M	1483	1484
PT1	She9	1483	1484
Op41	PT1	1487	1488
Op9	V19M	1488	1489
Op33	PT1	1492	1493
PT7	Tao12	1495	1496
Op20	She5	1498	1499
Op31	She5	1502	1503
Op27	Op8	1508	1509
Op10	V11M	1509	1510
Op20	V23M	1511	1512
Op10	Op8	1514	1515
Mot13	Mot5	1528	1529
Op6	She5	1530	1531
Mot1	Mot19	1533	1534
Mot5	Mot8	1536	1537
PT1	V11M	1539	1540
Op27	Op41	1549	1550
Op33	Op5	1551	1552
Mot20	Mot7	1562	1563
Op33	She1	1564	1565
Op5	She5	1566	1567
T20M	Tao10	1568	1569
T18M	Tao15	1575	1576
Mot17	Mot2	1580	1581
Op33	Op6	1585	1586
Tao10	Tao14	1596	1597
Mot1	Mot13	1602	1603
She5	V22M	1610	1611
Mot11	Mot18	1611	1612
PT1	She1	1614	1615
She1	V19M	1616	1617
Mot18	Mot5	1620	1621
Tao10	Tao12	1626	1627
Mot1	Mot2	1631	1632
Tao14	Tao5	1634	1635
Op33	She9	1637	1638
Tao12	Tao2	1646	1647
Op8	PT1	1646	1647
Tao12	Tao5	1648	1649
T20M	Tao2	1651	1652
Mot20	Mot8	1651	1652
Op20	Op6	1655	1656
Mot7	Mot8	1656	1657
Mot1	Mot8	1659	1660
Mot20	Mot5	1663	1664
Op10	She9	1670	1671
Op20	Op24	1672	1673
Op24	PT1	1674	1675
Mot11	Mot19	1676	1677
Mot13	Mot7	1684	1685
Op16	Op6	1686	1687
Op27	V23M	1686	1687
Op24	Op5	1687	1688
Mot12	Mot19	1687	1688
Op22	She5	1690	1691
PT1	She5	1694	1695
Op5	V22M	1700	1701
Op6	V11M	1703	1704
Op33	V12M	1704	1705
Op5	Op8	1712	1713
Op6	She9	1718	1719
Op31	She9	1718	1719
Tao10	Tao3	1719	1720
She1	She8	1719	1720
Op20	Op5	1719	1720
Op33	V11M	1720	1721
Op4	Op9	1728	1729
Mot18	Mot20	1732	1733
Tao5	Tao8	1736	1737
M12M	Mot20	1738	1739
Op33	She5	1738	1739
M12M	Mot18	1745	1746
Op10	Op20	1748	1749
Tao10	Tao5	1749	1750
Op6	She8	1760	1761
Op10	PT1	1764	1765
