ID1	ID2	start_time	end_time
Op5	PT2	6	7
T18M	Tao5	72	73
Op20	She5	80	81
Op16	She5	105	106
She9	V22M	109	110
She3	Tao15	133	134
Op33	She1	293	294
Op18	Op19	325	326
Op5	V11M	335	336
Op33	She1	363	364
Mot17	Mot7	382	383
Op16	She13	397	398
RF3	RF7	435	436
She5	Tao8	453	454
Op13	She4	466	467
She5	She9	477	478
T6M	Tao12	482	483
Op33	She9	497	498
Tao10	Tao5	527	528
Tao12	Tao2	528	529
Tao12	Tao2	571	572
Op20	V23M	587	588
She4	She9	594	595
Op20	V22M	622	623
Op19	Op33	632	633
Op19	V22M	636	637
She1	V11M	640	641
Op33	She5	689	690
T6M	Tao10	696	697
Op18	PT2	715	716
PT7	R6F	742	743
Op18	Op5	787	788
Mot11	Mot20	787	788
Op33	Op9	800	801
She4	She5	815	816
PT7	RF4	843	844
Op33	Op8	847	848
Op24	She5	911	912
Op20	Op22	911	912
Op33	She5	929	930
She1	She4	975	976
Op33	She1	1011	1012
Op20	V22M	1033	1034
Tao11	Tao2	1047	1048
Tao10	Tao12	1060	1061
Op20	She5	1130	1131
M11F	Tao6	1159	1160
Op4	She3	1173	1174
PT7	RF7	1175	1176
Op13	Op33	1211	1212
Op13	V11M	1250	1251
She1	V11M	1269	1270
Op19	She4	1272	1273
PT2	She13	1317	1318
Op33	She5	1379	1380
Op27	She5	1388	1389
R6F	RF2	1388	1389
Mot13	Mot19	1396	1397
R6F	RF2	1397	1398
Mot1	Mot19	1403	1404
Op24	V11M	1450	1451
She1	She5	1461	1462
Op33	PT2	1467	1468
She1	She5	1477	1478
Mot11	Mot18	1487	1488
Op22	She4	1491	1492
Mot4	Mot8	1505	1506
Op33	PT2	1508	1509
She4	V22M	1543	1544
Mot11	Mot8	1543	1544
Op5	V21M	1567	1568
Mot11	Mot14	1587	1588
Mot11	Mot20	1594	1595
Op16	Op18	1607	1608
She5	V22M	1629	1630
Op33	PT2	1637	1638
Tao12	Tao16	1647	1648
Mot12	Mot8	1670	1671
Op16	She5	1671	1672
RF4	RF7	1686	1687
She4	V22M	1801	1802
Op13	She9	1810	1811
PT7	R14M	1819	1820
Op19	She9	1823	1824
Op20	Op5	1840	1841
Mot22	She5	1862	1863
Op5	She9	1958	1959
Op18	PT2	1959	1960
Op33	V22M	1998	1999
T18M	Tao6	2004	2005
Op33	V23M	2011	2012
Op5	Tao8	2019	2020
Tao10	Tao2	2094	2095
M11F	T6M	2188	2189
Tao10	Tao2	2217	2218
T6M	Tao10	2234	2235
Mot22	Op19	2322	2323
Op20	Op33	2338	2339
T18M	Tao19	2363	2364
Op24	Op5	2379	2380
Op20	Tao5	2400	2401
RF3	RF7	2409	2410
She13	Tao8	2410	2411
Mot22	Tao19	2417	2418
PT2	She5	2419	2420
Op16	V22M	2427	2428
Op33	Op5	2441	2442
Op20	V23M	2458	2459
Op22	She9	2483	2484
Op19	She4	2515	2516
M11F	Tao12	2517	2518
Op33	Op5	2531	2532
Op41	She1	2551	2552
Op20	Op5	2646	2647
She4	She5	2655	2656
Op20	Op33	2676	2677
PT2	She5	2683	2684
Mot4	Tet6	2697	2698
Mot19	Tet6	2737	2738
Tao10	Tao3	2763	2764
Op20	V11M	2774	2775
She13	V22M	2835	2836
Op41	V11M	2861	2862
She4	V11M	2878	2879
Op16	Op9	2891	2892
She1	She4	2927	2928
Op21	Op5	2937	2938
Op16	Op5	2945	2946
Op5	V23M	2948	2949
Op5	PT2	2965	2966
Mot16	Tao16	3014	3015
Op5	She5	3018	3019
R14M	RF7	3025	3026
Mot11	Mot8	3052	3053
She9	V22M	3064	3065
Op16	Op24	3082	3083
She5	She9	3123	3124
T6M	Tao13	3128	3129
R14M	R6F	3162	3163
Mot13	Mot21	3184	3185
Op13	Op19	3184	3185
Op20	She4	3230	3231
Tao10	Tao16	3246	3247
Op8	Op9	3292	3293
Mot12	Mot21	3360	3361
Op33	She1	3383	3384
PT2	V22M	3385	3386
Op5	V23M	3385	3386
Op13	Op19	3413	3414
T6M	Tao3	3424	3425
T18M	Tao5	3427	3428
Mot11	Mot18	3486	3487
Mot17	Tet6	3507	3508
Op33	She1	3516	3517
Op20	Op33	3545	3546
Op20	V11M	3572	3573
Op18	She9	3611	3612
Op19	She3	3638	3639
Tao10	Tao5	3683	3684
Op13	V22M	3695	3696
Op33	Op41	3731	3732
Op16	Tao8	3783	3784
Op33	She5	3785	3786
Op19	She5	3799	3800
Op33	Tao5	3803	3804
Op24	V22M	3840	3841
Op20	She9	3881	3882
Op18	She5	3909	3910
Tao3	Tao9	3931	3932
Op13	She5	3938	3939
Tao19	Tao2	3951	3952
Op20	She9	3969	3970
Mot17	Mot21	3978	3979
PT7	Tao19	4046	4047
M11F	Tao12	4056	4057
Mot13	Mot17	4064	4065
Op19	Tao5	4067	4068
Op9	She9	4068	4069
Tao12	Tao5	4097	4098
Mot16	Tao6	4127	4128
Op33	She5	4143	4144
Op5	She13	4211	4212
Op4	Tao15	4218	4219
Op33	Tao8	4244	4245
Mot16	T18M	4253	4254
Op41	V11M	4262	4263
Mot14	Mot18	4267	4268
Mot16	T6M	4287	4288
Op21	Op33	4299	4300
Op33	V23M	4309	4310
Op16	PT2	4324	4325
Op41	She9	4338	4339
Op33	She5	4400	4401
Op13	Op18	4403	4404
Mot21	Mot8	4429	4430
Mot17	Mot21	4433	4434
Op16	Op9	4528	4529
She1	V22M	4536	4537
Op16	Op18	4538	4539
Mot16	T6M	4618	4619
Op33	She13	4618	4619
Op18	Tao8	4624	4625
Op18	She1	4630	4631
Op18	Op19	4634	4635
Op5	She5	4646	4647
She5	V11M	4737	4738
T6M	Tao2	4742	4743
Op33	She1	4772	4773
RF2	RF4	4810	4811
Mot17	Mot20	4816	4817
M11F	Tao16	4838	4839
Mot11	Tet6	4925	4926
Op8	Op9	4972	4973
RF4	RF7	5014	5015
Tet1	Tet6	5033	5034
R21F	Tao19	5071	5072
Op18	She5	5073	5074
PT2	Tao8	5101	5102
Op5	Op9	5126	5127
M11F	Mot16	5148	5149
Op27	V21M	5193	5194
Mot1	Mot8	5199	5200
Op20	Op22	5232	5233
Op18	She5	5284	5285
Op19	Op8	5292	5293
Op33	Op5	5305	5306
PT7	RF7	5381	5382
Op19	Tao5	5385	5386
T6M	Tao2	5396	5397
She1	She5	5415	5416
Op18	Op24	5462	5463
Op16	Op33	5533	5534
Op24	Op41	5560	5561
Op16	Op21	5652	5653
Op22	She1	5694	5695
Op20	Op5	5712	5713
She5	Tao5	5750	5751
Op18	She1	5753	5754
Tao10	Tao12	5814	5815
She9	Tao5	5828	5829
Op33	Op5	5852	5853
Mot12	Mot17	5915	5916
Op16	Op5	5925	5926
Mot22	Op16	5941	5942
She9	V21M	5955	5956
M11F	T18M	5998	5999
PT7	RF2	6026	6027
Op18	She5	6037	6038
Mot17	Tet6	6037	6038
Op18	Op20	6053	6054
Mot13	Mot7	6064	6065
Op20	She9	6073	6074
Op24	She1	6090	6091
PT2	She1	6092	6093
Op18	She13	6153	6154
Mot19	Mot7	6178	6179
Op18	She1	6223	6224
Op16	She5	6242	6243
Mot22	She1	6251	6252
Op19	V22M	6257	6258
Op8	She5	6262	6263
Tao5	V11M	6285	6286
Mot19	Mot8	6318	6319
Op20	She4	6343	6344
Tao12	Tao3	6359	6360
Op13	Tao5	6381	6382
Op33	Tao8	6398	6399
Op13	She9	6430	6431
Op33	She1	6433	6434
Tao19	Tao6	6480	6481
Tao19	Tao5	6487	6488
Op16	Op18	6515	6516
She5	V21M	6607	6608
Tao12	Tao3	6609	6610
Mot19	Mot7	6611	6612
Op16	She5	6679	6680
Op41	She9	6689	6690
Op20	Tao5	6692	6693
Op22	Op24	6707	6708
Op21	Op4	6732	6733
Mot22	RF7	6756	6757
Op41	She1	6770	6771
Op33	Tao5	6771	6772
Op18	V11M	6809	6810
Mot19	Tet1	6819	6820
She13	Tao8	6854	6855
Op33	She1	6863	6864
Op5	Tao8	6893	6894
Op18	V23M	6927	6928
Tao10	Tao2	6948	6949
She5	V22M	6953	6954
Tao10	Tao12	6959	6960
Mot11	Tet6	6972	6973
Mot13	Mot8	7038	7039
Op24	She1	7069	7070
Mot16	Tao11	7092	7093
Mot20	Tet1	7110	7111
Mot1	Mot8	7135	7136
Op21	PT2	7137	7138
Op21	Op22	7148	7149
Op13	V22M	7168	7169
Tao12	Tao5	7174	7175
She13	She5	7184	7185
She4	Tao5	7187	7188
She5	Tao5	7190	7191
Tao2	Tao3	7200	7201
Op5	Op9	7243	7244
Op33	Tao8	7252	7253
M11F	Tao16	7280	7281
Op20	PT2	7295	7296
Op19	Op5	7369	7370
She13	Tao8	7375	7376
