ID1	ID2	start_time	end_time
0	11	148	149
12	14	161	162
4	11	183	184
2	5	196	197
1	10	213	214
7	13	275	276
6	17	284	285
0	9	323	324
0	11	325	326
1	10	326	327
4	11	327	328
4	9	347	348
2	5	389	390
1	10	442	443
9	11	476	477
12	14	487	488
0	9	495	496
9	17	518	519
7	13	529	530
0	11	567	568
8	10	577	578
1	10	620	621
1	3	624	625
5	6	639	640
14	17	642	643
4	11	658	659
0	9	670	671
0	11	691	692
12	14	727	728
1	10	740	741
4	9	755	756
0	8	757	758
6	17	805	806
0	17	807	808
0	11	810	811
0	9	855	856
1	10	857	858
12	14	871	872
11	14	897	898
0	13	921	922
0	11	952	953
16	17	957	958
9	11	968	969
1	10	975	976
8	13	1009	1010
4	11	1009	1010
2	8	1019	1020
0	6	1034	1035
12	14	1045	1046
2	9	1047	1048
0	2	1059	1060
0	5	1064	1065
10	14	1068	1069
0	9	1093	1094
13	14	1131	1132
2	16	1132	1133
1	10	1137	1138
7	13	1139	1140
6	17	1153	1154
0	11	1179	1180
4	8	1195	1196
4	11	1196	1197
15	17	1209	1210
4	9	1235	1236
8	9	1243	1244
3	18	1249	1250
12	14	1256	1257
1	3	1267	1268
5	18	1282	1283
9	17	1294	1295
1	10	1298	1299
1	17	1308	1309
0	11	1309	1310
2	9	1320	1321
11	16	1321	1322
4	11	1337	1338
9	14	1351	1352
0	5	1353	1354
9	13	1364	1365
7	13	1380	1381
0	16	1398	1399
1	8	1428	1429
1	10	1440	1441
12	14	1446	1447
9	11	1452	1453
4	11	1464	1465
0	11	1485	1486
6	17	1503	1504
10	13	1503	1504
0	17	1541	1542
0	18	1547	1548
1	10	1556	1557
14	16	1590	1591
4	11	1595	1596
5	8	1597	1598
2	9	1599	1600
0	8	1609	1610
11	14	1613	1614
2	11	1634	1635
7	10	1636	1637
0	1	1644	1645
1	10	1675	1676
7	13	1688	1689
8	9	1714	1715
12	14	1719	1720
4	11	1723	1724
15	16	1724	1725
11	17	1790	1791
2	7	1796	1797
1	10	1803	1804
6	17	1809	1810
1	3	1818	1819
2	9	1829	1830
0	11	1834	1835
5	6	1836	1837
0	13	1841	1842
0	9	1852	1853
8	13	1871	1872
2	8	1880	1881
4	11	1886	1887
0	6	1891	1892
0	10	1904	1905
0	4	1929	1930
9	11	1939	1940
7	13	1951	1952
1	9	1964	1965
9	16	1969	1970
2	5	1972	1973
4	8	1977	1978
7	15	1978	1979
16	17	1988	1989
1	10	1998	1999
0	11	2001	2002
0	9	2031	2032
12	14	2033	2034
10	14	2039	2040
3	10	2041	2042
10	15	2060	2061
9	17	2066	2067
13	15	2073	2074
8	9	2077	2078
4	11	2103	2104
5	14	2104	2105
1	10	2109	2110
8	10	2111	2112
1	8	2148	2149
2	9	2149	2150
7	13	2168	2169
0	5	2181	2182
2	5	2186	2187
0	11	2187	2188
13	14	2189	2190
3	7	2190	2191
1	10	2222	2223
12	14	2228	2229
4	11	2238	2239
0	2	2243	2244
14	17	2251	2252
7	10	2268	2269
8	14	2302	2303
1	10	2339	2340
4	5	2361	2362
12	18	2370	2371
0	9	2391	2392
2	5	2392	2393
6	17	2413	2414
4	9	2416	2417
7	13	2417	2418
0	16	2425	2426
4	11	2434	2435
3	18	2443	2444
0	11	2471	2472
12	14	2515	2516
5	6	2529	2530
0	5	2543	2544
8	9	2554	2555
9	11	2558	2559
4	11	2566	2567
11	16	2573	2574
0	9	2579	2580
10	13	2588	2589
1	3	2605	2606
0	17	2623	2624
1	10	2625	2626
9	10	2627	2628
6	16	2627	2628
8	10	2634	2635
0	11	2644	2645
1	9	2677	2678
2	5	2709	2710
3	17	2719	2720
7	10	2758	2759
3	8	2767	2768
5	16	2769	2770
0	11	2788	2789
9	13	2793	2794
1	8	2797	2798
1	10	2798	2799
4	11	2807	2808
9	17	2821	2822
8	9	2882	2883
0	11	2905	2906
14	17	2918	2919
1	10	2919	2920
