ID1	ID2	start_time	end_time
8	9	33	34
9	17	153	154
8	13	165	166
4	16	193	194
4	9	381	382
12	14	530	531
12	14	531	532
0	16	602	603
12	16	658	659
5	18	689	690
0	16	852	853
2	8	1115	1116
4	11	1201	1202
2	11	1227	1228
9	10	1296	1297
4	11	1369	1370
4	9	1415	1416
2	5	1501	1502
9	16	1527	1528
12	14	1626	1627
2	9	1649	1650
9	17	1795	1796
12	14	1906	1907
0	8	2015	2016
2	11	2100	2101
2	16	2244	2245
7	10	2270	2271
0	2	2279	2280
1	10	2345	2346
2	5	2473	2474
8	9	2483	2484
1	10	2488	2489
1	17	2666	2667
5	15	2686	2687
0	6	2738	2739
0	11	2851	2852
12	18	2979	2980
13	15	3002	3003
0	8	3059	3060
0	7	3330	3331
8	13	3409	3410
0	9	3783	3784
0	11	3860	3861
1	3	4152	4153
4	11	4284	4285
7	13	4332	4333
0	6	4443	4444
11	14	4518	4519
6	17	4578	4579
5	15	4639	4640
4	11	4672	4673
8	10	4800	4801
7	11	4877	4878
4	11	4913	4914
4	11	4923	4924
1	7	5116	5117
14	16	5117	5118
0	9	5275	5276
2	5	5348	5349
15	16	5453	5454
0	17	5526	5527
1	10	5561	5562
3	10	5583	5584
4	11	5791	5792
4	8	5821	5822
7	10	5825	5826
2	9	5965	5966
12	14	6026	6027
2	5	6031	6032
0	9	6032	6033
4	11	6082	6083
5	6	6155	6156
8	9	6227	6228
2	11	6251	6252
2	9	6275	6276
0	5	6450	6451
0	18	6525	6526
0	7	6547	6548
2	9	6551	6552
4	11	6551	6552
0	11	6566	6567
12	14	6701	6702
2	5	6814	6815
0	17	6829	6830
12	14	6996	6997
7	13	7015	7016
6	17	7042	7043
0	11	7221	7222
11	14	7244	7245
1	8	7322	7323
2	9	7347	7348
4	8	7626	7627
8	9	7653	7654
1	8	7856	7857
11	16	7910	7911
1	6	7932	7933
7	13	7965	7966
8	13	8118	8119
4	11	8155	8156
2	5	8293	8294
12	14	8309	8310
4	11	8419	8420
4	11	8551	8552
8	15	8628	8629
9	12	8800	8801
4	11	8930	8931
2	5	9268	9269
4	9	9346	9347
4	9	9365	9366
4	17	9428	9429
0	5	9541	9542
9	11	9580	9581
0	17	9672	9673
2	9	9685	9686
12	14	9722	9723
4	9	9772	9773
4	11	9795	9796
0	9	9924	9925
