ID1	ID2	start_time	end_time
5	18	2	3
2	17	430	431
0	9	445	446
2	8	563	564
2	9	1081	1082
14	17	1156	1157
5	8	1204	1205
1	10	1274	1275
11	14	1322	1323
0	10	1398	1399
1	9	1481	1482
5	18	1585	1586
2	8	1669	1670
0	9	1693	1694
2	14	1789	1790
4	11	1878	1879
0	9	2013	2014
8	9	2025	2026
2	5	2161	2162
8	9	2256	2257
0	17	2329	2330
10	12	2705	2706
1	8	2839	2840
1	7	3162	3163
0	5	3371	3372
7	9	3410	3411
12	14	3424	3425
0	11	3431	3432
0	13	3445	3446
4	11	3733	3734
8	10	3862	3863
10	12	3974	3975
9	13	4049	4050
6	11	4154	4155
0	7	4291	4292
6	17	4361	4362
4	11	4440	4441
5	14	4514	4515
12	14	4528	4529
8	9	4720	4721
0	16	4868	4869
0	8	4875	4876
5	13	5000	5001
1	10	5144	5145
8	14	5169	5170
8	9	5209	5210
7	13	5432	5433
2	5	5835	5836
3	10	5957	5958
2	9	6122	6123
4	11	6298	6299
0	15	6307	6308
0	11	6531	6532
0	9	6697	6698
0	16	6765	6766
0	18	7002	7003
0	11	7039	7040
0	17	7462	7463
11	17	7475	7476
0	10	7546	7547
12	14	7578	7579
0	17	7773	7774
9	12	8376	8377
1	17	8532	8533
9	17	8752	8753
0	11	8783	8784
1	9	9082	9083
0	7	9154	9155
2	7	9189	9190
9	16	9515	9516
2	8	9588	9589
0	5	9837	9838
4	11	10203	10204
2	5	10206	10207
4	11	10597	10598
4	5	10605	10606
12	14	10817	10818
15	17	10839	10840
0	5	10931	10932
5	9	11094	11095
0	13	11141	11142
1	8	11258	11259
1	10	11439	11440
4	9	11445	11446
11	16	11639	11640
1	3	11697	11698
14	17	11867	11868
7	15	12066	12067
0	11	12103	12104
8	13	12384	12385
6	17	12704	12705
4	8	12970	12971
0	11	13208	13209
1	10	13521	13522
1	8	13543	13544
3	10	13727	13728
14	16	13776	13777
12	14	13780	13781
0	17	14318	14319
6	17	14461	14462
7	13	14463	14464
0	6	14535	14536
4	5	14820	14821
0	9	14995	14996
6	17	15250	15251
12	14	15283	15284
1	10	15305	15306
5	9	15490	15491
12	14	15600	15601
0	13	15774	15775
7	13	15889	15890
4	8	15947	15948
2	5	16004	16005
0	11	16016	16017
7	16	16133	16134
11	14	16184	16185
4	10	16386	16387
1	10	16386	16387
0	11	16607	16608
7	10	16677	16678
9	11	16729	16730
4	17	16871	16872
15	17	16982	16983
7	11	17236	17237
8	16	17390	17391
0	13	17438	17439
1	2	17938	17939
2	5	18065	18066
2	17	18135	18136
9	13	18324	18325
2	9	18562	18563
2	6	18612	18613
10	14	18651	18652
9	16	18893	18894
4	5	19472	19473
9	10	19490	19491
7	13	19516	19517
8	13	19581	19582
4	9	19763	19764
4	11	19951	19952
4	9	19953	19954
1	3	20024	20025
10	13	20036	20037
11	17	20289	20290
9	17	20356	20357
7	13	20889	20890
1	8	21019	21020
6	17	21043	21044
2	11	21104	21105
2	5	21131	21132
0	9	21145	21146
0	7	21148	21149
15	16	21514	21515
9	13	21714	21715
5	17	21750	21751
9	11	21760	21761
9	12	22099	22100
4	11	22193	22194
1	10	22212	22213
1	10	22227	22228
6	17	22580	22581
0	11	22603	22604
0	11	22647	22648
14	17	22655	22656
0	6	22659	22660
0	1	22724	22725
6	17	22744	22745
0	9	22842	22843
7	13	23407	23408
1	3	23489	23490
5	14	23576	23577
9	11	23748	23749
16	17	24394	24395
8	11	24404	24405
10	18	24743	24744
1	10	24971	24972
3	7	25035	25036
8	14	25036	25037
13	14	25088	25089
9	11	25208	25209
2	9	25599	25600
1	17	25663	25664
0	11	25708	25709
6	15	25740	25741
6	14	25766	25767
0	13	25896	25897
0	9	26044	26045
8	14	26050	26051
4	11	26255	26256
8	10	26313	26314
12	14	26486	26487
14	17	26527	26528
4	9	26698	26699
4	8	26785	26786
4	16	26812	26813
7	15	26883	26884
9	17	26920	26921
0	17	27061	27062
1	10	27088	27089
6	17	27469	27470
12	14	27534	27535
5	18	27644	27645
12	14	27697	27698
1	10	27950	27951
5	18	28277	28278
10	15	28377	28378
3	7	28837	28838
1	17	29003	29004
1	10	29263	29264
10	13	29473	29474
6	17	29501	29502
9	17	29622	29623
2	7	29654	29655
2	9	29697	29698
7	10	29727	29728
0	2	29789	29790
2	5	30271	30272
0	7	30811	30812
0	11	30887	30888
5	13	31011	31012
0	9	31077	31078
4	6	31210	31211
2	9	31228	31229
0	8	31290	31291
6	17	31668	31669
4	9	31888	31889
11	14	31929	31930
0	16	31960	31961
4	8	32264	32265
8	9	32364	32365
0	6	32371	32372
3	10	32391	32392
2	8	32574	32575
0	9	32639	32640
0	8	32652	32653
0	9	32918	32919
0	11	32932	32933
12	14	32948	32949
0	11	33102	33103
2	11	33155	33156
9	17	33566	33567
7	10	33579	33580
4	11	33729	33730
1	10	33893	33894
12	14	33926	33927
1	10	34025	34026
4	9	34101	34102
14	17	34147	34148
9	17	34392	34393
1	3	34471	34472
5	6	34616	34617
12	14	34625	34626
2	5	34645	34646
2	11	34743	34744
12	14	35060	35061
9	17	35206	35207
0	4	35500	35501
6	17	35518	35519
7	10	35852	35853
2	16	36380	36381
12	14	36433	36434
0	6	36485	36486
0	5	36572	36573
2	17	36693	36694
10	14	36736	36737
5	15	36753	36754
6	17	36830	36831
7	10	36874	36875
4	9	36939	36940
7	10	37224	37225
6	16	37311	37312
12	14	37389	37390
0	9	37416	37417
6	17	37470	37471
0	7	37929	37930
0	11	37976	37977
0	10	38020	38021
10	11	38160	38161
4	11	38353	38354
2	14	38488	38489
0	7	38635	38636
4	9	38678	38679
11	16	38849	38850
11	17	38881	38882
8	10	38919	38920
0	5	38941	38942
0	11	38974	38975
3	8	39157	39158
1	9	39170	39171
0	8	39186	39187
0	11	39336	39337
12	18	39362	39363
2	8	39825	39826
0	5	39832	39833
8	9	39861	39862
1	10	39885	39886
3	11	39946	39947
7	9	40116	40117
7	13	40155	40156
2	8	40372	40373
2	9	40692	40693
4	11	40749	40750
4	10	40799	40800
0	11	40910	40911
8	10	41368	41369
4	11	41409	41410
0	7	41840	41841
0	18	41866	41867
5	6	42091	42092
8	10	42107	42108
3	9	42582	42583
0	2	42902	42903
5	7	43006	43007
0	11	43099	43100
7	13	43215	43216
10	14	43345	43346
2	9	43622	43623
0	11	43640	43641
15	16	43682	43683
1	10	43751	43752
1	10	43771	43772
1	9	44253	44254
0	5	44272	44273
1	10	44586	44587
9	11	44976	44977
