	Location	Ant_ID	Ant_ID_(partner)	start_time	end_time	duration
0	1	657	797	0	54	54
1	1	419	723	5	81	76
2	1	761	Queen	13	27	14
3	1	424	693	22	124	102
4	1	418	397	28	33	5
5	1	727	397	44	159	115
6	1	448	688	47	59	12
7	1	448	688	74	98	24
8	1	Queen	692	85	105	20
9	1	419	418	90	106	16
10	1	692	Queen	130	143	13
11	1	761	723	140	143	3
12	1	532	761	151	157	6
13	1	448	494	159	169	10
14	1	726	532	169	179	10
15	1	723	727	175	220	45
16	1	418	489	178	184	6
17	1	726	Queen	235	250	15
18	1	727	693	242	282	40
19	4	594	666	311	322	11
20	1	419	600	316	364	48
21	1	449	Queen	329	347	18
22	1	494	723	340	380	40
23	1	419	600	387	440	53
24	4	666	491	392	415	23
25	1	692	Queen	425	435	10
26	1	489	727	442	459	17
27	4	481	627	454	467	13
28	4	795	564	486	624	138
29	4	486	533	516	594	78
30	1	693	726	534	540	6
31	1	761	600	549	563	14
32	1	Queen	692	552	564	12
33	1	449	637	592	596	4
34	4	533	666	600	614	14
35	4	688	533	650	655	5
36	4	795	564	675	694	19
37	4	666	764	686	697	11
38	4	764	605	713	737	24
39	4	818	688	720	749	29
40	1	726	Queen	813	826	13
41	4	666	818	941	955	14
42	1	723	765	1006	1015	9
43	4	764	666	1026	1051	25
44	1	458	765	1047	1078	31
45	1	458	529	1138	1420	282
46	1	661	657	1212	1304	92
47	1	723	726	1270	1449	179
48	1	418	532	1346	1351	5
49	4	494	627	1538	1752	214
50	1	532	727	1564	1739	175
51	4	703	666	1695	1702	7
52	4	688	594	1709	1717	8
53	4	818	666	1711	1726	15
54	4	397	627	1717	1748	31
55	4	494	397	1717	1748	31
56	4	594	666	1745	1751	6
57	4	397	627	1756	1770	14
58	4	397	627	1772	1804	32
59	4	494	481	1780	1788	8
60	4	494	571	1796	1805	9
61	4	560	818	1804	1834	30
62	1	532	722	1807	1843	36
63	1	594	754	1820	1863	43
64	4	397	571	1822	1825	3
65	4	491	494	1857	1870	13
66	4	494	407	1891	2086	195
67	1	448	754	1909	2028	119
68	4	822	755	1922	1925	3
69	1	448	754	2044	2121	77
70	4	491	407	2119	2328	209
71	4	664	494	2122	2141	19
72	1	594	726	2147	2221	74
73	1	529	594	2239	2249	10
74	1	661	594	2256	2266	10
75	4	823	494	2263	2277	14
76	1	661	726	2278	2285	7
77	1	529	797	2299	2323	24
78	1	458	661	2301	2311	10
79	4	494	605	2302	2320	18
80	1	529	797	2325	2345	20
81	1	418	754	2338	2346	8
82	1	532	543	2354	2424	70
83	1	692	Queen	2356	2370	14
84	1	765	529	2394	2400	6
85	1	494	529	2417	2426	9
86	1	494	529	2435	2454	19
87	1	494	661	2462	2470	8
88	1	543	489	2468	2563	95
89	4	823	491	2479	2494	15
90	4	823	481	2503	2553	50
91	1	494	529	2504	2515	11
92	1	419	494	2540	2719	179
93	4	407	823	2670	2672	2
94	4	564	533	2695	2724	29
95	4	407	481	2703	2744	41
96	1	418	661	2726	2732	6
97	1	419	494	2744	2820	76
98	1	661	418	2747	2779	32
99	4	755	407	2776	2792	16
100	1	661	418	2789	2797	8
101	4	491	823	2810	2818	8
102	1	494	418	2848	2988	140
103	1	693	543	2888	2954	66
104	1	494	661	3009	3020	11
105	1	688	797	3047	3306	259
106	1	428	529	3076	3272	196
107	1	723	600	3083	3089	6
108	1	494	692	3113	3217	104
