	Location	Ant_ID	Ant_ID_(partner)	start_time	end_time	duration
0	1	486	765	0	279	279
1	1	4	453	221	229	8
2	1	797	722	309	404	95
3	1	Queen	453	317	330	13
4	1	453	108	347	366	19
5	1	Queen	657	347	355	8
6	1	698	72	371	384	13
7	1	688	486	377	411	34
8	1	424	765	399	420	21
9	1	72	539	416	420	4
10	1	722	797	420	426	6
11	1	532	698	429	437	8
12	1	66	657	489	510	21
13	1	66	108	539	557	18
14	1	722	424	567	591	24
15	1	108	797	611	662	51
16	1	722	407	613	627	14
17	1	688	765	730	743	13
18	1	797	795	740	793	53
19	1	424	688	758	773	15
20	1	424	688	783	789	6
21	1	419	565	804	830	26
22	1	108	657	858	904	46
23	1	797	565	870	927	57
24	1	71	424	1020	1040	20
25	1	4	626	1023	1391	368
26	1	605	797	1065	1067	2
27	1	539	755	1077	1123	46
28	1	819	36	1095	1144	49
29	1	755	599	1157	1164	7
30	1	599	755	1169	1183	14
31	1	819	486	1216	1312	96
32	1	407	754	1312	1328	16
33	1	459	424	1315	1329	14
34	1	33	418	1316	1332	16
35	1	666	453	1317	1335	18
36	1	72	564	1318	1371	53
37	1	819	795	1327	1339	12
38	1	819	36	1365	1380	15
39	1	453	33	1375	1389	14
40	1	424	722	1393	1452	59
41	1	495	453	1398	1406	8
42	1	418	755	1415	1429	14
43	1	626	754	1418	1448	30
44	1	819	36	1420	1438	18
45	1	66	4	1424	1484	60
46	1	605	819	1445	1474	29
47	1	424	722	1465	1501	36
48	1	755	599	1476	1513	37
49	1	495	108	1483	1620	137
50	1	605	754	1496	1504	8
51	1	4	419	1517	1532	15
52	1	819	722	1556	1565	9
53	1	819	722	1574	1607	33
54	1	424	626	1575	1580	5
55	1	666	532	1576	1593	17
56	1	626	424	1582	1609	27
57	1	819	722	1614	1633	19
58	1	819	424	1639	1657	18
59	1	495	532	1649	1658	9
60	1	453	755	1656	1670	14
61	1	532	33	1673	1695	22
62	1	36	819	1673	1680	7
63	1	819	36	1690	1736	46
64	1	33	532	1701	1723	22
65	1	722	4	1702	1718	16
