,ID1,ID2,time,trapping_session
0,47022080,47088014,408,9
1,47022080,46894339,408,9
2,47022080,47088014,408,9
3,47022080,46894339,408,9
4,96534530,96361826,1594,50
5,96534530,96368318,1594,50
6,96534530,96361826,1594,50
7,96534530,96546609,1594,50
8,96534530,96361826,1594,50
9,96534530,96543276,1594,50
10,47065092,47044314,475,14
11,47065092,47047808,475,14
12,47065092,47082073,475,14
13,47065092,55562778,502,17
14,47065092,47017029,502,17
15,47065092,53262854,502,17
16,47065092,47017029,502,17
17,47065092,47017029,502,17
18,62638085,52783050,828,24
19,62638085,53028628,828,24
20,47001606,47097356,145,7
21,47001606,47071078,145,7
22,47001606,44007542,145,7
23,47001606,47043773,145,7
24,47001606,47021376,395,8
25,47001606,47056085,395,8
26,47001606,47021376,395,8
27,47001606,47056085,395,8
28,47001606,47021376,395,8
29,47001606,47056085,395,8
30,43872263,47030601,465,13
31,43872263,44026333,465,13
32,43872263,47080377,465,13
33,43872263,47030601,465,13
34,43872263,47083633,465,13
35,67125256,66816043,1214,37
36,67125256,67065883,1214,37
37,67125256,52556363,1214,37
38,67125256,67065883,1214,37
39,67125256,52556363,1214,37
40,47022089,47015599,417,10
41,67287050,66867522,1205,36
42,67287050,66847531,1214,37
43,67287050,67126005,1214,37
44,67287050,66847531,1214,37
45,56002571,47017029,492,16
46,56002571,47017029,492,16
47,56002571,55562778,502,17
48,56002571,47017029,502,17
49,56002571,55562778,502,17
50,56002571,53262854,502,17
51,56002571,55562778,502,17
52,56002571,53262854,502,17
53,96514064,96515600,1594,50
54,72779794,72849603,1522,44
55,72779794,67005114,1522,44
56,72779794,72849603,1522,44
57,72779794,67005114,1522,44
58,72779794,72849603,1522,44
59,72779794,67005114,1522,44
60,79638546,72639528,1577,48
61,79638546,72789331,1577,48
62,79638546,96377550,1577,48
63,79638546,72639528,1577,48
64,79638546,72789331,1577,48
65,79638546,96377550,1577,48
66,79638546,79780370,1577,48
67,79638546,79768283,1577,48
68,79638546,79768526,1577,48
69,79638546,96377550,1577,48
70,79638546,79780370,1577,48
71,79638546,79768283,1577,48
72,79638546,79768526,1577,48
73,79638546,96377550,1577,48
74,79638546,96377550,1586,49
75,79638546,79587583,1586,49
76,67065883,52556363,1214,37
77,67065883,66839107,1214,37
78,67065883,52556363,1214,37
79,67065883,52556363,1214,37
80,67065883,66809638,1223,38
81,59265052,67114034,1214,37
82,66805789,62118633,1223,38
83,66805789,67863624,1233,39
84,81326109,82298310,1948,60
85,81326109,92562267,1958,61
86,81326109,81778889,1958,61
87,81326109,81778889,1958,61
88,53536799,52862787,846,26
89,53536799,62364107,846,26
90,53536799,55546381,846,26
91,53536799,53615608,846,26
92,53536799,53360542,846,26
93,53536799,62372002,846,26
94,53536799,62364107,846,26
95,53536799,56006892,846,26
96,53536799,55546381,846,26
97,53536799,53571570,846,26
98,53536799,53615608,846,26
99,53536799,62373048,846,26
100,66836512,67071112,1503,42
101,44003361,46892315,125,5
102,44003361,47065318,125,5
103,44003361,46884794,125,5
104,44003361,46884794,125,5
105,44003361,46884794,125,5
106,43894817,47023784,125,5
107,52822051,53608515,791,22
108,52822051,53787062,791,22
109,52822051,53583831,791,22
110,52822051,56000590,791,22
111,52822051,53608515,791,22
112,52822051,53787062,791,22
113,52822051,53583831,791,22
114,53516324,52803365,855,27
115,53516324,52803365,855,27
116,53516324,62344786,855,27
117,53516324,62780046,855,27
118,53516324,52803365,855,27
119,53516324,53261370,865,28
120,53516324,52862003,865,28
121,53516324,52803365,865,28
122,53516324,52862003,865,28
123,53516324,52862003,865,28
124,53516324,62780046,1114,30
125,53516324,62780046,1114,30
126,53516324,62780046,1114,30
127,53516324,62780046,1114,30
128,53516324,62300782,1134,31
129,53516324,62300782,1134,31
130,53516324,62300782,1134,31
131,53516324,62580546,1144,32
132,53516324,62300782,1144,32
133,53516324,62528125,1144,32
134,53516324,62595593,1144,32
135,53516324,62306860,1144,32
136,53516324,62580546,1156,33
137,53516324,66808809,1156,33
138,53516324,62580546,1156,33
139,53516324,52556363,1156,33
140,53516324,67066055,1156,33
141,79583269,72639528,1558,46
142,79583269,72622368,1558,46
143,79583269,67005114,1558,46
144,79583269,73047778,1558,46
145,79583269,67103278,1558,46
146,46882854,43895861,89,1
147,67031081,59262792,1214,37
148,67031081,67266067,1214,37
149,67031081,67103278,1214,37
150,67031081,67103278,1223,38
151,67031081,66805012,1223,38
152,67031081,67051630,1223,38
153,96532522,96374092,1586,49
154,96532522,79784278,1586,49
