,ID1,ID2,time,trapping_session
5553,47027549,47061853,100,2
5554,47027549,47046088,100,2
4596,47050813,47027549,100,2
5555,47027549,47020637,100,2
5556,47027549,47061853,100,2
4597,47050813,47093345,100,2
5505,44004556,47093345,100,2
1606,47048073,46877639,100,2
2387,47065003,46872599,100,2
2386,47065003,46872599,100,2
2385,47065003,47098771,100,2
1605,47048073,47089528,100,2
1372,47088812,47040873,100,2
13,47071260,43823013,100,2
14,47071260,43873591,100,2
1373,47088812,47060056,100,2
4598,47050813,44004556,100,2
1374,47088812,47081888,100,2
5893,47020302,44047614,100,2
5445,47068271,47095375,100,2
5444,47068271,47036606,100,2
5443,47068271,47003548,100,2
5991,47020637,47046088,100,2
5992,47020637,47061853,100,2
859,43852521,47027549,100,2
5419,47019095,47044562,100,2
2344,44042121,47027549,100,2
2343,44042121,47061853,100,2
2342,44042121,47020637,100,2
858,43852521,47061853,100,2
6126,44047614,43613772,100,2
6125,44047614,43613772,100,2
5859,47036606,47095375,100,2
4634,47026259,47068821,100,2
4635,47026259,47068821,100,2
857,43852521,47020637,100,2
856,43852521,44042121,100,2
3315,47033075,47066627,100,2
3316,47033075,47066627,100,2
2341,44042121,47046088,100,2
2340,44042121,47001895,100,2
2339,44042121,47027549,100,2
2338,44042121,47061853,100,2
2337,44042121,47020637,100,2
2336,44042121,47046088,100,2
2335,44042121,47001895,100,2
4816,47001895,47046088,100,2
4817,47001895,47020637,100,2
2334,44042121,47027549,100,2
2333,44042121,47050813,100,2
2332,44042121,47061853,100,2
4818,47001895,47061853,100,2
4819,47001895,47027549,100,2
4820,47001895,47046088,100,2
855,43852521,47046088,100,2
1288,45098101,47058031,100,2
1287,45098101,47040873,100,2
4821,47001895,47020637,100,2
854,43852521,47001895,100,2
6114,47045802,43613772,100,2
4822,47001895,47061853,100,2
4823,47001895,47027549,100,2
4824,47001895,47046088,100,2
4825,47001895,47020637,100,2
4826,47001895,47061853,100,2
4827,47001895,47027549,100,2
1286,45098101,46877056,100,2
1285,45098101,47060056,100,2
3317,47033075,47093587,100,2
3318,47106813,47020302,100,2
3319,47106813,44047614,100,2
433,47104320,46872599,100,2
432,47104320,45002774,100,2
3320,47106815,47083089,100,2
2938,47040873,47093587,100,2
6081,47062053,47045802,100,2
6080,47062053,46808635,100,2
2937,47040873,46877056,100,2
4551,45002774,46872599,100,2
4180,47083089,47003548,100,2
5637,47093345,47068821,100,2
5638,47093345,47046088,100,2
5639,47093345,47068821,100,2
4181,47083089,43823013,100,2
3321,47106815,43823013,100,2
1102,47023110,47044786,100,2
1101,47023110,47044786,100,2
1100,47023110,43807529,100,2
2936,47040873,47060056,100,2
5654,45020813,46872599,100,2
5655,45020813,46808635,100,2
5656,45020813,46872599,100,2
1099,47023110,47044786,100,2
5663,47068821,47046088,100,2
2935,47040873,46853792,100,2
3322,47106815,47083089,100,2
3323,47106815,43823013,100,2
3324,47106815,47083089,100,2
3325,47106815,43823013,100,2
5153,43807529,47044786,100,2
2495,46893032,47106813,100,2
2496,46893032,47020302,100,2
2497,46893032,44047614,100,2
2498,46893032,47090289,100,2
2499,46893032,44047614,100,2
5154,43807529,47044786,100,2
4072,47066627,47036606,100,2
5155,43807529,47044786,100,2
5796,44087260,44047614,100,2
5795,44087260,43613772,100,2
5794,44087260,44047614,100,2
5793,44087260,43613772,100,2
5792,44087260,44047614,100,2
4595,47050813,47061853,100,2
5791,44087260,43613772,100,2
4929,47043046,43807529,100,2
4930,47043046,43807529,100,2
4931,47043046,47044786,100,2
4932,47043046,47093035,100,2
4933,47043046,47093035,100,2
6055,47061853,47046088,100,2
6054,47061853,47046088,100,2
3677,47082592,47045802,100,2
2282,47089528,46877639,100,2
5773,47003548,47095375,100,2
3175,47090289,44047614,100,2
3176,47090289,47082592,100,2
5772,47003548,47036606,100,2
4246,46853792,47060056,100,2
3177,47090289,44047614,100,2
4937,47043046,47020379,110,3
6018,47086282,47022033,110,3
4938,47043046,47043090,110,3
4936,47043046,44047827,110,3
4247,46853792,45002774,110,3
4935,47043046,44004556,110,3
4934,47043046,46872307,110,3
6051,47061852,47062057,110,3
3330,47106815,47045802,110,3
1770,46810610,47043090,110,3
1769,46810610,46872307,110,3
1768,46810610,47043046,110,3
3329,47106815,43613772,110,3
1767,46810610,46872307,110,3
4248,46853792,47062057,110,3
1766,46810610,47043090,110,3
1765,46810610,46872307,110,3
1661,47080863,43613772,110,3
1660,47080863,47043046,110,3
1659,47080863,47043090,110,3
4249,46853792,47042613,110,3
3328,47106815,47084284,110,3
741,47014519,44004556,110,3
740,47014519,47043046,110,3
110,47014031,47043090,110,3
109,47014031,46872307,110,3
108,47014031,46810610,110,3
4251,46853792,47084284,110,3
4252,46853792,47050813,110,3
739,47014519,43807529,110,3
4099,47083036,47087316,110,3
738,47014519,47043046,110,3
1764,46810610,44047827,110,3
3327,47106815,46853792,110,3
3326,47106815,47045802,110,3
737,47014519,47020379,110,3
736,47014519,44047827,110,3
2283,47089528,46872307,110,3
2284,47089528,45053533,110,3
1103,47023110,47044786,110,3
4988,47043090,46872307,110,3
1763,46810610,47020379,110,3
4182,47083089,47084580,110,3
1104,47023110,44009869,110,3
5631,45053533,46872307,110,3
3264,47098559,47022033,110,3
5630,45053533,46872307,110,3
4552,45002774,47050813,110,3
3265,47098559,47086282,110,3
3266,47098559,47025573,110,3
3267,47098559,47086282,110,3
2948,44009869,47044786,110,3
434,47104320,46872307,110,3
435,47104320,46872307,110,3
436,47104320,46861564,110,3
437,43827527,47098559,110,3
4100,47083036,47087316,110,3
438,43827527,47086282,110,3
439,43827527,47016275,110,3
440,43827527,47098559,110,3
441,43827527,47086282,110,3
442,43827527,47016275,110,3
3431,47098771,47087316,110,3
3432,47098771,47036606,110,3
3433,47098771,47083036,110,3
4017,47025573,47022033,110,3
2905,47016275,47086282,110,3
2904,47016275,47098559,110,3
2903,47016275,47086282,110,3
4016,47025573,47086282,110,3
4015,47025573,47022033,110,3
3689,47058031,47068271,110,3
4014,47025573,47086282,110,3
5860,47036606,47087316,110,3
3434,47098771,47087316,110,3
5421,47060056,47020302,110,3
3086,47082004,47019095,110,3
3085,47082004,47003548,110,3
860,43852521,47019095,110,3
5446,47068271,47086282,110,3
17,47071260,47068562,110,3
16,47071260,47036606,110,3
15,47071260,47036606,110,3
5447,47068271,47086282,110,3
2902,47016275,47098559,110,3
2710,44009628,47082004,110,3
254,47022270,46893032,110,3
5927,47020379,44047827,110,3
5928,47020379,44047827,110,3
5929,47020379,44047827,110,3
4013,47025573,47022033,110,3
2388,47065003,44009869,110,3
1607,47048073,46810610,110,3
5506,44004556,44047827,110,3
2711,44009628,47019095,110,3
4250,46853792,47084284,110,3
4594,47042613,47061852,110,3
4593,47042613,47062057,110,3
4592,47042613,47062057,110,3
1608,47048073,46872307,110,3
1609,47048073,47043046,110,3
1610,47048073,44047827,110,3
1611,47048073,44047827,110,3
1612,47048073,44004556,110,3
5691,59086556,59267314,1121,30
5530,62297348,62831809,1121,30
3047,62638540,62329031,1121,30
3046,62638540,62357351,1121,30
3045,62638540,62357351,1121,30
3656,59796551,59579594,1121,30
627,52634073,59616560,1121,30
628,52634073,62376536,1121,30
629,52634073,62321379,1121,30
630,52634073,62379364,1121,30
631,52634073,67101622,1121,30
3118,62335547,66874531,1121,30
3148,62376536,62070364,1121,30
3149,62376536,62321379,1121,30
3150,62376536,62379364,1121,30
3930,59616560,59086556,1121,30
2304,62343032,59096552,1121,30
2667,62376035,62814337,1121,30
5073,62632584,62290614,1121,30
2666,62376035,62814337,1121,30
5072,62632584,62831809,1121,30
5203,67072840,62316327,1121,30
5202,67072840,62316327,1121,30
4752,62329031,62290614,1121,30
1058,67101622,62379364,1121,30
1057,67101622,62379364,1121,30
