,ID1,ID2,start_time,end_time
0,WGGR,WWRG,1247.0,1247.0
1,WWYW,YWRG,490.0,490.0
2,WWYW,YWRG,1532.0,1532.0
3,WW_W,_RRR,755.0,755.0
4,WGRY,____(2),748.0,748.0
5,WGRY,____(2),762.0,762.0
6,BBRR,WWRG,227.0,227.0
7,_GB_,_RYY,97.0,97.0
8,_GB_,_RYY,99.0,99.0
9,_GB_,_RYY,159.0,159.0
10,WY__,_RRR,76.0,76.0
11,WY__,_RRR,930.0,930.0
12,__YY,____(5),163.0,163.0
13,__YY,____(5),1063.0,1063.0
14,WW__,__YY,103.0,103.0
15,WYBB,____(4),27.0,27.0
16,WYBB,____(4),424.0,424.0
17,WYBB,____(4),1227.0,1227.0
18,YYWW,__YY,31.0,31.0
19,YYWW,__YY,32.0,32.0
20,YYWW,__YY,378.0,378.0
21,GG_W,_WWR,1358.0,1358.0
22,WYBB,_WW_,1274.0,1274.0
23,_RYY,white_legs,133.0,133.0
24,_RYY,white_legs,230.0,230.0
25,GG_W,WY__,683.0,683.0
26,GG_W,WY__,688.0,688.0
27,GG_W,WY__,861.0,861.0
28,GG_W,WY__,874.0,874.0
29,GG_W,WY__,1199.0,1199.0
30,GG_W,WY__,1203.0,1203.0
31,GG_W,WY__,1721.0,1721.0
32,_GB_,____(6),172.0,172.0
33,_GB_,____(6),175.0,175.0
34,_GB_,____(6),1378.0,1378.0
35,WWYW,WYBB,67.0,67.0
36,WWYW,WYBB,249.0,249.0
37,WWRG,_G__,194.0,194.0
38,WWRG,_G__,444.0,444.0
39,WWGR,____(1),1264.0,1264.0
40,WWGR,____(1),1273.0,1273.0
41,WWGR,____(1),1336.0,1336.0
42,WWRG,____(6),170.0,170.0
43,WWRG,____(6),171.0,171.0
44,WWRG,____(6),196.0,196.0
45,WWRG,____(6),298.0,298.0
46,WWRG,_BWW,470.0,470.0
47,WWYW,_WWR,20.0,20.0
48,WWYW,_WWR,25.0,25.0
49,WWYW,_WWR,182.0,182.0
50,WWYW,_WWR,188.0,188.0
51,WWYW,_WWR,515.0,515.0
52,WWYW,_WWR,1516.0,1516.0
53,WWYW,_WWR,1610.0,1610.0
54,_G__,white_legs,133.0,133.0
55,_WW_,____(3),1261.0,1261.0
56,WY__,_RYY,95.0,95.0
57,WY__,_RYY,128.0,128.0
58,WY__,_RYY,223.0,223.0
59,WY__,_RYY,1495.0,1495.0
60,WY__,_RYY,1580.0,1580.0
61,WY__,_RYY,1591.0,1591.0
62,GG_W,WYBB,200.0,200.0
63,GG_W,WYBB,1240.0,1240.0
64,WGGR,WWGR,534.0,534.0
65,WYBB,YWWB,2.0,2.0
66,WYBB,YWWB,16.0,16.0
67,WYBB,YWWB,205.0,205.0
68,WYBB,YWWB,1258.0,1258.0
69,____(1),____(4),549.0,549.0
70,____(1),____(4),1626.0,1626.0
71,__YY,____(6),141.0,141.0
72,__YY,____(6),143.0,143.0
73,__YY,____(6),1068.0,1068.0
74,WWBG,WWRG,885.0,885.0
75,_BWW,____(4),140.0,140.0
76,WWRG,_RYY,1430.0,1430.0
77,WWRG,_RYY,1447.0,1447.0
78,WWRG,_RYY,1490.0,1490.0
79,_GB_,____(4),1332.0,1332.0
80,WW_W,WW__,701.0,701.0
81,WW_W,WW__,788.0,788.0
82,WW_W,WW__,998.0,998.0
83,GG_W,_GB_,599.0,599.0
84,GG_W,_GB_,674.0,674.0
85,GG_W,_GB_,687.0,687.0
86,____(4),____(5),1414.0,1414.0
87,GG_W,__YY,94.0,94.0
88,GG_W,__YY,330.0,330.0
89,GG_W,__YY,333.0,333.0
90,GG_W,__YY,1272.0,1272.0
91,YYWW,_WWR,244.0,244.0
92,RWY_,WW__,349.0,349.0
93,RWY_,WW__,503.0,503.0
94,_GB_,__YY,1006.0,1006.0
95,_GB_,__YY,1215.0,1215.0
96,BBRR,RWY_,716.0,716.0
97,WYBB,____(6),1340.0,1340.0
98,WYBB,____(6),1439.0,1439.0
99,_G__,____(4),346.0,346.0
100,_G__,____(4),354.0,354.0
101,WWRG,WYBB,101.0,101.0
102,WWRG,WYBB,102.0,102.0
103,GG_W,RWY_,792.0,792.0
104,WWRG,____(5),234.0,234.0
105,WWRG,____(5),1755.0,1755.0
106,WWGR,____(4),1603.0,1603.0
107,WWGR,____(4),1640.0,1640.0
108,WWGR,____(4),1707.0,1707.0
109,WYBB,__YY,87.0,87.0
110,GG_W,WWRG,119.0,119.0
111,GG_W,WWRG,532.0,532.0
112,GG_W,WWRG,573.0,573.0
113,GG_W,WWRG,648.0,648.0
114,GG_W,WWRG,1199.0,1199.0
115,GG_W,WWRG,1200.0,1200.0
116,GG_W,WWRG,1220.0,1220.0
117,GG_W,WWRG,1250.0,1250.0
118,WWGR,____(6),1586.0,1586.0
119,GG_W,_BWW,191.0,191.0
120,GG_W,_BWW,339.0,339.0
121,GG_W,____(6),321.0,321.0
122,GG_W,____(6),365.0,365.0
123,GG_W,____(6),680.0,680.0
124,WWRG,_GB_,165.0,165.0
125,WWRG,_GB_,1269.0,1269.0
126,_G__,_RYY,1530.0,1530.0
127,_GB_,white_legs,101.0,101.0
128,_GB_,white_legs,1283.0,1283.0
129,WWRG,WWYW,258.0,258.0
130,WWRG,WWYW,260.0,260.0
131,WWBG,_RYY,47.0,47.0
132,WWBG,_RYY,1477.0,1477.0
133,RWY_,____(4),1386.0,1386.0
134,WY__,____(6),3.0,3.0
135,WY__,____(6),301.0,301.0
136,WWRG,WW_W,6.0,6.0
137,WY__,_BWW,69.0,69.0
138,WY__,_BWW,169.0,169.0
139,WY__,_BWW,915.0,915.0
140,WY__,_BWW,1283.0,1283.0
