,ID1,ID2,start_time,end_time
0,GYGG,_WYG,1158.0,1158.0
1,GYGG,_WYG,1174.0,1174.0
2,YGWY,____corner,885.0,885.0
3,G_R_,____pale,1156.0,1156.0
4,WRR_,Y_WY,563.0,563.0
5,_R__,_WWY,890.0,890.0
6,_R__,_WWY,1026.0,1026.0
7,_R__,_WWY,1031.0,1031.0
8,_R__,_WWY,1079.0,1079.0
9,_R__,_WWY,1097.0,1097.0
10,_R__,_WWY,1115.0,1115.0
11,_R__,_WWY,1212.0,1212.0
12,GBGR,____pale,1186.0,1186.0
13,GBGR,____pale,1188.0,1188.0
14,G_GW,YWWW,862.0,862.0
15,GGRR,Y__W,1034.0,1034.0
16,GGRR,Y__W,1350.0,1350.0
17,GYGG,YYGG,1077.0,1077.0
18,GYGG,YYGG,1194.0,1194.0
19,GYGG,YYGG,1207.0,1207.0
20,WRRY,WRWR,833.0,833.0
21,RWGY,WGGB,1098.0,1098.0
22,RWGY,WGGB,1105.0,1105.0
23,GR__,G_W_,578.0,578.0
24,GR__,G_W_,587.0,587.0
25,GR__,G_W_,601.0,601.0
26,GR__,G_W_,813.0,813.0
27,GR__,G_W_,960.0,960.0
28,GR__,G_W_,1335.0,1335.0
29,GR__,G_W_,1370.0,1370.0
30,GR__,G_W_,1377.0,1377.0
31,GR__,G_W_,1386.0,1386.0
32,GR__,WG_R,1418.0,1418.0
33,Y_WY,__W_,528.0,528.0
34,GR_Y2,YWGW,340.0,340.0
35,YWGW,____bm,1329.0,1329.0
36,YWGW,____bm,1333.0,1333.0
37,YWGW,____bm,1360.0,1360.0
38,YWGW,____bm,1410.0,1410.0
39,YWGW,____bm,1417.0,1417.0
40,Y__W,_W__,1010.0,1010.0
41,Y__W,_W__,1116.0,1116.0
42,GGRY,GG_W,999.0,999.0
43,GGRY,GG_W,1000.0,1000.0
44,GGRY,GG_W,1002.0,1002.0
45,YWGW,____corner,945.0,945.0
46,YWGW,____corner,1080.0,1080.0
47,YWGW,____corner,1170.0,1170.0
48,YWGW,____corner,1401.0,1401.0
49,W___,YWGW,440.0,440.0
50,GGGR,GYGG,1270.0,1270.0
51,WGGB,_WWY,734.0,734.0
52,WGGB,_WWY,994.0,994.0
53,WGGB,_WWY,1002.0,1002.0
54,WGGB,_WWY,1005.0,1005.0
55,WGGB,_WWY,1018.0,1018.0
56,YGWW,_R__,920.0,920.0
57,YGWW,_R__,938.0,938.0
58,YGWW,_R__,1220.0,1220.0
59,YGWW,_R__,1246.0,1246.0
60,WGWB,YYRG,786.0,786.0
61,WGWB,YYRG,789.0,789.0
62,WGWB,YYRG,792.0,792.0
63,GBGW,WBYG,1090.0,1090.0
64,GBGW,WBYG,1093.0,1093.0
65,GBGW,WBYG,1103.0,1103.0
66,GBGW,WBYG,1104.0,1104.0
67,GBGW,WBYG,1121.0,1121.0
68,GBGW,WBYG,1160.0,1160.0
69,GBGW,WBYG,1161.0,1161.0
70,GBGW,WBYG,1170.0,1170.0
71,GBGW,WBYG,1294.0,1294.0
72,WGBB,WYGG,1240.0,1240.0
73,WGBB,WYGG,1306.0,1306.0
74,WGWB,WYGG,897.0,897.0
75,WGWB,WYGG,1048.0,1048.0
76,WGWB,WYGG,1051.0,1051.0
77,_Y__,____bm,868.0,868.0
78,G_GW,WG_R,44.0,44.0
79,YYRG,_Y__,785.0,785.0
80,YYRG,_Y__,802.0,802.0
81,GGW_,GYGG,801.0,801.0
82,GGW_,GYGG,857.0,857.0
83,GGW_,GYGG,1020.0,1020.0
84,GGW_,GYGG,1037.0,1037.0
85,GGW_,GYGG,1038.0,1038.0
86,WRR_,__W_,558.0,558.0
87,GGYW,WGBB,942.0,942.0
88,GGYW,WGBB,952.0,952.0
89,GGYW,WGBB,1032.0,1032.0
90,GGYW,WGBB,1216.0,1216.0
91,GGYW,WGBB,1278.0,1278.0
92,YYGGmid,_WGG,1200.0,1200.0
93,YYGGmid,_WGG,1204.0,1204.0
94,YYGGmid,_WGG,1226.0,1226.0
95,YYGGmid,_WGG,1235.0,1235.0
96,YYGGmid,_WGG,1285.0,1285.0
97,YGWW,YYRB,1413.0,1413.0
98,YGWW,YYRB,1432.0,1432.0
99,YGWW,YYRB,1434.0,1434.0
100,GY__,_WWY,1364.0,1364.0
101,GGRR,YGWW,462.0,462.0
102,GGRR,YGWW,468.0,468.0
103,GGRR,YGWW,548.0,548.0
104,GGRR,YGWW,741.0,741.0
105,G_R_,YYGG,459.0,459.0
106,G_R_,YYGG,577.0,577.0
107,G_R_,YYGG,833.0,833.0
108,WGBB,_WYW,1121.0,1121.0
109,GR_Y2,_WWY,1022.0,1022.0
110,GR_Y2,_WWY,1111.0,1111.0
111,_W_Y,____topright,1269.0,1269.0
112,_W_Y,____topright,1280.0,1280.0
113,_W_Y,____topright,1295.0,1295.0
114,_W_Y,____topright,1324.0,1324.0
115,_W_Y,____topright,1338.0,1338.0
116,_W_Y,____topright,1345.0,1345.0
117,_W_Y,____topright,1433.0,1433.0
118,G_GW,____brood,987.0,987.0
119,GBGR,YYGG,5.0,5.0
120,GGRR,WGGB,942.0,942.0
121,GGRR,WGGB,1095.0,1095.0
122,GGRR,WGGB,1274.0,1274.0
123,GGRR,WGGB,1310.0,1310.0
124,WWBG,W___,1350.0,1350.0
125,Q,__W_,1183.0,1183.0
126,Q,__W_,1190.0,1190.0
127,Q,__W_,1200.0,1200.0
128,Q,__W_,1233.0,1233.0
129,____almost,____topright,985.0,985.0
130,____almost,____topright,1054.0,1054.0
131,____almost,____topright,1109.0,1109.0
132,____almost,____topright,1412.0,1412.0
133,____almost,____topright,1419.0,1419.0
134,GRGY,Q,1022.0,1022.0
135,GRGY,Q,1030.0,1030.0
136,WGWB,____pale,866.0,866.0
137,WGWB,____pale,873.0,873.0
138,WGWB,____pale,876.0,876.0
139,WRWR,_WYW,1159.0,1159.0
140,GGRY,____pale,1210.0,1210.0
141,GGRY,____pale,1242.0,1242.0
142,GGRY,____pale,1258.0,1258.0
143,GGRY,____pale,1294.0,1294.0
144,GGRY,____pale,1306.0,1306.0
145,GGRY,____pale,1332.0,1332.0
146,_W__,____topleft,155.0,155.0
147,_W__,____topleft,158.0,158.0
148,_W__,____topleft,170.0,170.0
149,_W__,____topleft,416.0,416.0
150,_W__,____topleft,420.0,420.0
151,_W__,____topleft,1020.0,1020.0
152,_W__,____topleft,1031.0,1031.0
153,GGGG,RWWG,1027.0,1027.0
154,GGGG,RWWG,1057.0,1057.0
155,GGGG,RWWG,1062.0,1062.0
156,GGGG,RWWG,1114.0,1114.0
157,GGGG,RWWG,1412.0,1412.0
158,GGGG,RWWG,1418.0,1418.0
159,GGGG,RWWG,1425.0,1425.0
160,W___,____brood,1234.0,1234.0
161,W___,____brood,1235.0,1235.0
162,GRWG,WRR_,5.0,5.0
163,GRWG,WRR_,14.0,14.0
164,GRWG,WRR_,19.0,19.0
165,GRWG,WRR_,39.0,39.0
166,GRWG,WRR_,369.0,369.0
167,GGYW,WBGG,1308.0,1308.0
168,YGWW,____topleft,378.0,378.0
169,GGRY,W___,994.0,994.0
170,GGRY,W___,1004.0,1004.0
171,GGRY,W___,1005.0,1005.0
172,GGRY,W___,1120.0,1120.0
173,GGRY,W___,1146.0,1146.0
174,WBGW,_WYW,1303.0,1303.0
175,W___,YGWW,1407.0,1407.0
176,GGRR,WRWR,408.0,408.0
177,GGRR,WRWR,1300.0,1300.0
178,GGRR,WRWR,1317.0,1317.0
179,G_W_,YY_W,5.0,5.0
180,G_W_,YY_W,40.0,40.0
181,G_W_,YY_W,68.0,68.0
182,G_W_,YY_W,83.0,83.0
183,G_W_,YY_W,99.0,99.0
184,G_W_,YY_W,147.0,147.0
185,G_W_,YY_W,248.0,248.0
186,G_W_,YY_W,251.0,251.0
187,G_W_,YY_W,389.0,389.0
188,G_W_,YY_W,638.0,638.0
189,G_W_,YY_W,720.0,720.0
190,G_W_,YY_W,773.0,773.0
191,G_W_,YY_W,854.0,854.0
192,G_W_,YY_W,905.0,905.0
193,WG_R,YY_W,979.0,979.0
194,YYGGright,YY_R,946.0,946.0
195,YYGGright,YY_R,1186.0,1186.0
196,YYGGright,YY_R,1193.0,1193.0
197,YYGGright,YY_R,1404.0,1404.0
198,G_R_,_R__,405.0,405.0
199,G_R_,_R__,841.0,841.0
200,G_R_,_R__,1353.0,1353.0
201,WGGB,WRBB,826.0,826.0
202,WRBB,WRWR,696.0,696.0
203,WRBB,____pale,724.0,724.0
204,W___,YGWY,1048.0,1048.0
205,W___,YGWY,1112.0,1112.0
206,GRYY,YYGG,1137.0,1137.0
207,GRYY,YYGG,1175.0,1175.0
208,_W__,__W_,230.0,230.0
209,_W__,__W_,260.0,260.0
210,_W__,__W_,264.0,264.0
211,_W__,__W_,831.0,831.0
212,_W__,__W_,841.0,841.0
213,GRYY,_WWW,856.0,856.0
214,GRYY,_WWW,965.0,965.0
215,GRYY,_WWW,975.0,975.0
216,GRYY,_WWW,1265.0,1265.0
217,GRYY,_WWW,1378.0,1378.0
218,G_GW,YWGW,27.0,27.0
219,G_GW,YWGW,28.0,28.0
220,G_GW,YWGW,41.0,41.0
221,G_GW,YWGW,127.0,127.0
222,G_GW,YWGW,134.0,134.0
223,G_GW,YWGW,154.0,154.0
224,G_GW,YWGW,458.0,458.0
225,G_GW,YWGW,873.0,873.0
226,G_GW,YWGW,920.0,920.0
227,G_GW,YWGW,1127.0,1127.0
228,G_GW,YWGW,1208.0,1208.0
229,GR_Y2,YGWY,1315.0,1315.0
230,GR_Y2,YGWY,1356.0,1356.0
231,GR_Y2,YGWY,1430.0,1430.0
232,GR_Y2,YGWY,1435.0,1435.0
233,GR_Y2,YGWY,1438.0,1438.0
234,GBG_,WGWB,1227.0,1227.0
235,GBG_,WGWB,1236.0,1236.0
236,GBG_,WGWB,1250.0,1250.0
237,GBG_,WGWB,1291.0,1291.0
238,GBG_,WGWB,1305.0,1305.0
239,GBG_,WGWB,1325.0,1325.0
240,RWWG,_WGG,1042.0,1042.0
241,RWWG,_WYW,1406.0,1406.0
242,RWWG,_WYW,1417.0,1417.0
243,GGRR,__W_,575.0,575.0
244,GGRR,__W_,596.0,596.0
245,GGRR,__W_,631.0,631.0
246,GGRY,YYGG,1047.0,1047.0
247,GGRY,YYGG,1049.0,1049.0
248,GGRY,YYGG,1387.0,1387.0
249,GGWY,Q,1074.0,1074.0
250,GGWY,Q,1086.0,1086.0
251,GGWY,Q,1213.0,1213.0
252,GGWY,Q,1215.0,1215.0
253,YYGGmid,Y_WY,7.0,7.0
254,YYGGmid,Y_WY,13.0,13.0
255,YYGGmid,Y_WY,66.0,66.0
256,YYGGmid,Y_WY,1140.0,1140.0
257,WGGB,____bm,1259.0,1259.0
258,WG_R,__W_,374.0,374.0
259,WG_R,__W_,429.0,429.0
260,WG_R,__W_,430.0,430.0
261,GWRG,GY__,600.0,600.0
262,GWRG,GY__,601.0,601.0
263,GWRG,GY__,750.0,750.0
264,GWRG,GY__,817.0,817.0
265,GWRG,GY__,960.0,960.0
266,GWRG,GY__,1074.0,1074.0
267,GR_Y2,WGGB,931.0,931.0
268,GR_Y2,WGGB,1026.0,1026.0
269,GR_Y2,WGGB,1102.0,1102.0
270,GR_Y2,WGGB,1109.0,1109.0
271,GR_Y2,WGGB,1183.0,1183.0
272,GR_Y2,WGGB,1244.0,1244.0
273,WBGG,WGBB,1322.0,1322.0
274,GR_Y2,WRRY,1207.0,1207.0
275,GR_Y2,WRRY,1254.0,1254.0
276,GGRY,_WYG,1073.0,1073.0
277,GGRY,_WYG,1089.0,1089.0
278,GGRY,_WYG,1097.0,1097.0
279,GGRY,_WYG,1099.0,1099.0
280,GGW_,YYWR,1080.0,1080.0
281,GGW_,YY_W,1156.0,1156.0
282,GGW_,YY_W,1222.0,1222.0
283,GGW_,YY_W,1334.0,1334.0
284,GRWG,WRWR,210.0,210.0
285,GRWG,WRWR,246.0,246.0
286,GRWG,WRWR,261.0,261.0
287,GRWG,WRWR,272.0,272.0
288,GRWG,WRWR,960.0,960.0
289,RWGY,RWWG,1004.0,1004.0
290,GGWY,____topright,1435.0,1435.0
291,__BB,____bm,808.0,808.0
292,_WYG,_Y__,1307.0,1307.0
293,GGWW,GRGY,1398.0,1398.0
294,GGWW,GRGY,1412.0,1412.0
295,GGWW,GRGY,1422.0,1422.0
296,GGWW,GG_W,869.0,869.0
297,GGWW,GG_W,884.0,884.0
298,GGWW,GG_W,885.0,885.0
299,GGWW,GG_W,1074.0,1074.0
300,GGWW,GG_W,1075.0,1075.0
301,GGWW,GG_W,1079.0,1079.0
302,GGWW,GG_W,1080.0,1080.0
303,YGWW,YWGW,451.0,451.0
304,YGWW,YWGW,500.0,500.0
305,YGWW,YWGW,534.0,534.0
306,YGWW,YWGW,1167.0,1167.0
307,YWW_,_WWY,1084.0,1084.0
308,YWW_,_WWY,1157.0,1157.0
309,YWW_,_WWY,1173.0,1173.0
310,G_R_,____topleft,41.0,41.0
311,YWWW,YYGGmid,783.0,783.0
312,YWWW,YYGGmid,789.0,789.0
313,YWWW,YYGGmid,808.0,808.0
314,YYGGright,Y___,937.0,937.0
315,WBYG,YGWW,1408.0,1408.0
316,G_GW,YGWW,359.0,359.0
317,G_GW,YGWW,361.0,361.0
318,G_GW,YGWW,455.0,455.0
319,G_GW,YGWW,509.0,509.0
320,G_GW,YGWW,518.0,518.0
321,G_GW,YGWW,1149.0,1149.0
322,GGWY,RWWG,1365.0,1365.0
323,WBGW,WGWB,891.0,891.0
324,WBGW,YY_W,954.0,954.0
325,YYGGmid,____bm,1279.0,1279.0
326,YY_W,_RYG,1015.0,1015.0
327,WRBB,YWWW,716.0,716.0
328,WRBB,YWWW,722.0,722.0
329,WGBB,____almost,1075.0,1075.0
330,G_GW,_W__,502.0,502.0
331,G_GW,_W__,861.0,861.0
332,G_GW,_W__,897.0,897.0
333,G_GW,_W__,1220.0,1220.0
334,GGWY,W___,1092.0,1092.0
335,YWGW,_W__,414.0,414.0
336,YWGW,_W__,451.0,451.0
337,YWGW,_W__,480.0,480.0
338,YWGW,_W__,600.0,600.0
339,YWGW,_W__,1055.0,1055.0
340,YWGW,_W__,1063.0,1063.0
341,GRWG,YGWW,897.0,897.0
342,YYGGright,_WWW,949.0,949.0
343,YYGGright,_WWW,1068.0,1068.0
344,YYGGright,_WWW,1069.0,1069.0
345,YYGGright,_WWW,1146.0,1146.0
346,YYGGright,_WWW,1147.0,1147.0
347,YYGGright,_WWW,1169.0,1169.0
348,GGGR,_WYG,1323.0,1323.0
349,GGGR,_WYG,1326.0,1326.0
350,GR__,Y_WY,412.0,412.0
351,GR__,Y_WY,415.0,415.0
352,GR__,Y_WY,448.0,448.0
353,GR__,Y_WY,464.0,464.0
354,GR__,Y_WY,1410.0,1410.0
355,WWBG,_R__,1286.0,1286.0
356,WWBG,_R__,1288.0,1288.0
357,GG_W,WRWR,1415.0,1415.0
358,GGW_,____topright,1030.0,1030.0
359,GR_Y2,G_R_,1081.0,1081.0
360,____bot,____corner,875.0,875.0
361,GYGG,____right,1304.0,1304.0
362,GYGG,____right,1423.0,1423.0
363,GGWW,GRBR,870.0,870.0
364,GGWW,GRBR,871.0,871.0
365,GGWW,GRBR,1207.0,1207.0
366,WYGG,YYGW,1068.0,1068.0
367,WGBB,WGGB,1198.0,1198.0
368,GRWG,_R__,413.0,413.0
369,GRWG,_R__,414.0,414.0
370,GRWG,_R__,415.0,415.0
371,GRWG,_R__,750.0,750.0
372,GRWG,_R__,781.0,781.0
373,GRWG,_R__,804.0,804.0
374,GRWG,_R__,807.0,807.0
375,GRWG,_R__,823.0,823.0
376,GRWG,_R__,880.0,880.0
377,GRWG,_R__,881.0,881.0
378,GRWG,_R__,903.0,903.0
379,GRWG,_R__,980.0,980.0
380,G_GW,YY_W,466.0,466.0
381,G_GW,YY_W,993.0,993.0
382,G_GW,YY_W,995.0,995.0
383,GBGR,YYYY,1331.0,1331.0
384,G_W_,_W_Y,1407.0,1407.0
385,G___big,_R__,198.0,198.0
386,G___big,_R__,199.0,199.0
387,GGWY,YY__,1018.0,1018.0
388,GGGG,GGYW,1052.0,1052.0
389,GGGG,GGYW,1070.0,1070.0
390,GWRG,WRRY,593.0,593.0
391,GWRG,WRRY,606.0,606.0
392,GWRG,WRRY,607.0,607.0
393,GWRG,WRRY,658.0,658.0
394,GWRG,WRRY,1220.0,1220.0
395,GWRG,WRRY,1298.0,1298.0
396,W___,YYWR,1080.0,1080.0
397,W___,YYWR,1288.0,1288.0
398,WG_R,____bm,1248.0,1248.0
399,WG_R,____bm,1266.0,1266.0
400,WG_R,____bm,1333.0,1333.0
401,YGWW,_Y__,1296.0,1296.0
402,YGWW,_Y__,1374.0,1374.0
403,YYGW,____almost,1045.0,1045.0
404,YYGW,____almost,1064.0,1064.0
405,GRWG,Q,962.0,962.0
406,GR_Y2,RWGY,1175.0,1175.0
407,GBGR,WR__,1055.0,1055.0
408,GBGR,WR__,1067.0,1067.0
409,GRGY,GRWG,958.0,958.0
410,GRGY,GRWG,970.0,970.0
411,GGW_,____bm,844.0,844.0
412,GGW_,____bm,845.0,845.0
413,GR_Y,____topleft,140.0,140.0
414,GR_Y,____topleft,156.0,156.0
415,GR_Y,____topleft,180.0,180.0
416,GGGG,YYGW,1050.0,1050.0
417,GGGG,YYGW,1054.0,1054.0
418,GGGG,YYGW,1057.0,1057.0
419,GGGG,YYGW,1417.0,1417.0
420,GGGG,YYGW,1435.0,1435.0
421,GGW_,_W_Y,1206.0,1206.0
422,GG_W,WRRY,1318.0,1318.0
423,GG_W,WRRY,1417.0,1417.0
424,YGWW,Y_WY,369.0,369.0
425,YGWW,Y_WY,473.0,473.0
426,YGWW,Y_WY,671.0,671.0
427,YGWW,Y_WY,672.0,672.0
428,YGWW,Y_WY,737.0,737.0
429,YGWW,Y_WY,1200.0,1200.0
430,RWGY,WRWR,1197.0,1197.0
431,G_W_,WBGW,44.0,44.0
432,G_W_,WBGW,102.0,102.0
433,G_W_,WBGW,312.0,312.0
434,G_W_,WBGW,333.0,333.0
435,G_W_,WBGW,477.0,477.0
436,G_W_,WBGW,1230.0,1230.0
437,G_W_,WBGW,1239.0,1239.0
438,G_W_,WBGW,1245.0,1245.0
439,G_W_,WBGW,1248.0,1248.0
440,G_W_,WBGW,1327.0,1327.0
441,G_W_,WBGW,1360.0,1360.0
442,YYGGmid,__W_,505.0,505.0
443,YYGGmid,__W_,1438.0,1438.0
444,GGW_,WBGG,927.0,927.0
445,GGW_,WBGG,1238.0,1238.0
446,GGW_,WBGG,1239.0,1239.0
447,GGW_,WBGG,1265.0,1265.0
448,GGW_,WBGG,1279.0,1279.0
449,YGWW,__BB,1300.0,1300.0
450,YGWW,__BB,1301.0,1301.0
451,YGWW,__BB,1346.0,1346.0
452,YGWW,__BB,1347.0,1347.0
453,YGWW,__BB,1370.0,1370.0
454,G_W_,WYGG,1406.0,1406.0
455,GGWY,_W__,1231.0,1231.0
456,YWGW,Y_WY,59.0,59.0
457,YWGW,Y_WY,73.0,73.0
458,YWGW,Y_WY,170.0,170.0
459,YWGW,Y_WY,223.0,223.0
460,YWGW,Y_WY,300.0,300.0
461,YWGW,Y_WY,304.0,304.0
462,YYRG,____bm,848.0,848.0
463,YYRG,____bm,1001.0,1001.0
464,YYRG,____bm,1002.0,1002.0
465,YYRG,____bm,1060.0,1060.0
466,GGWW,GGWY,1008.0,1008.0
467,GGWW,GGWY,1113.0,1113.0
468,YWW_,YYGGmid,648.0,648.0
469,_R__,__W_,860.0,860.0
470,_R__,__W_,1219.0,1219.0
471,_R__,__W_,1438.0,1438.0
472,GBGW,GGW_,1102.0,1102.0
473,YWWW,_WWY,696.0,696.0
474,YWWW,_WWY,1022.0,1022.0
475,YWWW,_WWY,1114.0,1114.0
476,GR_Y2,WG_R,607.0,607.0
477,GR_Y2,WG_R,863.0,863.0
478,GR_Y2,WG_R,1413.0,1413.0
479,WBYG,YYWR,1084.0,1084.0
480,WBYG,YYWR,1140.0,1140.0
481,WBYG,YYWR,1141.0,1141.0
482,WBYG,YYWR,1320.0,1320.0
483,YYGG,YYY_,914.0,914.0
484,YYGG,YYY_,915.0,915.0
485,GBGW,____corner,893.0,893.0
486,GGWY,G_W_,1393.0,1393.0
487,GR_Y,RWGY,963.0,963.0
488,GYGG,YYWR,1102.0,1102.0
489,GR_Y2,YY_R,940.0,940.0
490,GR_Y2,YY_R,951.0,951.0
491,GR_Y2,YY_R,954.0,954.0
492,GR_Y2,YY_R,956.0,956.0
493,GR_Y2,YY_R,960.0,960.0
494,GR_Y2,YY_R,1232.0,1232.0
495,GR_Y2,YY_R,1302.0,1302.0
496,GR_Y2,YY_R,1312.0,1312.0
497,YGWW,____corner,937.0,937.0
498,GR_Y2,Q,942.0,942.0
499,GR_Y2,Q,990.0,990.0
500,GR_Y2,Q,1000.0,1000.0
501,GR_Y2,Q,1078.0,1078.0
502,GR_Y2,Q,1079.0,1079.0
503,GR_Y2,Q,1084.0,1084.0
504,GR_Y2,WRR_,570.0,570.0
505,RWWG,YYGG,1256.0,1256.0
506,GGWW,_R__,1272.0,1272.0
507,GGWW,_R__,1278.0,1278.0
508,_R__,_WYW,1147.0,1147.0
509,_R__,_WYW,1148.0,1148.0
510,GR_Y2,WGWB,910.0,910.0
511,WRRY,__W_,1400.0,1400.0
512,WRRY,__W_,1425.0,1425.0
513,GRBR,YGWW,1274.0,1274.0
514,__BB,____corner,804.0,804.0
515,__BB,____corner,809.0,809.0
516,__BB,____corner,811.0,811.0
517,__BB,____corner,813.0,813.0
518,__BB,____corner,830.0,830.0
519,__BB,____corner,856.0,856.0
520,Q,_WWY,738.0,738.0
521,WGBB,_WGG,1077.0,1077.0
522,YYGGmid,_W__,1152.0,1152.0
523,YYGGmid,_W__,1242.0,1242.0
524,YY_W,__W_,990.0,990.0
525,_WGG,____topleft,1118.0,1118.0
526,_WGG,____topleft,1119.0,1119.0
527,_WGG,____topleft,1262.0,1262.0
528,_WGG,____topleft,1272.0,1272.0
529,WGGB,WRWR,1411.0,1411.0
530,GR__,G_GW,491.0,491.0
531,G_R_,YYGW,1295.0,1295.0
532,G_R_,YYGW,1298.0,1298.0
533,GRGY,YY_R,1304.0,1304.0
534,GR__,WRBB,1013.0,1013.0
535,GR__,WRBB,1164.0,1164.0
536,GR__,WRBB,1170.0,1170.0
537,GR__,WRBB,1290.0,1290.0
538,GR__,WRBB,1317.0,1317.0
539,GR__,WRBB,1364.0,1364.0
540,GR__,WRBB,1365.0,1365.0
541,GGGG,_WYW,1359.0,1359.0
542,GGGG,_WYW,1360.0,1360.0
543,GGGG,_WYW,1368.0,1368.0
544,YGWW,YYGG,740.0,740.0
545,YGWW,YYGG,1275.0,1275.0
546,WBGW,WRBB,1324.0,1324.0
547,WBGW,WRBB,1367.0,1367.0
548,WRR_,YGWW,521.0,521.0
