Actor Target Time ActorPosX ActorPosY
____1 DIE 7 0 0
____1 WRGW 16 0 0
____1 WYWW 103 0 0
____1 WGWY 144 0 0
____1 WG__2 160 0 0
____1 WWGY 351 0 0
____1 WGWY 381 0 0
____1 WRGW 411 0 0
____1 WWWY 421 0 0
____1 WGGG 527 0 0
____1 ____2 942 0 0
____1 WYRW 951 0 0
____1 WGG_ 1104 0 0
____1 WWR_ 1154 0 0
____1 W_W_2 1420 0 0
____2 WG__1 177 0 0
____2 WYYG 393 0 0
____2 W_W_2 432 0 0
____2 WGGY 557 0 0
____2 Q 952 0 0
____2 WWGY 962 0 0
____2 WG__1 968 0 0
____2 WG__2 976 0 0
____2 WYYG 985 0 0
____2 WBWY 986 0 0
____2 WGYY 994 0 0
____2 WYRW 1007 0 0
____2 WYRW 1231 0 0
____2 Q 1350 0 0
____3 _GGR 306 0 0
____3 _GGR 313 0 0
____3 WW__2 750 0 0
____3 W_W_1 963 0 0
____3 WGGW 1121 0 0
____3 WGGW 1147 0 0
____3 _GGR 1154 0 0
_GGR WGRP 13 0 0
_GGR WYWW 14 0 0
_GGR WY__ 43 0 0
_GGR WYWW 76 0 0
_GGR WY__ 80 0 0
_GGR WY__ 83 0 0
_GGR WY_R 129 0 0
_GGR WR__ 144 0 0
_GGR W_RG 164 0 0
_GGR WW__(H) 178 0 0
_GGR WW__3 253 0 0
_GGR ____3 306 0 0

_GGR WYRR(DIE) 350 0 0
_GGR WW__ 372 0 0
_GGR WYYG 385 0 0
_GGR _YGW 394 0 0
_GGR WY__ 408 0 0
_GGR WY_R 416 0 0
_GGR W_YY 427 0 0
_GGR WGWY 531 0 0
_GGR WRGG 545 0 0
_GGR WG__2 551 0 0
_GGR WYG_ 573 0 0
_GGR WW__(H) 597 0 0
_GGR WRGW 600 0 0
_GGR WWWY 618 0 0
_YGW WW__(Z) 22 0 0
_YGW WW__(H) 387 0 0
_YGW _GGR 393 0 0
_YGW WW__ 828 0 0
_YGW WW__ 834 0 0
_YGW WW__ 864 0 0
_YYY Q 40 0 0
_YYY Q 52 0 0
_YYY WYY_ 77 0 0
_YYY WWY_ 104 0 0
_YYY WRWP 132 0 0
_YYY WGWW 266 0 0
_YYY W_YY 287 0 0
_YYY WYY_ 323 0 0
_YYY WR__ 592 0 0
_YYY WBGW 1041 0 0
_YYY WGGY 1365 0 0
_YYY WGGY 1382 0 0
_YYY WGGY 1395 0 0
PYPG WG__2 739 0 0
PYPG WGRP 777 0 0
PYPG WW__ 857 0 0
PYPG WWWY 863 0 0
PYPG WGG_ 875 0 0
PYPG WG__2 954 0 0
PYPG WGYY 956 0 0
PYPG WGYY 961 0 0
PYPG W___1 964 0 0
PYPG WG__1 986 0 0
PYPG W_W_1 1007 0 0
PYPG W___1 1037 0 0
PYPG WPPP 1040 0 0
PYPG W___1 1044 0 0
PYPG W___1 1062 0 0
PYPG _GGR 1106 0 0

PYPG WPGR 1115 0 0
PYPG WRWP 1125 0 0
PYPG WGWW 1132 0 0
PYPG WGWY 1143 0 0
PYPG WWY_ 1149 0 0
PYPG WG__1 1153 0 0
PYPG WPGG 1156 0 0
PYPG W_W_1 1171 0 0
PYPG WYY_ 1185 0 0
PYPG WYG_ 1194 0 0
PYPG WYG_ 1204 0 0
PYPG WGG_ 1207 0 0
PYPG WG__1 1235 0 0
PYPG ____2 1245 0 0
PYPG W___1 1309 0 0
PYPG WPPP 1329 0 0
PYPG WPPP 1349 0 0
Q WRYR 8 0 0
Q WW__1 35 0 0
Q _YYY 38 0 0
Q WR__ 42 0 0
Q WW__1 63 0 0
Q WR__ 67 0 0
Q _YYY 73 0 0
Q WR__ 78 0 0
Q WG__1 93 0 0
Q WWR_ 106 0 0
Q WWR_ 109 0 0
Q WG_Y 155 0 0
Q WPGR 168 0 0
Q W_RG 245 0 0
Q WGG_ 268 0 0
Q WG__2 272 0 0
Q WW__(H) 281 0 0
Q WG__2 293 0 0
Q WPGG 309 0 0
Q WBWY 320 0 0
Q WWRY 361 0 0
Q WRGG 362 0 0
Q W_W_2 380 0 0
Q WYG_ 397 0 0
Q WYG_ 408 0 0
Q WW__(H) 435 0 0
Q WWRY 469 0 0
Q W_W_1 489 0 0
Q WG__2 508 0 0
Q WPGY 519 0 0
Q WW__ 559 0 0
Q WWGY 663 0 0

Q WPGG 861 0 0
Q W_W_2 869 0 0
Q WPGG 920 0 0
Q _YYY 1002 0 0
Q W_BG 1032 0 0
Q W_BG 1108 0 0
Q WWRY 1141 0 0
Q W_BG 1143 0 0
Q WPGR 1365 0 0
Q WYYG 1393 0 0
W___1 _YYY 282 0 0
W___1 WGWW 288 0 0
W___1 WGWW 315 0 0
W___1 WGGG 380 0 0
W___1 WGGG 436 0 0
W___1 WGGG 613 0 0
W___1 WGGG 658 0 0
W___1 WW__ 687 0 0
W___1 WGGW 1255 0 0
W___1 WW__(Z) 1438 0 0
W_BG W_YY 0 0 0
W_BG WY_R 369 0 0
W_BG WBGW 414 0 0
W_BG WGGG 535 0 0
W_BG W_RG 567 0 0
W_BG WYRW 854 0 0
W_BG Q 1108 0 0
W_BG W_YY 1326 0 0
W_BG WBGW 1348 0 0
W_BG W_YY 1366 0 0
W_BG W_YR 1395 0 0
W_RG W_YY 386 0 0
W_RG WGGG 425 0 0
W_RG Q 517 0 0
W_RG W_BG 561 0 0
W_RG WGWW 595 0 0
W_RG WG__1 730 0 0
W_RG W_BG 778 0 0
W_RG W_W_1 934 0 0
W_RG _GGR 1195 0 0
W_RG WR__ 1214 0 0
W_RG WPGR 1248 0 0
W_RG WPGR 1257 0 0
W_W_1 WRWP 388 0 0
W_W_1 WRGG 978 0 0
W_W_1 WPGG 1110 0 0
W_W_1 WWR_ 1138 0 0
W_W_1 WYWW 1166 0 0
W_W_1 WGRP 1168 0 0

W_W_1 PYPG 1170 0 0
W_W_2 _GGR 0 0 0
W_W_2 WRGW 64 0 0
W_W_2 WW__ 878 0 0
W_W_2 Q 964 0 0
W_W_2 WW__ 1024 0 0
W_W_2 WW__ 1082 0 0
W_W_2 WWRY 1128 0 0
W_W_2 W_YR 1149 0 0
W_W_2 _GGR 1323 0 0
W_W_2 W_YR 1353 0 0
W_W_2 W_YR 1406 0 0
W_YR WRGG 336 0 0
W_YR W_BG 425 0 0
W_YR WW__ 458 0 0
W_YR W___1 492 0 0
W_YR WG__1 509 0 0
W_YR WG__1 526 0 0
W_YR W_W_2 549 0 0
W_YR WGG_ 607 0 0
W_YR ____1 957 0 0
W_YR WW__(Z) 1034 0 0
W_YR WW__(Z) 1050 0 0
W_YR ____1 1056 0 0
W_YR WYRW 1076 0 0
W_YR WYRW 1089 0 0
W_YR W_W_2 1149 0 0
W_YR WGRP 1218 0 0
W_YR W_W_2 1353 0 0
W_YR W_W_1 1375 0 0
W_YR W_BG 1396 0 0
W_YR W_W_2 1406 0 0
W_YY W_BG 0 0 0
W_YY WGWW2 262 0 0
W_YY _YYY 273 0 0
W_YY _YYY 286 0 0
W_YY _YYY 294 0 0
W_YY WY_R 335 0 0
W_YY W_BG 358 0 0
W_YY ____2 557 0 0
W_YY W_W_2 663 0 0
W_YY ____2 790 0 0
W_YY W_W_2 837 0 0
W_YY W_W_2 867 0 0
W_YY WYRW 963 0 0
W_YY WPGG 977 0 0
W_YY WBWY 1234 0 0
W_YY W_BG 1322 0 0
W_YY _YYY 1395 0 0

W_YY WGRP 1430 0 0
WBWY WG__1 183 0 0
WBWY WW__1 288 0 0
WBWY Q 319 0 0
WBWY WYWW 343 0 0
WBWY WG__3 435 0 0
WBWY WG__3 481 0 0
WBWY WG__3 489 0 0
WBWY WYYB 895 0 0
WBWY WWRY 903 0 0
WBWY _GGR 923 0 0
WBWY WPGR 965 0 0
WBWY WWGY 1227 0 0
WBWY WYG_ 1273 0 0
WG__1 WRGG 119 0 0
WG__1 WRWP 139 0 0
WG__1 WRWP 140 0 0
WG__1 WRGG 146 0 0
WG__1 ____2 177 0 0
WG__1 WGG_ 412 0 0
WG__1 WGYY 464 0 0
WG__1 W_YR 501 0 0
WG__1 WGWY 567 0 0
WG__1 WPGG 712 0 0
WG__1 PYPG 818 0 0
WG__1 WWGY 822 0 0
WG__1 WGRP 879 0 0
WG__1 WWR_ 924 0 0
WG__1 WGG_ 936 0 0
WG__1 WWR_ 973 0 0
WG__1 WW__ 979 0 0
WG__1 WWGY 984 0 0
WG__1 WWR_ 1120 0 0
WG__1 WRYR 1130 0 0
WG__1 WGG_ 1250 0 0
WG__1 WRYY 1281 0 0
WG__1 WYY_ 1323 0 0
WG__1 WGGG 1356 0 0
WG__1 WYY_ 1374 0 0
WG__1 WWR_ 1401 0 0
WG__1 WGYY 1407 0 0
WG__2 WGRP 0 0 0
WG__2 WYRW 75 0 0
WG__2 Q 292 0 0
WG__2 W_W_1 404 0 0
WG__2 WWR_ 536 0 0
WG__2 _GGR 554 0 0
WG__2 WRGG 570 0 0
WG__2 WPYY 574 0 0

WG__2 WGWY 620 0 0
WG__2 WYRW 663 0 0
WG__2 W___1 687 0 0
WG__2 WW__2 703 0 0
WG__2 W_RG 724 0 0
WG__2 PYPG 736 0 0
WG__2 PYPG 739 0 0
WG__2 WGRP 772 0 0
WG__2 PYPG 787 0 0
WG__2 PYPG 799 0 0
WG__2 PYPG 821 0 0
WG__2 WW__ 955 0 0
WG__2 WYRW 985 0 0
WG__2 WW__2 1013 0 0
WG__2 WRYY 1034 0 0
WG__2 WYG_ 1072 0 0
WG_Y WWGY 219 0 0
WG_Y WGG_ 373 0 0
WG_Y WGGY 424 0 0
WG_Y WWWY 467 0 0
WG_Y ____2 992 0 0
WGG_ WRYR 16 0 0
WGG_ WG__1 44 0 0
WGG_ WGRP 129 0 0
WGG_ WY_G2 149 0 0
WGG_ WGWY 174 0 0
WGG_ WGWY 179 0 0
WGG_ WGWY 266 0 0
WGG_ WWGY 302 0 0
WGG_ WY__ 316 0 0
WGG_ WY__ 320 0 0
WGG_ WG_Y 376 0 0
WGG_ WGWY 385 0 0
WGG_ WG__1 411 0 0
WGG_ W_YR 507 0 0
WGG_ W_W_1 510 0 0
WGG_ WGWY 529 0 0
WGG_ Q 568 0 0
WGG_ WG__1 575 0 0
WGG_ W___1 588 0 0
WGG_ _GGR 658 0 0
WGG_ W_W_1 699 0 0
WGG_ WG__1 712 0 0
WGG_ WG__1 767 0 0
WGG_ WWWY 879 0 0
WGG_ WY_G2 948 0 0
WGG_ ____1 1146 0 0
WGG_ _GGR 1263 0 0
WGG_ WW__2 1336 0 0

WGG_ WBGW 1404 0 0
WGGG W___1 383 0 0
WGGG W_RG 430 0 0
WGGG W___1 433 0 0
WGGG W___1 624 0 0
WGGG WYRW 711 0 0
WGGG WPYY 731 0 0
WGGG WPGR 747 0 0
WGGG WGWY 893 0 0
WGGG WR__ 914 0 0
WGGG WR__ 967 0 0
WGGG WYY_ 987 0 0
WGGG W_BG 1069 0 0
WGGG W_BG 1103 0 0
WGGW Q 972 0 0
WGGW Q 992 0 0
WGGW Q 1016 0 0
WGGW W_RG 1020 0 0
WGGW WYY_ 1022 0 0
WGGW WPGR 1036 0 0
WGGW WPGR 1045 0 0
WGGW ____3 1088 0 0
WGGY WG__1 23 0 0
WGGY W_RG 35 0 0
WGGY WGGG 112 0 0
WGGY WGWW 113 0 0
WGGY WG__1 132 0 0
WGGY WPYY 133 0 0
WGGY WRGG 149 0 0
WGGY Q 157 0 0
WGGY WWR_ 189 0 0
WGGY WWY_ 194 0 0
WGGY WYGR 221 0 0
WGGY WRYY 228 0 0
WGGY WPGG 258 0 0
WGGY WWGY 263 0 0
WGGY PYPG 335 0 0
WGGY _GGR 371 0 0
WGGY WGG_ 424 0 0
