Actor Target ActorPosX ActorPosY Time
WGGR __YY 194 253 27
WGGR __YY 174 257 59
WGGR YYWW 185 254 247
WGGR __YY 219 238 425
WGGR _WWR 265 260 492
WGGR WWYW 237 283 510
WGGR YWRG 230 336 531
WGGR WWGR 254 338 534
WGGR _WWR 254 338 536
WGGR _WWR 211 292 582
WGGR WGRY 324 393 686
WGGR YWWB 457 366 810
WGGR ____(4) 422 318 897
WGGR ____(1) 408 328 902
WGGR ____(4) 422 316 1217
WGGR GG_W 421 300 1241
WGGR WWRG 417 297 1247
WGGR ____(1) 403 341 1257
WGGR YWWB 400 356 1266
WGGR WGRY 400 356 1270
WGGR ____(4) 420 280 1288
WGGR ____(1) 420 280 1340
WGGR _WWR 268 262 1361
WGGR GG_W 194 211 1372
WGGR YYWW 134 324 1381
YYWW __YY 237 317 31
YYWW WWYW 215 312 99
YYWW WGGR 172 304 118
YYWW YWRG 173 335 132
YYWW _WWR 241 284 244
YYWW YWRG 174 354 290
YYWW __YY 151 357 378
YYWW WWYW 167 317 1402
YWRG WGGR 213 326 572
YWRG YYWW 212 342 828
YWRG _WWR 254 324 930
YWRG YYWW 169 364 980
WWGR ____(1) 333 319 1264
WWGR WGRY 356 361 1329
WWGR ____(1) 385 342 1336
WWGR WYBB 450 304 1346
WWGR _WW_ 468 374 1389
WWGR ____(6) 480 324 1586
____(1) WWGR 335 316 1273
____(1) WGRY 393 353 1324
WGRY WWYW 346 384 402
WGRY WGGR 345 383 655
WGRY ____(2) 345 383 748

WGRY WWGR 345 384 1324
____(2) WGRY 338 394 762
____(3) _RYY 421 225 123
____(3) __YY 420 230 331
____(3) GG_W 453 221 447
____(3) WWRG 451 246 523
____(3) WYBB 463 233 782
____(3) WWRG 473 233 871
____(3) __YY 473 224 973
____(3) GG_W 466 223 1200
____(3) WWRG 431 221 1205
____(3) GG_W 453 229 1211
____(3) _WW_ 518 380 1261
____(3) _GB_ 781 228 1320
____(3) RWY_ 702 282 1324
____(3) _GB_ 822 230 1336
____(3) YWWB 556 352 1359
____(3) WY__ 488 300 1417
YWWB WYBB 469 296 16
YWWB WYBB 456 271 205
YWWB WWGR 477 336 1345
YWWB ____(4) 542 317 1357
