date (year-month-day),species,trial start hour,trial start min,subject,donor,mouthlickinng start (hours),mouthlicking start (minutes),mouthlicking start (seconds),duration(s)
12/6/10,Desmodus rotundus,7,57,mya,bella,8,6,21,26
12/6/10,Desmodus rotundus,7,57,mya,bella,8,7,11,11
12/6/10,Desmodus rotundus,7,57,mya,bella,8,7,34,31
12/6/10,Desmodus rotundus,7,57,mya,bella,8,8,8,35
12/6/10,Desmodus rotundus,7,57,mya,bella,8,9,26,90
12/6/10,Desmodus rotundus,7,57,mya,bella,8,11,16,38
12/6/10,Desmodus rotundus,7,57,mya,bella,8,12,8,37
12/6/10,Desmodus rotundus,7,57,mya,bella,8,13,39,129
12/6/10,Desmodus rotundus,7,57,mya,bella,8,17,38,5
12/6/10,Desmodus rotundus,7,57,mya,bella,8,17,57,11
12/6/10,Desmodus rotundus,7,57,mya,bella,8,18,12,40
12/6/10,Desmodus rotundus,7,57,mya,bella,8,18,54,7
12/6/10,Desmodus rotundus,7,57,mya,bella,8,19,7,8
12/6/10,Desmodus rotundus,7,57,mya,bella,8,19,20,18
12/6/10,Desmodus rotundus,7,57,mya,bella,8,20,6,8
12/6/10,Desmodus rotundus,7,57,mya,bella,8,20,19,31
12/6/10,Desmodus rotundus,7,57,mya,bella,8,21,9,17
12/6/10,Desmodus rotundus,7,57,mya,bella,8,21,48,9
12/6/10,Desmodus rotundus,7,57,mya,bella,8,23,17,137
12/6/10,Desmodus rotundus,7,57,mya,bella,8,26,12,6
12/6/10,Desmodus rotundus,7,57,mya,bella,8,26,31,5
12/6/10,Desmodus rotundus,7,57,mya,bella,8,26,36,76
12/6/10,Desmodus rotundus,7,57,mya,bella,8,28,7,23
12/6/10,Desmodus rotundus,7,57,mya,bella,8,28,43,5
12/6/10,Desmodus rotundus,7,57,mya,bella,8,30,9,109
12/6/10,Desmodus rotundus,7,57,mya,bella,8,33,22,32
12/6/10,Desmodus rotundus,7,57,mya,bella,8,34,17,8
12/6/10,Desmodus rotundus,7,57,mya,bella,9,14,30,29
12/6/10,Desmodus rotundus,7,57,mya,bella,9,15,9,20
12/6/10,Desmodus rotundus,7,57,mya,bella,9,15,57,6
12/6/10,Desmodus rotundus,7,57,mya,bella,9,16,22,126
12/6/10,Desmodus rotundus,7,57,mya,bella,9,20,47,125
12/6/10,Desmodus rotundus,7,57,mya,bella,9,27,43,14
12/6/10,Desmodus rotundus,7,57,mya,bella,9,28,8,64
12/6/10,Desmodus rotundus,7,57,mya,bella,9,29,22,9
12/6/10,Desmodus rotundus,7,57,mya,bella,9,29,44,14
12/6/10,Desmodus rotundus,7,57,mya,bella,9,30,16,7
12/6/10,Desmodus rotundus,7,57,mya,bella,9,30,31,18
12/6/10,Desmodus rotundus,7,57,mya,bella,9,32,12,29
12/6/10,Desmodus rotundus,7,57,mya,bella,9,33,20,9
12/6/10,Desmodus rotundus,7,57,mya,bella,9,33,41,10
12/6/10,Desmodus rotundus,7,57,mya,bella,9,39,58,134
12/6/10,Desmodus rotundus,7,57,mya,bella,8,5,26,23
12/6/10,Desmodus rotundus,7,57,mya,bella,8,4,47,15
12/6/10,Desmodus rotundus,7,57,mya,bella,8,3,3,36
12/6/10,Desmodus rotundus,7,57,mya,bella,8,5,52,22
12/7/10,Desmodus rotundus,7,45,thecount,bella,9,29,40,8
12/7/10,Desmodus rotundus,7,45,thecount,veronica,9,19,0,174
12/7/10,Desmodus rotundus,7,45,thecount,bella,9,29,50,8
12/8/10,Desmodus rotundus,7,39,tequila,,,,,0
12/9/10,Desmodus rotundus,7,12,cerce,bella,8,3,37,257
12/9/10,Desmodus rotundus,7,12,cerce,countess,8,10,22,49
12/9/10,Desmodus rotundus,7,12,cerce,bella,8,11,18,83
12/9/10,Desmodus rotundus,7,12,cerce,veronica,8,17,26,6
12/9/10,Desmodus rotundus,7,12,cerce,bella,8,21,23,167
12/9/10,Desmodus rotundus,7,12,cerce,countess,8,48,31,301
12/9/10,Desmodus rotundus,7,12,cerce,vampirella,9,4,42,109
12/9/10,Desmodus rotundus,7,12,cerce,vampirella,9,7,2,40
12/9/10,Desmodus rotundus,7,12,cerce,countess,7,58,13,90
12/9/10,Desmodus rotundus,7,12,cerce,maribelo,7,27,2,16
12/9/10,Desmodus rotundus,7,12,cerce,maribelo,7,23,54,8
12/9/10,Desmodus rotundus,7,12,cerce,countess,8,0,1,92
12/10/10,Desmodus rotundus,7,58,gelfing,,,,,0
12/11/10,Desmodus rotundus,6,47,bella,helsing,7,17,21,27
