,Tag2,Tag5,Tag6,Tag8,Tag9,Tag10,Tag11,Tag12,Tag15,Tag17,Tag18,Tag19,Tag23,Tag51,Tag52,Tag53,Tag55
Tag2,0,6,10,7,16,4,3,15,5,5,3,4,2,10,18,4,0
Tag5,6,0,4,5,11,1,6,6,8,12,4,52,4,8,7,7,5
Tag6,10,4,0,8,10,6,6,20,5,6,1,4,4,15,8,4,0
Tag8,7,5,8,0,7,5,3,11,10,7,1,6,2,6,5,3,1
Tag9,16,11,10,7,0,7,18,17,23,16,7,10,0,21,5,9,2
Tag10,4,1,6,5,7,0,2,2,40,0,0,2,0,4,0,0,1
Tag11,3,6,6,3,18,2,0,12,3,4,11,6,1,14,2,2,4
Tag12,15,6,20,11,17,2,12,0,12,5,5,1,1,14,14,9,4
Tag15,5,8,5,10,23,40,3,12,0,4,3,10,1,7,5,4,0
Tag17,5,12,6,7,16,0,4,5,4,0,5,9,1,6,3,6,2
Tag18,3,4,1,1,7,0,11,5,3,5,0,9,2,3,5,14,0
Tag19,4,52,4,6,10,2,6,1,10,9,9,0,2,6,6,9,2
Tag23,2,4,4,2,0,0,1,1,1,1,2,2,0,0,2,2,0
Tag51,10,8,15,6,21,4,14,14,7,6,3,6,0,0,21,6,2
Tag52,18,7,8,5,5,0,2,14,5,3,5,6,2,21,0,3,0
Tag53,4,7,4,3,9,0,2,9,4,6,14,9,2,6,3,0,0
Tag55,0,5,0,1,2,1,4,4,0,2,0,2,0,2,0,0,0
