tagid,date,trap,site,ts
046862097,28-Jun-01,F8,BHP,2
045283564,28-Jun-01,E3,BHP,2
047026778,28-Jun-01,I4,BHP,2
047012067,28-Jun-01,I2,BHP,2
045068615,28-Jun-01,A7,BHP,2
043880554,28-Jun-01,C6,BHP,2
045089577,28-Jun-01,D4,BHP,2
045301310,28-Jun-01,H3,BHP,2
047000272,28-Jun-01,F2,BHP,2
044062050,28-Jun-01,I3,BHP,2
047048867,28-Jun-01,E4,BHP,2
044048377,28-Jun-01,D1,BHP,2
047017853,28-Jun-01,F4,BHP,2
047096014,28-Jun-01,E6,BHP,2
047052021,28-Jun-01,A1,BHP,2
046841541,29-Jun-01,D1,BHP,2
047021557,28-Jun-01,B3,BHP,2
047022264,28-Jun-01,I8,BHP,2
047043085,28-Jun-01,D9,BHP,2
047018280,28-Jun-01,F7,BHP,2
047068566,28-Jun-01,C9,BHP,2
047087362,28-Jun-01,A2,BHP,2
046892615,28-Jun-01,A9,BHP,2
047102635,28-Jun-01,D4,BHP,2
047001258,28-Jun-01,H2,BHP,2
047084121,28-Jun-01,J6,BHP,2
047019584,28-Jun-01,A3,BHP,2
047025318,28-Jun-01,J9,BHP,2
047068803,29-Jun-01,A2,BHP,2
047001258,29-Jun-01,I9,BHP,2
047068566,29-Jun-01,C9,BHP,2
047052021,29-Jun-01,A1,BHP,2
045068615,29-Jun-01,A5,BHP,2
046892615,29-Jun-01,A7,BHP,2
043880554,29-Jun-01,B5,BHP,2
044048377,29-Jun-01,C2,BHP,2
047000272,29-Jun-01,D1,BHP,2
047021557,29-Jun-01,D1,BHP,2
047019584,29-Jun-01,D5,BHP,2
047048867,29-Jun-01,E3,BHP,2
047102635,29-Jun-01,E6,BHP,2
047043085,29-Jun-01,E8,BHP,2
047017853,29-Jun-01,F8,BHP,2
047096014,29-Jun-01,H1,BHP,2
045283564,29-Jun-01,H3,BHP,2
045301310,29-Jun-01,I9,BHP,2
047087362,29-Jun-01,C1,BHP,2
047087362,28-Jun-01,A2,BHP,2
047022264,28-Jun-01,J8,BHP,2
047025318,29-Jun-01,J8,BHP,2
046862097,30-Jun-01,D1,BHP,2
047052021,30-Jun-01,A1,BHP,2
047019584,30-Jun-01,A5,BHP,2
045068615,30-Jun-01,A8,BHP,2
046892615,30-Jun-01,A9,BHP,2
047087362,30-Jun-01,B2,BHP,2
047026778,30-Jun-01,I2,BHP,2
045089577,30-Jun-01,C4,BHP,2
047021557,30-Jun-01,D2,BHP,2
047017853,30-Jun-01,E4,BHP,2
047048867,30-Jun-01,E6,BHP,2
047043085,30-Jun-01,E7,BHP,2
047102635,30-Jun-01,E7,BHP,2
047018280,30-Jun-01,F7,BHP,2
047025318,30-Jun-01,G10,BHP,2
047001258,30-Jun-01,H1,BHP,2
047096014,30-Jun-01,H2,BHP,2
045301310,30-Jun-01,H3,BHP,2
044048377,30-Jun-01,C1,BHP,2
047001258,29-Jun-01,H1,BHP,2
043880554,29-Jun-01,A5,BHP,2
047021557,29-Jun-01,C2,BHP,2
046862097,29-Jun-01,D1,BHP,2
047025318,29-Jun-01,G10,BHP,2
045283564,29-Jun-01,H3,BHP,2
045301310,29-Jun-01,H3,BHP,2
047012067,29-Jun-01,I3,BHP,2
047026778,29-Jun-01,I3,BHP,2
044062050,29-Jun-01,J3,BHP,2
047084121,29-Jun-01,J7,BHP,2
047022264,29-Jun-01,J9,BHP,2
047102635,29-Jun-01,F4,BHP,2
045283564,30-Jun-01,I4,BHP,2
047022264,30-Jun-01,J9,BHP,2
047084121,30-Jun-01,J7,BHP,2
046877624,26-Jul-01,F10,BHP,3
047036868,26-Jul-01,C5,BHP,3
046863777,26-Jul-01,H10,BHP,3
047044534,27-Jul-01,A10,BHP,3
047017880,27-Jul-01,J2,BHP,3
047098326,28-Jul-01,B5,BHP,3
047105818,26-Jul-01,G9,BHP,3
047043100,26-Jul-01,A3,BHP,3
047100575,26-Jul-01,A1,BHP,3
047088331,26-Jul-01,J3,BHP,3
047015839,27-Jul-01,G3,BHP,3
045068615,26-Jul-01,B5,BHP,3
043880554,26-Jul-01,C6,BHP,3
045301310,26-Jul-01,C9,BHP,3
047012067,26-Jul-01,I3,BHP,3
047017853,26-Jul-01,E7,BHP,3
047096014,26-Jul-01,G2,BHP,3
047048867,26-Jul-01,G6,BHP,3
045089577,26-Jul-01,F5,BHP,3
046862097,26-Jul-01,F1,BHP,3
047026778,27-Jul-01,I6,BHP,3
045283564,27-Jul-01,I7,BHP,3
047068566,26-Jul-01,A9,BHP,3
047022264,26-Jul-01,J9,BHP,3
047102635,26-Jul-01,E9,BHP,3
047021557,26-Jul-01,B3,BHP,3
047019584,27-Jul-01,D6,BHP,3
047043085,27-Jul-01,D10,BHP,3
046892615,27-Jul-01,A9,BHP,3
045089577,27-Jul-01,F4,BHP,3
045068615,27-Jul-01,B6,BHP,3
047043100,27-Jul-01,B2,BHP,3
047100575,27-Jul-01,C1,BHP,3
047068566,27-Jul-01,C10,BHP,3
043880554,27-Jul-01,C6,BHP,3
047021557,27-Jul-01,D1,BHP,3
047102635,27-Jul-01,E2,BHP,3
047048867,27-Jul-01,E7,BHP,3
046877624,27-Jul-01,E8,BHP,3
046862097,27-Jul-01,F1,BHP,3
043880554,26-Jul-01,C5,BHP,3
047048867,26-Jul-01,G6,BHP,3
047017853,27-Jul-01,F7,BHP,3
045068615,28-Jul-01,C6,BHP,3
047043100,28-Jul-01,A2,BHP,3
046892615,28-Jul-01,A7,BHP,3
047048867,28-Jul-01,G5,BHP,3
047036868,28-Jul-01,C5,BHP,3
047019584,28-Jul-01,C7,BHP,3
047068566,28-Jul-01,C9,BHP,3
043880554,28-Jul-01,D4,BHP,3
047017853,28-Jul-01,D7,BHP,3
047100575,28-Jul-01,E1,BHP,3
046877624,28-Jul-01,E10,BHP,3
046862097,28-Jul-01,E2,BHP,3
045089577,28-Jul-01,E3,BHP,3
047102635,28-Jul-01,E7,BHP,3
047096014,28-Jul-01,F1,BHP,3
047021557,28-Jul-01,C1,BHP,3
045068615,27-Jul-01,B8,BHP,3
047105818,27-Jul-01,G10,BHP,3
047096014,27-Jul-01,H1,BHP,3
047088331,27-Jul-01,I3,BHP,3
047022264,27-Jul-01,J9,BHP,3
045301310,27-Jul-01,B10,BHP,3
043880554,27-Jul-01,D5,BHP,3
047021557,27-Jul-01,E3,BHP,3
045089577,27-Jul-01,E6,BHP,3
046877624,27-Jul-01,E7,BHP,3
047102635,27-Jul-01,E8,BHP,3
046863777,27-Jul-01,G10,BHP,3
047017853,27-Jul-01,G7,BHP,3
047012067,27-Jul-01,J10,BHP,3
047088331,27-Jul-01,J2,BHP,3
047105818,28-Jul-01,G9,BHP,3
047026778,28-Jul-01,J4,BHP,3
045283564,28-Jul-01,J7,BHP,3
047022264,28-Jul-01,J9,BHP,3
047017880,28-Jul-01,I1,BHP,3
047088331,28-Jul-01,H3,BHP,3
047060260,23-Aug-01,F9,BHP,4
047086773,23-Aug-01,H7,BHP,4
047088372,23-Aug-01,C4,BHP,4
046869087,23-Aug-01,C5,BHP,4
047042348,23-Aug-01,E3,BHP,4
047067300,23-Aug-01,G4,BHP,4
047063521,24-Aug-01,A4,BHP,4
047094533,24-Aug-01,A1,BHP,4
047035542,23-Aug-01,A9,BHP,4
047001572,23-Aug-01,I3,BHP,4
047103567,23-Aug-01,C1,BHP,4
047027806,23-Aug-01,B9,BHP,4
047049107,23-Aug-01,D2,BHP,4
047049593,23-Aug-01,F1,BHP,4
047015528,23-Aug-01,J8,BHP,4
047080609,23-Aug-01,E8,BHP,4
047047804,23-Aug-01,E7,BHP,4
047012599,23-Aug-01,E1,BHP,4
047006038,24-Aug-01,G9,BHP,4
047019591,24-Aug-01,J1,BHP,4
047080630,25-Aug-01,G9,BHP,4
047096014,23-Aug-01,F2,BHP,4
