Network,Species,Interaction,phi,epsilon,population,degree,excess_degree,mean_strength,mean_weight,weight_heterogeneity,modularity,clustering,r_mean_R*=2,R0^Est_R*=2,R0^Sim_R*=2_Poisson_g=0,R0^Sim_R*=2_Poisson_g=1,R0^Sim_R*=2_Poisson_g=2,R0^Sim_R*=2_Circadian_g=0,R0^Sim_R*=2_Circadian_g=1,R0^Sim_R*=2_Circadian_g=2,R0^Sim_R*=2_Bursty_g=0,R0^Sim_R*=2_Bursty_g=1,R0^Sim_R*=2_Bursty_g=2,r_mean_R*=3,R0^Est_R*=3,R0^Sim_R*=3_Poisson_g=0,R0^Sim_R*=3_Poisson_g=1,R0^Sim_R*=3_Poisson_g=2,R0^Sim_R*=3_Circadian_g=0,R0^Sim_R*=3_Circadian_g=1,R0^Sim_R*=3_Circadian_g=2,R0^Sim_R*=3_Bursty_g=0,R0^Sim_R*=3_Bursty_g=1,R0^Sim_R*=3_Bursty_g=2,r_mean_R*=4,R0^Est_R*=4,R0^Sim_R*=4_Poisson_g=0,R0^Sim_R*=4_Poisson_g=1,R0^Sim_R*=4_Poisson_g=2,R0^Sim_R*=4_Circadian_g=0,R0^Sim_R*=4_Circadian_g=1,R0^Sim_R*=4_Circadian_g=2,R0^Sim_R*=4_Bursty_g=0,R0^Sim_R*=4_Bursty_g=1,R0^Sim_R*=4_Bursty_g=2
ants_1_high,Ant,Food sharing,0.97,2.06e-03,74.00,7.92,10.68,13.41,1.69,0.89,0.29,0.30,1.10,1.47,1.24,1.51,1.40,1.28,1.47,1.38,1.23,1.48,1.42,1.57,2.07,1.75,2.10,1.87,1.82,2.13,1.82,1.72,2.04,1.84,1.99,2.63,2.19,2.41,2.15,2.18,2.55,2.25,2.17,2.46,2.20
ants_2_high,Ant,Food sharing,0.94,2.11e-03,68.00,5.76,8.53,9.35,1.62,0.80,0.29,0.22,0.92,1.37,1.00,1.54,1.28,1.05,1.44,1.46,0.99,1.44,1.41,1.30,1.92,1.40,1.89,1.69,1.46,2.02,1.71,1.36,2.01,1.71,1.65,2.43,1.85,2.36,2.07,1.79,2.41,2.01,1.87,2.44,2.00
ants_3_high,Ant,Food sharing,1.12,2.80e-03,76.00,10.50,15.03,17.74,1.69,0.90,0.19,0.31,1.03,1.51,1.10,1.64,1.48,1.09,1.62,1.43,1.19,1.63,1.46,1.47,2.15,1.65,2.33,1.91,1.68,2.26,2.11,1.59,2.36,1.94,1.89,2.74,1.96,2.83,2.26,2.02,2.86,2.23,2.01,2.70,2.35
ants_1_low,Ant,Food sharing,1.12,3.10e-03,70.00,10.17,14.53,17.31,1.70,0.83,0.18,0.35,0.97,1.45,1.07,1.54,1.54,1.07,1.51,1.53,1.01,1.53,1.50,1.40,2.06,1.56,2.16,1.94,1.56,2.13,1.87,1.54,2.09,1.87,1.79,2.63,1.94,2.57,2.19,1.91,2.55,2.26,1.98,2.46,2.18
ants_2_low,Ant,Food sharing,0.94,1.74e-03,79.00,8.20,10.60,13.85,1.69,1.22,0.27,0.29,1.03,1.37,1.14,1.37,1.25,1.10,1.35,1.25,1.14,1.40,1.30,1.46,1.92,1.57,1.89,1.72,1.64,1.90,1.63,1.68,1.83,1.66,1.86,2.44,2.00,2.16,1.93,1.98,2.08,1.97,2.04,2.15,1.86
ants_3_low,Ant,Food sharing,0.95,1.76e-03,82.00,8.34,12.57,14.88,1.78,1.10,0.23,0.34,0.89,1.36,0.99,1.49,1.49,1.02,1.49,1.42,1.02,1.51,1.46,1.26,1.92,1.49,2.06,1.83,1.37,2.02,1.95,1.35,2.12,1.84,1.61,2.43,1.90,2.54,2.11,1.86,2.36,2.15,1.74,2.52,2.17
conference_0,Conference,Face-to-face,0.66,4.23e-04,93.00,5.63,10.43,14.26,2.53,3.57,0.56,0.26,0.67,1.17,0.75,1.27,1.23,0.85,1.17,1.13,0.79,1.19,1.21,0.93,1.60,0.97,1.58,1.56,1.00,1.63,1.44,1.00,1.63,1.44,1.16,1.99,1.26,1.98,1.77,1.28,1.96,1.82,1.30,1.93,1.82
conference_1,Conference,Face-to-face,0.51,1.37e-04,92.00,5.20,8.38,14.13,2.72,3.74,0.67,0.25,0.81,1.09,0.97,1.10,0.94,0.95,1.10,0.97,0.97,1.08,0.90,1.10,1.47,1.26,1.46,1.36,1.30,1.45,1.38,1.29,1.49,1.32,1.36,1.81,1.56,1.89,1.54,1.55,1.92,1.56,1.55,1.76,1.59
conference_2,Conference,Face-to-face,0.24,1.18e-06,84.00,3.19,4.72,11.36,3.56,6.37,0.79,0.22,0.64,0.87,0.69,0.74,0.70,0.77,0.69,0.72,0.77,0.70,0.73,0.85,1.14,0.93,0.95,0.87,0.91,0.91,0.89,0.97,0.88,0.83,1.03,1.36,1.18,1.09,1.17,1.12,1.16,0.98,1.18,1.09,1.02
hospital_0,Hospital,Face-to-face,0.61,8.42e-04,51.00,8.35,12.20,30.51,3.65,9.18,0.46,0.40,0.65,1.03,0.79,1.30,1.06,0.79,1.11,1.07,0.70,1.20,1.03,0.90,1.40,1.00,1.62,1.42,1.07,1.69,1.35,1.04,1.59,1.49,1.12,1.73,1.27,1.96,1.52,1.26,2.04,1.61,1.31,1.98,1.52
