,Data,Species,Interaction,N,rejected,Ints,Edges,Mean_weight,Weight_heterogeneity,Degree_heterogeneity,phi,e,fidelity,gamma,mean_r,SE_r,predicted_mean_r,predicted_SE_R,error
0,conference_0,Conference,Face-to-face,93.0,0.0,663.0,262.0,2.530534351145038,3.570521455793121,4.796889107773126,0.6308531229001425,0.00035587280044691445,0.22104886037822166,2.0627986857825568e-05,1.1732365591397786,0.11973374837417743,1.2537562500125767,0.11360209420625995,0.18694945908969646
1,conference_1,Conference,Face-to-face,92.0,0.0,650.0,239.0,2.719665271966527,3.7418731895719346,3.18928506458068,0.5213791534061312,0.00014969625821278907,0.015988693549123016,2.0443337359098228e-05,1.1408478260869503,0.08725753921428742,1.2342872585087385,0.08348394570355333,0.24951762498304422
2,conference_2,Conference,Face-to-face,84.0,0.0,477.0,134.0,3.5597014925373136,6.366923245408178,1.5259417199715706,0.28845483026989965,4.598089279210466e-06,0.42382391956698956,1.643105158730159e-05,0.8796071428571395,0.07059238324324522,1.0535038193264574,0.07700166912003148,0.22193322243255878
3,hospital_0,Hospital,Face-to-face,51.0,0.0,778.0,213.0,3.652582159624413,9.182893418781758,3.8489367578017113,0.6138971789638551,0.0008775996676900192,0.7694594924091663,4.414034132171387e-05,1.1437058823529367,0.14041416412022753,1.2232761840214121,0.14792149376453723,0.129871449768792
4,hospital_1,Hospital,Face-to-face,49.0,2.0,1075.0,250.0,4.3,8.815348837209303,3.4879183673469387,0.5916516385320576,0.0008254874967571265,0.8452120596519969,6.348025321239607e-05,1.1291836734693839,0.12557297819033122,1.2391736398202333,0.13467351367266406,0.1681837156977416
5,hospital_2,Hospital,Face-to-face,51.0,0.0,855.0,242.0,3.5330578512396693,5.9862403943743665,5.175093177766974,0.6807747284847081,0.0012436809920028206,0.8025729593152467,4.850898692810457e-05,1.25966666666666,0.15978723026026828,1.2790766967744216,0.15130959986009557,0.12761091376093414
6,hospital_3,Hospital,Face-to-face,50.0,0.0,743.0,198.0,3.7525252525252526,9.438591840341504,3.6810101010101013,0.5837992057021579,0.0007588931299089382,0.7133074362514248,4.299768518518518e-05,1.126519999999996,0.13397493899065882,1.2132669314224886,0.1411292995404241,0.1481251088115105
7,school_0,Primary school,Face-to-face,237.0,0.0,6420.0,1744.0,3.6811926605504586,5.815380548172282,2.6485261100143234,0.619547301762407,6.99654800801901e-05,1.2454457706143744,7.838138771683075e-05,1.2962911392405017,0.04126925594115227,1.3775760321202422,0.041347295960129524,0.13901736993969757
8,school_1,Primary school,Face-to-face,238.0,2.0,6514.0,1769.0,3.6823063877897115,5.9151759579272065,3.325522181738722,0.6298530345441902,7.62641572139704e-05,1.1482644724163562,7.919487239340181e-05,1.2936596638655418,0.04742811635723917,1.367583214859574,0.04780700063632808,0.15053488365017934
9,highschool_0,High school,Face-to-face,312.0,0.0,4919.0,1058.0,4.649338374291116,11.071946439695466,2.3549997576462607,0.42161066763519894,2.566089552656196e-06,0.8298980497629225,4.561928715574549e-05,0.9926057692307657,0.03594207107126068,1.1749330630152064,0.04025929707653976,0.23270706431384064
10,highschool_1,High school,Face-to-face,311.0,0.0,4419.0,997.0,4.432296890672016,10.553220194641403,2.179196754249888,0.4190492815711899,2.4503828041626877e-06,0.6848942140563312,4.1114013933547695e-05,0.9808617363344015,0.035046597672954746,1.1667850782619749,0.041121362795528575,0.23054249260959525
11,highschool_2,High school,Face-to-face,299.0,0.0,3415.0,746.0,4.57774798927614,8.50951408978682,1.7848323724299942,0.3689214776393305,8.294448326209667e-07,0.7653345314108362,3.304804595565465e-05,0.9493678929765855,0.036424921474165484,1.1289568116639535,0.040497224740904954,0.22435681249239922
12,highschool_3,High school,Face-to-face,294.0,0.0,3331.0,732.0,4.550546448087432,9.009645686406714,1.8264190922270542,0.3665682112858567,8.15818415245734e-07,0.66916137670028,3.2783367976820355e-05,0.9468707482993163,0.03525221204801493,1.1297336520348409,0.040662737288088016,0.23682345520894377
13,highschool_4,High school,Face-to-face,233.0,0.0,1084.0,316.0,3.430379746835443,3.76334719043393,1.202110610093986,0.29094108156130616,1.5264979124941424e-07,0.3445487602710311,1.3461691305038945e-05,0.8290557939914135,0.03851213467777253,1.0728250737589433,0.044128669281486864,0.25402510338650125
14,ants_1_high,Ant,Food sharing,74.0,0.0,496.0,293.0,1.6928327645051195,0.8918446548497191,2.756848999169818,0.9616335006189491,0.002030030535958482,0.4503528888338937,0.00011636636636636637,1.5006081081080962,0.11145363411486793,1.5555677152705718,0.10960468705324496,0.10989928788446456
15,ants_2_high,Ant,Food sharing,68.0,0.0,318.0,196.0,1.6224489795918366,0.7989346682069056,2.7608043217286915,0.93618022174573,0.00210453524431926,0.4272163140567623,8.118872549019607e-05,1.3239117647058742,0.1258529873418507,1.506334098726275,0.13449627972008196,0.18338656875171438
16,ants_3_high,Ant,Food sharing,76.0,0.0,674.0,399.0,1.6892230576441103,0.8983140343440202,4.530075187969925,1.1072540704507872,0.002751894358419777,0.6554259508269494,0.0001539656432748538,1.597749999999989,0.1445306913621243,1.615225345116028,0.13357021313757547,0.1248080795027249
17,ants_1_low,Ant,Food sharing,70.0,0.0,606.0,356.0,1.702247191011236,0.8258056142692921,4.35666131621188,1.115597304180966,0.003074917115265555,0.7818849777864149,0.00015029761904761905,1.6027142857142744,0.15299275093837628,1.605862726282229,0.14406972098320314,0.08836445462837364
18,ants_2_low,Ant,Food sharing,79.0,0.0,547.0,324.0,1.6882716049382716,1.220320716816756,2.3931473667760588,0.9719533783229426,0.001925629649744613,0.6261642316378998,0.0001202092123769339,1.48859493670885,0.10907197198501203,1.5610226571496812,0.11303359731552474,0.10834215191678118
19,ants_3_low,Ant,Food sharing,82.0,0.0,610.0,342.0,1.7836257309941521,1.0950627935960118,4.228712023962345,0.9563433470323793,0.0017630125623948687,0.5476391410818833,0.00012914972899728998,1.498329268292673,0.13937407725283912,1.5247130635729602,0.1312709586454099,0.11603962672935986
20,antennation_1_1,Ant,Antennal contact,89.0,0.0,1834.0,649.0,2.825885978428351,2.3987596049958584,3.976593203026263,0.7631674162641774,0.0007938647612781118,0.805624853527095,0.003582535043990561,1.5452921348314506,0.09288823119176189,1.4614875807270535,0.07577827855928009,0.14957247513621
21,antennation_1_2,Ant,Antennal contact,72.0,0.0,1721.0,556.0,3.0953237410071943,3.093519954518663,3.715627498001599,0.7612664233599656,0.0010649859952292576,0.7627411830124716,0.003416634902483959,1.5470694444444328,0.098394618298805,1.450340813797836,0.0840711996945014,0.14371855597706087
22,antennation_2_1,Ant,Antennal contact,71.0,0.0,943.0,505.0,1.8673267326732674,0.9036170637212183,4.695439966531866,1.1061080930219245,0.0029699384285475482,0.8249649278489688,0.0023090560050147897,1.7066338028168861,0.12287260786012637,1.6313892239253984,0.11283634403539247,0.10311281050429462
23,antennation_2_2,Ant,Antennal contact,69.0,0.0,1880.0,549.0,3.424408014571949,3.0213366662791143,5.280034845964996,0.7596621858672666,0.0011243447933692613,0.8097836483716273,0.0037926471062909527,1.5484057971014367,0.12853399462570766,1.4159872027622802,0.10572473962194939,0.17510114755786477
24,antennation_6_1,Ant,Antennal contact,33.0,0.0,647.0,258.0,2.507751937984496,1.1846746462504343,1.9876673713883013,1.1896864186872766,0.008320264712027087,1.10527721933795,0.002555534489841059,1.725939393939379,0.14057083933043776,1.6039186186518541,0.1216685969943163,0.14524563976009502
25,antennation_6_2,Ant,Antennal contact,32.0,0.0,362.0,162.0,2.234567901234568,0.9532774026328354,2.442901234567901,1.0061619377383741,0.006407498825427578,0.7511780006062909,0.0016114672364672365,1.6190937499999873,0.16860068280014356,1.5156982205678586,0.13686578396896243,0.14812061153119863
26,bats_0,Bat,Food sharing,16.0,0.0,319.0,54.5,5.732142857142857,5.08717178460169,1.6920871559633028,0.4028288498449637,0.0027063377923545783,0.4366804616369615,0.0006966145833333334,1.1059999999999928,0.13752727002307344,1.213347468001805,0.11020743802166125,0.16456389244375694
